"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","385","439","824"
"2795113","2790013","Amistad Academy District","Amistad Academy","442","462","904"
"0010111","0010011","Andover School District","Andover Elementary School","140","174","314"
"0026111","0020011","Ansonia School District","Ansonia High School","309","322","631"
"0025111","0020011","Ansonia School District","Ansonia Middle School","218","245","463"
"0020311","0020011","Ansonia School District","Mead School","312","307","619"
"0020811","0020011","Ansonia School District","Prendergast School","322","377","699"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","7","29","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","19","128","147"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","338","384","722"
"2449514","2440014","Area Cooperative Educational Services","Village School","45","104","149"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","32","82","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","20","69","89"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","10","35","45"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","333","297","630"
"0030111","0030011","Ashford School District","Ashford School","211","228","439"
"0046111","0040011","Avon School District","Avon High School","549","534","1083"
"0045111","0040011","Avon School District","Avon Middle School","295","316","611"
"0040411","0040011","Avon School District","Pine Grove School","286","309","595"
"0040311","0040011","Avon School District","Roaring Brook School","280","289","569"
"0040511","0040011","Avon School District","Thompson Brook School","290","258","548"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","141","187","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","10","11","21"
"0076111","0070011","Berlin School District","Berlin High School","466","496","962"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","327","385","712"
"0070411","0070011","Berlin School District","Emma Hart Willard School","221","280","501"
"0070511","0070011","Berlin School District","Mary E. Griswold School","271","296","567"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","103","129","232"
"0080111","0080011","Bethany School District","Bethany Community School","223","250","473"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","193","199","392"
"0096111","0090011","Bethel School District","Bethel High School","459","500","959"
"0095111","0090011","Bethel School District","Bethel Middle School","323","361","684"
"0090111","0090011","Bethel School District","Frank A. Berry School","242","255","497"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","216","227","443"
"0116111","0110011","Bloomfield School District","Bloomfield High School","264","277","541"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","107","113","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","128","133","261"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","103","79","182"
"0110611","0110011","Bloomfield School District","Laurel School","147","188","335"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","*","*","10"
"0110511","0110011","Bloomfield School District","Metacomet School","117","120","237"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","162","160","322"
"0120111","0120011","Bolton School District","Bolton Center School","267","266","533"
"0126111","0120011","Bolton School District","Bolton High School","177","182","359"
"0130111","0130011","Bozrah School District","Fields Memorial School","124","117","241"
"0146111","0140011","Branford School District","Branford High School","552","497","1049"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","474","515","989"
"0148011","0140011","Branford School District","Indian Neck School","17","30","47"
"0141611","0140011","Branford School District","John B. Sliney School","175","196","371"
"0141511","0140011","Branford School District","Mary R. Tisko School","188","185","373"
"0141411","0140011","Branford School District","Mary T. Murphy School","203","226","429"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","347","355","702"
"0150111","0150011","Bridgeport School District","Barnum School","293","332","625"
"0156111","0150011","Bridgeport School District","Bassick High School","529","648","1177"
"0150211","0150011","Bridgeport School District","Beardsley School","195","182","377"
"0150311","0150011","Bridgeport School District","Black Rock School","154","194","348"
"0154011","0150011","Bridgeport School District","Blackham School","542","588","1130"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","9","43","52"
"0150411","0150011","Bridgeport School District","Bryant School","197","215","412"
"0156211","0150011","Bridgeport School District","Central High School","1087","1050","2137"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","527","588","1115"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","161","149","310"
"0150511","0150011","Bridgeport School District","Columbus School","400","477","877"
"0153911","0150011","Bridgeport School District","Cross School","203","217","420"
"0154211","0150011","Bridgeport School District","Curiale School","345","428","773"
"0154111","0150011","Bridgeport School District","Dunbar School","153","160","313"
"0150711","0150011","Bridgeport School District","Edison School","120","124","244"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","396","422","818"
"0151111","0150011","Bridgeport School District","Hall School","151","157","308"
"0151211","0150011","Bridgeport School District","Hallen School","160","176","336"
"0156311","0150011","Bridgeport School District","Harding High School","630","667","1297"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","233","200","433"
"0151311","0150011","Bridgeport School District","Hooker School","174","207","381"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","214","243","457"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","309","320","629"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","408","463","871"
"0152011","0150011","Bridgeport School District","Madison School","229","277","506"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","264","192","456"
"0159211","0150011","Bridgeport School District","Park City Academy","*","*","6"
"0151711","0150011","Bridgeport School District","Park City Magnet School","290","236","526"
"0152511","0150011","Bridgeport School District","Read School","392","465","857"
"0152611","0150011","Bridgeport School District","Roosevelt School","256","268","524"
"0154411","0150011","Bridgeport School District","Skane Center","78","153","231"
"0153011","0150011","Bridgeport School District","Waltersville School","254","260","514"
"0153611","0150011","Bridgeport School District","Winthrop School","355","331","686"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","*","*","19"
"0176111","0170011","Bristol School District","Bristol Central High School","610","652","1262"
"0176211","0170011","Bristol School District","Bristol Eastern High School","617","688","1305"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","370","388","758"
"0179211","0170011","Bristol School District","Community/Vocational Program","*","*","10"
"0170311","0170011","Bristol School District","Edgewood School","184","181","365"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","209","227","436"
"0170511","0170011","Bristol School District","Greene-Hills School","426","467","893"
"0171911","0170011","Bristol School District","Ivy Drive School","196","227","423"
"0171711","0170011","Bristol School District","Mountain View School","228","203","431"
"0175211","0170011","Bristol School District","Northeast Middle School","240","260","500"
"0171111","0170011","Bristol School District","South Side School","227","262","489"
"0171211","0170011","Bristol School District","Stafford School","243","260","503"
"0172011","0170011","Bristol School District","West Bristol School","430","471","901"
"0186111","0180011","Brookfield School District","Brookfield High School","481","437","918"
"0180311","0180011","Brookfield School District","Center Elementary School","198","218","416"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","290","315","605"
"0185311","0180011","Brookfield School District","Whisconier Middle School","417","434","851"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","272","271","543"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","174","220","394"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","39","36","75"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","118","141","259"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","105","126","231"
"0236111","0230011","Canton School District","Canton High School","236","275","511"
"0230311","0230011","Canton School District","Canton Intermediate School","230","200","430"
"0235111","0230011","Canton School District","Canton Middle School","140","130","270"
"0230211","0230011","Canton School District","Cherry Brook Primary School","268","269","537"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","144","347","491"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","259","76","335"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","88","76","164"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","91","130","221"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","9","12","21"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","183","204","387"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","307","116","423"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","112","72","184"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*","6"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","177","180","357"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","20","38","58"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","*","*","11"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","376","340","716"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","166","174","340"
"2410514","2410014","Capitol Region Education Council","Museum Academy","164","147","311"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","133","244","377"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","172","184","356"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","17","47","64"
"2419314","2410014","Capitol Region Education Council","River Street School","22","129","151"
"2419114","2410014","Capitol Region Education Council","Soundbridge","42","44","86"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","48","48","96"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","319","344","663"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","208","232","440"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","91","94","185"
"0250111","0250011","Cheshire School District","Chapman School","153","130","283"
"0256111","0250011","Cheshire School District","Cheshire High School","746","768","1514"
"0250211","0250011","Cheshire School District","Darcey School","145","161","306"
"0255111","0250011","Cheshire School District","Dodd Middle School","353","404","757"
"0250611","0250011","Cheshire School District","Doolittle School","276","263","539"
"0250411","0250011","Cheshire School District","Highland School","377","399","776"
"0259011","0250011","Cheshire School District","Humiston School","7","18","25"
"0250511","0250011","Cheshire School District","Norton School","242","213","455"
"0260111","0260011","Chester School District","Chester Elementary School","135","116","251"
"0270111","0270011","Clinton School District","Abraham Pierson School","163","148","311"
"0275111","0270011","Clinton School District","Jared Eliot School","230","216","446"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","291","354","645"
"0276111","0270011","Clinton School District","The Morgan School","277","302","579"
"0286111","0280011","Colchester School District","Bacon Academy","494","443","937"
"0280411","0280011","Colchester School District","Colchester Elementary School","292","320","612"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","299","331","630"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","343","358","701"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","51","53","104"
"0300111","0300011","Columbia School District","Horace W. Porter School","260","243","503"
"2686113","2680013","Common Ground High School District","Common Ground High School","80","89","169"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","417","361","778"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","437","391","828"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","256","379","635"
