"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","466","488","954"
"2795113","2790013","Amistad Academy District","Amistad Academy","499","485","984"
"0010111","0010011","Andover School District","Andover Elementary School","129","146","275"
"0026111","0020011","Ansonia School District","Ansonia High School","276","308","584"
"0025111","0020011","Ansonia School District","Ansonia Middle School","240","258","498"
"0020311","0020011","Ansonia School District","Mead School","286","311","597"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","16","24","40"
"0020811","0020011","Ansonia School District","Prendergast School","318","362","680"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","8","31","39"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","25","135","160"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","350","363","713"
"2449514","2440014","Area Cooperative Educational Services","Village School","45","106","151"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","36","77","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","27","63","90"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","8","34","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","309","322","631"
"0030111","0030011","Ashford School District","Ashford School","204","211","415"
"0046111","0040011","Avon School District","Avon High School","528","523","1051"
"0045111","0040011","Avon School District","Avon Middle School","289","259","548"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","26","22","48"
"0040411","0040011","Avon School District","Pine Grove School","308","268","576"
"0040311","0040011","Avon School District","Roaring Brook School","264","282","546"
"0040511","0040011","Avon School District","Thompson Brook School","243","309","552"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","135","160","295"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","10","12","22"
"0076111","0070011","Berlin School District","Berlin High School","439","479","918"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","308","394","702"
"0070411","0070011","Berlin School District","Emma Hart Willard School","232","272","504"
"0070511","0070011","Berlin School District","Mary E. Griswold School","254","293","547"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","112","113","225"
"0080111","0080011","Bethany School District","Bethany Community School","187","220","407"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","209","204","413"
"0096111","0090011","Bethel School District","Bethel High School","432","457","889"
"0095111","0090011","Bethel School District","Bethel Middle School","320","375","695"
"0090111","0090011","Bethel School District","Frank A. Berry School","247","299","546"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","187","199","386"
"0116111","0110011","Bloomfield School District","Bloomfield High School","246","292","538"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","94","114","208"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","90","124","214"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","137","83","220"
"0110611","0110011","Bloomfield School District","Laurel School","181","164","345"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","6","7","13"
"0110511","0110011","Bloomfield School District","Metacomet School","118","130","248"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","154","167","321"
"0120111","0120011","Bolton School District","Bolton Center School","258","262","520"
"0126111","0120011","Bolton School District","Bolton High School","157","161","318"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","38","53","91"
"0130111","0130011","Bozrah School District","Fields Memorial School","103","106","209"
"0146111","0140011","Branford School District","Branford High School","475","486","961"
