"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","115","146","261"
"2795113","2790013","Amistad Academy District","Amistad Academy","312","329","641"
"0010111","0010011","Andover School District","Andover Elementary School","148","186","334"
"0026111","0020011","Ansonia School District","Ansonia High School","354","363","717"
"0025111","0020011","Ansonia School District","Ansonia Middle School","275","307","582"
"0020311","0020011","Ansonia School District","Mead School","278","338","616"
"0029011","0020011","Ansonia School District","Pine Academy","14","25","39"
"0020811","0020011","Ansonia School District","Prendergast School","369","390","759"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","*","*","12"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","37","73","110"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","28","142","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","369","379","748"
"2449514","2440014","Area Cooperative Educational Services","Village School","50","126","176"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","29","99","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","23","70","93"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","21","35","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","320","285","605"
"0030111","0030011","Ashford School District","Ashford School","224","261","485"
"0046111","0040011","Avon School District","Avon High School","521","531","1052"
"0045111","0040011","Avon School District","Avon Middle School","296","293","589"
"0040411","0040011","Avon School District","Pine Grove School","291","319","610"
"0040311","0040011","Avon School District","Roaring Brook School","387","363","750"
"0040511","0040011","Avon School District","Thompson Brook School","255","302","557"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","145","196","341"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","9","12","21"
"0076111","0070011","Berlin School District","Berlin High School","509","518","1027"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","354","388","742"
"0070411","0070011","Berlin School District","Emma Hart Willard School","265","336","601"
"0070511","0070011","Berlin School District","Mary E. Griswold School","285","299","584"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","110","154","264"
"0080111","0080011","Bethany School District","Bethany Community School","263","286","549"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","199","224","423"
"0096111","0090011","Bethel School District","Bethel High School","522","488","1010"
"0095111","0090011","Bethel School District","Bethel Middle School","351","355","706"
"0090111","0090011","Bethel School District","Frank A. Berry School","218","262","480"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","228","226","454"
"0116111","0110011","Bloomfield School District","Bloomfield High School","302","344","646"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","142","171","313"
