"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","30","45","41","51","34","40","47","48","0","0","0","0","0","0","336"
"0025111","0020011","Ansonia School District","Ansonia Middle School","96","0","0","0","0","0","0","0","184","197","0","0","0","0","477"
"0020311","0020011","Ansonia School District","Mead School","0","35","112","111","96","123","93","90","0","0","0","0","0","0","660"
"0020811","0020011","Ansonia School District","Prendergast School","0","164","137","88","117","95","115","95","0","0","0","0","0","0","811"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","246","206","165","160","777"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","11","9","16","16","24","22","20","16","17","9","*","*","6","176"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","58","67","75","73","75","75","71","70","66","0","0","0","0","630"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","0","6","10","15","17","32","28","23","17","0","0","0","0","148"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","247","241","245","0","0","0","0","733"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","0","0","0","0","0","0","0","0","15","24","13","23","27","8","110"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","*","17","*","21","67","123"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","21","25","28","26","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","*","*","9","38","56"
"0030111","0030011","Ashford School District","Ashford School","47","31","57","32","45","53","50","47","55","58","0","0","0","0","475"
"0040411","0040011","Avon School District","Pine Grove School","28","94","127","132","131","143","0","0","0","0","0","0","0","0","655"
"0040311","0040011","Avon School District","Roaring Brook School","0","113","122","130","153","164","0","0","0","0","0","0","0","0","682"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","288","280","0","0","0","0","0","0","568"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","282","319","0","0","0","0","601"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","266","278","254","281","1079"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","22","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","42","61","36","49","53","57","47","0","0","0","0","0","0","345"
"0070411","0070011","Berlin School District","Emma Hart Willard School","66","69","89","77","89","91","107","0","0","0","0","0","0","0","588"
"0070511","0070011","Berlin School District","Mary E. Griswold School","0","87","112","90","99","93","83","0","0","0","0","0","0","0","564"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","25","41","39","46","61","40","0","0","0","0","0","0","0","252"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","0","0","0","0","0","0","249","233","251","0","0","0","0","733"
"0076111","0070011","Berlin School District","Berlin High School","0","0","0","0","0","0","0","0","0","0","253","259","261","249","1022"
"0080111","0080011","Bethany School District","Bethany Community School","18","57","66","74","79","66","83","72","0","0","0","0","0","0","515"
"0090111","0090011","Bethel School District","Frank A. Berry School","77","85","114","102","119","0","0","0","0","0","0","0","0","0","497"
