"school_code","district_code","district","school","special_education_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"0076111","0070011","Berlin School District","Berlin High School","Special Education","19.8","16.5","33.3","40.7","25.2"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Non-Special Education","6.8","7.5","2.8","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Special Education","17.9","15.6","9.2","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Non-Special Education","*","*","*","*","2.1"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Special Education","*","*","*","*","12.1"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Non-Special Education","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Special Education","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Non-Special Education","*","*","4.0","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Special Education","*","*","0.0","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Non-Special Education","*","4.4","3.8","3.7","3.5"
"0080111","0080011","Bethany School District","Bethany Community School","Special Education","*","14.5","11.5","14.6","14.8"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Non-Special Education","5.2","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Special Education","13.3","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Non-Special Education","6.0","6.8","8.1","3.1","6.8"
"0096111","0090011","Bethel School District","Bethel High School","Special Education","21.6","23.8","24.0","10.4","31.1"
"0095111","0090011","Bethel School District","Bethel Middle School","Non-Special Education","6.2","7.4","3.2","5.4","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Special Education","18.2","15.9","14.1","12.8","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Non-Special Education","*","2.8","2.3","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Special Education","*","0.0","0.0","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Non-Special Education","2.5","4.7","13.7","2.8","13.9"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Special Education","13.0","10.5","22.4","0.0","14.9"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Non-Special Education","8.6","7.2","6.8","7.9","8.2"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Special Education","20.0","16.2","16.2","22.0","13.5"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Non-Special Education","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Special Education","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Non-Special Education","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Special Education","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Non-Special Education","","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Special Education","","*","*","*","*"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Non-Special Education","*","","","",""
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Special Education","*","","","",""
"0110611","0110011","Bloomfield School District","Laurel School","Non-Special Education","","*","*","*","8.8"
"0110611","0110011","Bloomfield School District","Laurel School","Special Education","","*","*","*","14.6"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education","","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Special Education","","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Non-Special Education","*","3.3","3.1","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Special Education","*","0.0","0.0","*","*"
"3480415","0110011","Bloomfield School District","SAGE","Special Education","","","","","*"
"0116211","0110011","Bloomfield School District","The Big Picture High School","Non-Special Education","*","","","",""
"0116211","0110011","Bloomfield School District","The Big Picture High School","Special Education","*","","","",""
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Non-Special Education","*","*","*","*","*"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Special Education","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Non-Special Education","*","*","4.1","4.9","*"
"0120111","0120011","Bolton School District","Bolton Center School","Special Education","*","*","21.2","13.8","*"
"0126111","0120011","Bolton School District","Bolton High School","Non-Special Education","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Special Education","*","*","*","*","*"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Non-Special Education","","","","*","*"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Special Education","","","","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Non-Special Education","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Special Education","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","Non-Special Education","9.2","9.5","13.9","13.4","9.9"
"0146111","0140011","Branford School District","Branford High School","Special Education","17.7","21.6","17.7","15.8","15.6"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Non-Special Education","","","","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Special Education","","","","*","*"
"3480115","0140011","Branford School District","Bridgeport Detention Center","Special Education","","","","","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Non-Special Education","6.0","5.9","5.6","7.5","6.4"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Special Education","17.2","12.7","13.0","12.9","12.2"
"0141611","0140011","Branford School District","John B. Sliney School","Non-Special Education","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Special Education","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Non-Special Education","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Special Education","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","Non-Special Education","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","Special Education","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Non-Special Education","","","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Special Education","","","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Non-Special Education","*","1.8","2.3","2.5","3.8"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Special Education","*","10.5","9.2","9.7","13.5"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Non-Special Education","","","*","14.1","16.4"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Special Education","","","*","28.1","25.0"
"0150111","0150011","Bridgeport School District","Barnum School","Non-Special Education","21.3","23.7","26.8","20.4","24.4"
"0150111","0150011","Bridgeport School District","Barnum School","Special Education","29.9","25.3","23.0","25.9","25.3"
"0156111","0150011","Bridgeport School District","Bassick High School","Non-Special Education","39.4","40.9","42.4","43.8","41.3"
"0156111","0150011","Bridgeport School District","Bassick High School","Special Education","35.9","30.7","36.8","39.6","45.1"
"0150211","0150011","Bridgeport School District","Beardsley School","Non-Special Education","19.1","16.2","17.9","*","12.9"
"0150211","0150011","Bridgeport School District","Beardsley School","Special Education","14.6","15.4","17.9","*","21.2"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Non-Special Education","","","*","*","10.7"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Special Education","","","*","*","19.4"
"0150311","0150011","Bridgeport School District","Black Rock School","Non-Special Education","11.7","17.1","11.4","9.6","4.7"
"0150311","0150011","Bridgeport School District","Black Rock School","Special Education","*","*","*","19.6","15.6"
"0154011","0150011","Bridgeport School District","Blackham School","Non-Special Education","13.5","14.9","17.0","12.6","11.1"
"0154011","0150011","Bridgeport School District","Blackham School","Special Education","14.9","22.2","19.5","23.7","20.4"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Non-Special Education","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Special Education","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Non-Special Education","","","*","15.6","18.7"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Special Education","","","*","32.6","37.2"
"0150411","0150011","Bridgeport School District","Bryant School","Non-Special Education","16.2","*","13.9","12.3","12.2"
"0150411","0150011","Bridgeport School District","Bryant School","Special Education","24.0","*","45.9","25.6","24.5"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Non-Special Education","","","","","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Special Education","","","","","*"
"0156211","0150011","Bridgeport School District","Central High School","Non-Special Education","21.6","54.6","30.5","17.1","13.3"
"0156211","0150011","Bridgeport School District","Central High School","Special Education","29.1","60.4","45.7","31.0","33.5"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Non-Special Education","13.9","17.0","15.5","12.6","10.8"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Special Education","27.0","22.0","25.4","22.7","20.6"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Non-Special Education","6.4","*","3.1","*","*"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Special Education","0.0","*","0.0","*","*"
"0150511","0150011","Bridgeport School District","Columbus School","Non-Special Education","20.7","32.6","27.5","23.6","23.4"
"0150511","0150011","Bridgeport School District","Columbus School","Special Education","28.6","37.8","33.7","30.9","32.9"
"0153911","0150011","Bridgeport School District","Cross School","Non-Special Education","25.4","25.2","23.4","24.7","27.5"
"0153911","0150011","Bridgeport School District","Cross School","Special Education","37.7","39.7","38.6","42.5","40.5"
"0154211","0150011","Bridgeport School District","Curiale School","Non-Special Education","22.4","27.8","28.0","25.2","18.9"
"0154211","0150011","Bridgeport School District","Curiale School","Special Education","26.2","33.3","37.4","38.9","25.0"
"0154111","0150011","Bridgeport School District","Dunbar School","Non-Special Education","26.6","25.1","30.4","28.8","25.2"
"0154111","0150011","Bridgeport School District","Dunbar School","Special Education","34.1","27.8","30.6","28.3","37.8"
"0150711","0150011","Bridgeport School District","Edison School","Non-Special Education","*","15.2","11.8","12.8","14.6"
"0150711","0150011","Bridgeport School District","Edison School","Special Education","*","26.3","25.0","20.0","16.0"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Non-Special Education","7.8","9.4","6.7","7.0","1.9"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Special Education","12.4","13.9","9.8","17.7","11.6"
"0151111","0150011","Bridgeport School District","Hall School","Non-Special Education","11.0","17.7","*","12.3","6.0"
"0151111","0150011","Bridgeport School District","Hall School","Special Education","27.3","24.1","*","22.2","18.4"
"0151211","0150011","Bridgeport School District","Hallen School","Non-Special Education","*","9.9","*","12.6","9.3"
"0151211","0150011","Bridgeport School District","Hallen School","Special Education","*","23.3","*","10.9","12.2"
"0156311","0150011","Bridgeport School District","Harding High School","Non-Special Education","42.9","48.8","42.5","48.6","42.7"
"0156311","0150011","Bridgeport School District","Harding High School","Special Education","58.2","52.8","50.9","59.7","54.6"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Non-Special Education","*","5.2","2.0","*","*"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Special Education","*","0.0","0.0","*","*"
"0151311","0150011","Bridgeport School District","Hooker School","Non-Special Education","5.6","12.6","13.3","9.5","10.4"
"0151311","0150011","Bridgeport School District","Hooker School","Special Education","15.8","26.1","23.7","30.6","22.6"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Non-Special Education","","","*","*","*"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Special Education","","","*","*","*"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","Non-Special Education","*","*","*","*","*"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","Special Education","*","*","*","*","*"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Non-Special Education","19.8","23.1","30.2","27.7","25.5"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Special Education","40.0","45.0","47.0","38.9","36.0"
"0151911","0150011","Bridgeport School District","Longfellow School","Non-Special Education","25.1","","","",""
"0151911","0150011","Bridgeport School District","Longfellow School","Special Education","40.6","","","",""
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Non-Special Education","23.9","27.7","25.5","24.8","23.0"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Special Education","39.3","38.8","37.8","31.9","33.3"
"0152011","0150011","Bridgeport School District","Madison School","Non-Special Education","9.9","14.0","14.3","11.3","9.7"
"0152011","0150011","Bridgeport School District","Madison School","Special Education","17.9","18.8","18.8","16.7","11.7"
"0159511","0150011","Bridgeport School District","Make The Grade","Non-Special Education","*","","","",""
"0159511","0150011","Bridgeport School District","Make The Grade","Special Education","*","","","",""
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Non-Special Education","*","*","*","*","*"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Special Education","*","*","*","*","*"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","Special Education","","","","","*"
"0159211","0150011","Bridgeport School District","Park City Academy","Non-Special Education","*","*","","",""
"0159211","0150011","Bridgeport School District","Park City Academy","Special Education","*","*","","",""
"0151711","0150011","Bridgeport School District","Park City Magnet School","Non-Special Education","1.6","3.0","3.3","2.5","2.0"
"0151711","0150011","Bridgeport School District","Park City Magnet School","Special Education","20.0","18.9","26.1","26.7","16.1"
"0151811","0150011","Bridgeport School District","Pride Academy","Non-Special Education","","","*","",""
"0151811","0150011","Bridgeport School District","Pride Academy","Special Education","","","*","",""
"0152511","0150011","Bridgeport School District","Read School","Non-Special Education","13.7","12.4","15.0","13.1","13.3"
"0152511","0150011","Bridgeport School District","Read School","Special Education","26.7","19.0","15.3","28.0","25.6"
"0152611","0150011","Bridgeport School District","Roosevelt School","Non-Special Education","26.6","27.5","29.6","23.5","15.7"
"0152611","0150011","Bridgeport School District","Roosevelt School","Special Education","45.2","21.0","18.0","34.2","27.3"
"0154411","0150011","Bridgeport School District","Skane Center","Non-Special Education","*","","","",""
"0154411","0150011","Bridgeport School District","Skane Center","Special Education","*","","","",""
"0153011","0150011","Bridgeport School District","Waltersville School","Non-Special Education","17.9","25.4","23.8","17.8","19.8"
"0153011","0150011","Bridgeport School District","Waltersville School","Special Education","19.4","25.0","38.2","29.1","33.0"
"0153611","0150011","Bridgeport School District","Winthrop School","Non-Special Education","8.5","8.5","5.3","4.3","4.1"
"0153611","0150011","Bridgeport School District","Winthrop School","Special Education","20.8","18.2","23.2","9.5","7.8"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Special Education","26.7","47.6","47.8","60.0","*"
"0176111","0170011","Bristol School District","Bristol Central High School","Non-Special Education","14.1","11.9","13.7","13.8","10.2"
"0176111","0170011","Bristol School District","Bristol Central High School","Special Education","30.6","26.2","27.6","22.9","19.4"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Non-Special Education","14.7","13.1","12.7","10.1","9.8"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Special Education","29.9","26.5","25.5","25.9","20.0"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Non-Special Education","","","","44.7","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Special Education","","","","","*"
"0173411","0170011","Bristol School District","CHMS GOAL","Special Education","","","","*",""
"0175111","0170011","Bristol School District","Chippens Hill Middle School","Non-Special Education","10.6","5.7","8.1","7.3","7.1"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","Special Education","11.0","13.8","22.2","20.5","19.2"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","Special Education","","","","*","*"
"0173411","0170011","Bristol School District","Chms Goal","Special Education","","","","","*"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Non-Special Education","17.3","","","",""
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Special Education","17.3","","","",""
"0179211","0170011","Bristol School District","Community/Vocational Program","Special Education","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","Non-Special Education","9.6","9.3","6.6","7.3","*"
"0170311","0170011","Bristol School District","Edgewood School","Special Education","*","*","*","12.8","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Non-Special Education","7.5","*","*","4.5","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Special Education","13.3","*","*","15.2","*"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","Special Education","","","","","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","Special Education","","","","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","Non-Special Education","*","6.6","7.3","6.6","7.3"
"0170511","0170011","Bristol School District","Greene-Hills School","Special Education","*","21.7","17.5","12.8","11.7"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Special Education","","","","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","Special Education","","","","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","Special Education","","","","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Non-Special Education","5.2","3.8","6.7","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Special Education","15.7","21.4","10.3","*","*"
"0170611","0170011","Bristol School District","John J. Jennings School","Non-Special Education","*","","","",""
"0170611","0170011","Bristol School District","John J. Jennings School","Special Education","*","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","Non-Special Education","5.5","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","Special Education","18.1","","","",""
"0171711","0170011","Bristol School District","Mountain View School","Non-Special Education","*","4.2","3.2","*","*"
"0171711","0170011","Bristol School District","Mountain View School","Special Education","*","16.1","10.0","*","*"
"0172511","0170011","Bristol School District","Mt. View GOAL","Special Education","","","","*","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","Special Education","","","","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Non-Special Education","","","","*",""
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Special Education","","","","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Non-Special Education","6.3","*","5.7","4.2","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Special Education","8.9","*","13.3","15.4","*"
"0173011","0170011","Bristol School District","South Side Extended Resource","Special Education","","","","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","Special Education","","","","*","*"
"0171111","0170011","Bristol School District","South Side School","Non-Special Education","8.1","4.4","7.2","6.9","3.8"
"0171111","0170011","Bristol School District","South Side School","Special Education","12.5","9.9","16.7","19.1","16.7"
"0173211","0170011","Bristol School District","Stafford Autism","Special Education","","","","*","*"
"0171211","0170011","Bristol School District","Stafford School","Non-Special Education","12.5","8.7","16.6","15.8","4.9"
"0171211","0170011","Bristol School District","Stafford School","Special Education","20.9","18.4","25.3","31.0","12.3"
"0172011","0170011","Bristol School District","West Bristol School","Non-Special Education","","10.2","11.8","9.1","6.7"
"0172011","0170011","Bristol School District","West Bristol School","Special Education","","10.0","15.7","18.3","14.7"
"0186111","0180011","Brookfield School District","Brookfield High School","Non-Special Education","5.8","*","4.7","5.9","1.1"
"0186111","0180011","Brookfield School District","Brookfield High School","Special Education","18.3","*","8.6","6.9","0.0"
"0180311","0180011","Brookfield School District","Center Elementary School","Non-Special Education","*","2.9","*","*","*"
"0180311","0180011","Brookfield School District","Center Elementary School","Special Education","*","0.0","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Non-Special Education","*","*","*","*","1.9"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Special Education","*","*","*","*","0.0"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Non-Special Education","*","2.6","4.2","2.7","2.6"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Special Education","*","6.3","6.7","6.8","5.8"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Non-Special Education","3.4","*","*","*","2.3"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Special Education","20.6","*","*","*","0.0"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Non-Special Education","8.0","4.7","2.6","4.4","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Special Education","15.5","14.5","22.9","20.0","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Non-Special Education","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Special Education","*","*","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Non-Special Education","*","*","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Special Education","*","*","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Non-Special Education","*","*","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Special Education","*","*","*","*","*"
"0230411","0230011","Canton School District","Canton Academy","Non-Special Education","","","","","*"
"0230411","0230011","Canton School District","Canton Academy","Special Education","","","","*","*"
"0236111","0230011","Canton School District","Canton High School","Non-Special Education","3.8","2.4","4.0","*","4.4"
"0236111","0230011","Canton School District","Canton High School","Special Education","13.6","18.4","13.6","*","17.5"
"0230311","0230011","Canton School District","Canton Intermediate School","Non-Special Education","*","3.1","10.5","13.6","*"
"0230311","0230011","Canton School District","Canton Intermediate School","Special Education","*","13.3","28.3","23.4","*"
"0235111","0230011","Canton School District","Canton Middle School","Non-Special Education","*","*","*","3.3","*"
"0235111","0230011","Canton School District","Canton Middle School","Special Education","*","*","*","17.1","*"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Non-Special Education","*","*","10.7","13.1","6.5"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Special Education","*","*","28.6","33.3","20.7"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Non-Special Education","","","","","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Special Education","","","","","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Non-Special Education","15.9","10.1","12.9","13.9","6.5"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Special Education","30.3","20.4","21.3","24.7","11.2"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","Non-Special Education","","","*","*","13.3"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","Special Education","","","*","*","26.5"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Non-Special Education","","","","14.6","13.4"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Special Education","","","","18.8","17.9"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","Non-Special Education","","*","*","*","5.5"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","Special Education","","*","*","*","17.6"
"2418114","2410014","Capitol Region Education Council","CREC Discovery Academy","Non-Special Education","*","*","","",""
