"school_code","district_code","district","school","special_education_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Non-Special Education","7.3","*","5.4","9.3","9.0"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Special Education","18.5","*","13.0","22.0","19.2"
"2795113","2790013","Amistad Academy District","Amistad Academy","Non-Special Education","*","*","3.1","4.1","4.2"
"2795113","2790013","Amistad Academy District","Amistad Academy","Special Education","*","*","10.9","23.3","25.0"
"0010111","0010011","Andover School District","Andover Elementary School","Non-Special Education","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Special Education","*","*","0.0","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Non-Special Education","10.6","18.3","13.2","20.4","15.9"
"0026111","0020011","Ansonia School District","Ansonia High School","Special Education","20.5","27.9","31.3","28.9","14.7"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Non-Special Education","15.7","13.4","12.5","15.1","14.1"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Special Education","20.0","26.1","21.3","26.1","15.8"
"0020311","0020011","Ansonia School District","Mead School","Non-Special Education","11.3","11.5","8.4","13.9","14.7"
"0020311","0020011","Ansonia School District","Mead School","Special Education","24.7","18.1","11.2","17.6","19.1"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Non-Special Education","","","","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Special Education","","","","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","Non-Special Education","9.7","10.2","8.4","9.2","8.5"
"0020811","0020011","Ansonia School District","Prendergast School","Special Education","14.6","16.3","6.9","10.0","11.6"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Special Education","17.6","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Non-Special Education","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Special Education","*","*","*","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Non-Special Education","10.7","10.5","12.6","12.1","9.3"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Special Education","12.3","21.3","20.0","22.9","16.9"
"2449514","2440014","Area Cooperative Educational Services","Village School","Special Education","29.1","31.4","33.8","32.9","23.5"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Special Education","37.7","40.4","45.2","44.4","41.6"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Special Education","69.6","72.3","71.3","72.0","74.0"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Special Education","25.5","19.1","18.6","16.3","23.3"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Non-Special Education","7.2","*","10.8","8.5","7.9"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Special Education","10.5","*","15.6","12.2","11.8"
"0030111","0030011","Ashford School District","Ashford School","Non-Special Education","8.1","6.2","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Special Education","16.7","12.5","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Non-Special Education","2.5","3.5","2.9","3.8","4.7"
"0046111","0040011","Avon School District","Avon High School","Special Education","6.7","10.4","11.3","13.0","10.3"
"0045111","0040011","Avon School District","Avon Middle School","Non-Special Education","5.4","4.4","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","Special Education","9.1","10.5","*","0.0","*"
"0040411","0040011","Avon School District","Pine Grove School","Non-Special Education","*","*","*","0.0","*"
"0040411","0040011","Avon School District","Pine Grove School","Special Education","*","*","*","0.0","*"
"0040311","0040011","Avon School District","Roaring Brook School","Non-Special Education","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","Special Education","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Non-Special Education","4.5","5.8","*","3.8","*"
"0040511","0040011","Avon School District","Thompson Brook School","Special Education","10.2","8.7","*","10.2","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Non-Special Education","3.6","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Special Education","0.0","*","*","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Special Education","","","","","*"
"0076111","0070011","Berlin School District","Berlin High School","Non-Special Education","6.4","5.9","6.6","9.6","3.8"
