"school_code","district_code","district","school","subject","special_education","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0146111","0140011","Branford School District","Branford High School","Math","N","200","*","*","92","46.0","*","*","27","13.5","*","*","519"
"0146111","0140011","Branford School District","Branford High School","Math","Y","32","20","62.5","*","*","*","*","0","0.0","*","*","404"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","N","34","*","*","*","*","25","73.5","*","*","*","*","515"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","N","120","*","*","*","*","*","*","*","*","*","*","484"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","N","120","*","*","*","*","*","*","*","*","*","*","489"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","N","105","*","*","*","*","*","*","*","*","*","*","408"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","Y","14","*","*","*","*","*","*","*","*","*","*","*"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","N","105","*","*","*","*","*","*","0","0.0","*","*","397"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","Y","14","*","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","N","125","*","*","*","*","*","*","*","*","*","*","466"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","N","125","*","*","*","*","*","*","*","*","*","*","447"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","ELA","N","77","*","*","*","*","*","*","0","0.0","*","*","434"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","ELA","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Math","N","77","*","*","*","*","*","*","0","0.0","*","*","392"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Math","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0156211","0150011","Bridgeport School District","Central High School","ELA","N","205","79","38.5","*","*","70","34.1","*","*","*","*","448"
"0156211","0150011","Bridgeport School District","Central High School","ELA","Y","31","*","*","*","*","0","0.0","0","0.0","0","0.0","368"
"0156211","0150011","Bridgeport School District","Central High School","Math","N","204","83","40.7","*","*","*","*","0","0.0","*","*","435"
"0156211","0150011","Bridgeport School District","Central High School","Math","Y","30","*","*","*","*","0","0.0","0","0.0","0","0.0","355"
"0156311","0150011","Bridgeport School District","Harding High School","ELA","N","153","102","66.7","*","*","*","*","*","*","*","*","396"
"0156311","0150011","Bridgeport School District","Harding High School","ELA","Y","22","17","77.3","*","*","*","*","0","0.0","*","*","379"
"0156311","0150011","Bridgeport School District","Harding High School","Math","N","153","116","75.8","*","*","*","*","0","0.0","*","*","377"
"0156311","0150011","Bridgeport School District","Harding High School","Math","Y","22","*","*","*","*","0","0.0","0","0.0","0","0.0","368"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","ELA","N","125","*","*","*","*","*","*","*","*","*","*","476"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","ELA","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Math","N","125","*","*","*","*","*","*","*","*","*","*","458"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Math","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","N","224","11","4.9","*","*","135","60.3","*","*","*","*","534"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","Y","38","23","60.5","*","*","10","26.3","*","*","*","*","422"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","N","224","21","9.4","107","47.8","*","*","*","*","*","*","517"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","Y","38","21","55.3","*","*","*","*","0","0.0","*","*","412"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","N","246","12","4.9","42","17.1","166","67.5","26","10.6","192","78.0","530"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","Y","39","20","51.3","11","28.2","8","20.5","0","0.0","8","20.5","418"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","N","246","33","13.4","125","50.8","*","*","*","*","*","*","498"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","Y","39","26","66.7","*","*","*","*","0","0.0","*","*","402"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","N","200","*","*","*","*","126","63.0","57","28.5","183","91.5","579"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","Y","22","*","*","8","36.4","*","*","0","0.0","*","*","443"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","N","200","7","3.5","69","34.5","*","*","*","*","*","*","555"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","Y","22","9","40.9","11","50.0","*","*","*","*","*","*","424"
"0236111","0230011","Canton School District","Canton High School","ELA","N","103","*","*","*","*","*","*","*","*","*","*","586"
"0236111","0230011","Canton School District","Canton High School","ELA","Y","12","*","*","*","*","*","*","*","*","*","*","*"
"0236111","0230011","Canton School District","Canton High School","Math","N","103","*","*","*","*","*","*","*","*","*","*","563"
"0236111","0230011","Canton School District","Canton High School","Math","Y","12","*","*","*","*","*","*","*","*","*","*","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","ELA","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELA","N","87","*","*","*","*","*","*","*","*","*","*","519"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELA","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Math","N","87","*","*","*","*","*","*","0","0.0","*","*","462"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Math","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELA","N","76","*","*","*","*","*","*","*","*","*","*","507"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELA","Y","11","*","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Math","N","76","*","*","*","*","*","*","*","*","*","*","457"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Math","Y","11","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","ELA","N","55","*","*","*","*","*","*","*","*","*","*","448"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","ELA","Y","18","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Math","N","55","*","*","*","*","*","*","0","0.0","*","*","428"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Math","Y","18","*","*","*","*","*","*","*","*","*","*","*"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","ELA","N","341","7","2.1","28","8.2","206","60.4","100","29.3","306","89.7","578"
"0256111","0250011","Cheshire School District","Cheshire High School","ELA","Y","27","9","33.3","8","29.6","10","37.0","0","0.0","10","37.0","457"
"0256111","0250011","Cheshire School District","Cheshire High School","Math","N","341","*","*","89","26.1","*","*","82","24.0","*","*","574"
"0256111","0250011","Cheshire School District","Cheshire High School","Math","Y","27","*","*","16","59.3","*","*","0","0.0","*","*","432"
"0250911","0250011","Cheshire School District","Humiston Alternative School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0250911","0250011","Cheshire School District","Humiston Alternative School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0250911","0250011","Cheshire School District","Humiston Alternative School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0250911","0250011","Cheshire School District","Humiston Alternative School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","ELA","N","116","*","*","*","*","*","*","*","*","*","*","546"
"0276111","0270011","Clinton School District","The Morgan School","ELA","Y","8","*","*","*","*","*","*","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","Math","N","116","*","*","*","*","*","*","*","*","*","*","483"
"0276111","0270011","Clinton School District","The Morgan School","Math","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"0286111","0280011","Colchester School District","Bacon Academy","ELA","N","173","*","*","*","*","*","*","*","*","*","*","565"
"0286111","0280011","Colchester School District","Bacon Academy","ELA","Y","18","*","*","*","*","*","*","*","*","*","*","*"
"0286111","0280011","Colchester School District","Bacon Academy","Math","N","173","*","*","*","*","*","*","*","*","*","*","527"
"0286111","0280011","Colchester School District","Bacon Academy","Math","Y","17","*","*","*","*","*","*","*","*","*","*","*"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2686113","2680013","Common Ground High School District","Common Ground High School","ELA","N","33","*","*","*","*","*","*","*","*","*","*","461"
"2686113","2680013","Common Ground High School District","Common Ground High School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"2686113","2680013","Common Ground High School District","Common Ground High School","Math","N","33","*","*","*","*","*","*","*","*","*","*","434"
"2686113","2680013","Common Ground High School District","Common Ground High School","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","ELA","N","159","*","*","*","*","*","*","*","*","*","*","432"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","ELA","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","Math","N","159","*","*","*","*","*","*","0","0.0","*","*","394"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","Math","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","ELA","N","130","*","*","*","*","*","*","*","*","*","*","460"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","ELA","Y","11","*","*","*","*","*","*","*","*","*","*","*"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","Math","N","130","*","*","*","*","*","*","0","0.0","*","*","440"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","Math","Y","11","*","*","*","*","*","*","*","*","*","*","*"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","ELA","N","130","*","*","*","*","*","*","0","0.0","*","*","422"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","ELA","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","Math","N","130","*","*","*","*","*","*","0","0.0","*","*","411"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","Math","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELA","N","116","*","*","*","*","*","*","*","*","*","*","479"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELA","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Math","N","116","*","*","*","*","*","*","0","0.0","*","*","452"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Math","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","ELA","N","112","*","*","*","*","*","*","*","*","*","*","466"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","ELA","Y","19","*","*","*","*","*","*","*","*","*","*","*"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","Math","N","112","*","*","*","*","*","*","0","0.0","*","*","436"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","Math","Y","19","*","*","*","*","*","*","*","*","*","*","*"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","ELA","N","175","*","*","*","*","*","*","*","*","*","*","484"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","ELA","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","Math","N","175","*","*","*","*","*","*","*","*","*","*","461"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","Math","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","ELA","N","147","*","*","*","*","*","*","*","*","*","*","474"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","ELA","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","Math","N","147","*","*","*","*","*","*","*","*","*","*","446"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","Math","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","ELA","N","131","*","*","*","*","*","*","*","*","*","*","499"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","ELA","Y","14","*","*","*","*","*","*","*","*","*","*","*"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","Math","N","131","*","*","*","*","*","*","0","0.0","*","*","471"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","Math","Y","14","*","*","*","*","*","*","*","*","*","*","*"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","ELA","N","139","*","*","*","*","*","*","*","*","*","*","477"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","ELA","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","Math","N","139","*","*","*","*","*","*","*","*","*","*","459"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","Math","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","ELA","N","151","*","*","*","*","*","*","*","*","*","*","497"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","ELA","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","Math","N","151","*","*","*","*","*","*","0","0.0","*","*","478"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","Math","Y","7","*","*","*","*","*","*","*","*","*","*","*"
