"school_code","district_code","district","school","american_indian","asian","black_not_of_hispanic_origin","hispanic_latino","not_reported","white_not_of_hispanic_origin","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","389","45","0","*","440"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","*","470","257","*","14","744"
"0010111","0010011","Andover School District","Andover Elementary School","0","6","*","*","0","320","336"
"0026111","0020011","Ansonia School District","Ansonia High School","*","*","183","153","0","421","777"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","*","93","99","0","275","477"
"0020311","0020011","Ansonia School District","Mead School","*","*","143","165","0","329","660"
"0020811","0020011","Ansonia School District","Prendergast School","*","*","163","191","0","436","811"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","0","*","31","*","0","59","110"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","*","*","65","45","0","35","148"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","*","130","279","0","298","733"
"2449514","2440014","Area Cooperative Educational Services","Village School","0","8","37","22","0","109","176"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","*","42","*","0","51","123"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","*","41","37","0","*","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","*","12","0","32","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","277","96","0","211","630"
"0030111","0030011","Ashford School District","Ashford School","*","10","*","26","0","430","475"
"0046111","0040011","Avon School District","Avon High School","*","75","*","39","0","941","1079"
"0045111","0040011","Avon School District","Avon Middle School","0","50","15","26","0","510","601"
"0040411","0040011","Avon School District","Pine Grove School","*","70","*","33","0","520","655"
"0040311","0040011","Avon School District","Roaring Brook School","*","83","*","24","0","551","682"
"0040511","0040011","Avon School District","Thompson Brook School","*","52","*","30","0","468","568"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","*","*","8","0","327","345"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","*","*","0","0","20","22"
"0076111","0070011","Berlin School District","Berlin High School","*","42","*","23","0","948","1022"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","*","22","*","21","0","682","733"
"0070411","0070011","Berlin School District","Emma Hart Willard School","*","38","*","18","0","520","588"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","20","*","24","0","505","564"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","*","*","9","8","0","227","252"
"0080111","0080011","Bethany School District","Bethany Community School","*","31","9","*","0","465","515"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","34","7","52","0","327","420"
"0096111","0090011","Bethel School District","Bethel High School","*","60","*","97","0","802","987"
"0095111","0090011","Bethel School District","Bethel Middle School","0","42","12","85","0","564","703"
"0090111","0090011","Bethel School District","Frank A. Berry School","0","33","16","47","0","401","497"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","36","8","42","0","349","435"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","6","559","45","0","19","629"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","*","*","253","23","0","15","294"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","*","*","277","18","0","16","314"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","0","*","226","16","0","*","254"
"0110611","0110011","Bloomfield School District","Laurel School","*","0","218","28","0","*","264"
"0110511","0110011","Bloomfield School District","Metacomet School","0","*","158","12","0","*","182"
"0116211","0110011","Bloomfield School District","The Big Picture High School","0","*","69","10","0","*","88"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","*","15","99","*","0","124","254"
"0120111","0120011","Bolton School District","Bolton Center School","0","13","32","16","0","522","583"
"0126111","0120011","Bolton School District","Bolton High School","*","*","10","*","0","279","297"
"0130111","0130011","Bozrah School District","Fields Memorial School","0","*","*","10","0","234","256"
"0146111","0140011","Branford School District","Branford High School","*","74","*","41","0","957","1109"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","*","82","*","71","0","911","1113"
"0148011","0140011","Branford School District","Indian Neck School","0","*","*","6","0","50","58"
"0141611","0140011","Branford School District","John B. Sliney School","*","18","*","30","0","298","361"
"0141511","0140011","Branford School District","Mary R. Tisko School","0","24","7","14","0","383","428"
"0141411","0140011","Branford School District","Mary T. Murphy School","0","56","20","55","0","302","433"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","0","0","136","*","0","*","238"
"0150111","0150011","Bridgeport School District","Barnum School","0","*","171","441","0","*","631"
"0156111","0150011","Bridgeport School District","Bassick High School","*","*","497","580","0","44","1153"
"0150211","0150011","Bridgeport School District","Beardsley School","*","*","150","209","0","11","375"
"0150311","0150011","Bridgeport School District","Black Rock School","0","6","55","142","0","54","257"
"0154011","0150011","Bridgeport School District","Blackham School","0","47","363","463","0","196","1069"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","0","25","*","0","*","53"
"0150411","0150011","Bridgeport School District","Bryant School","0","23","167","177","0","34","401"
"0156211","0150011","Bridgeport School District","Central High School","*","*","1046","786","0","284","2217"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","0","25","263","737","0","36","1061"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","*","21","190","95","0","*","328"
"0150511","0150011","Bridgeport School District","Columbus School","0","6","177","436","0","63","682"
"0153911","0150011","Bridgeport School District","Cross School","0","7","222","134","0","17","380"
"0154211","0150011","Bridgeport School District","Curiale School","0","46","281","224","0","28","579"
"0154111","0150011","Bridgeport School District","Dunbar School","*","0","196","118","0","*","324"
"0150711","0150011","Bridgeport School District","Edison School","0","8","133","103","0","22","266"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","0","35","315","408","0","81","839"
"0151111","0150011","Bridgeport School District","Hall School","*","*","130","129","0","13","277"
"0151211","0150011","Bridgeport School District","Hallen School","0","*","224","107","0","*","340"
"0156311","0150011","Bridgeport School District","Harding High School","0","23","656","835","0","31","1545"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","190","164","0","63","432"
"0151311","0150011","Bridgeport School District","Hooker School","*","*","187","202","0","57","461"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","0","11","358","228","0","23","620"
"0151911","0150011","Bridgeport School District","Longfellow School","*","*","195","210","0","12","422"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","*","*","224","615","0","18","867"
"0152011","0150011","Bridgeport School District","Madison School","0","12","216","242","0","92","562"
"0159511","0150011","Bridgeport School District","Make The Grade","0","0","24","30","0","0","54"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","*","*","111","268","0","53","451"
"0159411","0150011","Bridgeport School District","New Start Program","0","0","18","22","0","6","46"
"0158011","0150011","Bridgeport School District","Parent-Children Program","0","0","0","*","0","*","*"
"0159211","0150011","Bridgeport School District","Park City Academy","0","0","*","*","0","0","17"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","*","237","156","0","86","512"
"0152511","0150011","Bridgeport School District","Read School","*","*","429","358","0","60","863"
"0152611","0150011","Bridgeport School District","Roosevelt School","0","7","203","302","0","14","526"
"0154411","0150011","Bridgeport School District","Skane Center","0","21","47","108","0","67","243"
"0159111","0150011","Bridgeport School District","The University School","0","0","13","*","0","*","28"
"0153011","0150011","Bridgeport School District","Waltersville School","*","*","140","360","0","15","522"
"0153611","0150011","Bridgeport School District","Winthrop School","0","36","276","226","0","186","724"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","0","0","*","*","0","11","19"
"0176111","0170011","Bristol School District","Bristol Central High School","*","*","104","195","0","1046","1364"
"0176211","0170011","Bristol School District","Bristol Eastern High School","*","*","101","147","0","1017","1305"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","*","25","82","182","*","619","910"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","*","*","44","135","0","181","375"
"0170111","0170011","Bristol School District","Clarence A. Bingham School","*","*","17","30","0","183","236"
