"school_code","district_code","district","school","grade","test","2011_12","2012_13","2013_14","2014_15","2015_16"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","All Grades","Curl Up","91.5","80.8","81.5","80.3","80.0"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","All Grades","Curl Up","81.8","96.6","96.6","73.6","89.9"
"0431211","0430011","East Hartford School District","Silver Lane School","All Grades","Curl Up","91.3","69.6","46.2","44.7","76.3"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","All Grades","Curl Up","70.3","*","*","*","*"
"0432411","0430011","East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World La","All Grades","Curl Up","92.3","92.6","88.9","69.6","69.1"
"0439011","0430011","East Hartford School District","Woodland School","All Grades","Curl Up","","","","*","*"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","All Grades","Curl Up","97.9","95.5","96.9","85.1","96.0"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","All Grades","Curl Up","92.2","91.5","76.4","84.7","89.1"
"0446111","0440011","East Haven School District","East Haven High School","All Grades","Curl Up","94.5","91.5","78.2","78.1","91.5"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","All Grades","Curl Up","95.3","96.8","96.7","68.5","89.7"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","All Grades","Curl Up","40.7","81.3","57.1","90.2","88.1"
"0440711","0440011","East Haven School District","Momauguin School","All Grades","Curl Up","24.2","79.3","41.8","91.1","90.9"
"0450611","0450011","East Lyme School District","Coastal Connections","All Grades","Curl Up","","","","","*"
"0456111","0450011","East Lyme School District","East Lyme High School","All Grades","Curl Up","87.4","94.0","95.0","97.4","95.9"
"0455111","0450011","East Lyme School District","East Lyme Middle School","All Grades","Curl Up","83.7","74.4","80.1","79.5","82.1"
"0450111","0450011","East Lyme School District","Flanders School","All Grades","Curl Up","98.6","94.3","88.2","81.1","93.0"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","All Grades","Curl Up","93.1","95.4","91.4","97.3","93.0"
"0450211","0450011","East Lyme School District","Niantic Center School","All Grades","Curl Up","100.0","97.9","95.6","100.0","77.5"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","All Grades","Curl Up","83.0","85.5","85.2","93.8",""
"0476111","0470011","East Windsor School District","East Windsor High School","All Grades","Curl Up","80.0","75.0","85.5","69.7","72.0"
"0475411","0470011","East Windsor School District","East Windsor Middle School","All Grades","Curl Up","73.3","67.1","75.1","54.1","75.1"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EAS","Arts at the Capitol Theater Magnet School (ACT)","All Grades","Curl Up","*","87.1","90.3","88.0","97.0"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EAS","EASTCONN Special Education","All Grades","Curl Up","","","","","75.0"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EAS","Quinebaug Middle College","All Grades","Curl Up","50.0","*","70.0","*","*"
