"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","271","339","610"
"2795113","2790013","Amistad Academy District","Amistad Academy","404","408","812"
"0010111","0010011","Andover School District","Andover Elementary School","143","191","334"
"0026111","0020011","Ansonia School District","Ansonia High School","341","386","727"
"0025111","0020011","Ansonia School District","Ansonia Middle School","202","256","458"
"0020311","0020011","Ansonia School District","Mead School","313","329","642"
"0020811","0020011","Ansonia School District","Prendergast School","387","400","787"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","*","*","19"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","24","146","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","337","383","720"
"2449514","2440014","Area Cooperative Educational Services","Village School","41","112","153"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","28","100","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","19","83","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","13","40","53"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","338","308","646"
"0030111","0030011","Ashford School District","Ashford School","226","250","476"
"0046111","0040011","Avon School District","Avon High School","556","532","1088"
"0045111","0040011","Avon School District","Avon Middle School","289","295","584"
"0040411","0040011","Avon School District","Pine Grove School","308","323","631"
"0040311","0040011","Avon School District","Roaring Brook School","330","321","651"
"0040511","0040011","Avon School District","Thompson Brook School","291","303","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","149","194","343"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","12","18","30"
"0076111","0070011","Berlin School District","Berlin High School","514","503","1017"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","345","374","719"
"0070411","0070011","Berlin School District","Emma Hart Willard School","223","312","535"
"0070511","0070011","Berlin School District","Mary E. Griswold School","279","306","585"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","115","146","261"
"0080111","0080011","Bethany School District","Bethany Community School","240","272","512"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","176","208","384"
"0096111","0090011","Bethel School District","Bethel High School","493","466","959"
"0095111","0090011","Bethel School District","Bethel Middle School","334","349","683"
"0090111","0090011","Bethel School District","Frank A. Berry School","214","246","460"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","214","238","452"
