"school_code","district_code","district","school","american_indian","asian","black_not_of_hispanic_origin","hispanic_latino","not_reported","white_not_of_hispanic_origin","total"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","*","23","*","22","0","723","778"
"0070411","0070011","Berlin School District","Emma Hart Willard School","*","39","*","16","0","511","577"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","16","*","21","0","544","589"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","*","*","7","7","0","241","263"
"0080111","0080011","Bethany School District","Bethany Community School","*","37","16","*","0","508","569"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","42","8","46","0","329","425"
"0096111","0090011","Bethel School District","Bethel High School","*","68","*","91","0","850","1034"
"0095111","0090011","Bethel School District","Bethel Middle School","*","42","*","88","0","598","743"
"0090111","0090011","Bethel School District","Frank A. Berry School","0","38","11","47","0","392","488"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","28","9","49","0","368","454"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","*","562","37","0","*","625"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","*","301","23","0","*","348"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","*","300","32","0","*","342"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","*","*","262","27","0","22","315"
"0110611","0110011","Bloomfield School District","Laurel School","*","*","236","16","0","12","268"
"0110511","0110011","Bloomfield School District","Metacomet School","0","*","208","16","0","*","238"
"0116211","0110011","Bloomfield School District","The Big Picture High School","0","*","63","*","0","10","79"
"0120111","0120011","Bolton School District","Bolton Center School","0","13","25","7","0","552","597"
"0126111","0120011","Bolton School District","Bolton High School","*","*","*","*","0","260","275"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","*","10","16","0","236","264"
"0146111","0140011","Branford School District","Branford High School","*","59","*","41","0","1006","1146"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","*","81","*","55","0","917","1082"
"0148011","0140011","Branford School District","Indian Neck School","0","*","*","9","0","40","58"
"0141611","0140011","Branford School District","John B. Sliney School","*","21","*","22","0","296","345"
"0141511","0140011","Branford School District","Mary R. Tisko School","*","20","*","20","0","375","430"
"0141411","0140011","Branford School District","Mary T. Murphy School","*","41","*","40","0","312","416"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","0","0","50","*","0","*","85"
"0150111","0150011","Bridgeport School District","Barnum School","0","*","108","166","0","*","279"
"0156111","0150011","Bridgeport School District","Bassick High School","0","48","644","535","0","58","1285"
"0150211","0150011","Bridgeport School District","Beardsley School","*","*","233","355","0","14","607"
"0150311","0150011","Bridgeport School District","Black Rock School","*","*","68","156","0","39","272"
"0154011","0150011","Bridgeport School District","Blackham School","*","*","392","495","0","235","1177"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","0","*","26","0","*","54"
"0150411","0150011","Bridgeport School District","Bryant School","0","28","162","175","0","48","413"
"0156211","0150011","Bridgeport School District","Central High School","*","*","1094","838","0","306","2339"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","0","35","354","728","0","45","1162"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","*","*","223","105","0","29","375"
"0150511","0150011","Bridgeport School District","Columbus School","0","13","210","433","0","107","763"
"0153911","0150011","Bridgeport School District","Cross School","0","10","264","124","0","8","406"
"0154211","0150011","Bridgeport School District","Curiale School","0","38","284","246","0","24","592"
"0154111","0150011","Bridgeport School District","Dunbar School","0","*","214","139","0","*","363"
"0150711","0150011","Bridgeport School District","Edison School","*","*","205","165","0","28","408"
"0150911","0150011","Bridgeport School District","Garfield School","*","*","57","204","0","11","278"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","0","14","74","92","0","16","196"
"0151111","0150011","Bridgeport School District","Hall School","*","*","179","156","0","*","344"
"0151211","0150011","Bridgeport School District","Hallen School","0","*","217","89","0","*","322"
"0156311","0150011","Bridgeport School District","Harding High School","*","*","734","915","0","47","1722"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","193","147","0","84","444"
"0151311","0150011","Bridgeport School District","Hooker School","*","*","179","213","0","50","450"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","0","*","218","103","0","*","329"
"0151911","0150011","Bridgeport School District","Longfellow School","*","*","230","224","0","16","475"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","*","*","198","621","0","15","846"
"0152011","0150011","Bridgeport School District","Madison School","0","18","231","223","0","90","562"
"0159511","0150011","Bridgeport School District","Make The Grade","0","0","15","22","0","0","37"
"0154311","0150011","Bridgeport School District","Maplewood Annex","0","*","77","84","0","*","187"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","*","*","130","248","0","80","475"
"0159411","0150011","Bridgeport School District","New Start Program","0","0","*","8","0","*","14"
"0159211","0150011","Bridgeport School District","Park City Academy","0","0","16","*","0","*","30"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","*","199","145","0","111","501"
"0152511","0150011","Bridgeport School District","Read School","*","*","448","372","0","62","904"
"0152611","0150011","Bridgeport School District","Roosevelt School","*","*","290","411","0","19","727"
"0154411","0150011","Bridgeport School District","Skane Center","0","8","59","97","0","55","219"
"0159111","0150011","Bridgeport School District","The University School","0","0","25","14","0","7","46"
"0153011","0150011","Bridgeport School District","Waltersville School","0","8","133","300","0","15","456"
"0153611","0150011","Bridgeport School District","Winthrop School","0","35","267","264","0","192","758"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","0","0","0","9","0","14","23"
"0176111","0170011","Bristol School District","Bristol Central High School","*","*","116","166","0","1161","1465"
"0176211","0170011","Bristol School District","Bristol Eastern High School","*","*","102","125","0","1068","1333"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","*","*","77","157","0","664","929"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","*","*","39","110","0","191","355"
"0170111","0170011","Bristol School District","Clarence A. Bingham School","*","*","15","50","0","185","253"
"0170311","0170011","Bristol School District","Edgewood School","0","8","34","76","0","238","356"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","0","24","33","92","0","341","490"
"0170511","0170011","Bristol School District","Greene-Hills School","0","10","30","66","0","290","396"
"0171911","0170011","Bristol School District","Ivy Drive School","*","*","34","48","0","313","402"
"0170611","0170011","Bristol School District","John J. Jennings School","0","*","*","41","0","309","374"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","0","11","36","87","0","408","542"
"0171711","0170011","Bristol School District","Mountain View School","0","21","20","35","0","293","369"
"0175211","0170011","Bristol School District","Northeast Middle School","*","*","46","50","0","451","558"
"0171111","0170011","Bristol School District","South Side School","*","*","44","98","0","422","580"
"0171211","0170011","Bristol School District","Stafford School","*","*","34","73","0","369","497"
"0186111","0180011","Brookfield School District","Brookfield High School","0","25","10","23","0","962","1020"
"0180311","0180011","Brookfield School District","Center Elementary School","*","18","*","23","0","329","374"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","*","29","*","24","0","543","604"
"0185311","0180011","Brookfield School District","Whisconier Middle School","0","39","14","31","0","867","951"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","0","12","8","9","0","551","580"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","*","6","*","8","0","388","406"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","*","*","*","*","0","94","101"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","*","*","6","13","0","290","316"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","*","*","6","*","0","248","262"
"0236111","0230011","Canton School District","Canton High School","0","7","19","10","0","478","514"
"0230311","0230011","Canton School District","Canton Intermediate School","0","*","*","10","0","381","405"
"0235111","0230011","Canton School District","Canton Middle School","*","*","8","*","0","252","270"
"0230211","0230011","Canton School District","Cherry Brook Primary School","*","23","*","16","0","485","538"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","*","*","54","33","0","149","257"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","0","*","38","*","0","51","111"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","0","*","13","18","0","*","43"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","0","10","66","72","0","241","389"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","*","*","417","75","0","163","676"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","0","*","138","121","0","*","329"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","*","*","146","156","0","254","582"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","*","*","210","70","0","99","406"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","*","*","*","14","0","189","210"
"0250111","0250011","Cheshire School District","Chapman School","0","27","9","12","0","284","332"
"0256111","0250011","Cheshire School District","Cheshire High School","0","102","37","39","0","1434","1612"
"0250211","0250011","Cheshire School District","Darcey School","*","40","*","14","0","333","393"
"0255111","0250011","Cheshire School District","Dodd Middle School","*","57","*","18","0","733","824"
"0250611","0250011","Cheshire School District","Doolittle School","0","43","9","13","0","472","537"
"0250411","0250011","Cheshire School District","Highland School","*","77","*","29","0","788","908"
"0259011","0250011","Cheshire School District","Humiston School","0","0","0","*","0","*","23"
"0250511","0250011","Cheshire School District","Norton School","*","37","*","11","0","438","493"
"0260111","0260011","Chester School District","Chester Elementary School","0","9","*","*","0","322","341"
"0270111","0270011","Clinton School District","Abraham Pierson School","*","6","*","16","0","312","338"
"0275111","0270011","Clinton School District","Jared Eliot School","0","*","*","30","0","407","462"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","*","15","*","47","0","600","667"
"0276111","0270011","Clinton School District","The Morgan School","0","*","*","39","0","580","638"
"0286111","0280011","Colchester School District","Bacon Academy","*","*","32","26","0","909","982"
"0280411","0280011","Colchester School District","Colchester Elementary School","6","18","14","28","0","708","774"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","7","7","18","33","0","616","681"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","*","*","33","29","0","727","801"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","*","*","0","0","0","118","122"
"0300111","0300011","Columbia School District","Horace W. Porter School","*","*","*","14","0","563","586"
"2686113","2680013","Common Ground High School District","Common Ground High School","0","*","82","47","0","*","152"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","*","*","210","338","0","30","581"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","*","*","333","475","0","60","878"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","*","*","45","247","0","162","461"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","*","*","236","251","0","38","529"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","10","6","76","128","0","369","589"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","*","*","24","58","0","443","530"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","*","*","47","204","0","438","696"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","9","*","*","16","0","528","563"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","0","6","24","119","0","421","570"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","*","*","56","56","0","438","564"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","*","*","97","111","0","43","255"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","*","*","21","36","0","345","410"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","*","*","12","16","0","683","720"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","*","*","119","167","0","556","853"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","*","*","44","32","0","506","587"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","*","*","128","212","0","356","704"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","*","*","7","109","0","358","483"
"2439014","2430014","Cooperative Educational Services","C. E. S. Special Education","0","*","55","*","0","135","240"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","*","*","174","122","0","119","435"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","0","*","*","6","0","116","129"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","*","*","10","11","0","513","539"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","0","0","0","0","0","11","11"
"0320211","0320011","Coventry School District","Coventry Grammar School","0","7","6","7","0","405","425"
"0326111","0320011","Coventry School District","Coventry High School","*","*","8","16","0","531","559"
"0320411","0320011","Coventry School District","George Hersey Robertson School","*","*","10","12","0","446","474"
"0336111","0330011","Cromwell School District","Cromwell High School","0","*","45","*","0","485","559"
"0335111","0330011","Cromwell School District","Cromwell Middle School","*","*","43","28","0","383","473"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","0","29","39","28","0","389","485"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","*","*","35","28","0","386","472"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","0","*","31","*","0","39","97"
"0345111","0340011","Danbury School District","Broadview Middle School","0","105","119","267","0","653","1144"
"0346111","0340011","Danbury School District","Danbury High School","*","*","294","776","0","1533","2835"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","0","24","35","138","0","136","333"
"0341111","0340011","Danbury School District","Great Plain School","0","16","24","98","0","177","315"
"0340211","0340011","Danbury School District","Hayestown Avenue School","*","48","*","128","0","183","400"
"0341711","0340011","Danbury School District","King Street Intermediate School","0","20","22","80","0","195","317"
"0341311","0340011","Danbury School District","King Street Primary School","*","21","*","90","0","168","294"
"0341811","0340011","Danbury School District","Mill Ridge Educational Center","0","29","50","89","0","179","347"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","0","21","41","88","0","148","298"
"0340611","0340011","Danbury School District","Morris Street School","0","19","30","188","0","106","343"
"0340811","0340011","Danbury School District","Park Avenue School","0","38","34","159","0","145","376"
"0341511","0340011","Danbury School District","Pembroke School","0","35","26","91","0","184","336"
"0345211","0340011","Danbury School District","Rogers Park Middle School","0","82","123","379","0","447","1031"
"0341211","0340011","Danbury School District","Shelter Rock School","*","*","35","108","0","160","338"
"0341011","0340011","Danbury School District","South Street School","*","*","24","144","0","121","306"
"0341611","0340011","Danbury School District","Stadley Rough School","0","34","29","111","0","281","455"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","0","21","21","39","0","236","317"
"0356111","0350011","Darien School District","Darien High School","*","26","*","24","0","1120","1180"
"0350211","0350011","Darien School District","Hindley Elementary School","*","11","*","*","0","497","519"
"0350711","0350011","Darien School District","Holmes Elementary School","*","18","*","16","0","444","484"
"0355111","0350011","Darien School District","Middlesex Middle School","7","33","7","18","0","1052","1117"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","*","11","*","9","0","489","512"
"0350511","0350011","Darien School District","Royle Elementary School","*","22","*","12","0","414","451"
"0350611","0350011","Darien School District","Tokeneke Elementary School","0","*","8","*","0","375","390"
"0360111","0360011","Deep River School District","Deep River Elementary School","*","*","11","27","0","346","389"
"3370315","3370015","Department of Mental Health and Addiction Services","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","0","0","*","*","0","*","7"
"3370415","3370015","Department of Mental Health and Addiction Services","Connecticut Mental Health Center","0","0","0","*","0","*","*"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","0","*","0","0","0","0","*"
"3370515","3370015","Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","0","0","0","0","0","*","*"
"0370611","0370011","Derby School District","Bradley School","0","21","35","49","0","259","364"
"0376111","0370011","Derby School District","Derby High School","*","*","93","117","0","442","669"
"0370411","0370011","Derby School District","Irving School","*","*","90","120","0","193","417"
"0400111","0400011","East Granby School District","Allgrove School","*","10","*","9","0","267","294"
"0406111","0400011","East Granby School District","East Granby High School","*","8","11","*","0","232","258"
"0405111","0400011","East Granby School District","East Granby Middle School","*","*","13","10","0","187","218"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","0","*","*","*","0","128","141"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","*","*","9","17","0","501","536"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","*","6","*","11","0","384","406"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","*","*","*","8","0","461","477"
"0420311","0420011","East Hampton School District","Center School","0","*","*","11","0","330","349"
"0426111","0420011","East Hampton School District","East Hampton High School","*","10","*","8","0","551","580"
"0425111","0420011","East Hampton School District","East Hampton Middle School","0","7","10","6","0","485","508"
"0420111","0420011","East Hampton School District","Memorial School","0","*","*","24","0","588","633"
"0430911","0430011","East Hartford School District","Anna E. Norris School","*","*","123","124","0","35","298"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","*","*","45","39","0","72","166"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","0","26","139","187","0","56","408"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","*","*","143","129","0","54","347"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","0","13","87","102","0","112","314"
"0436211","0430011","East Hartford School District","East Hartford High School","*","*","725","657","0","531","2022"
"0435111","0430011","East Hartford School District","East Hartford Middle School","*","*","346","368","0","225","1002"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","*","*","91","84","0","106","352"
"0430511","0430011","East Hartford School District","Hockanum School","0","13","152","132","0","57","354"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","*","*","100","82","0","120","320"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","*","*","178","194","0","52","464"
"0431211","0430011","East Hartford School District","Silver Lane School","*","*","133","154","0","27","323"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","0","*","53","51","0","*","151"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","*","*","158","178","0","89","452"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","*","*","92","128","0","45","288"
"0439011","0430011","East Hartford School District","Woodland School","*","*","71","67","0","38","180"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","0","15","*","*","0","198","221"
"0441411","0440011","East Haven School District","D. C. Moore School","*","*","10","44","0","180","239"
"0440111","0440011","East Haven School District","Deer Run School","0","22","9","54","0","250","335"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","0","9","7","13","0","157","186"
"0446111","0440011","East Haven School District","East Haven High School","*","43","*","109","0","917","1097"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","*","7","*","28","0","169","212"
"0441911","0440011","East Haven School District","Hays School","*","6","*","29","0","136","178"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","0","16","20","48","0","398","482"
"0440711","0440011","East Haven School District","Momauguin School","*","*","*","43","0","159","209"
"0441811","0440011","East Haven School District","Overbrook Elementary School","*","11","*","28","0","122","165"
"0449011","0440011","East Haven School District","Pathways","0","0","*","0","0","*","35"
"0441611","0440011","East Haven School District","Robert W. Carbone School","*","19","*","41","0","251","319"
"0456111","0450011","East Lyme School District","East Lyme High School","19","86","17","43","0","1139","1304"
"0455111","0450011","East Lyme School District","East Lyme Middle School","9","79","22","32","0","771","913"
"0450111","0450011","East Lyme School District","Flanders School","*","49","*","7","0","339","399"
"0458011","0450011","East Lyme School District","Integrated Preschool","0","*","*","0","0","44","53"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","*","31","*","13","0","283","340"
"0450211","0450011","East Lyme School District","Niantic Center School","0","14","7","10","0","210","241"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","*","*","82","80","0","413","620"
"0476111","0470011","East Windsor School District","East Windsor High School","*","*","61","36","0","350","456"
"0475411","0470011","East Windsor School District","East Windsor Middle School","*","*","59","26","0","300","400"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","*","0","*","*","0","15","20"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","*","0","*","*","0","41","44"
"0390111","0390011","Eastford School District","Eastford Elementary School","*","*","*","6","0","172","187"
"0465111","0460011","Easton School District","Helen Keller Middle School","0","13","*","*","0","350","377"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","0","30","8","30","0","733","801"
"2428014","2420014","EdAdvance","EdAdvance Headstart","0","*","*","45","0","100","156"
"2429014","2420014","EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center","0","*","6","*","0","15","23"
"0480111","0480011","Ellington School District","Center School","*","10","20","*","0","368","408"
"0480211","0480011","Ellington School District","Crystal Lake School","0","*","*","*","0","200","207"
"0486111","0480011","Ellington School District","Ellington High School","*","18","18","*","0","719","770"
"0485111","0480011","Ellington School District","Ellington Middle School","0","7","13","8","0","380","408"
"0480711","0480011","Ellington School District","Windermere Intermediate School","*","10","12","*","0","368","401"
"0480611","0480011","Ellington School District","Windermere School","*","31","14","*","0","349","404"
"2810113","2810013","Elm City College Preparatory School","Elm City College Preparatory School","0","*","373","94","0","*","476"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","0","9","*","*","0","341","363"
"0491611","0490011","Enfield School District","Eli Whitney School","*","*","30","16","0","327","387"
"0496111","0490011","Enfield School District","Enfield High School","*","*","81","56","0","762","926"
"0490211","0490011","Enfield School District","Enfield Street School","0","8","37","21","0","267","333"
"0496211","0490011","Enfield School District","Enrico Fermi High School","*","*","56","42","0","1028","1156"
"0491211","0490011","Enfield School District","Harriet Beecher Stowe School","*","*","23","11","0","245","282"
"0490411","0490011","Enfield School District","Hazardville Memorial School","*","*","26","10","0","370","413"
"0498011","0490011","Enfield School District","Head Start Program","*","*","19","15","0","65","104"
"0491811","0490011","Enfield School District","Henry Barnard School","*","*","83","36","0","292","429"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","*","*","71","38","0","860","992"
"0491111","0490011","Enfield School District","Nathan Hale School","0","*","25","*","0","234","272"
"0491511","0490011","Enfield School District","Prudence Crandall School","*","*","20","18","0","366","416"
"0491711","0490011","Enfield School District","Thomas G. Alcorn School","0","7","45","58","0","173","283"
"0500111","0500011","Essex School District","Essex Elementary School","*","14","*","17","0","509","551"
"2726113","2720013","Explorations District","Explorations","*","0","0","*","0","81","86"
"0510211","0510011","Fairfield School District","Burr Elementary School","0","9","*","*","0","424","445"
"0510111","0510011","Fairfield School District","Dwight Elementary School","0","8","7","12","0","313","340"
"0518011","0510011","Fairfield School District","Early Childhood Center","0","7","*","*","0","107","121"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","0","46","31","53","0","1250","1380"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","*","60","*","87","0","1037","1231"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","*","22","*","28","0","534","597"
"0510411","0510011","Fairfield School District","Holland Hill School","0","38","15","29","0","276","358"
"0511711","0510011","Fairfield School District","Jennings School","0","23","11","12","0","307","353"
"0510611","0510011","Fairfield School District","McKinley School","0","62","30","93","0","277","462"
"0510711","0510011","Fairfield School District","Mill Hill School","0","*","*","24","0","420","465"
"0511611","0510011","Fairfield School District","North Stratfield School","*","33","*","28","0","425","495"
"0511811","0510011","Fairfield School District","Osborn Hill School","0","19","*","*","0","484","519"
"0511211","0510011","Fairfield School District","Riverfield School","0","19","*","*","0","436","473"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","0","45","26","66","0","750","887"
"0511311","0510011","Fairfield School District","Sherman School","*","16","*","15","0","411","453"
"0511411","0510011","Fairfield School District","Stratfield School","0","29","9","21","0","401","460"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","*","41","*","33","0","648","737"
"0520411","0520011","Farmington School District","East Farms School","0","57","29","17","0","327","430"
"0528011","0520011","Farmington School District","Farmington Collaborative PK","0","*","0","*","0","49","57"
"0526111","0520011","Farmington School District","Farmington High School","*","95","63","*","0","1186","1389"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","*","56","33","*","0","538","652"
"0520211","0520011","Farmington School District","Noah Wallace School","0","52","25","20","0","233","330"
"0520111","0520011","Farmington School District","Union School","*","18","27","*","0","235","298"
"0520311","0520011","Farmington School District","West District School","0","25","13","11","0","301","350"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","*","70","37","*","0","544","687"
"0530111","0530011","Franklin School District","Franklin Elementary School","*","*","*","7","0","220","233"
"0540211","0540011","Glastonbury School District","Buttonball Lane School","*","49","29","*","0","467","575"
"0540311","0540011","Glastonbury School District","Eastbury School","0","33","12","17","0","295","357"
"0540811","0540011","Glastonbury School District","Gideon Welles School","*","49","*","25","0","456","551"
"0546111","0540011","Glastonbury School District","Glastonbury High School","*","128","*","92","0","1769","2065"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","*","44","15","*","0","452","525"
"0540611","0540011","Glastonbury School District","Hopewell School","*","47","*","21","0","465","542"
"0540711","0540011","Glastonbury School District","Naubuc School","0","63","43","52","0","323","481"
"0540911","0540011","Glastonbury School District","Nayaug Elementary School","0","36","11","11","0","617","675"
"0545211","0540011","Glastonbury School District","Smith Middle School","*","72","*","47","0","918","1070"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","*","9","33","*","0","443","497"
"0566111","0560011","Granby School District","Granby Memorial High School","*","*","22","13","0","703","749"
"0565111","0560011","Granby School District","Granby Memorial Middle School","0","*","14","*","0","350","374"
"0560411","0560011","Granby School District","Kelly Lane Primary School","*","*","17","10","0","332","363"
"0560311","0560011","Granby School District","Wells Road Intermediate School","0","*","14","*","0","319","344"
