"school_code","district_code","district","school","american_indian","asian","black_not_of_hispanic_origin","hispanic_latino","not_reported","white_not_of_hispanic_origin","total"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","*","362","172","0","10","547"
"0010111","0010011","Andover School District","Andover Elementary School","0","11","*","*","0","327","347"
"0026111","0020011","Ansonia School District","Ansonia High School","*","*","175","140","0","431","760"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","*","126","129","0","331","596"
"0020311","0020011","Ansonia School District","Mead School","*","*","125","127","0","334","599"
"0020811","0020011","Ansonia School District","Prendergast School","*","*","147","199","0","412","776"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","0","*","0","*","0","15","19"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","0","0","27","13","0","59","99"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","90","44","0","*","176"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","*","115","257","0","360","752"
"2449514","2440014","Area Cooperative Educational Services","Village School","0","*","38","*","0","101","174"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","*","44","*","0","52","125"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","37","30","0","25","92"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","*","14","0","30","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","268","74","0","217","605"
"0030111","0030011","Ashford School District","Ashford School","*","*","10","20","0","460","500"
"0046111","0040011","Avon School District","Avon High School","*","61","33","*","0","912","1036"
"0045111","0040011","Avon School District","Avon Middle School","0","38","9","14","0","521","582"
"0040411","0040011","Avon School District","Pine Grove School","0","57","26","26","0","509","618"
"0040311","0040011","Avon School District","Roaring Brook School","*","73","*","47","0","630","776"
"0040511","0040011","Avon School District","Thompson Brook School","0","51","11","22","0","506","590"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","*","*","*","0","320","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","0","0","0","0","30","30"
"0076111","0070011","Berlin School District","Berlin High School","*","40","*","19","0","997","1063"
