"school_code","district_code","district","school","american_indian","asian","black_not_of_hispanic_origin","hispanic_latino","not_reported","white_not_of_hispanic_origin","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","230","28","0","0","261"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","*","424","202","0","12","641"
"0010111","0010011","Andover School District","Andover Elementary School","0","11","*","*","0","311","334"
"0026111","0020011","Ansonia School District","Ansonia High School","*","*","166","132","0","405","717"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","*","120","134","0","316","582"
"0020311","0020011","Ansonia School District","Mead School","*","*","126","147","0","330","616"
"0029011","0020011","Ansonia School District","Pine Academy","0","0","*","*","0","22","39"
"0020811","0020011","Ansonia School District","Prendergast School","*","*","140","173","0","419","759"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","0","*","0","0","0","*","12"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","0","0","33","16","0","61","110"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","82","50","0","*","170"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","*","107","279","0","340","748"
"2449514","2440014","Area Cooperative Educational Services","Village School","0","7","36","24","0","109","176"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","*","45","*","0","48","128"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","*","32","34","0","*","93"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","*","12","0","32","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","267","74","0","214","605"
"0030111","0030011","Ashford School District","Ashford School","*","10","*","26","0","437","485"
"0046111","0040011","Avon School District","Avon High School","*","68","*","36","0","922","1052"
"0045111","0040011","Avon School District","Avon Middle School","0","44","10","22","0","513","589"
"0040411","0040011","Avon School District","Pine Grove School","*","65","27","*","0","492","610"
"0040311","0040011","Avon School District","Roaring Brook School","*","76","*","42","0","605","750"
"0040511","0040011","Avon School District","Thompson Brook School","0","57","16","29","0","455","557"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","*","*","*","0","328","341"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","*","*","0","0","19","21"
"0076111","0070011","Berlin School District","Berlin High School","*","42","*","18","0","960","1027"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","*","27","*","19","0","688","742"
"0070411","0070011","Berlin School District","Emma Hart Willard School","*","35","*","21","0","531","601"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","21","*","24","0","527","584"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","*","*","8","9","0","239","264"
"0080111","0080011","Bethany School District","Bethany Community School","*","32","16","*","0","490","549"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","41","10","48","0","324","423"
"0096111","0090011","Bethel School District","Bethel High School","*","60","*","98","0","832","1010"
"0095111","0090011","Bethel School District","Bethel Middle School","*","41","*","83","0","568","706"
