"school_code","district_code","district","school","subject","ell","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0173411","0170011","Bristol School District","CHMS GOAL","ELA","N","7","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0173411","0170011","Bristol School District","CHMS GOAL","Math","N","7","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","ELA","N","729","722","99.0","722","*","*","*","*","*","*","*","*","*","*"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","ELA","Y","16","15","*","14","*","*","*","*","*","*","*","*","*","*"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","Math","N","728","725","99.6","724","*","*","*","*","*","*","*","*","*","*"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","Math","Y","16","16","*","16","*","*","*","*","*","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","ELA","N","161","160","99.4","160","*","*","*","*","*","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","ELA","Y","12","12","*","12","*","*","*","*","*","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","Math","N","161","160","99.4","160","*","*","*","*","*","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","Math","Y","12","12","*","12","*","*","*","*","*","*","*","*","*","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","ELA","N","182","181","99.5","181","*","*","*","*","*","*","*","*","*","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","ELA","Y","9","7","*","6","*","*","*","*","*","*","*","*","*","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Math","N","182","182","100.0","182","*","*","*","*","*","*","*","*","*","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Math","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","ELA","N","556","555","99.8","555","110","19.8","155","27.9","198","35.7","92","16.6","290","52.3"
"0170511","0170011","Bristol School District","Greene-Hills School","ELA","Y","27","23","85.2","23","17","73.9","6","26.1","0","0.0","0","0.0","0","0.0"
"0170511","0170011","Bristol School District","Greene-Hills School","Math","N","556","555","99.8","555","190","34.2","*","*","*","*","57","10.3","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","Math","Y","27","27","100.0","27","19","70.4","*","*","*","*","0","0.0","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","ELA","N","194","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Math","N","194","193","99.5","193","*","*","*","*","*","*","*","*","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Math","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0171711","0170011","Bristol School District","Mountain View School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171711","0170011","Bristol School District","Mountain View School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171711","0170011","Bristol School District","Mountain View School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171711","0170011","Bristol School District","Mountain View School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","ELA","N","408","400","98.0","400","*","*","*","*","*","*","*","*","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","ELA","Y","9","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Math","N","408","400","98.0","400","*","*","*","*","*","*","*","*","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Math","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171111","0170011","Bristol School District","South Side School","ELA","N","230","229","99.6","229","*","*","*","*","*","*","*","*","*","*"
"0171111","0170011","Bristol School District","South Side School","ELA","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0171111","0170011","Bristol School District","South Side School","Math","N","230","229","99.6","229","*","*","*","*","*","*","*","*","*","*"
"0171111","0170011","Bristol School District","South Side School","Math","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0173211","0170011","Bristol School District","Stafford Autism","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0173211","0170011","Bristol School District","Stafford Autism","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171211","0170011","Bristol School District","Stafford School","ELA","N","203","202","99.5","202","*","*","*","*","*","*","*","*","*","*"
"0171211","0170011","Bristol School District","Stafford School","ELA","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0171211","0170011","Bristol School District","Stafford School","Math","N","203","203","100.0","203","*","*","*","*","*","*","*","*","*","*"
"0171211","0170011","Bristol School District","Stafford School","Math","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0172011","0170011","Bristol School District","West Bristol School","ELA","N","579","575","99.3","575","*","*","*","*","*","*","*","*","*","*"
"0172011","0170011","Bristol School District","West Bristol School","ELA","Y","23","17","73.9","17","*","*","*","*","*","*","*","*","*","*"
"0172011","0170011","Bristol School District","West Bristol School","Math","N","580","575","99.1","575","176","30.6","*","*","131","22.8","*","*","*","*"
"0172011","0170011","Bristol School District","West Bristol School","Math","Y","23","23","100.0","23","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","ELA","N","393","385","98.0","385","*","*","*","*","*","*","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","ELA","Y","11","11","*","11","*","*","*","*","*","*","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Math","N","393","385","98.0","385","*","*","*","*","*","*","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Math","Y","11","10","*","10","*","*","*","*","*","*","*","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","ELA","N","877","847","96.6","845","*","*","*","*","*","*","*","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","ELA","Y","11","8","*","7","*","*","*","*","*","*","*","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Math","N","877","847","96.6","846","*","*","*","*","*","*","*","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Math","Y","11","11","*","11","*","*","*","*","*","*","*","*","*","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","ELA","N","87","86","98.9","86","16","18.6","23","26.7","20","23.3","27","31.4","47","54.7"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Math","N","87","86","98.9","86","15","17.4","30","34.9","31","36.0","10","11.6","41","47.7"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","ELA","N","225","223","99.1","223","36","16.1","71","31.8","93","41.7","23","10.3","116","52.0"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Math","N","225","223","99.1","223","72","32.3","74","33.2","51","22.9","26","11.7","77","34.5"
"0230411","0230011","Canton School District","Canton Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0230411","0230011","Canton School District","Canton Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0236111","0230011","Canton School District","Canton High School","ELA","N","98","98","100.0","98","*","*","*","*","38","38.8","45","45.9","83","84.7"
"0236111","0230011","Canton School District","Canton High School","Math","N","98","98","100.0","98","19","19.4","29","29.6","22","22.4","28","28.6","50","51.0"
"0230311","0230011","Canton School District","Canton Intermediate School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0230311","0230011","Canton School District","Canton Intermediate School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0230311","0230011","Canton School District","Canton Intermediate School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0230311","0230011","Canton School District","Canton Intermediate School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0235111","0230011","Canton School District","Canton Middle School","ELA","N","273","271","99.3","271","25","9.2","50","18.5","112","41.3","84","31.0","196","72.3"
"0235111","0230011","Canton School District","Canton Middle School","Math","N","273","268","98.2","268","40","14.9","73","27.2","81","30.2","74","27.6","155","57.8"
"0230211","0230011","Canton School District","Cherry Brook Primary School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0230211","0230011","Canton School District","Cherry Brook Primary School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","ELA","N","359","356","99.2","355","*","*","*","*","*","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","ELA","Y","16","15","*","15","*","*","*","*","*","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Math","N","359","353","98.3","351","*","*","*","*","*","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Math","Y","16","15","*","15","*","*","*","*","*","*","*","*","*","*"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","ELA","N","13","9","*","8","*","*","*","*","*","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Math","N","13","6","*","6","*","*","*","*","*","*","*","*","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","ELA","N","164","162","98.8","162","*","*","*","*","*","*","*","*","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","ELA","Y","10","10","*","10","*","*","*","*","*","*","*","*","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Math","N","164","162","98.8","162","*","*","*","*","*","*","*","*","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Math","Y","10","10","*","10","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELA","N","98","70","71.4","70","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELA","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Math","N","98","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","ELA","N","305","302","99.0","302","*","*","*","*","*","*","*","*","*","*"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","ELA","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","Math","N","305","301","98.7","301","*","*","*","*","*","*","*","*","*","*"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","Math","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","ELA","N","161","161","100.0","161","*","*","*","*","*","*","*","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","ELA","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Math","N","161","160","99.4","160","*","*","*","*","*","*","*","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Math","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","ELA","N","22","13","59.1","12","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Math","N","22","12","54.5","10","*","*","*","*","*","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","ELA","N","8","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Math","N","8","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELA","N","264","250","94.7","250","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELA","Y","11","11","*","11","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Math","N","264","252","95.5","252","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Math","Y","11","11","*","11","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELA","N","417","384","92.1","380","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELA","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Math","N","418","395","94.5","392","*","*","*","*","*","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Math","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","ELA","N","127","126","99.2","126","*","*","*","*","*","*","*","*","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","ELA","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Math","N","127","126","99.2","126","*","*","*","*","*","*","*","*","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Math","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"2410514","2410014","Capitol Region Education Council","Museum Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410514","2410014","Capitol Region Education Council","Museum Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2419314","2410014","Capitol Region Education Council","River Street School","ELA","N","12","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2419314","2410014","Capitol Region Education Council","River Street School","Math","N","12","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2411214","2410014","Capitol Region Education Council","Soundbridge @ Museum Academy","ELA","N","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"2411214","2410014","Capitol Region Education Council","Soundbridge @ Museum Academy","Math","N","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"2410914","2410014","Capitol Region Education Council","Soundbridge @ Silas Deane Middle School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410914","2410014","Capitol Region Education Council","Soundbridge @ Silas Deane Middle School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","Math","N","*","*","*","*","*","*","*","*","*","*","0","0.0","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","ELA","N","631","618","97.9","615","*","*","*","*","*","*","*","*","*","*"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","ELA","Y","20","19","95.0","19","*","*","*","*","*","*","*","*","*","*"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","Math","N","632","628","99.4","627","*","*","*","*","*","*","*","*","*","*"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","Math","Y","20","20","100.0","19","*","*","*","*","*","*","*","*","*","*"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250111","0250011","Cheshire School District","Chapman School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250111","0250011","Cheshire School District","Chapman School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250111","0250011","Cheshire School District","Chapman School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250111","0250011","Cheshire School District","Chapman School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0255111","0250011","Cheshire School District","Dodd Middle School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0255111","0250011","Cheshire School District","Dodd Middle School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0255111","0250011","Cheshire School District","Dodd Middle School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0255111","0250011","Cheshire School District","Dodd Middle School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250611","0250011","Cheshire School District","Doolittle School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250611","0250011","Cheshire School District","Doolittle School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250611","0250011","Cheshire School District","Doolittle School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250611","0250011","Cheshire School District","Doolittle School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250411","0250011","Cheshire School District","Highland School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250411","0250011","Cheshire School District","Highland School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250411","0250011","Cheshire School District","Highland School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250411","0250011","Cheshire School District","Highland School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250911","0250011","Cheshire School District","Humiston Alternative School","ELA","N","10","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0250911","0250011","Cheshire School District","Humiston Alternative School","Math","N","10","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0250511","0250011","Cheshire School District","Norton School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250511","0250011","Cheshire School District","Norton School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250511","0250011","Cheshire School District","Norton School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0250511","0250011","Cheshire School District","Norton School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0260111","0260011","Chester School District","Chester Elementary School","ELA","N","137","137","100.0","137","8","5.8","13","9.5","49","35.8","67","48.9","116","84.7"
"0260111","0260011","Chester School District","Chester Elementary School","Math","N","138","138","100.0","138","8","5.8","38","27.5","52","37.7","40","29.0","92","66.7"
"0270111","0270011","Clinton School District","Abraham Pierson School","ELA","N","304","300","98.7","300","*","*","*","*","*","*","*","*","*","*"
"0270111","0270011","Clinton School District","Abraham Pierson School","ELA","Y","11","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0270111","0270011","Clinton School District","Abraham Pierson School","Math","N","304","301","99.0","300","*","*","*","*","*","*","*","*","*","*"
"0270111","0270011","Clinton School District","Abraham Pierson School","Math","Y","11","11","*","11","*","*","*","*","*","*","*","*","*","*"
"0275111","0270011","Clinton School District","Jared Eliot School","ELA","N","463","450","97.2","450","*","*","*","*","*","*","*","*","*","*"
"0275111","0270011","Clinton School District","Jared Eliot School","ELA","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0275111","0270011","Clinton School District","Jared Eliot School","Math","N","463","450","97.2","450","*","*","*","*","*","*","*","*","*","*"
"0275111","0270011","Clinton School District","Jared Eliot School","Math","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
