"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","824","0","0","824"
"2795113","2790013","Amistad Academy District","Amistad Academy","608","171","125","904"
"0010111","0010011","Andover School District","Andover Elementary School","34","270","10","314"
"0026111","0020011","Ansonia School District","Ansonia High School","295","244","92","631"
"0025111","0020011","Ansonia School District","Ansonia Middle School","257","147","59","463"
"0020311","0020011","Ansonia School District","Mead School","369","182","68","619"
"0020811","0020011","Ansonia School District","Prendergast School","382","218","99","699"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","*","25","*","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","116","25","6","147"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","208","474","40","722"
"2449514","2440014","Area Cooperative Educational Services","Village School","59","80","10","149"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","87","*","*","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","72","*","*","89"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","36","*","*","45"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","179","376","75","630"
"0030111","0030011","Ashford School District","Ashford School","119","294","26","439"
"0046111","0040011","Avon School District","Avon High School","50","1016","17","1083"
"0045111","0040011","Avon School District","Avon Middle School","19","581","11","611"
"0040411","0040011","Avon School District","Pine Grove School","28","559","8","595"
"0040311","0040011","Avon School District","Roaring Brook School","*","539","*","569"
"0040511","0040011","Avon School District","Thompson Brook School","31","507","10","548"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","304","*","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","21","0","21"
"0076111","0070011","Berlin School District","Berlin High School","102","833","27","962"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","87","603","22","712"
"0070411","0070011","Berlin School District","Emma Hart Willard School","57","435","9","501"
