"school_code","district_code","district","school","2010_11","2011_12","2012_13","2013_14","2014_15","2015_16"
"2419114","2410014","Capitol Region Education Council","Soundbridge","103","97","86","83","46","42"
"2411114","2410014","Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","0","0","0","0","8","7"
"2411214","2410014","Capitol Region Education Council","Soundbridge @ Museum Academy","0","0","0","0","9","8"
"2410814","2410014","Capitol Region Education Council","Soundbridge @ Samuel B Webb Elementary School","0","0","0","0","*","0"
"2410914","2410014","Capitol Region Education Council","Soundbridge @ Silas Deane Middle School","0","0","0","0","*","0"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","0","0","0","0","9","9"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","0","0","0","0","12","8"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","0","0","96","189","303","399"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","658","684","663","660","664","654"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","430","441","440","441","446","457"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","187","182","185","183","178","176"
"2870113","2870013","Charter School for Young Children on Asylum Hill District","Charter School for Young Children on Asylum Hill  Inc.","225","0","0","0","0","0"
"0250111","0250011","Cheshire School District","Chapman School","300","294","283","298","350","344"
"0256111","0250011","Cheshire School District","Cheshire High School","1516","1549","1514","1538","1512","1481"
"0250311","0250011","Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","0","0","0","0","8","10"
"0250211","0250011","Cheshire School District","Darcey School","343","336","306","293","170","147"
"0255111","0250011","Cheshire School District","Dodd Middle School","786","774","757","747","755","719"
"0250611","0250011","Cheshire School District","Doolittle School","517","537","539","529","502","480"
"0250411","0250011","Cheshire School District","Highland School","827","795","776","740","768","751"
"0250911","0250011","Cheshire School District","Humiston Alternative School","0","0","0","0","19","18"
"0259011","0250011","Cheshire School District","Humiston School","22","25","25","20","0","0"
"0250511","0250011","Cheshire School District","Norton School","487","480","455","429","447","445"
"0260111","0260011","Chester School District","Chester Elementary School","275","260","251","228","219","211"
"0270111","0270011","Clinton School District","Abraham Pierson School","304","314","311","296","315","312"
"0275111","0270011","Clinton School District","Jared Eliot School","492","466","446","462","461","452"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","683","658","645","638","556","522"
"0276111","0270011","Clinton School District","The Morgan School","557","565","579","558","550","533"
"0286111","0280011","Colchester School District","Bacon Academy","987","983","937","900","886","835"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","0","0","0","0","0","15"
"0280411","0280011","Colchester School District","Colchester Elementary School","698","680","612","551","542","570"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","688","654","630","614","585","531"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","705","700","701","668","626","600"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","112","99","104","99","91","84"
"0300111","0300011","Columbia School District","Horace W. Porter School","539","524","503","467","453","445"
"2686113","2680013","Common Ground High School District","Common Ground High School","163","165","169","180","180","186"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","726","755","778","801","807","768"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","872","874","828","805","801","784"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","596","618","635","646","628","636"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","539","521","500","542","566","551"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","583","569","573","535","513","505"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","535","546","557","567","568","573"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","794","772","768","801","785","760"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","558","540","531","585","619","623"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","640","638","641","637","649","640"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","658","673","685","667","654","653"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","0","0","0","0","145","250"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","646","656","676","680","673","657"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","709","669","659","647","660","657"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","869","885","852","836","826","811"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","599","607","640","656","630","588"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","745","761","758","743","741","758"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","574","572","570","550","525","496"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","82","90","91","94","90","87"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","53","51","54","51","50","57"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","12","11","14","12","11","17"
"2438014","2430014","Cooperative Educational Services","School Readiness","53","51","54","54","85","90"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","452","463","473","471","459","468"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","135","147","152","140","154","150"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","115","106","103","105","91","92"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","462","452","408","393","385","397"
"0320111","0320011","Coventry School District","Coventry Academy","0","0","0","0","10","12"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","13","23","16","20","27","0"
"0320211","0320011","Coventry School District","Coventry Grammar School","391","380","380","377","363","348"
"0326111","0320011","Coventry School District","Coventry High School","558","524","511","518","490","465"
"0320311","0320011","Coventry School District","Coventry Smart Start Program","0","0","0","0","0","38"
"0320411","0320011","Coventry School District","George Hersey Robertson School","411","401","408","377","368","365"
"0336111","0330011","Cromwell School District","Cromwell High School","588","546","535","549","566","578"
"0335111","0330011","Cromwell School District","Cromwell Middle School","475","500","509","454","455","447"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","489","480","486","468","466","477"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","465","456","441","477","481","480"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","80","91","78","83","98","94"
"0345111","0340011","Danbury School District","Broadview Middle School","1114","1122","1094","1092","1083","1039"
"0340111","0340011","Danbury School District","DPS Early Childhood Center","0","0","0","139","130","141"
"0346111","0340011","Danbury School District","Danbury High School","2898","2889","2887","2878","2885","2941"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","396","378","405","435","429","432"
"0341111","0340011","Danbury School District","Great Plain School","299","314","327","356","355","354"
"0340211","0340011","Danbury School District","Hayestown Avenue School","388","396","411","469","458","470"
"0341711","0340011","Danbury School District","King Street Intermediate School","374","372","363","370","366","369"
"0341311","0340011","Danbury School District","King Street Primary School","415","415","404","417","390","409"
"0341811","0340011","Danbury School District","Mill Ridge Educational Center","134","148","165","0","0","0"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","402","426","401","412","334","350"
"0340611","0340011","Danbury School District","Morris Street School","342","406","420","468","371","357"
"0340811","0340011","Danbury School District","Park Avenue School","425","426","431","433","563","595"
"0341511","0340011","Danbury School District","Pembroke School","343","366","362","376","375","368"
"0345211","0340011","Danbury School District","Rogers Park Middle School","1094","1110","1200","1200","932","938"
"0341211","0340011","Danbury School District","Shelter Rock School","409","419","416","416","497","520"
"0341011","0340011","Danbury School District","South Street School","388","343","368","375","369","378"
"0341611","0340011","Danbury School District","Stadley Rough School","452","467","449","432","472","496"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","386","389","431","423","413","390"
"0340311","0340011","Danbury School District","Westside Middle School Academy","0","0","0","0","400","496"
"0356111","0350011","Darien School District","Darien High School","1315","1315","1329","1354","1365","1356"
"0350211","0350011","Darien School District","Hindley Elementary School","594","570","579","565","556","501"
"0350711","0350011","Darien School District","Holmes Elementary School","439","419","433","454","473","462"
"0355111","0350011","Darien School District","Middlesex Middle School","1159","1154","1135","1128","1125","1167"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","472","465","474","458","449","458"
"0350511","0350011","Darien School District","Royle Elementary School","419","409","413","452","442","433"
"0350611","0350011","Darien School District","Tokeneke Elementary School","444","483","496","492","493","479"
"0360111","0360011","Deep River School District","Deep River Elementary School","351","357","347","330","312","304"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","*","*","*","*","6","*"
"3370515","3370015","Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","0","0","0","*","*","0"
"0370611","0370011","Derby School District","Bradley School","367","351","345","376","365","347"
"0370511","0370011","Derby School District","Derby Alternative Education Center","0","0","0","0","0","*"
"0376111","0370011","Derby School District","Derby High School","385","359","361","381","372","344"
"0375011","0370011","Derby School District","Derby Middle School","319","334","366","364","339","332"
"0370411","0370011","Derby School District","Irving School","396","402","420","378","370","328"
"0370111","0370011","Derby School District","Little Raiders University","0","0","0","0","0","33"
"0400111","0400011","East Granby School District","Allgrove School","255","238","241","194","222","206"
"0406111","0400011","East Granby School District","East Granby High School","275","263","271","259","257","264"
"0405111","0400011","East Granby School District","East Granby Middle School","211","216","213","208","211","196"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","150","129","137","207","185","202"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","412","371","337","326","319","309"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","387","406","399","372","351","321"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","540","497","508","488","455","431"
"0420311","0420011","East Hampton School District","Center School","288","303","285","295","283","297"
"0426111","0420011","East Hampton School District","East Hampton High School","552","550","523","520","502","515"
"0425111","0420011","East Hampton School District","East Hampton Middle School","508","469","449","423","432","433"
"0420111","0420011","East Hampton School District","Memorial School","615","621","631","626","605","637"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","7","*","6","7","8","6"
"0430911","0430011","East Hartford School District","Anna E. Norris School","291","274","280","296","284","312"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","180","188","188","197","203","192"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","408","401","371","364","364","356"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","369","381","387","402","375","322"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","338","313","504","533","557","509"
"0436211","0430011","East Hartford School District","East Hartford High School","1734","1732","1642","1682","1674","1649"
"0435111","0430011","East Hartford School District","East Hartford Middle School","1021","1051","1044","1101","1158","1074"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","382","361","323","343","342","344"
"0430511","0430011","East Hartford School District","Hockanum School","317","297","293","322","337","336"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","390","348","314","301","298","298"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","388","547","506","498","494","475"
"0431211","0430011","East Hartford School District","Silver Lane School","308","287","275","304","284","274"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","152","151","173","105","119","110"
"0432411","0430011","East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","346","404","308","253","146","204"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","287","233","237","231","229","229"
"0439011","0430011","East Hartford School District","Woodland School","188","186","191","199","170","182"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","290","285","279","269","265","264"
"0441411","0440011","East Haven School District","D. C. Moore School","273","266","269","215","208","207"
"0440111","0440011","East Haven School District","Deer Run School","348","305","329","329","312","308"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","246","251","228","202","178","189"
"0446111","0440011","East Haven School District","East Haven High School","943","885","923","907","880","889"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","204","196","187","173","178","172"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","680","647","594","571","582","589"
"0440711","0440011","East Haven School District","Momauguin School","181","166","180","152","147","186"
"0441811","0440011","East Haven School District","Overbrook Elementary School","226","236","190","193","183","166"
"0449011","0440011","East Haven School District","Pathways","34","36","39","40","0","0"
"0450611","0450011","East Lyme School District","Coastal Connections","0","0","0","0","16","19"
"0456111","0450011","East Lyme School District","East Lyme High School","1208","1162","1129","1063","1053","1045"
"0455111","0450011","East Lyme School District","East Lyme Middle School","850","854","871","875","861","848"
"0450111","0450011","East Lyme School District","Flanders School","365","362","361","354","348","343"
