"school_code","district_code","district","school","2012_13","total"
"0230211","0230011","Canton School District","Cherry Brook Primary School","537","537"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","491","491"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","335","335"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","164","164"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","221","221"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","21","21"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","387","387"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","423","423"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","184","184"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","6","6"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","357","357"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","58","58"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","11","11"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","716","716"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","340","340"
"2410514","2410014","Capitol Region Education Council","Museum Academy","311","311"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","377","377"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","356","356"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","64","64"
"2419314","2410014","Capitol Region Education Council","River Street School","151","151"
"2419114","2410014","Capitol Region Education Council","Soundbridge","86","86"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","96","96"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","663","663"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","440","440"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","185","185"
"0250111","0250011","Cheshire School District","Chapman School","283","283"
"0256111","0250011","Cheshire School District","Cheshire High School","1514","1514"
"0250211","0250011","Cheshire School District","Darcey School","306","306"
"0255111","0250011","Cheshire School District","Dodd Middle School","757","757"
"0250611","0250011","Cheshire School District","Doolittle School","539","539"
"0250411","0250011","Cheshire School District","Highland School","776","776"
"0259011","0250011","Cheshire School District","Humiston School","25","25"
"0250511","0250011","Cheshire School District","Norton School","455","455"
"0260111","0260011","Chester School District","Chester Elementary School","251","251"
"0270111","0270011","Clinton School District","Abraham Pierson School","311","311"
"0275111","0270011","Clinton School District","Jared Eliot School","446","446"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","645","645"
"0276111","0270011","Clinton School District","The Morgan School","579","579"
"0286111","0280011","Colchester School District","Bacon Academy","937","937"
"0280411","0280011","Colchester School District","Colchester Elementary School","612","612"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","630","630"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","701","701"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","104","104"
"0300111","0300011","Columbia School District","Horace W. Porter School","503","503"
"2686113","2680013","Common Ground High School District","Common Ground High School","169","169"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","778","778"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","828","828"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","635","635"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","500","500"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","573","573"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","557","557"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","768","768"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","531","531"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","641","641"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","685","685"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","676","676"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","659","659"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","852","852"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","640","640"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","758","758"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","570","570"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","91","91"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","54","54"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","14","14"
"2438014","2430014","Cooperative Educational Services","School Readiness","54","54"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","473","473"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","152","152"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","103","103"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","408","408"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","16","16"
"0320211","0320011","Coventry School District","Coventry Grammar School","380","380"
"0326111","0320011","Coventry School District","Coventry High School","511","511"
"0320411","0320011","Coventry School District","George Hersey Robertson School","408","408"
"0336111","0330011","Cromwell School District","Cromwell High School","535","535"
"0335111","0330011","Cromwell School District","Cromwell Middle School","509","509"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","486","486"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","441","441"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","78","78"
"0345111","0340011","Danbury School District","Broadview Middle School","1094","1094"
"0346111","0340011","Danbury School District","Danbury High School","2887","2887"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","405","405"
"0341111","0340011","Danbury School District","Great Plain School","327","327"
"0340211","0340011","Danbury School District","Hayestown Avenue School","411","411"
"0341711","0340011","Danbury School District","King Street Intermediate School","363","363"
"0341311","0340011","Danbury School District","King Street Primary School","404","404"
"0341811","0340011","Danbury School District","Mill Ridge Educational Center","165","165"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","401","401"
"0340611","0340011","Danbury School District","Morris Street School","420","420"
"0340811","0340011","Danbury School District","Park Avenue School","431","431"
"0341511","0340011","Danbury School District","Pembroke School","362","362"
"0345211","0340011","Danbury School District","Rogers Park Middle School","1200","1200"
"0341211","0340011","Danbury School District","Shelter Rock School","416","416"
"0341011","0340011","Danbury School District","South Street School","368","368"
"0341611","0340011","Danbury School District","Stadley Rough School","449","449"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","431","431"
"0356111","0350011","Darien School District","Darien High School","1329","1329"
"0350211","0350011","Darien School District","Hindley Elementary School","579","579"
"0350711","0350011","Darien School District","Holmes Elementary School","433","433"
"0355111","0350011","Darien School District","Middlesex Middle School","1135","1135"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","474","474"
"0350511","0350011","Darien School District","Royle Elementary School","413","413"
"0350611","0350011","Darien School District","Tokeneke Elementary School","496","496"
"0360111","0360011","Deep River School District","Deep River Elementary School","347","347"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","*","*"
"0370611","0370011","Derby School District","Bradley School","345","345"
"0376111","0370011","Derby School District","Derby High School","361","361"
"0375011","0370011","Derby School District","Derby Middle School","366","366"
"0370411","0370011","Derby School District","Irving School","420","420"
"0400111","0400011","East Granby School District","Allgrove School","241","241"
"0406111","0400011","East Granby School District","East Granby High School","271","271"
"0405111","0400011","East Granby School District","East Granby Middle School","213","213"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","137","137"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","337","337"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","399","399"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","508","508"
"0420311","0420011","East Hampton School District","Center School","285","285"
"0426111","0420011","East Hampton School District","East Hampton High School","523","523"
"0425111","0420011","East Hampton School District","East Hampton Middle School","449","449"
"0420111","0420011","East Hampton School District","Memorial School","631","631"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","6","6"
"0430911","0430011","East Hartford School District","Anna E. Norris School","280","280"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","188","188"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","371","371"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","387","387"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","504","504"
"0436211","0430011","East Hartford School District","East Hartford High School","1642","1642"
"0435111","0430011","East Hartford School District","East Hartford Middle School","1044","1044"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","323","323"
"0430511","0430011","East Hartford School District","Hockanum School","293","293"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","314","314"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","506","506"
"0431211","0430011","East Hartford School District","Silver Lane School","275","275"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","173","173"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","308","308"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","237","237"
"0439011","0430011","East Hartford School District","Woodland School","191","191"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","279","279"
"0441411","0440011","East Haven School District","D. C. Moore School","269","269"
"0440111","0440011","East Haven School District","Deer Run School","329","329"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","228","228"
"0446111","0440011","East Haven School District","East Haven High School","923","923"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","187","187"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","594","594"
"0440711","0440011","East Haven School District","Momauguin School","180","180"
"0441811","0440011","East Haven School District","Overbrook Elementary School","190","190"
"0449011","0440011","East Haven School District","Pathways","39","39"
"0456111","0450011","East Lyme School District","East Lyme High School","1129","1129"
"0455111","0450011","East Lyme School District","East Lyme Middle School","871","871"
"0450111","0450011","East Lyme School District","Flanders School","361","361"
"0458011","0450011","East Lyme School District","Integrated Preschool","40","40"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","335","335"
"0450211","0450011","East Lyme School District","Niantic Center School","198","198"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","514","514"
"0476111","0470011","East Windsor School District","East Windsor High School","362","362"
"0475411","0470011","East Windsor School District","East Windsor Middle School","378","378"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","136","136"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","83","83"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","111","111"
"0390111","0390011","Eastford School District","Eastford Elementary School","168","168"
"0465111","0460011","Easton School District","Helen Keller Middle School","390","390"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","629","629"
"2428014","2420014","EdAdvance","EdAdvance Headstart","216","216"
"2429014","2420014","EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center","33","33"
"0480111","0480011","Ellington School District","Center School","432","432"
"0480211","0480011","Ellington School District","Crystal Lake School","210","210"
"0486111","0480011","Ellington School District","Ellington High School","789","789"
"0485111","0480011","Ellington School District","Ellington Middle School","428","428"
"0480711","0480011","Ellington School District","Windermere Intermediate School","422","422"
"0480611","0480011","Ellington School District","Windermere School","433","433"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","604","604"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","359","359"
"0491611","0490011","Enfield School District","Eli Whitney School","396","396"
"0496111","0490011","Enfield School District","Enfield High School","727","727"
"0490211","0490011","Enfield School District","Enfield Street School","302","302"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","21","21"
"0496211","0490011","Enfield School District","Enrico Fermi High School","988","988"
"0490411","0490011","Enfield School District","Hazardville Memorial School","381","381"
"0498011","0490011","Enfield School District","Head Start Program","104","104"
"0491811","0490011","Enfield School District","Henry Barnard School","385","385"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","1148","1148"
"0491111","0490011","Enfield School District","Nathan Hale School","222","222"
"0491511","0490011","Enfield School District","Prudence Crandall School","426","426"
"0500111","0500011","Essex School District","Essex Elementary School","528","528"
"2726113","2720013","Explorations District","Explorations","73","73"
"0510211","0510011","Fairfield School District","Burr Elementary School","445","445"
"0510111","0510011","Fairfield School District","Dwight Elementary School","278","278"
"0518011","0510011","Fairfield School District","Early Childhood Center","132","132"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","1552","1552"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","1418","1418"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","851","851"
"0510411","0510011","Fairfield School District","Holland Hill School","380","380"
"0511711","0510011","Fairfield School District","Jennings School","334","334"
"0510611","0510011","Fairfield School District","McKinley School","440","440"
"0510711","0510011","Fairfield School District","Mill Hill School","445","445"
"0511611","0510011","Fairfield School District","North Stratfield School","454","454"
"0511811","0510011","Fairfield School District","Osborn Hill School","518","518"
"0511211","0510011","Fairfield School District","Riverfield School","409","409"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","940","940"
"0511311","0510011","Fairfield School District","Sherman School","449","449"
"0511411","0510011","Fairfield School District","Stratfield School","505","505"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","744","744"
"0520411","0520011","Farmington School District","East Farms School","435","435"
"0528011","0520011","Farmington School District","Farmington Collaborative PK","61","61"
"0526111","0520011","Farmington School District","Farmington High School","1322","1322"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","610","610"
"0520211","0520011","Farmington School District","Noah Wallace School","358","358"
"0520111","0520011","Farmington School District","Union School","320","320"
"0520311","0520011","Farmington School District","West District School","365","365"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","578","578"
"0530111","0530011","Franklin School District","Franklin Elementary School","200","200"
"0540211","0540011","Glastonbury School District","Buttonball Lane School","486","486"
"0540311","0540011","Glastonbury School District","Eastbury School","319","319"
"0540811","0540011","Glastonbury School District","Gideon Welles School","525","525"
"0546111","0540011","Glastonbury School District","Glastonbury High School","2239","2239"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","471","471"
"0540611","0540011","Glastonbury School District","Hopewell School","456","456"
"0540711","0540011","Glastonbury School District","Naubuc School","442","442"
"0540911","0540011","Glastonbury School District","Nayaug Elementary School","623","623"
"0545211","0540011","Glastonbury School District","Smith Middle School","1025","1025"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","386","386"
"0566111","0560011","Granby School District","Granby Memorial High School","759","759"
"0565111","0560011","Granby School District","Granby Memorial Middle School","329","329"
"0560411","0560011","Granby School District","Kelly Lane Primary School","327","327"
"0560311","0560011","Granby School District","Wells Road Intermediate School","303","303"
"0575111","0570011","Greenwich School District","Central Middle School","599","599"
"0570211","0570011","Greenwich School District","Cos Cob School","434","434"
"0575211","0570011","Greenwich School District","Eastern Middle School","782","782"
"0570411","0570011","Greenwich School District","Glenville School","407","407"
"0576111","0570011","Greenwich School District","Greenwich High School","2677","2677"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","409","409"
"0571311","0570011","Greenwich School District","International School At Dundee","369","369"
"0570311","0570011","Greenwich School District","Julian Curtiss School","344","344"
"0570611","0570011","Greenwich School District","New Lebanon School","261","261"
"0570711","0570011","Greenwich School District","North Mianus School","465","465"
"0570811","0570011","Greenwich School District","North Street School","414","414"
"0570911","0570011","Greenwich School District","Old Greenwich School","425","425"
"0571111","0570011","Greenwich School District","Parkway School","272","272"
"0571011","0570011","Greenwich School District","Riverside School","482","482"
"0575311","0570011","Greenwich School District","Western Middle School","504","504"
"0580311","0580011","Griswold School District","Griswold Elementary School","749","749"
"0586211","0580011","Griswold School District","Griswold High School","624","624"
"0585111","0580011","Griswold School District","Griswold Middle School","585","585"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","462","462"
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","418","418"
"0591811","0590011","Groton School District","Charles Barnum School","401","401"
"0590311","0590011","Groton School District","Claude Chester School","350","350"
"0591711","0590011","Groton School District","Mary Morrisson School","363","363"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","403","403"
"0591211","0590011","Groton School District","Pleasant Valley School","340","340"
"0596111","0590011","Groton School District","Robert E. Fitch High School","1183","1183"
"0590111","0590011","Groton School District","S. B. Butler School","352","352"
"0595211","0590011","Groton School District","West Side Middle School","506","506"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","566","566"
"0600611","0600011","Guilford School District","A. W. Cox School","332","332"
"0600411","0600011","Guilford School District","Calvin Leete School","292","292"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","592","592"
"0606111","0600011","Guilford School District","Guilford High School","1070","1070"
"0600211","0600011","Guilford School District","Guilford Lakes School","362","362"
"0600311","0600011","Guilford School District","Melissa Jones School","348","348"
"0628011","0620011","Hamden School District","Alice Peck Learning Center","100","100"
"0621211","0620011","Hamden School District","Bear Path School","463","463"
"0620211","0620011","Hamden School District","Church Street School","370","370"
"0620311","0620011","Hamden School District","Dunbar Hill School","308","308"
"0626111","0620011","Hamden School District","Hamden High School","1802","1802"
"0625211","0620011","Hamden School District","Hamden Middle School","899","899"
"0620411","0620011","Hamden School District","Helen Street School","288","288"
"0621111","0620011","Hamden School District","Ridge Hill School","334","334"
"0620111","0620011","Hamden School District","Shepherd Glen School","336","336"
"0621011","0620011","Hamden School District","Spring Glen School","429","429"
"0621411","0620011","Hamden School District","West Woods School","461","461"
"0630111","0630011","Hampton School District","Hampton Elementary School","116","116"
"0640711","0640011","Hartford School District","Asian Studies Academy at Bellizzi School","556","556"
"0640411","0640011","Hartford School District","Batchelder School","520","520"
"0642811","0640011","Hartford School District","Betances Early Reading Lab Magnet School","323","323"
"0643811","0640011","Hartford School District","Betances STEM Magnet School","87","87"
"0643511","0640011","Hartford School District","Breakthrough II Magnet School","222","222"
"0643311","0640011","Hartford School District","Breakthrough Magnet School","355","355"
"0647111","0640011","Hartford School District","Bulkeley High School","407","407"
"0646111","0640011","Hartford School District","Bulkeley High School Lower School","586","586"
"0640611","0640011","Hartford School District","Burns Latino Studies Academy","598","598"
"0642311","0640011","Hartford School District","Burr School","729","729"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","674","674"
"0642411","0640011","Hartford School District","Clark School","379","379"
"0646411","0640011","Hartford School District","Classical Magnet School","701","701"
"0646011","0640011","Hartford School District","Culinary Arts Academy at Weaver High School","244","244"
"0645311","0640011","Hartford School District","Dr. Joseph Bellizzi Middle School","57","57"
"0640911","0640011","Hartford School District","Environmental Sciences Magnet at Hooker School","570","570"
"0643211","0640011","Hartford School District","Expeditionary Learning Academy at Moylan School","702","702"
"0643611","0640011","Hartford School District","Global Communications Academy","420","420"
"0647911","0640011","Hartford School District","Great Path Academy at MCC","274","274"
"0647211","0640011","Hartford School District","HPHS Engineering and Green Technology Academy","438","438"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","533","533"
"0647511","0640011","Hartford School District","HPHS Nursing and Health Sciences Academy","489","489"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","820","820"
"0649011","0640011","Hartford School District","Hartford Transitional Learning Academy (Elementary)","40","40"
"0647611","0640011","Hartford School District","High School, Inc.","373","373"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","195","195"
"0641011","0640011","Hartford School District","Kennelly School","703","703"
"0641111","0640011","Hartford School District","Kinsella Magnet School of Performing Arts","760","760"
"0640811","0640011","Hartford School District","M. D. Fox School","533","533"
"0641611","0640011","Hartford School District","M. L. King, Jr. School","382","382"
"0641211","0640011","Hartford School District","McDonough Middle School","385","385"
"0641911","0640011","Hartford School District","Milner School","373","373"
"0643711","0640011","Hartford School District","Montessori Magnet at Fisher School","279","279"
"0641411","0640011","Hartford School District","Naylor/CCSU Leadership Academy","723","723"
"0647811","0640011","Hartford School District","OPPortunity High School","110","110"
"0641511","0640011","Hartford School District","Parkville Community School","564","564"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","329","329"
"0641711","0640011","Hartford School District","Rawson School","572","572"
"0644011","0640011","Hartford School District","Renzulli Gifted and Talented Academy","121","121"
"0640111","0640011","Hartford School District","SAND School","484","484"
"0642511","0640011","Hartford School District","STEM Magnet at Fisher School","356","356"
"0643011","0640011","Hartford School District","Sanchez School","494","494"
"0642611","0640011","Hartford School District","Simpson-Waverly School","326","326"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","692","692"
"0646711","0640011","Hartford School District","University High School of Science and Engineering","403","403"
