"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2795113","2790013","Amistad Academy District","Amistad Academy","235","238","74","547"
"0010111","0010011","Andover School District","Andover Elementary School","*","333","*","347"
"0026111","0020011","Ansonia School District","Ansonia High School","287","436","37","760"
"0025111","0020011","Ansonia School District","Ansonia Middle School","249","287","60","596"
"0020311","0020011","Ansonia School District","Mead School","234","312","53","599"
"0020811","0020011","Ansonia School District","Prendergast School","326","386","64","776"
"2449014","2440014","Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","*","*","0","19"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","25","61","13","99"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","86","78","12","176"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","194","485","73","752"
"2449514","2440014","Area Cooperative Educational Services","Village School","41","122","11","174"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","87","32","6","125"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","50","*","*","92"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","37","19","0","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","103","437","65","605"
"0030111","0030011","Ashford School District","Ashford School","50","429","21","500"
"0046111","0040011","Avon School District","Avon High School","7","1017","12","1036"
"0045111","0040011","Avon School District","Avon Middle School","*","572","*","582"
"0040411","0040011","Avon School District","Pine Grove School","*","593","*","618"
"0040311","0040011","Avon School District","Roaring Brook School","12","757","7","776"
"0040511","0040011","Avon School District","Thompson Brook School","15","565","10","590"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","311","*","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","30","0","30"
"0076111","0070011","Berlin School District","Berlin High School","34","1006","23","1063"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","35","718","25","778"
"0070411","0070011","Berlin School District","Emma Hart Willard School","26","535","16","577"
"0070511","0070011","Berlin School District","Mary E. Griswold School","24","556","9","589"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","*","254","*","263"
"0080111","0080011","Bethany School District","Bethany Community School","6","553","10","569"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","26","391","8","425"
"0096111","0090011","Bethel School District","Bethel High School","36","959","39","1034"
"0095111","0090011","Bethel School District","Bethel Middle School","40","674","29","743"
"0090111","0090011","Bethel School District","Frank A. Berry School","18","460","10","488"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","29","398","27","454"
"0116111","0110011","Bloomfield School District","Bloomfield High School","151","410","64","625"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","120","190","38","348"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","93","200","49","342"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","78","200","37","315"
"0110611","0110011","Bloomfield School District","Laurel School","86","154","28","268"
"0110511","0110011","Bloomfield School District","Metacomet School","87","133","18","238"
"0116211","0110011","Bloomfield School District","The Big Picture High School","25","43","11","79"
"0120111","0120011","Bolton School District","Bolton Center School","26","559","12","597"
"0126111","0120011","Bolton School District","Bolton High School","*","263","*","275"
"0130111","0130011","Bozrah School District","Fields Memorial School","22","228","14","264"
"0146111","0140011","Branford School District","Branford High School","69","1025","52","1146"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","94","936","52","1082"
"0148011","0140011","Branford School District","Indian Neck School","*","53","*","58"
"0141611","0140011","Branford School District","John B. Sliney School","29","294","22","345"
"0141511","0140011","Branford School District","Mary R. Tisko School","35","386","9","430"
"0141411","0140011","Branford School District","Mary T. Murphy School","53","325","38","416"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","50","24","11","85"
