"school_code","district_code","district","school","subject","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","67","6","9.0","6","9.0","40","59.7","15","22.4","55","82.1","555"
"0126111","0120011","Bolton School District","Bolton High School","Math","67","12","17.9","23","34.3","22","32.8","10","14.9","32","47.8","516"
"0146111","0140011","Branford School District","Branford High School","ELA","232","33","14.2","48","20.7","107","46.1","44","19.0","151","65.1","524"
"0146111","0140011","Branford School District","Branford High School","Math","232","47","20.3","101","43.5","57","24.6","27","11.6","84","36.2","503"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","34","*","*","*","*","25","73.5","*","*","*","*","515"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","35","7","20.0","14","40.0","14","40.0","0","0.0","14","40.0","489"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","130","27","20.8","38","29.2","59","45.4","6","4.6","65","50.0","478"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","130","27","20.8","74","56.9","20","15.4","9","6.9","29","22.3","483"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","119","72","60.5","35","29.4","*","*","*","*","12","10.1","402"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","119","79","66.4","*","*","*","*","0","0.0","*","*","391"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","134","44","32.8","*","*","46","34.3","*","*","*","*","460"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","134","49","36.6","72","53.7","*","*","*","*","13","9.7","441"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","ELA","90","46","51.1","24","26.7","20","22.2","0","0.0","20","22.2","427"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Math","90","67","74.4","*","*","*","*","0","0.0","*","*","385"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0156211","0150011","Bridgeport School District","Central High School","ELA","236","106","44.9","*","*","70","29.7","*","*","*","*","438"
"0156211","0150011","Bridgeport School District","Central High School","Math","234","109","46.6","97","41.5","28","12.0","0","0.0","28","12.0","425"
"0156311","0150011","Bridgeport School District","Harding High School","ELA","175","119","68.0","41","23.4","*","*","*","*","15","8.6","394"
"0156311","0150011","Bridgeport School District","Harding High School","Math","175","135","77.1","*","*","*","*","0","0.0","*","*","376"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","ELA","132","37","28.0","35","26.5","50","37.9","10","7.6","60","45.5","475"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Math","132","45","34.1","62","47.0","*","*","*","*","25","18.9","454"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","262","34","13.0","50","19.1","145","55.3","33","12.6","178","67.9","518"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","262","42","16.0","121","46.2","83","31.7","16","6.1","99","37.8","502"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","285","32","11.2","53","18.6","174","61.1","26","9.1","200","70.2","515"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","285","59","20.7","136","47.7","80","28.1","10","3.5","90","31.6","485"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0236111","0230011","Canton School District","Canton High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0236111","0230011","Canton School District","Canton High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","ELA","28","14","50.0","*","*","*","*","0","0.0","*","*","416"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Math","28","16","57.1","*","*","*","*","0","0.0","*","*","419"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","ELA","67","*","*","*","*","27","40.3","30","44.8","57","85.1","591"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Math","67","7","10.4","13","19.4","24","35.8","23","34.3","47","70.1","587"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELA","96","18","18.8","23","24.0","37","38.5","18","18.8","55","57.3","511"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Math","96","31","32.3","47","49.0","18","18.8","0","0.0","18","18.8","457"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELA","59","10","16.9","12","20.3","31","52.5","6","10.2","37","62.7","499"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Math","59","10","16.9","42","71.2","*","*","*","*","7","11.9","467"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELA","87","12","13.8","31","35.6","29","33.3","15","17.2","44","50.6","499"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Math","87","36","41.4","36","41.4","*","*","*","*","15","17.2","449"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","ELA","73","30","41.1","23","31.5","*","*","*","*","20","27.4","432"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Math","73","38","52.1","29","39.7","6","8.2","0","0.0","6","8.2","412"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","ELA","94","17","18.1","22","23.4","40","42.6","15","16.0","55","58.5","511"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","Math","94","27","28.7","44","46.8","*","*","*","*","23","24.5","471"
"0256111","0250011","Cheshire School District","Cheshire High School","ELA","368","16","4.3","36","9.8","216","58.7","100","27.2","316","85.9","569"
"0256111","0250011","Cheshire School District","Cheshire High School","Math","368","29","7.9","105","28.5","152","41.3","82","22.3","234","63.6","564"
"0250911","0250011","Cheshire School District","Humiston Alternative School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0250911","0250011","Cheshire School District","Humiston Alternative School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0286111","0280011","Colchester School District","Bacon Academy","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0286111","0280011","Colchester School District","Bacon Academy","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2686113","2680013","Common Ground High School District","Common Ground High School","ELA","39","16","41.0","*","*","12","30.8","*","*","*","*","462"
"2686113","2680013","Common Ground High School District","Common Ground High School","Math","39","18","46.2","17","43.6","*","*","*","*","*","*","427"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","ELA","169","76","45.0","58","34.3","*","*","*","*","35","20.7","429"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","Math","169","106","62.7","*","*","*","*","0","0.0","*","*","393"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","ELA","174","*","*","63","36.2","56","32.2","*","*","*","*","449"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","Math","174","58","33.3","95","54.6","*","*","*","*","21","12.1","440"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","ELA","141","*","*","46","32.6","53","37.6","*","*","*","*","453"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","Math","141","58","41.1","68","48.2","15","10.6","0","0.0","15","10.6","435"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","ELA","140","74","52.9","41","29.3","25","17.9","0","0.0","25","17.9","417"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","Math","140","78","55.7","*","*","*","*","0","0.0","*","*","407"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELA","125","*","*","37","29.6","52","41.6","*","*","*","*","473"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Math","125","41","32.8","62","49.6","22","17.6","0","0.0","22","17.6","449"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","ELA","131","*","*","46","35.1","44","33.6","*","*","*","*","456"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","Math","131","58","44.3","62","47.3","11","8.4","0","0.0","11","8.4","427"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","ELA","188","30","16.0","57","30.3","94","50.0","7","3.7","101","53.7","482"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","Math","188","49","26.1","109","58.0","*","*","*","*","30","16.0","460"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","ELA","154","40","26.0","50","32.5","55","35.7","9","5.8","64","41.6","469"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","Math","154","57","37.0","78","50.6","*","*","*","*","19","12.3","443"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","ELA","145","23","15.9","39","26.9","76","52.4","7","4.8","83","57.2","491"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","Math","145","35","24.1","83","57.2","27","18.6","0","0.0","27","18.6","464"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","ELA","148","*","*","57","38.5","59","39.9","*","*","*","*","475"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","Math","148","49","33.1","76","51.4","*","*","*","*","23","15.5","458"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","ELA","158","20","12.7","49","31.0","83","52.5","6","3.8","89","56.3","494"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","Math","158","*","*","95","60.1","37","23.4","*","*","*","*","477"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","ELA","157","18","11.5","47","29.9","76","48.4","16","10.2","92","58.6","502"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","Math","157","36","22.9","87","55.4","*","*","*","*","34","21.7","471"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","ELA","184","36","19.6","55","29.9","87","47.3","6","3.3","93","50.5","478"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","Math","184","64","34.8","92","50.0","*","*","*","*","28","15.2","450"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","ELA","139","37","26.6","43","30.9","51","36.7","8","5.8","59","42.4","465"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","Math","139","57","41.0","66","47.5","16","11.5","0","0.0","16","11.5","437"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","ELA","174","*","*","44","25.3","102","58.6","*","*","*","*","493"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","Math","174","38","21.8","104","59.8","*","*","*","*","32","18.4","461"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","ELA","118","28","23.7","35","29.7","48","40.7","7","5.9","55","46.6","478"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","Math","117","31","26.5","56","47.9","*","*","*","*","30","25.6","470"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","ELA","10","*","*","*","*","*","*","*","*","*","*","*"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","Math","10","*","*","*","*","*","*","*","*","*","*","*"
"0320111","0320011","Coventry School District","Coventry Academy","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0320111","0320011","Coventry School District","Coventry Academy","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0326111","0320011","Coventry School District","Coventry High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0326111","0320011","Coventry School District","Coventry High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0336111","0330011","Cromwell School District","Cromwell High School","ELA","146","23","15.8","18","12.3","82","56.2","23","15.8","105","71.9","529"
"0336111","0330011","Cromwell School District","Cromwell High School","Math","146","24","16.4","55","37.7","55","37.7","12","8.2","67","45.9","509"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","ELA","23","*","*","*","*","0","0.0","0","0.0","0","0.0","362"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","Math","22","*","*","*","*","0","0.0","0","0.0","0","0.0","365"
"0346111","0340011","Danbury School District","Danbury High School","ELA","619","159","25.7","*","*","258","41.7","*","*","*","*","490"
"0346111","0340011","Danbury School District","Danbury High School","Math","619","208","33.6","*","*","125","20.2","*","*","*","*","466"
"0356111","0350011","Darien School District","Darien High School","ELA","310","6","1.9","10","3.2","130","41.9","164","52.9","294","94.8","619"
"0356111","0350011","Darien School District","Darien High School","Math","310","7","2.3","43","13.9","117","37.7","143","46.1","260","83.9","626"
"0376111","0370011","Derby School District","Derby High School","ELA","86","30","34.9","29","33.7","*","*","*","*","27","31.4","446"
"0376111","0370011","Derby School District","Derby High School","Math","86","43","50.0","30","34.9","13","15.1","0","0.0","13","15.1","431"
"0406111","0400011","East Granby School District","East Granby High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0406111","0400011","East Granby School District","East Granby High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","ELA","78","10","12.8","8","10.3","47","60.3","13","16.7","60","76.9","532"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","Math","78","20","25.6","37","47.4","*","*","*","*","21","26.9","481"
"0426111","0420011","East Hampton School District","East Hampton High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0426111","0420011","East Hampton School District","East Hampton High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0420111","0420011","East Hampton School District","Memorial School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0420111","0420011","East Hampton School District","Memorial School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","ELA","50","*","*","*","*","32","64.0","10","20.0","42","84.0","551"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","Math","50","*","*","28","56.0","13","26.0","*","*","*","*","522"
"0436211","0430011","East Hartford School District","East Hartford High School","ELA","366","116","31.7","98","26.8","136","37.2","16","4.4","152","41.5","463"
"0436211","0430011","East Hartford School District","East Hartford High School","Math","366","129","35.2","165","45.1","64","17.5","8","2.2","72","19.7","453"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","ELA","25","21","84.0","*","*","*","*","0","0.0","*","*","380"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","Math","25","17","68.0","8","32.0","0","0.0","0","0.0","0","0.0","380"
"0439011","0430011","East Hartford School District","Woodland School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0439011","0430011","East Hartford School District","Woodland School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0446111","0440011","East Haven School District","East Haven High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0446111","0440011","East Haven School District","East Haven High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0450611","0450011","East Lyme School District","Coastal Connections","ELA","6","*","*","*","*","*","*","*","*","*","*","*"
"0450611","0450011","East Lyme School District","Coastal Connections","Math","6","*","*","*","*","*","*","*","*","*","*","*"
"0456111","0450011","East Lyme School District","East Lyme High School","ELA","250","*","*","*","*","*","*","*","*","*","*","577"
"0456111","0450011","East Lyme School District","East Lyme High School","Math","250","*","*","*","*","*","*","*","*","*","*","555"
"0476111","0470011","East Windsor School District","East Windsor High School","ELA","65","10","15.4","14","21.5","35","53.8","6","9.2","41","63.1","501"
"0476111","0470011","East Windsor School District","East Windsor High School","Math","65","*","*","31","47.7","18","27.7","*","*","*","*","477"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","ELA","30","*","*","*","*","*","*","*","*","*","*","522"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Math","30","*","*","16","53.3","*","*","0","0.0","*","*","460"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","ELA","6","*","*","*","*","*","*","*","*","*","*","*"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","Math","6","*","*","*","*","*","*","*","*","*","*","*"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","ELA","36","12","33.3","*","*","16","44.4","*","*","*","*","472"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Math","36","21","58.3","*","*","*","*","0","0.0","*","*","416"
"2429014","2420014","Education Connection","Education Connection Special Education","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"2429014","2420014","Education Connection","Education Connection Special Education","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0486111","0480011","Ellington School District","Ellington High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0486111","0480011","Ellington School District","Ellington High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","ELA","33","9","27.3","*","*","16","48.5","*","*","*","*","479"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","Math","33","*","*","19","57.6","7","21.2","*","*","*","*","478"
"0496111","0490011","Enfield School District","Enfield High School","ELA","*","30","20.1","*","*","*","*","*","*","*","*","*"
"0496111","0490011","Enfield School District","Enfield High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0496211","0490011","Enfield School District","Enrico Fermi High School","ELA","196","*","*","51","26.0","107","54.6","*","*","*","*","504"
"0496211","0490011","Enfield School District","Enrico Fermi High School","Math","196","45","23.0","92","46.9","49","25.0","10","5.1","59","30.1","482"
"2726113","2720013","Explorations District","Explorations","ELA","21","*","*","10","47.6","*","*","*","*","*","*","479"
"2726113","2720013","Explorations District","Explorations","Math","21","*","*","11","52.4","*","*","0","0.0","*","*","440"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","ELA","350","12","3.4","28","8.0","196","56.0","114","32.6","310","88.6","583"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","Math","350","15","4.3","90","25.7","173","49.4","72","20.6","245","70.0","570"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","ELA","350","35","10.0","28","8.0","185","52.9","102","29.1","287","82.0","564"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","Math","350","33","9.4","112","32.0","151","43.1","54","15.4","205","58.6","548"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","ELA","9","*","*","*","*","*","*","*","*","*","*","*"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","Math","9","*","*","*","*","*","*","*","*","*","*","*"
"0520611","0520011","Farmington School District","Farmington Alternative High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0520611","0520011","Farmington School District","Farmington Alternative High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0526111","0520011","Farmington School District","Farmington High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0526111","0520011","Farmington School District","Farmington High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0546111","0540011","Glastonbury School District","Glastonbury High School","ELA","477","*","*","*","*","*","*","*","*","*","*","572"
"0546111","0540011","Glastonbury School District","Glastonbury High School","Math","477","*","*","*","*","*","*","*","*","*","*","582"
"0540111","0540011","Glastonbury School District","LINKS Academy","ELA","6","*","*","*","*","*","*","*","*","*","*","*"
"0540111","0540011","Glastonbury School District","LINKS Academy","Math","6","*","*","*","*","*","*","*","*","*","*","*"
"0566111","0560011","Granby School District","Granby Memorial High School","ELA","151","9","6.0","16","10.6","83","55.0","43","28.5","126","83.4","565"
"0566111","0560011","Granby School District","Granby Memorial High School","Math","151","7","4.6","49","32.5","70","46.4","25","16.6","95","62.9","555"
"0571411","0570011","Greenwich School District","Alternative High School Programs","ELA","8","*","*","*","*","*","*","*","*","*","*","*"
"0571411","0570011","Greenwich School District","Alternative High School Programs","Math","8","*","*","*","*","*","*","*","*","*","*","*"
"0576111","0570011","Greenwich School District","Greenwich High School","ELA","609","*","*","*","*","*","*","*","*","*","*","576"
"0576111","0570011","Greenwich School District","Greenwich High School","Math","609","*","*","*","*","*","*","*","*","*","*","578"
"0580111","0580011","Griswold School District","Griswold Alternative School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0580111","0580011","Griswold School District","Griswold Alternative School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0586211","0580011","Griswold School District","Griswold High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0586211","0580011","Griswold School District","Griswold High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0596111","0590011","Groton School District","Robert E. Fitch High School","ELA","234","31","13.2","49","20.9","112","47.9","42","17.9","154","65.8","525"
"0596111","0590011","Groton School District","Robert E. Fitch High School","Math","234","46","19.7","103","44.0","63","26.9","22","9.4","85","36.3","502"
"0606111","0600011","Guilford School District","Guilford High School","ELA","254","9","3.5","20","7.9","139","54.7","86","33.9","225","88.6","587"
"0606111","0600011","Guilford School District","Guilford High School","Math","253","19","7.5","73","28.9","115","45.5","46","18.2","161","63.6","561"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","ELA","8","*","*","*","*","*","*","*","*","*","*","*"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","Math","8","*","*","*","*","*","*","*","*","*","*","*"
"0626111","0620011","Hamden School District","Hamden High School","ELA","363","50","13.8","71","19.6","177","48.8","65","17.9","242","66.7","522"
"0626111","0620011","Hamden School District","Hamden High School","Math","363","80","22.0","160","44.1","94","25.9","29","8.0","123","33.9","493"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","ELA","150","96","64.0","31","20.7","*","*","*","*","23","15.3","408"
