"school_code","district_code","district","school","subject","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","30","*","*","7","23.3","17","56.7","*","*","*","*","529"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","30","*","*","13","43.3","14","46.7","*","*","*","*","537"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","44","6","13.6","*","*","28","63.6","*","*","*","*","515"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","44","11","25.0","23","52.3","*","*","*","*","10","22.7","470"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","18","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","16","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","241","7","2.9","16","6.6","102","42.3","116","48.1","218","90.5","608"
"0046111","0040011","Avon School District","Avon High School","Math","242","12","5.0","44","18.2","100","41.3","86","35.5","186","76.9","604"
"0076111","0070011","Berlin School District","Berlin High School","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","ELA","194","19","9.8","22","11.3","118","60.8","35","18.0","153","78.9","543"
"0096111","0090011","Bethel School District","Bethel High School","Math","194","26","13.4","57","29.4","91","46.9","20","10.3","111","57.2","531"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","137","41","29.9","*","*","58","42.3","*","*","*","*","469"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","137","40","29.2","76","55.5","*","*","*","*","21","15.3","458"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","*","*","*","*","*","*","*","0","0.0","*","*","*"
