"school_code","district_code","district","school","no","yes","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","899","55","954"
"2795113","2790013","Amistad Academy District","Amistad Academy","869","115","984"
"0010111","0010011","Andover School District","Andover Elementary School","*","*","275"
"0026111","0020011","Ansonia School District","Ansonia High School","572","12","584"
"0025111","0020011","Ansonia School District","Ansonia Middle School","491","7","498"
"0020311","0020011","Ansonia School District","Mead School","575","22","597"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","*","*","40"
"0020811","0020011","Ansonia School District","Prendergast School","650","30","680"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","39","0","39"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","160","0","160"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","664","49","713"
"2449514","2440014","Area Cooperative Educational Services","Village School","151","0","151"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","113","0","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","90","0","90"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","42","0","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","624","7","631"
"0030111","0030011","Ashford School District","Ashford School","408","7","415"
"0046111","0040011","Avon School District","Avon High School","*","*","1051"
"0045111","0040011","Avon School District","Avon Middle School","541","7","548"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","48","0","48"
"0040411","0040011","Avon School District","Pine Grove School","530","46","576"
"0040311","0040011","Avon School District","Roaring Brook School","539","7","546"
"0040511","0040011","Avon School District","Thompson Brook School","540","12","552"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","295","0","295"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","22","0","22"
"0076111","0070011","Berlin School District","Berlin High School","910","8","918"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","692","10","702"
"0070411","0070011","Berlin School District","Emma Hart Willard School","480","24","504"
"0070511","0070011","Berlin School District","Mary E. Griswold School","537","10","547"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","210","15","225"
"0080111","0080011","Bethany School District","Bethany Community School","*","*","407"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","388","25","413"
"0096111","0090011","Bethel School District","Bethel High School","872","17","889"
"0095111","0090011","Bethel School District","Bethel Middle School","683","12","695"
"0090111","0090011","Bethel School District","Frank A. Berry School","521","25","546"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","374","12","386"
"0116111","0110011","Bloomfield School District","Bloomfield High School","531","7","538"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","*","*","208"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","*","*","214"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","*","*","220"
"0110611","0110011","Bloomfield School District","Laurel School","335","10","345"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","13","0","13"
"0110511","0110011","Bloomfield School District","Metacomet School","241","7","248"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","*","*","321"
"0120111","0120011","Bolton School District","Bolton Center School","513","7","520"
"0126111","0120011","Bolton School District","Bolton High School","318","0","318"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","91","0","91"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","*","209"
"0146111","0140011","Branford School District","Branford High School","945","16","961"
"0140211","0140011","Branford School District","Branford High School Horizons Program","9","0","9"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","887","29","916"
"0148011","0140011","Branford School District","Indian Neck School","39","0","39"
"0141611","0140011","Branford School District","John B. Sliney School","337","18","355"
"0141511","0140011","Branford School District","Mary R. Tisko School","373","15","388"
"0141411","0140011","Branford School District","Mary T. Murphy School","374","39","413"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","*","*","150"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","868","109","977"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","347","9","356"
"0150111","0150011","Bridgeport School District","Barnum School","537","98","635"
"0156111","0150011","Bridgeport School District","Bassick High School","835","173","1008"
"0150211","0150011","Bridgeport School District","Beardsley School","332","38","370"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","337","11","348"
"0150311","0150011","Bridgeport School District","Black Rock School","324","89","413"
"0154011","0150011","Bridgeport School District","Blackham School","964","150","1114"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","*","65"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","205","28","233"
"0150411","0150011","Bridgeport School District","Bryant School","326","80","406"
"0156211","0150011","Bridgeport School District","Central High School","1501","172","1673"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","728","476","1204"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","359","12","371"
"0150511","0150011","Bridgeport School District","Columbus School","675","186","861"
"0153911","0150011","Bridgeport School District","Cross School","365","21","386"
"0154211","0150011","Bridgeport School District","Curiale School","640","129","769"
"0154111","0150011","Bridgeport School District","Dunbar School","368","9","377"
"0150711","0150011","Bridgeport School District","Edison School","258","16","274"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","657","167","824"
"0151111","0150011","Bridgeport School District","Hall School","254","8","262"
"0151211","0150011","Bridgeport School District","Hallen School","294","8","302"
"0156311","0150011","Bridgeport School District","Harding High School","822","312","1134"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","414","0","414"
"0151311","0150011","Bridgeport School District","Hooker School","356","15","371"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","359","6","365"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","509","9","518"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","664","15","679"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","645","275","920"
"0152011","0150011","Bridgeport School District","Madison School","451","82","533"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","396","61","457"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","*","465"
