"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","543","520","1063"
"2795113","2790013","Amistad Academy District","Amistad Academy","536","500","1036"
"0010111","0010011","Andover School District","Andover Elementary School","118","132","250"
"0026111","0020011","Ansonia School District","Ansonia High School","274","323","597"
"0025111","0020011","Ansonia School District","Ansonia Middle School","204","242","446"
"0020311","0020011","Ansonia School District","Mead School","287","308","595"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","12","23","35"
"0020811","0020011","Ansonia School District","Prendergast School","340","348","688"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","7","31","38"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","23","144","167"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","352","374","726"
"2449514","2440014","Area Cooperative Educational Services","Village School","42","93","135"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","36","77","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","26","69","95"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","7","35","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","316","316","632"
"0030111","0030011","Ashford School District","Ashford School","194","203","397"
"0046111","0040011","Avon School District","Avon High School","526","512","1038"
"0045111","0040011","Avon School District","Avon Middle School","256","289","545"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","26","19","45"
"0040411","0040011","Avon School District","Pine Grove School","302","297","599"
"0040311","0040011","Avon School District","Roaring Brook School","236","261","497"
"0040511","0040011","Avon School District","Thompson Brook School","272","278","550"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","130","125","255"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","*","*","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","11","17","28"
"0076111","0070011","Berlin School District","Berlin High School","445","508","953"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","303","369","672"
"0070411","0070011","Berlin School District","Emma Hart Willard School","246","257","503"
"0070511","0070011","Berlin School District","Mary E. Griswold School","232","265","497"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","118","120","238"
"0080111","0080011","Bethany School District","Bethany Community School","191","192","383"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","204","216","420"
"0096111","0090011","Bethel School District","Bethel High School","425","472","897"
"0095111","0090011","Bethel School District","Bethel Middle School","317","341","658"
"0090111","0090011","Bethel School District","Frank A. Berry School","243","318","561"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","202","224","426"
"0116111","0110011","Bloomfield School District","Bloomfield High School","221","295","516"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","104","116","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","89","104","193"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","126","92","218"
"0110611","0110011","Bloomfield School District","Laurel School","181","154","335"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","*","*","10"
"0110511","0110011","Bloomfield School District","Metacomet School","131","123","254"
