"school_code","district_code","district","school","subject","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","592","589","99.5","589","170","28.9","155","26.3","165","28.0","99","16.8","264","44.8"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","592","586","99.0","585","222","37.9","189","32.3","97","16.6","77","13.2","174","29.7"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","538","534","99.3","534","109","20.4","134","25.1","199","37.3","92","17.2","291","54.5"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","538","533","99.1","533","119","22.3","161","30.2","139","26.1","114","21.4","253","47.5"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","159","156","98.1","156","12","7.7","27","17.3","45","28.8","72","46.2","117","75.0"
"0010111","0010011","Andover School District","Andover Elementary School","Math","159","156","98.1","156","8","5.1","35","22.4","54","34.6","59","37.8","113","72.4"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","353","343","97.2","343","145","42.3","105","30.6","76","22.2","17","5.0","93","27.1"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Math","353","343","97.2","342","160","46.8","121","35.4","37","10.8","24","7.0","61","17.8"
"0020311","0020011","Ansonia School District","Mead School","ELA","346","346","100.0","346","136","39.3","95","27.5","77","22.3","38","11.0","115","33.2"
"0020311","0020011","Ansonia School District","Mead School","Math","346","346","100.0","346","141","40.8","123","35.5","58","16.8","24","6.9","82","23.7"
"0020811","0020011","Ansonia School District","Prendergast School","ELA","351","344","98.0","344","105","30.5","93","27.0","96","27.9","50","14.5","146","42.4"
"0020811","0020011","Ansonia School District","Prendergast School","Math","351","343","97.7","343","114","33.2","122","35.6","80","23.3","27","7.9","107","31.2"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","ELA","145","140","96.6","139","110","79.1","18","12.9","*","*","*","*","11","7.9"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Math","145","133","91.7","133","125","94.0","*","*","*","*","0","0.0","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","724","724","100.0","724","244","33.7","199","27.5","203","28.0","78","10.8","281","38.8"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","724","724","100.0","724","321","44.3","219","30.2","123","17.0","61","8.4","184","25.4"
"2449514","2440014","Area Cooperative Educational Services","Village School","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","413","411","99.5","411","126","30.7","102","24.8","118","28.7","65","15.8","183","44.5"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","413","411","99.5","411","192","46.7","136","33.1","62","15.1","21","5.1","83","20.2"
"0030111","0030011","Ashford School District","Ashford School","ELA","231","231","100.0","231","35","15.2","51","22.1","82","35.5","63","27.3","145","62.8"
"0030111","0030011","Ashford School District","Ashford School","Math","231","231","100.0","231","48","20.8","70","30.3","73","31.6","40","17.3","113","48.9"
"0045111","0040011","Avon School District","Avon Middle School","ELA","540","538","99.6","538","22","4.1","75","13.9","212","39.4","229","42.6","441","82.0"
"0045111","0040011","Avon School District","Avon Middle School","Math","542","539","99.4","539","35","6.5","73","13.5","128","23.7","303","56.2","431","80.0"
"0040411","0040011","Avon School District","Pine Grove School","ELA","242","242","100.0","242","13","5.4","40","16.5","59","24.4","130","53.7","189","78.1"
"0040411","0040011","Avon School District","Pine Grove School","Math","243","243","100.0","243","14","5.8","55","22.6","76","31.3","98","40.3","174","71.6"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","213","212","99.5","212","15","7.1","23","10.8","46","21.7","128","60.4","174","82.1"
