"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","0","870"
"2795113","2790013","Amistad Academy District","Amistad Academy","705","145","87","937"
"0010111","0010011","Andover School District","Andover Elementary School","*","255","*","298"
"0026111","0020011","Ansonia School District","Ansonia High School","280","244","78","602"
"0025111","0020011","Ansonia School District","Ansonia Middle School","262","164","67","493"
"0020311","0020011","Ansonia School District","Mead School","344","162","60","566"
"0020811","0020011","Ansonia School District","Prendergast School","371","208","82","661"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","*","24","*","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","115","23","13","151"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","334","300","77","711"
"2449514","2440014","Area Cooperative Educational Services","Village School","51","89","11","151"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","85","*","*","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","82","*","*","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","32","*","*","39"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","205","359","67","631"
"0030111","0030011","Ashford School District","Ashford School","107","297","19","423"
"0046111","0040011","Avon School District","Avon High School","50","985","22","1057"
"0045111","0040011","Avon School District","Avon Middle School","17","556","11","584"
"0040411","0040011","Avon School District","Pine Grove School","*","559","*","594"
"0040311","0040011","Avon School District","Roaring Brook School","*","543","*","573"
"0040511","0040011","Avon School District","Thompson Brook School","32","524","7","563"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","12","265","11","288"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","18","0","18"
"0076111","0070011","Berlin School District","Berlin High School","117","795","21","933"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","91","584","16","691"
"0070411","0070011","Berlin School District","Emma Hart Willard School","60","441","13","514"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","508","*","562"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","36","204","11","251"
"0080111","0080011","Bethany School District","Bethany Community School","15","415","6","436"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","68","319","24","411"
"0096111","0090011","Bethel School District","Bethel High School","130","749","54","933"
"0095111","0090011","Bethel School District","Bethel Middle School","101","534","37","672"
"0090111","0090011","Bethel School District","Frank A. Berry School","47","490","19","556"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","59","342","16","417"
"0116111","0110011","Bloomfield School District","Bloomfield High School","249","248","58","555"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","99","92","25","216"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","111","78","24","213"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","72","126","22","220"
