"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"0498011","0490011","Enfield School District","Head Start Program","0","*","*","32","0","13","51","104"
"0491811","0490011","Enfield School District","Henry Barnard School","*","15","25","53","*","18","269","385"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","*","30","72","109","*","56","872","1148"
"0491111","0490011","Enfield School District","Nathan Hale School","*","*","6","11","0","7","195","222"
"0491511","0490011","Enfield School District","Prudence Crandall School","0","15","16","51","0","31","313","426"
"0500111","0500011","Essex School District","Essex Elementary School","0","17","6","19","0","16","470","528"
"2726113","2720013","Explorations District","Explorations","*","0","*","*","0","0","66","73"
"0510211","0510011","Fairfield School District","Burr Elementary School","*","19","*","27","0","17","372","445"
"0510111","0510011","Fairfield School District","Dwight Elementary School","0","18","*","13","0","*","239","278"
"0518011","0510011","Fairfield School District","Early Childhood Center","0","15","*","14","0","*","92","132"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","*","63","31","109","*","29","1315","1552"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","*","77","64","148","*","45","1079","1418"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","0","53","18","67","0","16","697","851"
"0510411","0510011","Fairfield School District","Holland Hill School","*","37","*","65","0","10","258","380"
"0511711","0510011","Fairfield School District","Jennings School","0","19","10","33","0","8","264","334"
"0510611","0510011","Fairfield School District","McKinley School","0","54","26","90","0","20","250","440"
