"school_code","district_code","district","school","no","yes","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","1033","33","1066"
"2795113","2790013","Amistad Academy District","Amistad Academy","941","116","1057"
"0010111","0010011","Andover School District","Andover Elementary School","*","*","225"
"0026111","0020011","Ansonia School District","Ansonia High School","600","16","616"
"0025111","0020011","Ansonia School District","Ansonia Middle School","434","7","441"
"0020311","0020011","Ansonia School District","Mead School","551","29","580"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","31","0","31"
"0020411","0020011","Ansonia School District","P.A.C.E. - PM (Positive And Creative Education - PM)","*","*","7"
"0020811","0020011","Ansonia School District","Prendergast School","637","28","665"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","40","0","40"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","168","0","168"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","691","41","732"
"2449514","2440014","Area Cooperative Educational Services","Village School","118","0","118"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","115","0","115"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","102","0","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","*","*","41"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","631"
"0030111","0030011","Ashford School District","Ashford School","*","*","406"
"0046111","0040011","Avon School District","Avon High School","1018","6","1024"
"0045111","0040011","Avon School District","Avon Middle School","*","*","558"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","56","0","56"
"0040411","0040011","Avon School District","Pine Grove School","564","60","624"
"0040311","0040011","Avon School District","Roaring Brook School","500","16","516"
"0040511","0040011","Avon School District","Thompson Brook School","489","8","497"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","228","0","228"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","*","0","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","23","0","23"
"0076111","0070011","Berlin School District","Berlin High School","*","*","891"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","708","6","714"
"0070411","0070011","Berlin School District","Emma Hart Willard School","456","26","482"
"0070511","0070011","Berlin School District","Mary E. Griswold School","470","21","491"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","195","18","213"
"0080111","0080011","Bethany School District","Bethany Community School","*","*","356"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","363","34","397"
"0096111","0090011","Bethel School District","Bethel High School","854","17","871"
"0095111","0090011","Bethel School District","Bethel Middle School","666","17","683"
"0090111","0090011","Bethel School District","Frank A. Berry School","499","43","542"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","464","15","479"
"0090311","0090011","Bethel School District","TASK","12","0","12"
"0116111","0110011","Bloomfield School District","Bloomfield High School","*","*","534"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","231","6","237"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","*","*","201"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","*","*","217"
"0110611","0110011","Bloomfield School District","Laurel School","354","8","362"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","13","0","13"
"0110511","0110011","Bloomfield School District","Metacomet School","*","*","256"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","*","*","323"
"0120111","0120011","Bolton School District","Bolton Center School","525","8","533"
"0126111","0120011","Bolton School District","Bolton High School","281","0","281"
