district,district_code,school,school_code,subject,gender,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Hartford School District,0640011,Noah Webster Micro Society School,0642011,ELA,F,179,179,100.0,179,33,18.4,44,24.6,67,37.4,35,19.6,102,57.0,2014-15
Hartford School District,0640011,Noah Webster Micro Society School,0642011,ELA,M,169,167,98.8,165,67,40.6,41,24.8,35,21.2,22,13.3,57,34.5,2014-15
Hartford School District,0640011,Noah Webster Micro Society School,0642011,Math,F,179,179,100.0,179,46,25.7,71,39.7,40,22.3,22,12.3,62,34.6,2014-15
Hartford School District,0640011,Noah Webster Micro Society School,0642011,Math,M,168,166,98.8,166,64,38.6,54,32.5,24,14.5,24,14.5,48,28.9,2014-15
Hartford School District,0640011,OPPortunity High School,0647811,ELA,F,11,*,*,0,*,*,*,*,*,*,*,*,*,*,2014-15
Hartford School District,0640011,OPPortunity High School,0647811,ELA,M,14,0,*,0,*,*,*,*,*,*,*,*,*,*,2014-15
Hartford School District,0640011,OPPortunity High School,0647811,Math,F,12,*,*,0,*,*,*,*,*,*,*,*,*,*,2014-15
Hartford School District,0640011,OPPortunity High School,0647811,Math,M,13,0,*,0,*,*,*,*,*,*,*,*,*,*,2014-15
Hartford School District,0640011,Parkville Community School,0641511,ELA,F,102,96,94.1,95,51,53.7,24,25.3,*,*,*,*,20,21.1,2014-15
Hartford School District,0640011,Parkville Community School,0641511,ELA,M,106,102,96.2,102,69,67.6,20,19.6,*,*,*,*,13,12.7,2014-15
Hartford School District,0640011,Parkville Community School,0641511,Math,F,101,100,99.0,100,70,70.0,23,23.0,*,*,*,*,7,7.0,2014-15
Hartford School District,0640011,Parkville Community School,0641511,Math,M,106,106,100.0,106,73,68.9,23,21.7,*,*,*,*,10,9.4,2014-15
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,ELA,F,29,25,86.2,24,11,45.8,8,33.3,*,*,*,*,*,*,2014-15
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,ELA,M,62,58,93.5,58,16,27.6,14,24.1,*,*,*,*,*,*,2014-15
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,Math,F,29,25,86.2,25,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,Math,M,62,57,91.9,57,34,59.6,*,*,9,15.8,*,*,*,*,2014-15
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,ELA,F,311,311,100.0,311,63,20.3,92,29.6,96,30.9,60,19.3,156,50.2,2014-15
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,ELA,M,165,165,100.0,165,55,33.3,52,31.5,39,23.6,19,11.5,58,35.2,2014-15
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,Math,F,311,311,100.0,311,123,39.5,118,37.9,53,17.0,17,5.5,70,22.5,2014-15
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,Math,M,165,165,100.0,165,67,40.6,68,41.2,23,13.9,7,4.2,30,18.2,2014-15
Hartford School District,0640011,Renzulli Academy,0644011,ELA,F,55,34,61.8,34,*,*,8,23.5,19,55.9,*,*,*,*,2014-15
Hartford School District,0640011,Renzulli Academy,0644011,ELA,M,37,23,62.2,23,*,*,7,30.4,11,47.8,*,*,*,*,2014-15
Hartford School District,0640011,Renzulli Academy,0644011,Math,F,55,34,61.8,34,*,*,14,41.2,10,29.4,*,*,*,*,2014-15
Hartford School District,0640011,Renzulli Academy,0644011,Math,M,37,23,62.2,23,*,*,10,43.5,7,30.4,*,*,*,*,2014-15
Hartford School District,0640011,SAND School,0640111,ELA,F,119,115,96.6,115,79,68.7,25,21.7,*,*,*,*,11,9.6,2014-15
Hartford School District,0640011,SAND School,0640111,ELA,M,106,101,95.3,98,73,74.5,17,17.3,*,*,*,*,8,8.2,2014-15
Hartford School District,0640011,SAND School,0640111,Math,F,119,119,100.0,119,104,87.4,*,*,*,*,0,0.0,*,*,2014-15
Hartford School District,0640011,SAND School,0640111,Math,M,106,104,98.1,103,90,87.4,*,*,*,*,0,0.0,*,*,2014-15
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,ELA,F,87,86,98.9,86,9,10.5,22,25.6,30,34.9,25,29.1,55,64.0,2014-15
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,ELA,M,154,153,99.4,153,35,22.9,38,24.8,44,28.8,36,23.5,80,52.3,2014-15
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,Math,F,87,86,98.9,86,21,24.4,24,27.9,17,19.8,24,27.9,41,47.7,2014-15
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,Math,M,154,153,99.4,152,46,30.3,42,27.6,26,17.1,38,25.0,64,42.1,2014-15
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,ELA,F,90,90,100.0,90,35,38.9,20,22.2,25,27.8,10,11.1,35,38.9,2014-15
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,ELA,M,147,147,100.0,147,50,34.0,39,26.5,40,27.2,18,12.2,58,39.5,2014-15
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,Math,F,90,90,100.0,90,48,53.3,25,27.8,*,*,*,*,17,18.9,2014-15
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,Math,M,147,147,100.0,147,66,44.9,45,30.6,*,*,*,*,36,24.5,2014-15
Hartford School District,0640011,Sanchez School,0643011,ELA,F,89,89,100.0,89,40,44.9,24,27.0,*,*,*,*,25,28.1,2014-15
Hartford School District,0640011,Sanchez School,0643011,ELA,M,96,93,96.9,92,45,48.9,29,31.5,*,*,*,*,18,19.6,2014-15
Hartford School District,0640011,Sanchez School,0643011,Math,F,89,89,100.0,89,55,61.8,28,31.5,6,6.7,0,0.0,6,6.7,2014-15
Hartford School District,0640011,Sanchez School,0643011,Math,M,96,96,100.0,96,49,51.0,28,29.2,*,*,*,*,19,19.8,2014-15
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,ELA,F,137,136,99.3,134,71,53.0,32,23.9,*,*,*,*,31,23.1,2014-15
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,ELA,M,148,145,98.0,145,95,65.5,35,24.1,*,*,*,*,15,10.3,2014-15
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,Math,F,137,135,98.5,135,89,65.9,35,25.9,11,8.1,0,0.0,11,8.1,2014-15
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,Math,M,149,146,98.0,145,102,70.3,36,24.8,7,4.8,0,0.0,7,4.8,2014-15
Hartford School District,0640011,Simpson-Waverly School,0642611,ELA,F,89,86,96.6,86,51,59.3,23,26.7,*,*,*,*,12,14.0,2014-15
Hartford School District,0640011,Simpson-Waverly School,0642611,ELA,M,83,80,96.4,80,48,60.0,23,28.8,*,*,*,*,9,11.3,2014-15
Hartford School District,0640011,Simpson-Waverly School,0642611,Math,F,89,89,100.0,87,71,81.6,*,*,*,*,0,0.0,*,*,2014-15
Hartford School District,0640011,Simpson-Waverly School,0642611,Math,M,84,83,98.8,83,60,72.3,17,20.5,*,*,*,*,*,*,2014-15
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,ELA,F,142,132,93.0,132,33,25.0,45,34.1,43,32.6,11,8.3,54,40.9,2014-15
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,ELA,M,216,206,95.4,206,85,41.3,71,34.5,42,20.4,8,3.9,50,24.3,2014-15
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,Math,F,142,131,92.3,131,62,47.3,40,30.5,23,17.6,6,4.6,29,22.1,2014-15
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,Math,M,216,206,95.4,206,116,56.3,53,25.7,24,11.7,13,6.3,37,18.0,2014-15
Hartford School District,0640011,University High of Science and Engineering,0646711,ELA,F,29,29,100.0,29,6,20.7,*,*,16,55.2,*,*,*,*,2014-15
Hartford School District,0640011,University High of Science and Engineering,0646711,ELA,M,69,68,98.6,68,15,22.1,*,*,21,30.9,*,*,*,*,2014-15
Hartford School District,0640011,University High of Science and Engineering,0646711,Math,F,29,29,100.0,29,14,48.3,*,*,9,31.0,*,*,*,*,2014-15
Hartford School District,0640011,University High of Science and Engineering,0646711,Math,M,69,68,98.6,68,19,27.9,*,*,15,22.1,*,*,*,*,2014-15
Hartford School District,0640011,West Middle School,0642111,ELA,F,108,100,92.6,100,34,34.0,32,32.0,27,27.0,7,7.0,34,34.0,2014-15
Hartford School District,0640011,West Middle School,0642111,ELA,M,122,117,95.9,117,45,38.5,34,29.1,31,26.5,7,6.0,38,32.5,2014-15
Hartford School District,0640011,West Middle School,0642111,Math,F,107,105,98.1,105,53,50.5,37,35.2,*,*,*,*,15,14.3,2014-15
Hartford School District,0640011,West Middle School,0642111,Math,M,122,120,98.4,120,68,56.7,31,25.8,*,*,*,*,21,17.5,2014-15
Hartland School District,0650011,Hartland School,0650111,ELA,F,69,67,97.1,67,12,17.9,12,17.9,27,40.3,16,23.9,43,64.2,2014-15
Hartland School District,0650011,Hartland School,0650111,ELA,M,68,68,100.0,68,13,19.1,25,36.8,24,35.3,6,8.8,30,44.1,2014-15
Hartland School District,0650011,Hartland School,0650111,Math,F,69,67,97.1,67,21,31.3,17,25.4,23,34.3,6,9.0,29,43.3,2014-15
Hartland School District,0650011,Hartland School,0650111,Math,M,68,68,100.0,68,12,17.6,27,39.7,23,33.8,6,8.8,29,42.6,2014-15
Hebron School District,0670011,Hebron Elementary School,0670111,ELA,F,242,242,100.0,241,19,7.9,39,16.2,107,44.4,76,31.5,183,75.9,2014-15
Hebron School District,0670011,Hebron Elementary School,0670111,ELA,M,249,249,100.0,249,53,21.3,62,24.9,82,32.9,52,20.9,134,53.8,2014-15
Hebron School District,0670011,Hebron Elementary School,0670111,Math,F,242,241,99.6,241,38,15.8,92,38.2,82,34.0,29,12.0,111,46.1,2014-15
Hebron School District,0670011,Hebron Elementary School,0670111,Math,M,249,249,100.0,249,44,17.7,75,30.1,85,34.1,45,18.1,130,52.2,2014-15
Highville Charter School District,2860013,Highville Charter School,2860113,ELA,F,113,113,100.0,113,*,*,46,40.7,40,35.4,*,*,*,*,2014-15
Highville Charter School District,2860013,Highville Charter School,2860113,ELA,M,99,99,100.0,99,28,28.3,40,40.4,*,*,*,*,31,31.3,2014-15
Highville Charter School District,2860013,Highville Charter School,2860113,Math,F,113,113,100.0,113,55,48.7,49,43.4,*,*,*,*,9,8.0,2014-15
Highville Charter School District,2860013,Highville Charter School,2860113,Math,M,99,99,100.0,99,55,55.6,29,29.3,15,15.2,0,0.0,15,15.2,2014-15
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,ELA,F,95,94,98.9,94,14,14.9,24,25.5,36,38.3,20,21.3,56,59.6,2014-15
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,ELA,M,103,103,100.0,101,20,19.8,32,31.7,28,27.7,21,20.8,49,48.5,2014-15
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,Math,F,95,95,100.0,94,37,39.4,35,37.2,13,13.8,9,9.6,22,23.4,2014-15
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,Math,M,103,103,100.0,101,38,37.6,27,26.7,21,20.8,15,14.9,36,35.6,2014-15
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,ELA,F,126,124,98.4,124,*,*,49,39.5,38,30.6,*,*,*,*,2014-15
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,ELA,M,127,127,100.0,127,53,41.7,*,*,39,30.7,*,*,*,*,2014-15
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,Math,F,126,125,99.2,124,63,50.8,37,29.8,*,*,*,*,24,19.4,2014-15
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,Math,M,127,127,100.0,127,76,59.8,29,22.8,*,*,*,*,22,17.3,2014-15
Jumoke Academy District,2610013,Jumoke Academy,2610113,ELA,F,233,232,99.6,232,49,21.1,79,34.1,65,28.0,39,16.8,104,44.8,2014-15
Jumoke Academy District,2610013,Jumoke Academy,2610113,ELA,M,194,193,99.5,193,75,38.9,62,32.1,46,23.8,10,5.2,56,29.0,2014-15
Jumoke Academy District,2610013,Jumoke Academy,2610113,Math,F,233,232,99.6,232,93,40.1,100,43.1,32,13.8,7,3.0,39,16.8,2014-15
Jumoke Academy District,2610013,Jumoke Academy,2610113,Math,M,194,193,99.5,193,98,50.8,65,33.7,24,12.4,6,3.1,30,15.5,2014-15
Kent School District,0680011,Kent Center School,0680111,ELA,F,72,70,97.2,70,*,*,*,*,28,40.0,34,48.6,62,88.6,2014-15
Kent School District,0680011,Kent Center School,0680111,ELA,M,92,92,100.0,92,*,*,*,*,43,46.7,32,34.8,75,81.5,2014-15
Kent School District,0680011,Kent Center School,0680111,Math,F,72,70,97.2,70,8,11.4,16,22.9,33,47.1,13,18.6,46,65.7,2014-15
Kent School District,0680011,Kent Center School,0680111,Math,M,92,92,100.0,92,8,8.7,20,21.7,44,47.8,20,21.7,64,69.6,2014-15
Killingly School District,0690011,Killingly Alternative Learning Program,0690611,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Killingly School District,0690011,Killingly Alternative Learning Program,0690611,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Killingly School District,0690011,Killingly Alternative Learning Program,0690611,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Killingly School District,0690011,Killingly Alternative Learning Program,0690611,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Killingly School District,0690011,Killingly Central School,0690111,ELA,F,76,76,100.0,76,9,11.8,25,32.9,24,31.6,18,23.7,42,55.3,2014-15
Killingly School District,0690011,Killingly Central School,0690111,ELA,M,87,86,98.9,86,27,31.4,15,17.4,29,33.7,15,17.4,44,51.2,2014-15
Killingly School District,0690011,Killingly Central School,0690111,Math,F,76,76,100.0,76,*,*,32,42.1,27,35.5,*,*,*,*,2014-15
Killingly School District,0690011,Killingly Central School,0690111,Math,M,88,87,98.9,87,*,*,39,44.8,23,26.4,*,*,*,*,2014-15
Killingly School District,0690011,Killingly High School,0696111,ELA,F,82,78,95.1,76,20,26.3,19,25.0,26,34.2,11,14.5,37,48.7,2014-15
Killingly School District,0690011,Killingly High School,0696111,ELA,M,85,84,98.8,84,26,31.0,31,36.9,21,25.0,6,7.1,27,32.1,2014-15
Killingly School District,0690011,Killingly High School,0696111,Math,F,82,76,92.7,76,41,53.9,21,27.6,*,*,*,*,14,18.4,2014-15
Killingly School District,0690011,Killingly High School,0696111,Math,M,86,84,97.7,84,45,53.6,21,25.0,*,*,*,*,18,21.4,2014-15
Killingly School District,0690011,Killingly Intermediate School,0695211,ELA,F,345,344,99.7,344,38,11.0,70,20.3,177,51.5,59,17.2,236,68.6,2014-15
Killingly School District,0690011,Killingly Intermediate School,0695211,ELA,M,350,347,99.1,347,71,20.5,107,30.8,133,38.3,36,10.4,169,48.7,2014-15
Killingly School District,0690011,Killingly Intermediate School,0695211,Math,F,345,342,99.1,341,108,31.7,134,39.3,81,23.8,18,5.3,99,29.0,2014-15
Killingly School District,0690011,Killingly Intermediate School,0695211,Math,M,349,346,99.1,346,125,36.1,131,37.9,64,18.5,26,7.5,90,26.0,2014-15
Killingly School District,0690011,Killingly Memorial School,0690311,ELA,F,91,89,97.8,89,17,19.1,22,24.7,31,34.8,19,21.3,50,56.2,2014-15
Killingly School District,0690011,Killingly Memorial School,0690311,ELA,M,84,83,98.8,83,25,30.1,24,28.9,21,25.3,13,15.7,34,41.0,2014-15
Killingly School District,0690011,Killingly Memorial School,0690311,Math,F,91,89,97.8,89,*,*,36,40.4,27,30.3,*,*,*,*,2014-15
Killingly School District,0690011,Killingly Memorial School,0690311,Math,M,83,82,98.8,82,*,*,40,48.8,23,28.0,*,*,*,*,2014-15
Learn,2450014,Connecticut River Academy,2456014,ELA,F,46,45,97.8,45,7,15.6,13,28.9,16,35.6,9,20.0,25,55.6,2014-15
Learn,2450014,Connecticut River Academy,2456014,ELA,M,42,41,97.6,39,6,15.4,13,33.3,14,35.9,6,15.4,20,51.3,2014-15
Learn,2450014,Connecticut River Academy,2456014,Math,F,46,46,100.0,46,28,60.9,12,26.1,*,*,*,*,6,13.0,2014-15
Learn,2450014,Connecticut River Academy,2456014,Math,M,42,41,97.6,39,21,53.8,10,25.6,*,*,*,*,8,20.5,2014-15
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,ELA,F,74,74,100.0,74,*,*,23,31.1,32,43.2,*,*,*,*,2014-15
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,ELA,M,59,59,100.0,59,*,*,22,37.3,19,32.2,*,*,*,*,2014-15
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,Math,F,74,74,100.0,74,36,48.6,27,36.5,*,*,*,*,11,14.9,2014-15
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,Math,M,59,59,100.0,59,29,49.2,20,33.9,*,*,*,*,10,16.9,2014-15
Learn,2450014,LEARN Kelly Middle School Intensive Program,2450914,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,LEARN Kelly Middle School Intensive Program,2450914,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,LEARN SAILS Middle School Program,2450814,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,LEARN SAILS Middle School Program,2450814,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,LEARN SAILS Program at Salem,2451014,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,LEARN SAILS Program at Salem,2451014,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,ELA,F,37,37,100.0,37,*,*,*,*,17,45.9,15,40.5,32,86.5,2014-15
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,ELA,M,38,34,89.5,33,*,*,*,*,13,39.4,18,54.5,31,93.9,2014-15
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,Math,F,37,36,97.3,36,13,36.1,*,*,10,27.8,*,*,*,*,2014-15
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,Math,M,38,34,89.5,34,10,29.4,11,32.4,*,*,*,*,13,38.2,2014-15
Learn,2450014,Regional Multicultural Magnet School,2450114,ELA,F,127,122,96.1,122,18,14.8,29,23.8,39,32.0,36,29.5,75,61.5,2014-15
Learn,2450014,Regional Multicultural Magnet School,2450114,ELA,M,115,111,96.5,111,25,22.5,31,27.9,28,25.2,27,24.3,55,49.5,2014-15
Learn,2450014,Regional Multicultural Magnet School,2450114,Math,F,127,121,95.3,121,37,30.6,50,41.3,23,19.0,11,9.1,34,28.1,2014-15
Learn,2450014,Regional Multicultural Magnet School,2450114,Math,M,115,115,100.0,115,25,21.7,40,34.8,35,30.4,15,13.0,50,43.5,2014-15
Learn,2450014,Three Rivers Middle College Magnet School,2456214,ELA,F,19,19,*,19,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,Three Rivers Middle College Magnet School,2456214,ELA,M,14,14,*,14,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,Three Rivers Middle College Magnet School,2456214,Math,F,19,19,*,19,*,*,*,*,*,*,*,*,*,*,2014-15
Learn,2450014,Three Rivers Middle College Magnet School,2456214,Math,M,14,14,*,14,*,*,*,*,*,*,*,*,*,*,2014-15
Lebanon School District,0710011,Lebanon Elementary School,0710111,ELA,F,68,67,98.5,67,7,10.4,12,17.9,23,34.3,25,37.3,48,71.6,2014-15
Lebanon School District,0710011,Lebanon Elementary School,0710111,ELA,M,64,62,96.9,62,18,29.0,15,24.2,17,27.4,12,19.4,29,46.8,2014-15
Lebanon School District,0710011,Lebanon Elementary School,0710111,Math,F,68,66,97.1,66,7,10.6,22,33.3,24,36.4,13,19.7,37,56.1,2014-15
Lebanon School District,0710011,Lebanon Elementary School,0710111,Math,M,64,61,95.3,61,12,19.7,15,24.6,25,41.0,9,14.8,34,55.7,2014-15
Lebanon School District,0710011,Lebanon Middle School,0715111,ELA,F,162,155,95.7,155,13,8.4,32,20.6,71,45.8,39,25.2,110,71.0,2014-15
Lebanon School District,0710011,Lebanon Middle School,0715111,ELA,M,176,174,98.9,174,27,15.5,42,24.1,63,36.2,42,24.1,105,60.3,2014-15
Lebanon School District,0710011,Lebanon Middle School,0715111,Math,F,162,150,92.6,150,23,15.3,62,41.3,39,26.0,26,17.3,65,43.3,2014-15
Lebanon School District,0710011,Lebanon Middle School,0715111,Math,M,176,174,98.9,174,38,21.8,54,31.0,39,22.4,43,24.7,82,47.1,2014-15
Lebanon School District,0710011,Lyman Memorial High School,0716211,ELA,F,55,53,96.4,53,8,15.1,9,17.0,28,52.8,8,15.1,36,67.9,2014-15
Lebanon School District,0710011,Lyman Memorial High School,0716211,ELA,M,48,46,95.8,46,8,17.4,19,41.3,12,26.1,7,15.2,19,41.3,2014-15
Lebanon School District,0710011,Lyman Memorial High School,0716211,Math,F,55,51,92.7,51,16,31.4,12,23.5,15,29.4,8,15.7,23,45.1,2014-15
Lebanon School District,0710011,Lyman Memorial High School,0716211,Math,M,48,47,97.9,47,19,40.4,13,27.7,8,17.0,7,14.9,15,31.9,2014-15
Ledyard School District,0720011,Gallup Hill School,0720411,ELA,F,74,74,100.0,74,10,13.5,17,23.0,26,35.1,21,28.4,47,63.5,2014-15
Ledyard School District,0720011,Gallup Hill School,0720411,ELA,M,80,77,96.3,77,17,22.1,16,20.8,29,37.7,15,19.5,44,57.1,2014-15
Ledyard School District,0720011,Gallup Hill School,0720411,Math,F,74,74,100.0,73,21,28.8,31,42.5,14,19.2,7,9.6,21,28.8,2014-15
Ledyard School District,0720011,Gallup Hill School,0720411,Math,M,80,79,98.8,79,17,21.5,31,39.2,17,21.5,14,17.7,31,39.2,2014-15
Ledyard School District,0720011,Juliet W. Long School,0720311,ELA,F,142,140,98.6,139,27,19.4,24,17.3,50,36.0,38,27.3,88,63.3,2014-15
Ledyard School District,0720011,Juliet W. Long School,0720311,ELA,M,142,141,99.3,141,31,22.0,38,27.0,46,32.6,26,18.4,72,51.1,2014-15
Ledyard School District,0720011,Juliet W. Long School,0720311,Math,F,142,142,100.0,141,27,19.1,54,38.3,34,24.1,26,18.4,60,42.6,2014-15
Ledyard School District,0720011,Juliet W. Long School,0720311,Math,M,142,142,100.0,142,20,14.1,58,40.8,38,26.8,26,18.3,64,45.1,2014-15
Ledyard School District,0720011,Ledyard Center School,0720111,ELA,F,118,117,99.2,117,8,6.8,35,29.9,43,36.8,31,26.5,74,63.2,2014-15
Ledyard School District,0720011,Ledyard Center School,0720111,ELA,M,137,136,99.3,135,27,20.0,29,21.5,45,33.3,34,25.2,79,58.5,2014-15
Ledyard School District,0720011,Ledyard Center School,0720111,Math,F,118,117,99.2,117,34,29.1,39,33.3,31,26.5,13,11.1,44,37.6,2014-15
Ledyard School District,0720011,Ledyard Center School,0720111,Math,M,137,136,99.3,136,29,21.3,45,33.1,45,33.1,17,12.5,62,45.6,2014-15
Ledyard School District,0720011,Ledyard High School,0726111,ELA,F,125,122,97.6,122,10,8.2,20,16.4,49,40.2,43,35.2,92,75.4,2014-15
Ledyard School District,0720011,Ledyard High School,0726111,ELA,M,100,90,90.0,90,12,13.3,23,25.6,30,33.3,25,27.8,55,61.1,2014-15
Ledyard School District,0720011,Ledyard High School,0726111,Math,F,125,121,96.8,121,33,27.3,37,30.6,33,27.3,18,14.9,51,42.1,2014-15
Ledyard School District,0720011,Ledyard High School,0726111,Math,M,100,90,90.0,90,24,26.7,23,25.6,21,23.3,22,24.4,43,47.8,2014-15
Ledyard School District,0720011,Ledyard Middle School,0725111,ELA,F,155,152,98.1,152,11,7.2,28,18.4,79,52.0,34,22.4,113,74.3,2014-15
Ledyard School District,0720011,Ledyard Middle School,0725111,ELA,M,187,185,98.9,185,34,18.4,49,26.5,72,38.9,30,16.2,102,55.1,2014-15
Ledyard School District,0720011,Ledyard Middle School,0725111,Math,F,155,153,98.7,153,28,18.3,39,25.5,47,30.7,39,25.5,86,56.2,2014-15
Ledyard School District,0720011,Ledyard Middle School,0725111,Math,M,188,186,98.9,185,48,25.9,52,28.1,42,22.7,43,23.2,85,45.9,2014-15
Lisbon School District,0730011,Lisbon Central School,0730111,ELA,F,128,126,98.4,126,15,11.9,21,16.7,51,40.5,39,31.0,90,71.4,2014-15
Lisbon School District,0730011,Lisbon Central School,0730111,ELA,M,130,129,99.2,129,20,15.5,34,26.4,59,45.7,16,12.4,75,58.1,2014-15
Lisbon School District,0730011,Lisbon Central School,0730111,Math,F,128,126,98.4,126,39,31.0,55,43.7,24,19.0,8,6.3,32,25.4,2014-15
Lisbon School District,0730011,Lisbon Central School,0730111,Math,M,130,129,99.2,129,41,31.8,59,45.7,23,17.8,6,4.7,29,22.5,2014-15
Litchfield School District,0740011,Center School,0740211,ELA,F,32,32,100.0,32,*,*,*,*,*,*,21,65.6,*,*,2014-15
Litchfield School District,0740011,Center School,0740211,ELA,M,38,38,100.0,38,*,*,*,*,*,*,15,39.5,*,*,2014-15
Litchfield School District,0740011,Center School,0740211,Math,F,32,32,100.0,32,*,*,6,18.8,14,43.8,11,34.4,25,78.1,2014-15
Litchfield School District,0740011,Center School,0740211,Math,M,38,38,100.0,38,*,*,6,15.8,16,42.1,13,34.2,29,76.3,2014-15
Litchfield School District,0740011,Litchfield High School,0746111,ELA,F,128,125,97.7,124,7,5.6,26,21.0,51,41.1,40,32.3,91,73.4,2014-15
Litchfield School District,0740011,Litchfield High School,0746111,ELA,M,133,130,97.7,130,31,23.8,30,23.1,42,32.3,27,20.8,69,53.1,2014-15
Litchfield School District,0740011,Litchfield High School,0746111,Math,F,128,124,96.9,124,20,16.1,39,31.5,34,27.4,31,25.0,65,52.4,2014-15
Litchfield School District,0740011,Litchfield High School,0746111,Math,M,133,130,97.7,130,34,26.2,25,19.2,33,25.4,38,29.2,71,54.6,2014-15
Litchfield School District,0740011,Litchfield Intermediate School,0740311,ELA,F,113,112,99.1,112,9,8.0,23,20.5,37,33.0,43,38.4,80,71.4,2014-15
Litchfield School District,0740011,Litchfield Intermediate School,0740311,ELA,M,118,117,99.2,117,11,9.4,19,16.2,43,36.8,44,37.6,87,74.4,2014-15
Litchfield School District,0740011,Litchfield Intermediate School,0740311,Math,F,113,112,99.1,112,13,11.6,36,32.1,39,34.8,24,21.4,63,56.3,2014-15
Litchfield School District,0740011,Litchfield Intermediate School,0740311,Math,M,118,118,100.0,118,15,12.7,19,16.1,41,34.7,43,36.4,84,71.2,2014-15
Madison School District,0760011,Daniel Hand High School,0766111,ELA,F,152,16,10.5,16,*,*,*,*,*,*,*,*,*,*,2014-15
Madison School District,0760011,Daniel Hand High School,0766111,ELA,M,151,26,17.2,26,*,*,*,*,*,*,0,0.0,*,*,2014-15
Madison School District,0760011,Daniel Hand High School,0766111,Math,F,152,16,10.5,16,*,*,*,*,*,*,*,*,*,*,2014-15
Madison School District,0760011,Daniel Hand High School,0766111,Math,M,151,25,16.6,25,*,*,*,*,*,*,*,*,*,*,2014-15
