district,district_code,school,school_code,subject,special_education,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
New Haven School District,0930011,High School In The Community,0936611,Math,N,37,33,89.2,33,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,High School In The Community,0936611,Math,Y,9,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Hill Central Music Academy,0930711,ELA,N,253,248,98.0,247,100,40.5,*,*,52,21.1,*,*,*,*,2014-15
New Haven School District,0930011,Hill Central Music Academy,0930711,ELA,Y,39,39,100.0,39,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,Hill Central Music Academy,0930711,Math,N,253,250,98.8,249,131,52.6,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Hill Central Music Academy,0930711,Math,Y,39,39,100.0,39,35,89.7,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,Hill Regional Career High School,0936311,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Hill Regional Career High School,0936311,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Hill Regional Career High School,0936311,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Hill Regional Career High School,0936311,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,"Hyde School of Health, Science and Sports Medicine",0936811,ELA,N,35,34,97.1,34,*,*,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,"Hyde School of Health, Science and Sports Medicine",0936811,ELA,Y,7,7,*,7,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,"Hyde School of Health, Science and Sports Medicine",0936811,Math,N,35,34,97.1,34,*,*,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,"Hyde School of Health, Science and Sports Medicine",0936811,Math,Y,7,7,*,7,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,James Hillhouse High School,0936211,ELA,N,200,136,68.0,119,96,80.7,*,*,7,5.9,*,*,*,*,2014-15
New Haven School District,0930011,James Hillhouse High School,0936211,ELA,Y,40,29,72.5,29,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,James Hillhouse High School,0936211,Math,N,200,103,51.5,96,80,83.3,10,10.4,6,6.3,0,0.0,6,6.3,2014-15
New Haven School District,0930011,James Hillhouse High School,0936211,Math,Y,40,29,72.5,28,28,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,John C. Daniels,0931311,ELA,N,224,218,97.3,217,64,29.5,61,28.1,*,*,*,*,*,*,2014-15
New Haven School District,0930011,John C. Daniels,0931311,ELA,Y,34,34,100.0,34,26,76.5,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,John C. Daniels,0931311,Math,N,224,220,98.2,220,96,43.6,*,*,*,*,8,3.6,*,*,2014-15
New Haven School District,0930011,John C. Daniels,0931311,Math,Y,34,34,100.0,34,30,88.2,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,John S. Martinez School,0930811,ELA,N,310,308,99.4,308,146,47.4,*,*,62,20.1,*,*,*,*,2014-15
New Haven School District,0930011,John S. Martinez School,0930811,ELA,Y,31,31,100.0,31,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,John S. Martinez School,0930811,Math,N,310,308,99.4,308,196,63.6,84,27.3,*,*,*,*,28,9.1,2014-15
New Haven School District,0930011,John S. Martinez School,0930811,Math,Y,31,31,100.0,31,31,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,Katherine Brennan/Clarence Rogers School,0932111,ELA,N,198,197,99.5,195,68,34.9,70,35.9,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Katherine Brennan/Clarence Rogers School,0932111,ELA,Y,34,33,97.1,33,23,69.7,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,Katherine Brennan/Clarence Rogers School,0932111,Math,N,198,198,100.0,198,120,60.6,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,Katherine Brennan/Clarence Rogers School,0932111,Math,Y,34,33,97.1,33,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,King/Robinson Magnet School,0933011,ELA,N,250,249,99.6,249,88,35.3,79,31.7,*,*,*,*,82,32.9,2014-15
New Haven School District,0930011,King/Robinson Magnet School,0933011,ELA,Y,47,47,100.0,47,31,66.0,10,21.3,*,*,*,*,6,12.8,2014-15
New Haven School District,0930011,King/Robinson Magnet School,0933011,Math,N,250,249,99.6,249,130,52.2,*,*,*,*,12,4.8,*,*,2014-15
New Haven School District,0930011,King/Robinson Magnet School,0933011,Math,Y,47,47,100.0,47,40,85.1,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,Lincoln-Bassett School,0932011,ELA,N,154,151,98.1,150,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Lincoln-Bassett School,0932011,ELA,Y,12,11,*,11,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Lincoln-Bassett School,0932011,Math,N,155,154,99.4,154,*,*,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,Lincoln-Bassett School,0932011,Math,Y,12,11,*,11,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Mauro-Sheridan Magnet School,0931911,ELA,N,272,270,99.3,270,62,23.0,*,*,*,*,29,10.7,*,*,2014-15
New Haven School District,0930011,Mauro-Sheridan Magnet School,0931911,ELA,Y,27,26,96.3,26,23,88.5,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,Mauro-Sheridan Magnet School,0931911,Math,N,272,270,99.3,270,122,45.2,*,*,42,15.6,*,*,*,*,2014-15
New Haven School District,0930011,Mauro-Sheridan Magnet School,0931911,Math,Y,27,27,100.0,26,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,Metropolitan Business Academy,0936011,ELA,N,91,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Metropolitan Business Academy,0936011,ELA,Y,8,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Metropolitan Business Academy,0936011,Math,N,91,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Metropolitan Business Academy,0936011,Math,Y,8,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Haven Academy,0937011,ELA,N,52,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Haven Academy,0937011,ELA,Y,6,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Haven Academy,0937011,Math,N,52,48,92.3,47,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Haven Academy,0937011,Math,Y,6,6,*,6,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Horizons High School,0932211,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Horizons High School,0932211,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Horizons High School,0932211,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Horizons High School,0932211,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Light High School,0932611,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Light High School,0932611,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Light High School,0932611,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,New Light High School,0932611,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Polly T. McCabe Center,0939211,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Polly T. McCabe Center,0939211,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Polly T. McCabe Center,0939211,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Polly T. McCabe Center,0939211,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Quinnipiac Real World Math STEM School,0933511,ELA,N,58,58,100.0,58,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Quinnipiac Real World Math STEM School,0933511,ELA,Y,9,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Quinnipiac Real World Math STEM School,0933511,Math,N,58,58,100.0,58,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Quinnipiac Real World Math STEM School,0933511,Math,Y,9,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Riverside Education Academy,0939111,ELA,N,23,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Riverside Education Academy,0939111,ELA,Y,10,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Riverside Education Academy,0939111,Math,N,23,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Riverside Education Academy,0939111,Math,Y,10,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Ross/Woodward School,0931011,ELA,N,356,347,97.5,347,117,33.7,*,*,93,26.8,*,*,*,*,2014-15
New Haven School District,0930011,Ross/Woodward School,0931011,ELA,Y,35,34,97.1,34,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,Ross/Woodward School,0931011,Math,N,356,346,97.2,346,187,54.0,*,*,36,10.4,*,*,*,*,2014-15
New Haven School District,0930011,Ross/Woodward School,0931011,Math,Y,35,34,97.1,34,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,Sound School,0936711,ELA,N,60,54,90.0,54,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Sound School,0936711,ELA,Y,16,14,*,14,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Sound School,0936711,Math,N,60,52,86.7,52,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Sound School,0936711,Math,Y,16,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Strong 21st Century Communications Magnet and SCSU Lab School,0932811,ELA,N,119,118,99.2,118,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Strong 21st Century Communications Magnet and SCSU Lab School,0932811,ELA,Y,12,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Strong 21st Century Communications Magnet and SCSU Lab School,0932811,Math,N,119,119,100.0,119,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Strong 21st Century Communications Magnet and SCSU Lab School,0932811,Math,Y,12,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Truman School,0932911,ELA,N,260,249,95.8,249,140,56.2,*,*,*,*,6,2.4,*,*,2014-15
New Haven School District,0930011,Truman School,0932911,ELA,Y,38,35,92.1,35,32,91.4,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,Truman School,0932911,Math,N,260,253,97.3,251,181,72.1,*,*,12,4.8,*,*,*,*,2014-15
New Haven School District,0930011,Truman School,0932911,Math,Y,37,36,97.3,36,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,West Rock Authors Academy,0934911,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,West Rock Authors Academy,0934911,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,West Rock Authors Academy,0934911,Math,N,*,*,*,*,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,West Rock Authors Academy,0934911,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Wexler/Grant Community School,0933211,ELA,N,190,190,100.0,189,67,35.4,64,33.9,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Wexler/Grant Community School,0933211,ELA,Y,44,44,100.0,44,34,77.3,*,*,*,*,0,0.0,*,*,2014-15
New Haven School District,0930011,Wexler/Grant Community School,0933211,Math,N,190,190,100.0,190,103,54.2,*,*,16,8.4,*,*,*,*,2014-15
New Haven School District,0930011,Wexler/Grant Community School,0933211,Math,Y,44,44,100.0,44,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15
New Haven School District,0930011,Wilbur Cross High School,0936111,ELA,N,277,122,44.0,112,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Wilbur Cross High School,0936111,ELA,Y,22,17,77.3,15,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Wilbur Cross High School,0936111,Math,N,276,104,37.7,97,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Wilbur Cross High School,0936111,Math,Y,22,15,68.2,15,*,*,*,*,*,*,*,*,*,*,2014-15
New Haven School District,0930011,Worthington Hooker School,0933811,ELA,N,246,216,87.8,214,12,5.6,24,11.2,*,*,*,*,178,83.2,2014-15
New Haven School District,0930011,Worthington Hooker School,0933811,ELA,Y,29,27,93.1,27,11,40.7,9,33.3,*,*,*,*,7,25.9,2014-15
New Haven School District,0930011,Worthington Hooker School,0933811,Math,N,247,239,96.8,239,*,*,44,18.4,*,*,105,43.9,*,*,2014-15
New Haven School District,0930011,Worthington Hooker School,0933811,Math,Y,29,28,96.6,27,16,59.3,*,*,*,*,0,0.0,*,*,2014-15
New London School District,0950011,Jennings School,0950311,ELA,N,223,211,94.6,210,105,50.0,*,*,*,*,7,3.3,*,*,2014-15
New London School District,0950011,Jennings School,0950311,ELA,Y,35,33,94.3,33,26,78.8,*,*,*,*,0,0.0,*,*,2014-15
New London School District,0950011,Jennings School,0950311,Math,N,219,219,100.0,219,106,48.4,*,*,*,*,12,5.5,*,*,2014-15
New London School District,0950011,Jennings School,0950311,Math,Y,34,33,97.1,33,27,81.8,*,*,*,*,0,0.0,*,*,2014-15
New London School District,0950011,Bennie Dover Jackson Middle School,0955111,ELA,N,509,496,97.4,489,171,35.0,178,36.4,126,25.8,14,2.9,140,28.6,2014-15
New London School District,0950011,Bennie Dover Jackson Middle School,0955111,ELA,Y,93,92,98.9,91,82,90.1,9,9.9,0,0.0,0,0.0,0,0.0,2014-15
New London School District,0950011,Bennie Dover Jackson Middle School,0955111,Math,N,505,501,99.2,496,264,53.2,164,33.1,56,11.3,12,2.4,68,13.7,2014-15
New London School District,0950011,Bennie Dover Jackson Middle School,0955111,Math,Y,93,89,95.7,87,81,93.1,6,6.9,0,0.0,0,0.0,0,0.0,2014-15
New London School District,0950011,Nathan Hale Arts Magnet School,0950911,ELA,N,215,213,99.1,213,61,28.6,65,30.5,*,*,*,*,*,*,2014-15
New London School District,0950011,Nathan Hale Arts Magnet School,0950911,ELA,Y,48,47,97.9,47,34,72.3,*,*,*,*,0,0.0,*,*,2014-15
New London School District,0950011,Nathan Hale Arts Magnet School,0950911,Math,N,215,215,100.0,214,64,29.9,87,40.7,*,*,*,*,*,*,2014-15
New London School District,0950011,Nathan Hale Arts Magnet School,0950911,Math,Y,48,47,97.9,47,37,78.7,*,*,*,*,0,0.0,*,*,2014-15
New London School District,0950011,New London High School,0956111,ELA,N,169,163,96.4,160,29,18.1,53,33.1,*,*,*,*,78,48.8,2014-15
New London School District,0950011,New London High School,0956111,ELA,Y,34,33,97.1,32,13,40.6,12,37.5,*,*,*,*,7,21.9,2014-15
New London School District,0950011,New London High School,0956111,Math,N,169,160,94.7,160,84,52.5,*,*,*,*,*,*,*,*,2014-15
New London School District,0950011,New London High School,0956111,Math,Y,34,32,94.1,32,25,78.1,*,*,*,*,*,*,*,*,2014-15
New London School District,0950011,Winthrop STEM Elementary Magnet School,0950811,ELA,N,214,209,97.7,208,44,21.2,60,28.8,*,*,*,*,*,*,2014-15
New London School District,0950011,Winthrop STEM Elementary Magnet School,0950811,ELA,Y,35,35,100.0,35,24,68.6,7,20.0,*,*,*,*,*,*,2014-15
New London School District,0950011,Winthrop STEM Elementary Magnet School,0950811,Math,N,213,212,99.5,211,87,41.2,*,*,*,*,*,*,*,*,2014-15
New London School District,0950011,Winthrop STEM Elementary Magnet School,0950811,Math,Y,35,35,100.0,35,26,74.3,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Hill And Plain School,0960511,ELA,N,103,103,100.0,103,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Hill And Plain School,0960511,ELA,Y,10,10,*,10,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Hill And Plain School,0960511,Math,N,103,103,100.0,103,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Hill And Plain School,0960511,Math,Y,10,10,*,10,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,John Pettibone School,0960711,ELA,N,74,70,94.6,70,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,John Pettibone School,0960711,ELA,Y,13,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,John Pettibone School,0960711,Math,N,74,71,95.9,71,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,John Pettibone School,0960711,Math,Y,13,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,New Milford High School,0966111,ELA,N,279,237,84.9,231,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,New Milford High School,0966111,ELA,Y,22,15,68.2,15,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,New Milford High School,0966111,Math,N,279,240,86.0,238,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,New Milford High School,0966111,Math,Y,22,14,63.6,14,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Northville Elementary School,0960811,ELA,N,102,97,95.1,97,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Northville Elementary School,0960811,ELA,Y,12,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Northville Elementary School,0960811,Math,N,102,97,95.1,97,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Northville Elementary School,0960811,Math,Y,12,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Sarah Noble Intermediate School,0960911,ELA,N,876,842,96.1,842,*,*,187,22.2,301,35.7,*,*,*,*,2014-15
New Milford School District,0960011,Sarah Noble Intermediate School,0960911,ELA,Y,128,120,93.8,118,86,72.9,17,14.4,*,*,*,*,15,12.7,2014-15
New Milford School District,0960011,Sarah Noble Intermediate School,0960911,Math,N,876,838,95.7,838,*,*,309,36.9,228,27.2,*,*,*,*,2014-15
New Milford School District,0960011,Sarah Noble Intermediate School,0960911,Math,Y,128,117,91.4,116,83,71.6,19,16.4,*,*,*,*,14,12.1,2014-15
New Milford School District,0960011,Schaghticoke Middle School,0965211,ELA,N,580,514,88.6,514,91,17.7,169,32.9,193,37.5,61,11.9,254,49.4,2014-15
New Milford School District,0960011,Schaghticoke Middle School,0965211,ELA,Y,97,81,83.5,81,51,63.0,21,25.9,9,11.1,0,0.0,9,11.1,2014-15
New Milford School District,0960011,Schaghticoke Middle School,0965211,Math,N,580,528,91.0,523,113,21.6,209,40.0,*,*,*,*,*,*,2014-15
New Milford School District,0960011,Schaghticoke Middle School,0965211,Math,Y,97,86,88.7,82,56,68.3,22,26.8,*,*,*,*,*,*,2014-15
Newington School District,0940011,Anna Reynolds School,0940611,ELA,N,162,161,99.4,161,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Anna Reynolds School,0940611,ELA,Y,11,11,*,11,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Anna Reynolds School,0940611,Math,N,162,162,100.0,162,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Anna Reynolds School,0940611,Math,Y,11,11,*,11,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Elizabeth Green School,0940211,ELA,N,101,101,100.0,101,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Elizabeth Green School,0940211,ELA,Y,15,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Elizabeth Green School,0940211,Math,N,101,101,100.0,101,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Elizabeth Green School,0940211,Math,Y,15,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,John Paterson School,0940811,ELA,N,153,152,99.3,152,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,John Paterson School,0940811,ELA,Y,17,17,*,17,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,John Paterson School,0940811,Math,N,153,152,99.3,152,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,John Paterson School,0940811,Math,Y,17,17,*,17,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,John Wallace Middle School,0945311,ELA,N,612,607,99.2,607,*,*,114,18.8,287,47.3,*,*,*,*,2014-15
Newington School District,0940011,John Wallace Middle School,0945311,ELA,Y,68,68,100.0,68,36,52.9,23,33.8,*,*,*,*,9,13.2,2014-15
Newington School District,0940011,John Wallace Middle School,0945311,Math,N,612,607,99.2,607,91,15.0,208,34.3,*,*,*,*,*,*,2014-15
Newington School District,0940011,John Wallace Middle School,0945311,Math,Y,68,68,100.0,68,47,69.1,17,25.0,*,*,*,*,*,*,2014-15
Newington School District,0940011,Martin Kellogg Middle School,0945111,ELA,N,548,545,99.5,545,*,*,142,26.1,245,45.0,*,*,*,*,2014-15
Newington School District,0940011,Martin Kellogg Middle School,0945111,ELA,Y,66,66,100.0,66,37,56.1,17,25.8,*,*,*,*,12,18.2,2014-15
Newington School District,0940011,Martin Kellogg Middle School,0945111,Math,N,547,546,99.8,546,87,15.9,176,32.2,*,*,*,*,*,*,2014-15
Newington School District,0940011,Martin Kellogg Middle School,0945111,Math,Y,65,64,98.5,64,42,65.6,18,28.1,*,*,*,*,*,*,2014-15
Newington School District,0940011,Newington High School,0946111,ELA,N,255,235,92.2,224,41,18.3,78,34.8,*,*,*,*,*,*,2014-15
Newington School District,0940011,Newington High School,0946111,ELA,Y,41,30,73.2,30,14,46.7,12,40.0,*,*,*,*,*,*,2014-15
Newington School District,0940011,Newington High School,0946111,Math,N,255,234,91.8,229,79,34.5,*,*,*,*,7,3.1,*,*,2014-15
Newington School District,0940011,Newington High School,0946111,Math,Y,41,33,80.5,33,27,81.8,*,*,*,*,0,0.0,*,*,2014-15
Newington School District,0940011,Ruth Chaffee School,0940711,ELA,N,131,131,100.0,131,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Ruth Chaffee School,0940711,ELA,Y,16,16,*,16,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Ruth Chaffee School,0940711,Math,N,131,131,100.0,131,*,*,*,*,*,*,*,*,*,*,2014-15
Newington School District,0940011,Ruth Chaffee School,0940711,Math,Y,16,16,*,16,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Hawley Elementary School,0970111,ELA,N,131,131,100.0,131,6,4.6,24,18.3,*,*,*,*,101,77.1,2014-15
Newtown School District,0970011,Hawley Elementary School,0970111,ELA,Y,21,21,100.0,21,7,33.3,7,33.3,*,*,*,*,7,33.3,2014-15
Newtown School District,0970011,Hawley Elementary School,0970111,Math,N,131,131,100.0,131,*,*,41,31.3,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Hawley Elementary School,0970111,Math,Y,21,21,100.0,21,*,*,8,38.1,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Head O'Meadow Elementary School,0970411,ELA,N,123,121,98.4,121,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Head O'Meadow Elementary School,0970411,ELA,Y,18,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Head O'Meadow Elementary School,0970411,Math,N,123,121,98.4,121,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Head O'Meadow Elementary School,0970411,Math,Y,18,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Middle Gate Elementary School,0970311,ELA,N,159,159,100.0,159,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Middle Gate Elementary School,0970311,ELA,Y,16,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Middle Gate Elementary School,0970311,Math,N,159,159,100.0,159,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Middle Gate Elementary School,0970311,Math,Y,16,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Newtown High School,0976111,ELA,N,390,315,80.8,315,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Newtown High School,0976111,ELA,Y,22,12,54.5,12,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Newtown High School,0976111,Math,N,390,275,70.5,275,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Newtown High School,0976111,Math,Y,22,9,40.9,9,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Newtown Middle School,0975111,ELA,N,775,754,97.3,754,*,*,129,17.1,401,53.2,*,*,*,*,2014-15
Newtown School District,0970011,Newtown Middle School,0975111,ELA,Y,49,48,98.0,48,14,29.2,24,50.0,*,*,*,*,10,20.8,2014-15
Newtown School District,0970011,Newtown Middle School,0975111,Math,N,775,754,97.3,754,*,*,190,25.2,225,29.8,*,*,*,*,2014-15
Newtown School District,0970011,Newtown Middle School,0975111,Math,Y,49,48,98.0,48,27,56.3,11,22.9,*,*,*,*,10,20.8,2014-15
Newtown School District,0970011,Reed Intermediate School,0970511,ELA,N,660,657,99.5,655,*,*,98,15.0,285,43.5,*,*,*,*,2014-15
Newtown School District,0970011,Reed Intermediate School,0970511,ELA,Y,68,67,98.5,66,25,37.9,*,*,20,30.3,*,*,*,*,2014-15
Newtown School District,0970011,Reed Intermediate School,0970511,Math,N,660,656,99.4,656,47,7.2,176,26.8,*,*,*,*,433,66.0,2014-15
Newtown School District,0970011,Reed Intermediate School,0970511,Math,Y,68,67,98.5,66,36,54.5,22,33.3,*,*,*,*,8,12.1,2014-15
Newtown School District,0970011,Sandy Hook Elementary School,0970211,ELA,N,141,141,100.0,141,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Sandy Hook Elementary School,0970211,ELA,Y,20,19,95.0,19,*,*,*,*,*,*,*,*,*,*,2014-15
Newtown School District,0970011,Sandy Hook Elementary School,0970211,Math,N,141,141,100.0,141,12,8.5,*,*,*,*,*,*,*,*,2014-15
