"subject","participation.rate","school_code","year"
"ELA: All Students ","99.7","0175111","201516"
"ELA: High Needs Students ","99.4","0175111","201516"
"Math: All Students ","99.7","0175111","201516"
"Math: High Needs Students ","99.4","0175111","201516"
"Science: All Students ","98.2","0175111","201516"
"Science: High Needs Students ","96.3","0175111","201516"
"ELA Performance index: All Students ","98.1","0175211","201415"
"EL Performance indexA: High Needs Students ","96.9","0175211","201415"
"Math Performance index: All Students ","98.1","0175211","201415"
"Math Performance index: High Needs Students ","96.9","0175211","201415"
"Science Performance index: All Students ","98.6","0175211","201415"
"Science Performance index: High Needs Students ","96.8","0175211","201415"
"ELA: All Students ","99.8","0175211","201516"
"ELA: High Needs Students ","100","0175211","201516"
"Math: All Students ","99.8","0175211","201516"
"Math: High Needs Students ","100","0175211","201516"
"Science: All Students ","100","0175211","201516"
"Science: High Needs Students ","100","0175211","201516"
"ELA: All Students ","97.5","0176111","201415"
"ELA: High Needs Students ","97.7","0176111","201415"
"Math: All Students ","97.5","0176111","201415"
"Math: High Needs Students ","97.7","0176111","201415"
"Science: All Students ","99.4","0176111","201415"
"Science: High Needs Students ","98.7","0176111","201415"
"ELA: All Students ","97.1","0176111","201516"
"ELA: High Needs Students ","93.7","0176111","201516"
"Math: All Students ","97.1","0176111","201516"
"Math: High Needs Students ","93.7","0176111","201516"
"Science: All Students ","98.4","0176111","201516"
"Science: High Needs Students ","98.3","0176111","201516"
"ELA: All Students ","98.1","0176211","201415"
"ELA: High Needs Students ","95.4","0176211","201415"
"Math: All Students ","97.1","0176211","201415"
"Math: High Needs Students ","93.9","0176211","201415"
"Science: All Students ","98.4","0176211","201415"
"Science: High Needs Students ","97.1","0176211","201415"
"ELA: All Students ","97.6","0176211","201516"
"ELA: High Needs Students ","96.4","0176211","201516"
"Math: All Students ","97.6","0176211","201516"
"Math: High Needs Students ","96.4","0176211","201516"
"Science: All Students ","96.5","0176211","201516"
"Science: High Needs Students ","94.3","0176211","201516"
"ELA Performance index: All Students ",".","0180311","201415"
"EL Performance indexA: High Needs Students ",".","0180311","201415"
"Math Performance index: All Students ",".","0180311","201415"
"Math Performance index: High Needs Students ",".","0180311","201415"
"Science Performance index: All Students ",".","0180311","201415"
"Science Performance index: High Needs Students ",".","0180311","201415"
"ELA: All Students ",".","0180311","201516"
"ELA: High Needs Students ",".","0180311","201516"
"Math: All Students ",".","0180311","201516"
"Math: High Needs Students ",".","0180311","201516"
"Science: All Students ",".","0180311","201516"
"Science: High Needs Students ",".","0180311","201516"
"ELA Performance index: All Students ","98.0","0180411","201415"
"EL Performance indexA: High Needs Students ","98.9","0180411","201415"
"Math Performance index: All Students ","97.8","0180411","201415"
"Math Performance index: High Needs Students ","97.9","0180411","201415"
"Science Performance index: All Students ",".","0180411","201415"
"Science Performance index: High Needs Students ",".","0180411","201415"
"ELA: All Students ","95.7","0180411","201516"
"ELA: High Needs Students ","93.0","0180411","201516"
"Math: All Students ","95.4","0180411","201516"
"Math: High Needs Students ","93.0","0180411","201516"
"Science: All Students ",".","0180411","201516"
"Science: High Needs Students ",".","0180411","201516"
"ELA Performance index: All Students ","96.5","0185311","201415"
"EL Performance indexA: High Needs Students ","94.8","0185311","201415"
"Math Performance index: All Students ","96.5","0185311","201415"
"Math Performance index: High Needs Students ","95.9","0185311","201415"
"Science Performance index: All Students ","100","0185311","201415"
"Science Performance index: High Needs Students ","100","0185311","201415"
"ELA: All Students ","93.5","0185311","201516"
"ELA: High Needs Students ","85.2","0185311","201516"
"Math: All Students ","93","0185311","201516"
"Math: High Needs Students ","84.7","0185311","201516"
"Science: All Students ","98.7","0185311","201516"
"Science: High Needs Students ","97","0185311","201516"
"ELA: All Students ","86.2","0186111","201415"
"ELA: High Needs Students ","88.4","0186111","201415"
"Math: All Students ","93.6","0186111","201415"
"Math: High Needs Students ","95.3","0186111","201415"
"Science: All Students ","98.3","0186111","201415"
"Science: High Needs Students ","95.9","0186111","201415"
"ELA: All Students ","97.8","0186111","201516"
"ELA: High Needs Students ","97.9","0186111","201516"
"Math: All Students ","97.8","0186111","201516"
"Math: High Needs Students ","97.9","0186111","201516"
"Science: All Students ","98.6","0186111","201516"
"Science: High Needs Students ","97.3","0186111","201516"
"ELA Performance index: All Students ","98.9","0190111","201415"
"EL Performance indexA: High Needs Students ","98.2","0190111","201415"
"Math Performance index: All Students ","99.4","0190111","201415"
"Math Performance index: High Needs Students ","100.0","0190111","201415"
"Science Performance index: All Students ",".","0190111","201415"
"Science Performance index: High Needs Students ",".","0190111","201415"
"ELA: All Students ","100.0","0190111","201516"
"ELA: High Needs Students ","100.0","0190111","201516"
"Math: All Students ","100.0","0190111","201516"
"Math: High Needs Students ","100.0","0190111","201516"
"Science: All Students ",".","0190111","201516"
"Science: High Needs Students ",".","0190111","201516"
"ELA Performance index: All Students ","98.9","0195111","201415"
"EL Performance indexA: High Needs Students ","97.8","0195111","201415"
"Math Performance index: All Students ","98.9","0195111","201415"
"Math Performance index: High Needs Students ","97.8","0195111","201415"
"Science Performance index: All Students ","99.4","0195111","201415"
"Science Performance index: High Needs Students ","100","0195111","201415"
"ELA: All Students ","99.2","0195111","201516"
"ELA: High Needs Students ","97.7","0195111","201516"
"Math: All Students ","98.9","0195111","201516"
"Math: High Needs Students ","96.9","0195111","201516"
"Science: All Students ","99","0195111","201516"
"Science: High Needs Students ","97.3","0195111","201516"
"ELA Performance index: All Students ","98.1","0210111","201415"
"EL Performance indexA: High Needs Students ","100.0","0210111","201415"
"Math Performance index: All Students ","100.0","0210111","201415"
"Math Performance index: High Needs Students ","100.0","0210111","201415"
"Science Performance index: All Students ","100.0","0210111","201415"
"Science Performance index: High Needs Students ",".","0210111","201415"
"ELA: All Students ","96.1","0210111","201516"
"ELA: High Needs Students ",".","0210111","201516"
"Math: All Students ","94.1","0210111","201516"
"Math: High Needs Students ",".","0210111","201516"
"Science: All Students ","100.0","0210111","201516"
"Science: High Needs Students ",".","0210111","201516"
"ELA Performance index: All Students ","98.9","0220211","201415"
"EL Performance indexA: High Needs Students ","100.0","0220211","201415"
"Math Performance index: All Students ","98.9","0220211","201415"
"Math Performance index: High Needs Students ","100.0","0220211","201415"
"Science Performance index: All Students ",".","0220211","201415"
"Science Performance index: High Needs Students ",".","0220211","201415"
"ELA: All Students ","98.8","0220211","201516"
"ELA: High Needs Students ","96.4","0220211","201516"
"Math: All Students ","98.8","0220211","201516"
"Math: High Needs Students ","96.4","0220211","201516"
"Science: All Students ",".","0220211","201516"
"Science: High Needs Students ",".","0220211","201516"
"ELA Performance index: All Students ","99.1","0225111","201415"
"EL Performance indexA: High Needs Students ","98.7","0225111","201415"
"Math Performance index: All Students ","99.1","0225111","201415"
"Math Performance index: High Needs Students ","98.7","0225111","201415"
"Science Performance index: All Students ","99","0225111","201415"
"Science Performance index: High Needs Students ","97.1","0225111","201415"
"ELA: All Students ","98.7","0225111","201516"
"ELA: High Needs Students ","98.9","0225111","201516"
"Math: All Students ","98.7","0225111","201516"
"Math: High Needs Students ","98.9","0225111","201516"
"Science: All Students ","100","0225111","201516"
"Science: High Needs Students ","100","0225111","201516"
"ELA Performance index: All Students ","99.2","0230211","201415"
"EL Performance indexA: High Needs Students ","100.0","0230211","201415"
"Math Performance index: All Students ","99.2","0230211","201415"
"Math Performance index: High Needs Students ","100.0","0230211","201415"
"Science Performance index: All Students ",".","0230211","201415"
"Science Performance index: High Needs Students ",".","0230211","201415"
"ELA: All Students ","97.5","0230211","201516"
"ELA: High Needs Students ","95.7","0230211","201516"
"Math: All Students ","97.5","0230211","201516"
"Math: High Needs Students ","95.7","0230211","201516"
"Science: All Students ",".","0230211","201516"
"Science: High Needs Students ",".","0230211","201516"
"ELA Performance index: All Students ","99.8","0230311","201415"
"EL Performance indexA: High Needs Students ","100","0230311","201415"
"Math Performance index: All Students ","99.5","0230311","201415"
"Math Performance index: High Needs Students ","100","0230311","201415"
"Science Performance index: All Students ","99.2","0230311","201415"
"Science Performance index: High Needs Students ","100","0230311","201415"
"ELA: All Students ","99.5","0230311","201516"
"ELA: High Needs Students ","98.8","0230311","201516"
"Math: All Students ","99.5","0230311","201516"
"Math: High Needs Students ","98.8","0230311","201516"
"Science: All Students ","100","0230311","201516"
"Science: High Needs Students ","100","0230311","201516"
"ELA Performance index: All Students ","99.3","0235111","201415"
"EL Performance indexA: High Needs Students ","98.1","0235111","201415"
"Math Performance index: All Students ","98.2","0235111","201415"
"Math Performance index: High Needs Students ","94.4","0235111","201415"
"Science Performance index: All Students ","100","0235111","201415"
"Science Performance index: High Needs Students ","100","0235111","201415"
"ELA: All Students ","98.9","0235111","201516"
"ELA: High Needs Students ","100","0235111","201516"
"Math: All Students ","98.9","0235111","201516"
"Math: High Needs Students ","100","0235111","201516"
"Science: All Students ","100","0235111","201516"
"Science: High Needs Students ","100","0235111","201516"
"ELA: All Students ","100.0","0236111","201415"
"ELA: High Needs Students ",".","0236111","201415"
"Math: All Students ","100.0","0236111","201415"
"Math: High Needs Students ",".","0236111","201415"
"Science: All Students ","99.2","0236111","201415"
"Science: High Needs Students ","96.8","0236111","201415"
"ELA: All Students ","99.2","0236111","201516"
"ELA: High Needs Students ","100","0236111","201516"
"Math: All Students ","99.2","0236111","201516"
"Math: High Needs Students ","100","0236111","201516"
"Science: All Students ","96.8","0236111","201516"
"Science: High Needs Students ","90.6","0236111","201516"
"ELA Performance index: All Students ","77.3","0240211","201415"
"EL Performance indexA: High Needs Students ","79.5","0240211","201415"
"Math Performance index: All Students ","77.3","0240211","201415"
"Math Performance index: High Needs Students ","76.9","0240211","201415"
"Science Performance index: All Students ","100.0","0240211","201415"
"Science Performance index: High Needs Students ",".","0240211","201415"
"ELA: All Students ","98.7","0240211","201516"
"ELA: High Needs Students ","100.0","0240211","201516"
"Math: All Students ","97.4","0240211","201516"
"Math: High Needs Students ","97.8","0240211","201516"
"Science: All Students ","100.0","0240211","201516"
"Science: High Needs Students ",".","0240211","201516"
"ELA Performance index: All Students ","98.6","0250111","201415"
"EL Performance indexA: High Needs Students ","100.0","0250111","201415"
"Math Performance index: All Students ","98.6","0250111","201415"
"Math Performance index: High Needs Students ","100.0","0250111","201415"
"Science Performance index: All Students ","100.0","0250111","201415"
"Science Performance index: High Needs Students ",".","0250111","201415"
"ELA: All Students ","98.6","0250111","201516"
"ELA: High Needs Students ","100.0","0250111","201516"
"Math: All Students ","98.6","0250111","201516"
"Math: High Needs Students ","100.0","0250111","201516"
"Science: All Students ","100.0","0250111","201516"
"Science: High Needs Students ",".","0250111","201516"
"ELA Performance index: All Students ",".","0250211","201415"
"EL Performance indexA: High Needs Students ",".","0250211","201415"
"Math Performance index: All Students ",".","0250211","201415"
"Math Performance index: High Needs Students ",".","0250211","201415"
"Science Performance index: All Students ",".","0250211","201415"
"Science Performance index: High Needs Students ",".","0250211","201415"
"ELA: All Students ",".","0250211","201516"
"ELA: High Needs Students ",".","0250211","201516"
"Math: All Students ",".","0250211","201516"
"Math: High Needs Students ",".","0250211","201516"
"Science: All Students ",".","0250211","201516"
"Science: High Needs Students ",".","0250211","201516"
"ELA Performance index: All Students ","99","0250411","201415"
"EL Performance indexA: High Needs Students ","98","0250411","201415"
"Math Performance index: All Students ","99","0250411","201415"
"Math Performance index: High Needs Students ","98","0250411","201415"
"Science Performance index: All Students ","100","0250411","201415"
"Science Performance index: High Needs Students ","100","0250411","201415"
"ELA: All Students ","99.8","0250411","201516"
"ELA: High Needs Students ","100","0250411","201516"
"Math: All Students ","99.8","0250411","201516"
"Math: High Needs Students ","100","0250411","201516"
"Science: All Students ","100","0250411","201516"
"Science: High Needs Students ","100","0250411","201516"
"ELA Performance index: All Students ","98.3","0250511","201415"
"EL Performance indexA: High Needs Students ","95.9","0250511","201415"
"Math Performance index: All Students ","98.3","0250511","201415"
"Math Performance index: High Needs Students ","95.9","0250511","201415"
"Science Performance index: All Students ","100.0","0250511","201415"
"Science Performance index: High Needs Students ",".","0250511","201415"
"ELA: All Students ","98.2","0250511","201516"
"ELA: High Needs Students ","98.1","0250511","201516"
"Math: All Students ","98.2","0250511","201516"
"Math: High Needs Students ","98.1","0250511","201516"
"Science: All Students ","98.6","0250511","201516"
"Science: High Needs Students ",".","0250511","201516"
"ELA Performance index: All Students ","100.0","0250611","201415"
"EL Performance indexA: High Needs Students ","100.0","0250611","201415"
"Math Performance index: All Students ","100.0","0250611","201415"
"Math Performance index: High Needs Students ","100.0","0250611","201415"
"Science Performance index: All Students ","100.0","0250611","201415"
"Science Performance index: High Needs Students ",".","0250611","201415"
"ELA: All Students ","99.1","0250611","201516"
"ELA: High Needs Students ","98.6","0250611","201516"
"Math: All Students ","99.1","0250611","201516"
"Math: High Needs Students ","98.6","0250611","201516"
"Science: All Students ","100","0250611","201516"
"Science: High Needs Students ","100","0250611","201516"
"ELA Performance index: All Students ","99.2","0255111","201415"
"EL Performance indexA: High Needs Students ","97.4","0255111","201415"
"Math Performance index: All Students ","99.1","0255111","201415"
"Math Performance index: High Needs Students ","96.6","0255111","201415"
"Science Performance index: All Students ","100","0255111","201415"
"Science Performance index: High Needs Students ","100","0255111","201415"
"ELA: All Students ","99.6","0255111","201516"
"ELA: High Needs Students ","100","0255111","201516"
"Math: All Students ","99.3","0255111","201516"
"Math: High Needs Students ","99.2","0255111","201516"
"Science: All Students ","99.4","0255111","201516"
"Science: High Needs Students ","100","0255111","201516"
"ELA: All Students ","97.1","0256111","201415"
"ELA: High Needs Students ","93.5","0256111","201415"
"Math: All Students ","96.5","0256111","201415"
"Math: High Needs Students ","92.2","0256111","201415"
"Science: All Students ","99.7","0256111","201415"
"Science: High Needs Students ","98.7","0256111","201415"
"ELA: All Students ","97.4","0256111","201516"
"ELA: High Needs Students ","90.7","0256111","201516"
"Math: All Students ","97.4","0256111","201516"
"Math: High Needs Students ","90.7","0256111","201516"
"Science: All Students ","98.8","0256111","201516"
"Science: High Needs Students ","95.6","0256111","201516"
"ELA Performance index: All Students ","100.0","0260111","201415"
"EL Performance indexA: High Needs Students ","100.0","0260111","201415"
"Math Performance index: All Students ","100.0","0260111","201415"
"Math Performance index: High Needs Students ","100.0","0260111","201415"
"Science Performance index: All Students ","100.0","0260111","201415"
"Science Performance index: High Needs Students ",".","0260111","201415"
"ELA: All Students ","99.2","0260111","201516"
"ELA: High Needs Students ","100.0","0260111","201516"
"Math: All Students ","99.2","0260111","201516"
"Math: High Needs Students ","100.0","0260111","201516"
"Science: All Students ","100.0","0260111","201516"
"Science: High Needs Students ",".","0260111","201516"
"ELA Performance index: All Students ","98.7","0270111","201415"
"EL Performance indexA: High Needs Students ","99","0270111","201415"
"Math Performance index: All Students ","99.1","0270111","201415"
"Math Performance index: High Needs Students ","99","0270111","201415"
"Science Performance index: All Students ","100","0270111","201415"
"Science Performance index: High Needs Students ","100","0270111","201415"
"ELA: All Students ","99.4","0270111","201516"
"ELA: High Needs Students ","100","0270111","201516"
"Math: All Students ","99.4","0270111","201516"
"Math: High Needs Students ","100","0270111","201516"
"Science: All Students ","100","0270111","201516"
"Science: High Needs Students ","100","0270111","201516"
"ELA Performance index: All Students ","100.0","0270311","201415"
"EL Performance indexA: High Needs Students ","100.0","0270311","201415"
"Math Performance index: All Students ","100.0","0270311","201415"
"Math Performance index: High Needs Students ","100.0","0270311","201415"
"Science Performance index: All Students ",".","0270311","201415"
"Science Performance index: High Needs Students ",".","0270311","201415"
"ELA: All Students ","99.3","0270311","201516"
"ELA: High Needs Students ","100.0","0270311","201516"
"Math: All Students ","99.3","0270311","201516"
"Math: High Needs Students ","100.0","0270311","201516"
"Science: All Students ",".","0270311","201516"
"Science: High Needs Students ",".","0270311","201516"
"ELA Performance index: All Students ","97.2","0275111","201415"
"EL Performance indexA: High Needs Students ","100","0275111","201415"
"Math Performance index: All Students ","97.2","0275111","201415"
"Math Performance index: High Needs Students ","100","0275111","201415"
"Science Performance index: All Students ","100","0275111","201415"
"Science Performance index: High Needs Students ","100","0275111","201415"
"ELA: All Students ","98","0275111","201516"
"ELA: High Needs Students ","98","0275111","201516"
"Math: All Students ","98","0275111","201516"
"Math: High Needs Students ","98","0275111","201516"
"Science: All Students ","99.4","0275111","201516"
"Science: High Needs Students ","100","0275111","201516"
"ELA: All Students ","96.2","0276111","201415"
"ELA: High Needs Students ","94.9","0276111","201415"
"Math: All Students ","96.2","0276111","201415"
"Math: High Needs Students ","95","0276111","201415"
"Science: All Students ","98.4","0276111","201415"
"Science: High Needs Students ","94.7","0276111","201415"
"ELA: All Students ","96.9","0276111","201516"
"ELA: High Needs Students ","90.3","0276111","201516"
"Math: All Students ","96.9","0276111","201516"
"Math: High Needs Students ","90.3","0276111","201516"
"Science: All Students ","97","0276111","201516"
"Science: High Needs Students ","89.7","0276111","201516"
"ELA Performance index: All Students ","99.5","0280211","201415"
"EL Performance indexA: High Needs Students ","99.4","0280211","201415"
"Math Performance index: All Students ","99.5","0280211","201415"
"Math Performance index: High Needs Students ","99.4","0280211","201415"
"Science Performance index: All Students ","99.1","0280211","201415"
"Science Performance index: High Needs Students ","98.6","0280211","201415"
"ELA: All Students ","99.8","0280211","201516"
"ELA: High Needs Students ","99.4","0280211","201516"
"Math: All Students ","99.6","0280211","201516"
"Math: High Needs Students ","98.8","0280211","201516"
"Science: All Students ","100","0280211","201516"
"Science: High Needs Students ","100","0280211","201516"
"ELA Performance index: All Students ",".","0280411","201415"
"EL Performance indexA: High Needs Students ",".","0280411","201415"
"Math Performance index: All Students ",".","0280411","201415"
"Math Performance index: High Needs Students ",".","0280411","201415"
"Science Performance index: All Students ",".","0280411","201415"
"Science Performance index: High Needs Students ",".","0280411","201415"
"ELA: All Students ",".","0280411","201516"
"ELA: High Needs Students ",".","0280411","201516"
"Math: All Students ",".","0280411","201516"
"Math: High Needs Students ",".","0280411","201516"
"Science: All Students ",".","0280411","201516"
"Science: High Needs Students ",".","0280411","201516"
"ELA Performance index: All Students ","99.2","0285111","201415"
"EL Performance indexA: High Needs Students ","98.9","0285111","201415"
"Math Performance index: All Students ","98.7","0285111","201415"
"Math Performance index: High Needs Students ","98.9","0285111","201415"
"Science Performance index: All Students ","99.6","0285111","201415"
"Science Performance index: High Needs Students ","98.6","0285111","201415"
"ELA: All Students ","99.5","0285111","201516"
"ELA: High Needs Students ","99.4","0285111","201516"
"Math: All Students ","99.5","0285111","201516"
"Math: High Needs Students ","99.4","0285111","201516"
"Science: All Students ","100","0285111","201516"
"Science: High Needs Students ","100","0285111","201516"
"ELA: All Students ","96.2","0286111","201415"
"ELA: High Needs Students ","96.2","0286111","201415"
"Math: All Students ","95.7","0286111","201415"
"Math: High Needs Students ","96.2","0286111","201415"
"Science: All Students ","99","0286111","201415"
"Science: High Needs Students ","98.4","0286111","201415"
"ELA: All Students ","98.5","0286111","201516"
"ELA: High Needs Students ","96.2","0286111","201516"
"Math: All Students ","98.5","0286111","201516"
"Math: High Needs Students ","96.2","0286111","201516"
"Science: All Students ","99.1","0286111","201516"
"Science: High Needs Students ","100","0286111","201516"
"ELA Performance index: All Students ","92.5","0290111","201415"
"EL Performance indexA: High Needs Students ","90.0","0290111","201415"
"Math Performance index: All Students ","92.5","0290111","201415"
"Math Performance index: High Needs Students ","90.0","0290111","201415"
"Science Performance index: All Students ",".","0290111","201415"
"Science Performance index: High Needs Students ",".","0290111","201415"
"ELA: All Students ","95.8","0290111","201516"
"ELA: High Needs Students ",".","0290111","201516"
"Math: All Students ","95.8","0290111","201516"
"Math: High Needs Students ",".","0290111","201516"
"Science: All Students ",".","0290111","201516"
"Science: High Needs Students ",".","0290111","201516"
"ELA Performance index: All Students ","97.3","0300111","201415"
"EL Performance indexA: High Needs Students ","92","0300111","201415"
"Math Performance index: All Students ","97","0300111","201415"
"Math Performance index: High Needs Students ","90.9","0300111","201415"
"Science Performance index: All Students ","100","0300111","201415"
"Science Performance index: High Needs Students ","100","0300111","201415"
"ELA: All Students ","97.2","0300111","201516"
"ELA: High Needs Students ","96.4","0300111","201516"
"Math: All Students ","97.2","0300111","201516"
"Math: High Needs Students ","96.4","0300111","201516"
"Science: All Students ","100","0300111","201516"
"Science: High Needs Students ","100","0300111","201516"
"ELA Performance index: All Students ","93.8","0310111","201415"
"EL Performance indexA: High Needs Students ",".","0310111","201415"
"Math Performance index: All Students ","93.8","0310111","201415"
"Math Performance index: High Needs Students ",".","0310111","201415"
"Science Performance index: All Students ",".","0310111","201415"
"Science Performance index: High Needs Students ",".","0310111","201415"
"ELA: All Students ","96.8","0310111","201516"
"ELA: High Needs Students ",".","0310111","201516"
"Math: All Students ","96.8","0310111","201516"
"Math: High Needs Students ",".","0310111","201516"
"Science: All Students ","100.0","0310111","201516"
"Science: High Needs Students ",".","0310111","201516"
"ELA Performance index: All Students ",".","0320211","201415"
"EL Performance indexA: High Needs Students ",".","0320211","201415"
"Math Performance index: All Students ",".","0320211","201415"
"Math Performance index: High Needs Students ",".","0320211","201415"
"Science Performance index: All Students ",".","0320211","201415"
"Science Performance index: High Needs Students ",".","0320211","201415"
"ELA: All Students ",".","0320211","201516"
"ELA: High Needs Students ",".","0320211","201516"
"Math: All Students ",".","0320211","201516"
"Math: High Needs Students ",".","0320211","201516"
"Science: All Students ",".","0320211","201516"
"Science: High Needs Students ",".","0320211","201516"
"ELA Performance index: All Students ","99.5","0320411","201415"
"EL Performance indexA: High Needs Students ","100","0320411","201415"
"Math Performance index: All Students ","99.5","0320411","201415"
"Math Performance index: High Needs Students ","100","0320411","201415"
"Science Performance index: All Students ","100","0320411","201415"
"Science Performance index: High Needs Students ","100","0320411","201415"
"ELA: All Students ","99.7","0320411","201516"
"ELA: High Needs Students ","99","0320411","201516"
"Math: All Students ","99.7","0320411","201516"
"Math: High Needs Students ","99","0320411","201516"
"Science: All Students ","99.1","0320411","201516"
"Science: High Needs Students ","100","0320411","201516"
"ELA Performance index: All Students ","97.7","0325111","201415"
"EL Performance indexA: High Needs Students ","97.2","0325111","201415"
"Math Performance index: All Students ","96.4","0325111","201415"
"Math Performance index: High Needs Students ","94.5","0325111","201415"
"Science Performance index: All Students ","98.3","0325111","201415"
"Science Performance index: High Needs Students ","97.3","0325111","201415"
"ELA: All Students ","98","0325111","201516"
"ELA: High Needs Students ","96.5","0325111","201516"
"Math: All Students ","98","0325111","201516"
"Math: High Needs Students ","96.5","0325111","201516"
"Science: All Students ","98.6","0325111","201516"
"Science: High Needs Students ","97.1","0325111","201516"
"ELA: All Students ","85.9","0326111","201415"
"ELA: High Needs Students ","81.1","0326111","201415"
"Math: All Students ","80.5","0326111","201415"
"Math: High Needs Students ","75.7","0326111","201415"
"Science: All Students ","100","0326111","201415"
"Science: High Needs Students ","100","0326111","201415"
"ELA: All Students ","98.4","0326111","201516"
"ELA: High Needs Students ","96.8","0326111","201516"
"Math: All Students ","98.4","0326111","201516"
"Math: High Needs Students ","96.8","0326111","201516"
"Science: All Students ","99.1","0326111","201516"
"Science: High Needs Students ","100","0326111","201516"
"ELA Performance index: All Students ",".","0330211","201415"
"EL Performance indexA: High Needs Students ",".","0330211","201415"
"Math Performance index: All Students ",".","0330211","201415"
"Math Performance index: High Needs Students ",".","0330211","201415"
"Science Performance index: All Students ",".","0330211","201415"
"Science Performance index: High Needs Students ",".","0330211","201415"
"ELA: All Students ",".","0330211","201516"
"ELA: High Needs Students ",".","0330211","201516"
"Math: All Students ",".","0330211","201516"
"Math: High Needs Students ",".","0330211","201516"
"Science: All Students ",".","0330211","201516"
"Science: High Needs Students ",".","0330211","201516"
"ELA Performance index: All Students ","99.8","0330311","201415"
"EL Performance indexA: High Needs Students ","100","0330311","201415"
"Math Performance index: All Students ","100","0330311","201415"
"Math Performance index: High Needs Students ","100","0330311","201415"
"Science Performance index: All Students ","100","0330311","201415"
"Science Performance index: High Needs Students ","100","0330311","201415"
"ELA: All Students ","99.6","0330311","201516"
"ELA: High Needs Students ","99.3","0330311","201516"
"Math: All Students ","99.6","0330311","201516"
"Math: High Needs Students ","99.3","0330311","201516"
"Science: All Students ","100","0330311","201516"
"Science: High Needs Students ","100","0330311","201516"
"ELA Performance index: All Students ","100","0335111","201415"
"EL Performance indexA: High Needs Students ","100","0335111","201415"
"Math Performance index: All Students ","99.8","0335111","201415"
"Math Performance index: High Needs Students ","99.3","0335111","201415"
"Science Performance index: All Students ","100","0335111","201415"
"Science Performance index: High Needs Students ","100","0335111","201415"
"ELA: All Students ","100","0335111","201516"
"ELA: High Needs Students ","100","0335111","201516"
"Math: All Students ","100","0335111","201516"
"Math: High Needs Students ","100","0335111","201516"
"Science: All Students ","100","0335111","201516"
"Science: High Needs Students ","100","0335111","201516"
"ELA: All Students ","97.9","0336111","201415"
"ELA: High Needs Students ","96.8","0336111","201415"
"Math: All Students ","97.9","0336111","201415"
"Math: High Needs Students ","96.8","0336111","201415"
"Science: All Students ","100","0336111","201415"
"Science: High Needs Students ","100","0336111","201415"
"ELA: All Students ","98.7","0336111","201516"
"ELA: High Needs Students ","98.1","0336111","201516"
"Math: All Students ","98.7","0336111","201516"
"Math: High Needs Students ","98.1","0336111","201516"
"Science: All Students ","99.3","0336111","201516"
"Science: High Needs Students ","97.1","0336111","201516"
"ELA Performance index: All Students ","98.4","0340211","201415"
"EL Performance indexA: High Needs Students ","97.9","0340211","201415"
"Math Performance index: All Students ","100","0340211","201415"
"Math Performance index: High Needs Students ","100","0340211","201415"
"Science Performance index: All Students ","100","0340211","201415"
"Science Performance index: High Needs Students ","100","0340211","201415"
"ELA: All Students ","99.5","0340211","201516"
"ELA: High Needs Students ","99.4","0340211","201516"
"Math: All Students ","99.5","0340211","201516"
"Math: High Needs Students ","99.4","0340211","201516"
"Science: All Students ","98.5","0340211","201516"
"Science: High Needs Students ","98.1","0340211","201516"
"ELA Performance index: All Students ","99.2","0340311","201415"
"EL Performance indexA: High Needs Students ","99.3","0340311","201415"
"Math Performance index: All Students ","99","0340311","201415"
"Math Performance index: High Needs Students ","98.6","0340311","201415"
"Science Performance index: All Students ","100","0340311","201415"
"Science Performance index: High Needs Students ","100","0340311","201415"
"ELA: All Students ","99.4","0340311","201516"
"ELA: High Needs Students ","100","0340311","201516"
"Math: All Students ","99","0340311","201516"
"Math: High Needs Students ","100","0340311","201516"
"Science: All Students ","100","0340311","201516"
"Science: High Needs Students ","100","0340311","201516"
"ELA Performance index: All Students ","97.6","0340511","201415"
"EL Performance indexA: High Needs Students ","98.0","0340511","201415"
"Math Performance index: All Students ","98.8","0340511","201415"
"Math Performance index: High Needs Students ","100.0","0340511","201415"
"Science Performance index: All Students ",".","0340511","201415"
"Science Performance index: High Needs Students ",".","0340511","201415"
"ELA: All Students ","97.5","0340511","201516"
"ELA: High Needs Students ","100.0","0340511","201516"
"Math: All Students ","97.5","0340511","201516"
"Math: High Needs Students ","100.0","0340511","201516"
"Science: All Students ",".","0340511","201516"
"Science: High Needs Students ",".","0340511","201516"
"ELA Performance index: All Students ","100","0340611","201415"
"EL Performance indexA: High Needs Students ","100","0340611","201415"
"Math Performance index: All Students ","100","0340611","201415"
"Math Performance index: High Needs Students ","100","0340611","201415"
"Science Performance index: All Students ","100","0340611","201415"
"Science Performance index: High Needs Students ","100","0340611","201415"
"ELA: All Students ","100","0340611","201516"
"ELA: High Needs Students ","100","0340611","201516"
"Math: All Students ","100","0340611","201516"
"Math: High Needs Students ","100","0340611","201516"
"Science: All Students ","100","0340611","201516"
"Science: High Needs Students ","100","0340611","201516"
"ELA Performance index: All Students ","99.6","0340811","201415"
"EL Performance indexA: High Needs Students ","99.5","0340811","201415"
"Math Performance index: All Students ","100","0340811","201415"
"Math Performance index: High Needs Students ","100","0340811","201415"
"Science Performance index: All Students ","98.5","0340811","201415"
"Science Performance index: High Needs Students ","98.3","0340811","201415"
"ELA: All Students ","100","0340811","201516"
