"phys","phys4","phys6","phys8","phys10","school_code","year"
"Sit & Reach ","89.8","97.8",NA,NA,"0010111","201314"
"Curl Up ","67.3","76.1",NA,NA,"0010111","201314"
"Push Up ","81.6","80.4",NA,NA,"0010111","201314"
"Mile Run/PACER ","87.8","95.7",NA,NA,"0010111","201314"
"All Tests - School ","40.8","63",NA,NA,"0010111","201314"
"All Tests - District ","40.8","63",NA,NA,"0010111","201314"
"Sit & Reach ","95.1","92.7","N/A ","N/A","0010111","201415"
"Curl Up ","80.5","82.9","N/A ","N/A","0010111","201415"
"Push Up ","85.4","78","N/A ","N/A","0010111","201415"
"Mile Run/PACER ","75.6","92.7","N/A ","N/A","0010111","201415"
"All Tests - School ","63.4","70.7","N/A ","N/A","0010111","201415"
"All Tests - District ","63.4","70.7","N/A ","N/A","0010111","201415"
"Sit & Reach ","97.4","95.8","N/A ","N/A","0010111","201516"
"Curl Up ","86.8","83.3","N/A ","N/A","0010111","201516"
"Push Up ","97.4","87.5","N/A ","N/A","0010111","201516"
"Mile Run/PACER ","94.7","100","N/A ","N/A","0010111","201516"
"All Tests - School ","81.6","72.9","N/A ","N/A","0010111","201516"
"All Tests - District ","81.6","72.9","N/A ","N/A","0010111","201516"
"Sit & Reach ","87.5","74.7",". ",".","0020311","201314"
"Curl Up ","56.3","39.6",". ",".","0020311","201314"
"Push Up ","38.8","42.9",". ",".","0020311","201314"
"Mile Run/PACER ","83.8","83.5",". ",".","0020311","201314"
"All Tests - School ","23.8","16.5",". ",".","0020311","201314"
"All Tests - District ","26.3","17.8","41.9 ","60.5","0020311","201314"
"Sit & Reach ","77.5","71.8","N/A ","N/A","0020311","201415"
"Curl Up ","63.8","58.8","N/A ","N/A","0020311","201415"
"Push Up ","57.5","50.6","N/A ","N/A","0020311","201415"
"Mile Run/PACER ","88.8","82.4","N/A ","N/A","0020311","201415"
"All Tests - School ","38.8","38.8","N/A ","N/A","0020311","201415"
"All Tests - District ","41.8","40.2","26.1 ","43.6","0020311","201415"
"Sit & Reach ","79","75.9","N/A ","N/A","0020311","201516"
"Curl Up ","64.2","46","N/A ","N/A","0020311","201516"
"Push Up ","54.3","46","N/A ","N/A","0020311","201516"
"Mile Run/PACER ","70.4","87.4","N/A ","N/A","0020311","201516"
"All Tests - School ","39.5","26.4","N/A ","N/A","0020311","201516"
"All Tests - District ","37.5","33.3","36.6 ","69.5","0020311","201516"
"Sit & Reach ","73.7","78.7",". ",".","0020811","201314"
"Curl Up ","92.1","87.6",". ",".","0020811","201314"
"Push Up ","48.7","59.6",". ",".","0020811","201314"
"Mile Run/PACER ","72.4","30.3",". ",".","0020811","201314"
"All Tests - School ","28.9","19.1",". ",".","0020811","201314"
"All Tests - District ","26.3","17.8","41.9 ","60.5","0020811","201314"
"Sit & Reach ","85.9","81","N/A ","N/A","0020811","201415"
"Curl Up ","90.6","92.4","N/A ","N/A","0020811","201415"
"Push Up ","68.2","60.8","N/A ","N/A","0020811","201415"
"Mile Run/PACER ","57.6","63.3","N/A ","N/A","0020811","201415"
"All Tests - School ","44.7","41.8","N/A ","N/A","0020811","201415"
"All Tests - District ","41.8","40.2","26.1 ","43.6","0020811","201415"
"Sit & Reach ","92.4","85.2","N/A ","N/A","0020811","201516"
"Curl Up ","92.4","87.7","N/A ","N/A","0020811","201516"
"Push Up ","73.4","79","N/A ","N/A","0020811","201516"
"Mile Run/PACER ","53.2","50.6","N/A ","N/A","0020811","201516"
"All Tests - School ","35.4","40.7","N/A ","N/A","0020811","201516"
"All Tests - District ","37.5","33.3","36.6 ","69.5","0020811","201516"
"Sit & Reach ",". ",". ","87.8",".","0025111","201314"
"Curl Up ",". ",". ","89",".","0025111","201314"
"Push Up ",". ",". ","66.9",".","0025111","201314"
"Mile Run/PACER ",". ",". ","52.3",".","0025111","201314"
"All Tests - School ",". ",". ","41.9",".","0025111","201314"
"All Tests - District ","26.3 ","17.8 ","41.9","60.5","0025111","201314"
"Sit & Reach ","N/A ","N/A ","62.1","N/A","0025111","201415"
"Curl Up ","N/A ","N/A ","81.4","N/A","0025111","201415"
"Push Up ","N/A ","N/A ","61.5","N/A","0025111","201415"
"Mile Run/PACER ","N/A ","N/A ","55.9","N/A","0025111","201415"
"All Tests - School ","N/A ","N/A ","26.1","N/A","0025111","201415"
"All Tests - District ","41.8 ","40.2 ","26.1","43.6","0025111","201415"
"Sit & Reach ","N/A ","N/A ","87.6","N/A","0025111","201516"
"Curl Up ","N/A ","N/A ","91","N/A","0025111","201516"
"Push Up ","N/A ","N/A ","67.6","N/A","0025111","201516"
"Mile Run/PACER ","N/A ","N/A ","64.1","N/A","0025111","201516"
"All Tests - School ","N/A ","N/A ","36.6","N/A","0025111","201516"
"All Tests - District ","37.5 ","33.3 ","36.6","69.5","0025111","201516"
"Sit & Reach ",". ",". ",". ","90.7","0026111","201314"
"Curl Up ",". ",". ",". ","95.3","0026111","201314"
"Push Up ",". ",". ",". ","79.1","0026111","201314"
"Mile Run/PACER ",". ",". ",". ","71.3","0026111","201314"
"All Tests - School ",". ",". ",". ","60.5","0026111","201314"
"All Tests - District ","26.3 ","17.8 ","41.9 ","60.5","0026111","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","91.7","0026111","201415"
"Curl Up ","N/A ","N/A ","N/A ","64.1","0026111","201415"
"Push Up ","N/A ","N/A ","N/A ","67.3","0026111","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","67.3","0026111","201415"
"All Tests - School ","N/A ","N/A ","N/A ","44.9","0026111","201415"
"All Tests - District ","41.8 ","40.2 ","26.1 ","43.6","0026111","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","90.4","0026111","201516"
"Curl Up ","N/A ","N/A ","N/A ","97.8","0026111","201516"
"Push Up ","N/A ","N/A ","N/A ","88.2","0026111","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","71.3","0026111","201516"
"All Tests - School ","N/A ","N/A ","N/A ","69.9","0026111","201516"
"All Tests - District ","37.5 ","33.3 ","36.6 ","69.5","0026111","201516"
"Sit & Reach ","94.7","93.8","77.3",NA,"0030111","201314"
"Curl Up ","84.2","43.8","72.7",NA,"0030111","201314"
"Push Up ","52.6","84.4","86.4",NA,"0030111","201314"
"Mile Run/PACER ","81.6","56.3","65.9",NA,"0030111","201314"
"All Tests - School ","50","40.6","45.5",NA,"0030111","201314"
"All Tests - District ","50","40.6","45.5",NA,"0030111","201314"
"Sit & Reach ","100","98","87.8","N/A","0030111","201415"
"Curl Up ","88.1","85.7","79.6","N/A","0030111","201415"
"Push Up ","66.7","57.1","67.3","N/A","0030111","201415"
"Mile Run/PACER ","78.6","69.4","61.2","N/A","0030111","201415"
"All Tests - School ","54.8","40.8","49","N/A","0030111","201415"
"All Tests - District ","54.8","40.8","49","N/A","0030111","201415"
"Sit & Reach ","62.8 ","29.7 ","37.9","N/A","0030111","201516"
"Curl Up ","72.1 ","86.5 ","89.7","N/A","0030111","201516"
"Push Up ","* ","29.7 ","58.6","N/A","0030111","201516"
"Mile Run/PACER ","79.1 ","56.8 ","75.9","N/A","0030111","201516"
"All Tests - School ","* ","* ","20.7","N/A","0030111","201516"
"All Tests - District ","* ","* ","20.7","N/A","0030111","201516"
"Sit & Reach ","85.4",". ",". ",".","0040311","201314"
"Curl Up ","80.3",". ",". ",".","0040311","201314"
"Push Up ","62.8",". ",". ",".","0040311","201314"
"Mile Run/PACER ","88.3",". ",". ",".","0040311","201314"
"All Tests - School ","58.4",". ",". ",".","0040311","201314"
"All Tests - District ","47.2","75.2 ","54.6 ","52.1","0040311","201314"
"Sit & Reach ","68.8","N/A ","N/A ","N/A","0040311","201415"
"Curl Up ","90.6","N/A ","N/A ","N/A","0040311","201415"
"Push Up ","80.5","N/A ","N/A ","N/A","0040311","201415"
