"school_code","year","female","male"
"0435111","201516",519,555
"0436211","201314",853,829
"0436211","201415",851,823
"0436211","201516",801,848
"0436311","201314",124,73
"0436311","201415",132,71
"0436311","201516",123,69
"0436411","201314",36,69
"0436411","201415",44,75
"0436411","201516",41,69
"0440111","201314",165,164
"0440111","201415",154,158
"0440111","201516",158,150
"0440711","201314",77,75
"0440711","201415",74,73
"0440711","201516",92,94
"0441011","201314",90,83
"0441011","201415",105,73
"0441011","201516",97,75
"0441311","201314",97,105
"0441311","201415",98,80
"0441311","201516",102,87
"0441711","201314",143,126
"0441711","201415",135,130
"0441711","201516",129,135
"0441811","201314",85,108
"0441811","201415",76,107
"0441811","201516",68,98
"0445111","201314",250,321
"0445111","201415",257,325
"0445111","201516",277,312
"0446111","201314",447,460
"0446111","201415",435,445
"0446111","201516",428,461
"0450111","201314",162,192
"0450111","201415",159,189
"0450111","201516",161,182
"0450211","201314",99,91
"0450211","201415",93,86
"0450211","201516",80,88
"0450411","201314",169,170
"0450411","201415",161,153
"0450411","201516",137,153
"0455111","201314",438,437
"0455111","201415",414,447
"0455111","201516",409,439
"0456111","201314",536,527
"0456111","201415",523,530
"0456111","201516",529,516
"0460111","201314",300,310
"0460111","201415",305,307
"0460111","201516",301,311
"0465111","201314",147,204
"0465111","201415",135,188
"0465111","201516",138,171
"0470111","201314",248,258
"0470111","201415",236,244
"0470111","201516",180,201
"0475411","201314",174,171
"0475411","201415",143,170
"0475411","201516",182,206
"0476111","201314",166,182
"0476111","201415",156,176
"0476111","201516",154,170
"0480111","201314",201,192
"0480111","201415",185,191
"0480111","201516",178,183
"0480211","201314",98,105
"0480211","201415",90,108
"0480211","201516",87,114
"0480611","201314",220,219
"0480611","201415",219,220
"0480611","201516",220,210
"0480711","201314",190,226
"0480711","201415",216,219
"0480711","201516",227,219
"0485111","201314",197,212
"0485111","201415",212,222
"0485111","201516",191,229
"0486111","201314",405,392
"0486111","201415",393,380
"0486111","201516",397,374
"0490211","201314",144,144
"0490211","201415",138,148
"0490211","201516",136,140
"0490411","201314",156,198
"0490411","201415",168,192
"0490411","201516",155,189
"0491011","201516",21,15
"0491111","201314",117,104
"0491111","201415",115,108
"0491111","201516",100,122
"0491311","201314",169,167
"0491311","201415",167,159
"0491311","201516",158,165
"0491511","201314",207,211
"0491511","201415",196,193
"0491511","201516",209,203
"0491611","201314",176,208
"0491611","201415",188,189
"0491611","201516",213,198
"0491811","201314",165,175
"0491811","201415",160,196
"0491811","201516",163,201
"0495211","201314",532,589
"0495211","201415",530,569
"0495211","201516",534,531
"0496111","201314",342,365
"0496111","201415",361,348
"0496111","201516",359,356
"0500111","201314",237,271
"0500111","201415",213,238
"0500111","201516",199,218
"0510111","201314",142,164
"0510111","201415",150,169
"0510111","201516",155,180
"0510211","201314",213,240
"0510211","201415",202,226
"0510211","201516",200,218
"0510411","201314",205,193
"0510411","201415",208,199
"0510411","201516",209,196
"0510611","201314",230,228
"0510611","201415",233,209
"0510611","201516",218,208
"0510711","201314",211,218
"0510711","201415",204,209
"0510711","201516",192,190
"0511211","201314",194,205
"0511211","201415",194,204
"0511211","201516",200,208
"0511311","201314",234,223
"0511311","201415",247,228
"0511311","201516",247,232
"0511411","201314",227,270
"0511411","201415",211,249
"0511411","201516",205,235
"0511611","201314",212,232
"0511611","201415",211,230
"0511611","201516",201,214
"0511711","201314",133,194
"0511711","201415",126,198
"0511711","201516",125,195
"0511811","201314",254,272
"0511811","201415",254,249
"0511811","201516",231,258
"0515111","201314",352,346
"0515111","201415",362,358
"0515111","201516",342,343
"0515211","201314",440,486
"0515211","201415",437,478
"0515211","201516",421,465
"0515311","201314",423,437
"0515311","201415",397,408
"0515311","201516",404,398
"0516011","201314",799,710
"0516011","201415",824,717
"0516011","201516",775,733
"0516211","201314",728,731
"0516211","201415",717,725
"0516211","201516",761,757
"0520111","201314",154,162
"0520111","201415",149,156
"0520111","201516",160,162
"0520211","201314",163,175
"0520211","201415",168,166
"0520211","201516",185,178
"0520311","201314",162,179
"0520311","201415",149,166
"0520311","201516",146,154
"0520411","201314",212,221
"0520411","201415",218,227
"0520411","201516",218,225
"0520511","201314",315,305
"0520511","201415",347,326
"0520511","201516",329,334
"0525111","201314",269,302
"0525111","201415",271,299
"0525111","201516",325,298
"0526111","201314",606,708
"0526111","201415",587,677
"0526111","201516",551,669
"0530111","201314",85,96
"0530111","201415",78,89
"0530111","201516",75,92
"0540211","201314",246,233
"0540211","201415",229,221
"0540211","201516",229,230
"0540311","201314",143,151
"0540311","201415",134,126
"0540311","201516",132,124
"0540411","201314",208,233
"0540411","201415",190,207
"0540411","201516",197,203
"0540611","201314",209,229
"0540611","201415",193,218
"0540611","201516",190,196
"0540711","201314",220,193
"0540711","201415",207,180
"0540711","201516",178,183
"0540811","201314",261,248
"0540811","201415",276,243
"0540811","201516",232,247
"0540911","201314",319,290
"0540911","201415",278,272
"0540911","201516",286,267
"0545211","201314",495,539
"0545211","201415",501,530
"0545211","201516",538,498
"0546111","201314",NA,NA
"0546111","201415",NA,968
"0546111","201516",NA,975
"0560111","201314",192,198
"0560111","201415",189,189
"0560111","201516",208,200
"0560311","201314",142,146
"0560311","201415",140,143
"0560311","201516",128,133
"0560411","201314",154,162
"0560411","201415",140,140
"0560411","201516",142,129
"0565111","201314",165,167
"0565111","201415",162,168
"0565111","201516",148,164
"0566111","201314",350,374
"0566111","201415",322,361
"0566111","201516",328,366
"0570211","201314",220,224
"0570211","201415",204,234
"0570211","201516",212,225
"0570311","201314",168,176
"0570311","201415",174,195
"0570311","201516",176,185
"0570411","201314",209,196
"0570411","201415",219,205
"0570411","201516",229,222
"0570511","201314",192,194
"0570511","201415",200,191
"0570511","201516",179,185
"0570611","201314",114,150
"0570611","201415",122,142
"0570611","201516",121,144
"0570711","201314",221,226
"0570711","201415",239,248
"0570711","201516",224,258
"0570811","201314",184,210
"0570811","201415",176,208
"0570811","201516",180,212
"0570911","201314",208,220
"0570911","201415",214,218
"0570911","201516",221,228
"0571011","201314",228,268
"0571011","201415",228,269
"0571011","201516",217,266
"0571111","201314",123,142
"0571111","201415",121,137
"0571111","201516",119,142
"0571311","201314",195,183
"0571311","201415",191,179
"0571311","201516",187,181
"0575111","201314",289,306
"0575111","201415",269,309
"0575111","201516",266,301
"0575211","201314",386,393
"0575211","201415",393,418
"0575211","201516",398,424
"0575311","201314",230,274
"0575311","201415",259,273
"0575311","201516",253,NA
"0576111","201314",NA,NA
"0576111","201415",NA,NA
"0576111","201516",NA,NA
"0580111","201415",NA,NA
"0580111","201516",NA,NA
"0580311","201314",363,423
"0580311","201415",352,404
"0580311","201516",356,401
"0585111","201314",293,284
"0585111","201415",272,275
"0585111","201516",279,266
"0586211","201314",296,306
"0586211","201415",303,268
"0586211","201516",292,273
"0590111","201314",163,170
"0590111","201415",134,175
"0590111","201516",133,149
"0590311","201314",191,171
"0590311","201415",183,173
"0590311","201516",176,155
"0591211","201314",141,153
"0591211","201415",138,149
"0591211","201516",149,147
"0591711","201314",204,218
"0591711","201415",195,201
"0591711","201516",195,181
"0591811","201314",197,188
"0591811","201415",172,186
"0591811","201516",180,203
"0591911","201314",198,212
"0591911","201415",191,208
"0591911","201516",173,206
"0592011","201314",176,235
"0592011","201415",175,225
"0592011","201516",182,214
"0595211","201314",236,244
"0595211","201415",243,230
"0595211","201516",231,224
"0595311","201314",212,237
"0595311","201415",236,225
"0595311","201516",234,261
"0596111","201314",556,567
"0596111","201415",526,563
"0596111","201516",507,563
"0600211","201314",170,173
"0600211","201415",153,176
"0600211","201516",153,169
"0600311","201314",157,180
"0600311","201415",156,162
"0600311","201516",163,158
"0600411","201314",123,164
"0600411","201415",103,159
"0600411","201516",101,153
"0600611","201314",147,166
"0600611","201415",153,169
"0600611","201516",141,161
"0600711","201314",292,288
"0600711","201415",258,276
"0600711","201516",268,291
"0605111","201314",300,283
"0605111","201415",287,272
"0605111","201516",277,275
"0606111","201314",521,546
"0606111","201415",535,541
"0606111","201516",533,550
"0620111","201314",161,167
"0620111","201415",143,177
"0620111","201516",138,166
"0620211","201314",173,179
"0620211","201415",158,169
"0620211","201516",161,172
"0620311","201314",158,151
"0620311","201415",143,153
"0620311","201516",121,153
"0620411","201314",146,184
"0620411","201415",145,186
"0620411","201516",147,169
"0621011","201314",219,216
"0621011","201415",218,216
"0621011","201516",223,222
"0621111","201314",127,172
"0621111","201415",153,169
"0621111","201516",153,164
"0621211","201314",223,226
"0621211","201415",230,218
"0621211","201516",217,239
"0621411","201314",213,237
"0621411","201415",214,216
"0621411","201516",202,206
"0625211","201314",410,455
"0625211","201415",399,404
"0625211","201516",405,411
"0626111","201314",865,946
"0626111","201415",807,889
"0626111","201516",767,831
"0630111","201314",45,66
"0630111","201415",40,65
"0630111","201516",40,61
"0640111","201314",215,244
"0640111","201415",193,209
"0640111","201516",184,210
"0640411","201314",232,295
"0640411","201415",220,246
"0640411","201516",211,267
"0640511","201314",87,71
"0640511","201415",119,93
"0640511","201516",140,119
"0640611","201314",255,286
"0640611","201415",264,317
"0640611","201516",242,278
"0640711","201314",305,330
"0640711","201415",320,341
"0640711","201516",296,353
"0640811","201314",304,265
"0640811","201415",310,292
"0640811","201516",313,308
"0640911","201314",255,341
"0640911","201415",270,337
"0640911","201516",272,341
