drg,year,school,male,district,female,district_code,total,school_code
A,2007-08,,15556.0,,14806.0,51470485,30362.0,51584585
A,2008-09,,15543.0,,14927.0,51470485,30470.0,51584585
A,2009-10,,15482.0,,14762.0,51470485,30244.0,51584585
A,2010-11,,15535.0,,14784.0,51040485,30319.0,51162985
A,2011-12,,15410.0,,14727.0,51040485,30137.0,51162985
A,2012-13,,15375.0,,14645.0,51040485,30020.0,51162985
A,2013-14,,15336.0,,14548.0,51040485,29884.0,51162985
A,2014-15,,15196.0,,14435.0,53830507,29639.0,53961107
A,2015-16,,14938.0,,14242.0,63290584,29202.0,63424784
A,2016-17,,14725.0,,14041.0,61680573,28774.0,61815673
B,2007-08,,51414.0,,48813.0,143441748,100227.0,143813548
B,2008-09,,51077.0,,48563.0,147511781,99653.0,147909781
B,2009-10,,50820.0,,48356.0,147301781,99188.0,147700681
B,2010-11,,50255.0,,47976.0,147301781,98243.0,147700681
B,2011-12,,49490.0,,47193.0,148971792,96701.0,149388292
B,2012-13,,48737.0,,46482.0,148621792,95237.0,149047292
B,2013-14,,47769.0,,45745.0,149161803,93537.0,149587403
B,2014-15,,46732.0,,45007.0,169012056,91866.0,169487056
B,2015-16,,46189.0,,44207.0,165752002,90509.0,166222402
B,2016-17,,45961.0,,43924.0,169482024,90005.0,169944924
C,2007-08,,20079.0,,19512.0,126501032,39604.0,126766732
C,2008-09,,20127.0,,19483.0,128571044,39648.0,128846144
C,2009-10,,20160.0,,19357.0,128571044,39536.0,128846144
C,2010-11,,19925.0,,19310.0,127651033,39252.0,127917133
C,2011-12,,19418.0,,18896.0,127651033,38335.0,127917133
C,2012-13,,18938.0,,18518.0,129731045,37514.0,130003345
C,2013-14,,18377.0,,17871.0,125491021,36301.0,125744421
C,2014-15,,17745.0,,17315.0,132561078,35091.0,132800878
C,2015-16,,17249.0,,16911.0,140901147,34237.0,141142847
C,2016-17,,16849.0,,16642.0,142101137,33571.0,142342137
D,2007-08,,44534.0,,42920.0,149821705,87475.0,150233305
D,2008-09,,43798.0,,42480.0,146351683,86303.0,146765683
D,2009-10,,43258.0,,41862.0,147311694,85146.0,147734694
D,2010-11,,42533.0,,40979.0,149431705,83542.0,149872005
D,2011-12,,41807.0,,39990.0,146871683,81809.0,147303783
D,2012-13,,41019.0,,39423.0,145231672,80472.0,145662772
D,2013-14,,40127.0,,38543.0,147971694,78708.0,148403094
D,2014-15,,39448.0,,37679.0,167881892,77248.0,168326192
D,2015-16,,39037.0,,37158.0,183812024,76368.0,184264124
D,2016-17,,38380.0,,36703.0,193572123,75296.0,194033523
E,2007-08,,13245.0,,12889.0,83280814,26159.0,83454814
E,2008-09,,13010.0,,12640.0,84010825,25674.0,84190825
E,2009-10,,12665.0,,12415.0,84990836,25091.0,85180036
E,2010-11,,12338.0,,12125.0,81940813,24463.0,82121513
E,2011-12,,11815.0,,11739.0,80960802,23560.0,81132502
E,2012-13,,11462.0,,11343.0,84010825,22821.0,84199625
E,2013-14,,11128.0,,10927.0,83280814,22075.0,83463614
E,2014-15,,10776.0,,10635.0,87930859,21435.0,88105559
E,2015-16,,10594.0,,10435.0,89390861,21051.0,89564161
E,2016-17,,10433.0,,10229.0,88320850,20684.0,88481450
F,2007-08,,15670.0,,14788.0,66570716,30458.0,66756016
F,2008-09,,15367.0,,14595.0,65950716,29970.0,66145016
F,2009-10,,14900.0,,14107.0,65950716,29007.0,66145016
F,2010-11,,14639.0,,13764.0,65950716,28413.0,66145016
F,2011-12,,14110.0,,13401.0,64970694,27521.0,65162094
F,2012-13,,13743.0,,13078.0,63730683,26821.0,63921583
F,2013-14,,13375.0,,12608.0,64840694,25983.0,65038694
F,2014-15,,13092.0,,12319.0,75590815,25454.0,75785815
F,2015-16,,12935.0,,12074.0,78450859,25051.0,78648859
F,2016-17,,12703.0,,11899.0,77340848,24659.0,77527748
G,2007-08,,35688.0,,33803.0,133981628,69564.0,134389928
G,2008-09,,35287.0,,33252.0,130531595,68608.0,130920495
G,2009-10,,35208.0,,33167.0,134581650,68435.0,134990650
G,2010-11,,34695.0,,32708.0,134741617,67460.0,135174917
G,2011-12,,33934.0,,31887.0,134801617,65940.0,135243517
G,2012-13,,33337.0,,31202.0,133101584,64628.0,133530884
G,2013-14,,32729.0,,30836.0,135251606,63667.0,135681806
G,2014-15,,32050.0,,30255.0,164532035,62536.0,165011235
G,2015-16,,31534.0,,29830.0,205482244,61660.0,205985744
G,2016-17,,31380.0,,29881.0,193702233,61512.0,194213233
H,2007-08,,34216.0,,31983.0,103431298,66214.0,103768798
H,2008-09,,33921.0,,31886.0,103451309,65821.0,103797809
H,2009-10,,33893.0,,32036.0,103431298,65948.0,103768798
H,2010-11,,34022.0,,32145.0,99641276,66181.0,99980876
H,2011-12,,34160.0,,32143.0,99641276,66319.0,99980876
H,2012-13,,34224.0,,32095.0,99641276,66365.0,99983976
H,2013-14,,34243.0,,32217.0,101201287,66475.0,101542387
H,2014-15,,34227.0,,32353.0,107971364,66600.0,108305064
H,2015-16,,34051.0,,32031.0,119711496,66188.0,120045596
H,2016-17,,34299.0,,31883.0,125691573,66298.0,126024073
I,2007-08,,50527.0,,47871.0,158722090,98483.0,159389890
I,2008-09,,49636.0,,47375.0,161582112,97051.0,162263312
I,2009-10,,49136.0,,46796.0,165722189,96024.0,166476889
I,2010-11,,49162.0,,46631.0,163752156,95847.0,164475256
I,2011-12,,49269.0,,46636.0,161392123,95998.0,162110023
I,2012-13,,50358.0,,47356.0,160952101,97733.0,161655701
I,2013-14,,50779.0,,47564.0,164382167,98385.0,165077367
I,2014-15,,51115.0,,48006.0,176102354,99307.0,176880354
I,2015-16,,50795.0,,47679.0,213662706,98821.0,214550206
I,2016-17,,50740.0,,47842.0,226802827,99005.0,227759427
