drg,year,2015_16,school,2007_08,2012_13,district,2011_12,district_code,2010_11,2009_10,2008_09,2013_14,2014_15,total,school_code,2016_17
A,2007-08,,,30362.0,,,,51470485,,,,,,30362.0,51584585,
A,2008-09,,,,,,,51470485,,,30470.0,,,30470.0,51584585,
A,2009-10,,,,,,,51470485,,30244.0,,,,30244.0,51584585,
A,2010-11,,,,,,,51040485,30319.0,,,,,30319.0,51162985,
A,2011-12,,,,,,30137.0,51040485,,,,,,30137.0,51162985,
A,2012-13,,,,30020.0,,,51040485,,,,,,30020.0,51162985,
A,2013-14,,,,,,,51040485,,,,29884.0,,29884.0,51162985,
A,2014-15,,,,,,,53830507,,,,,29639.0,29639.0,53961107,
A,2015-16,29202.0,,,,,,63290584,,,,,,29202.0,63424784,
A,2016-17,,,,,,,61680573,,,,,,28774.0,61815673,28774.0
B,2007-08,,,100227.0,,,,143441748,,,,,,100227.0,143813548,
B,2008-09,,,,,,,147511781,,,99653.0,,,99653.0,147909781,
B,2009-10,,,,,,,147301781,,99188.0,,,,99188.0,147700681,
B,2010-11,,,,,,,147301781,98243.0,,,,,98243.0,147700681,
B,2011-12,,,,,,96701.0,148971792,,,,,,96701.0,149388292,
B,2012-13,,,,95237.0,,,148621792,,,,,,95237.0,149047292,
B,2013-14,,,,,,,149161803,,,,93537.0,,93537.0,149587403,
B,2014-15,,,,,,,169012056,,,,,91866.0,91866.0,169487056,
B,2015-16,90509.0,,,,,,165752002,,,,,,90509.0,166222402,
B,2016-17,,,,,,,169482024,,,,,,90005.0,169944924,90005.0
C,2007-08,,,39604.0,,,,126501032,,,,,,39604.0,126766732,
C,2008-09,,,,,,,128571044,,,39648.0,,,39648.0,128846144,
C,2009-10,,,,,,,128571044,,39536.0,,,,39536.0,128846144,
C,2010-11,,,,,,,127651033,39252.0,,,,,39252.0,127917133,
C,2011-12,,,,,,38335.0,127651033,,,,,,38335.0,127917133,
C,2012-13,,,,37514.0,,,129731045,,,,,,37514.0,130003345,
C,2013-14,,,,,,,125491021,,,,36301.0,,36301.0,125744421,
C,2014-15,,,,,,,132561078,,,,,35091.0,35091.0,132800878,
C,2015-16,34237.0,,,,,,140901147,,,,,,34237.0,141142847,
C,2016-17,,,,,,,142101137,,,,,,33571.0,142342137,33571.0
D,2007-08,,,87475.0,,,,149821705,,,,,,87475.0,150233305,
D,2008-09,,,,,,,146351683,,,86303.0,,,86303.0,146765683,
D,2009-10,,,,,,,147311694,,85146.0,,,,85146.0,147734694,
D,2010-11,,,,,,,149431705,83542.0,,,,,83542.0,149872005,
D,2011-12,,,,,,81809.0,146871683,,,,,,81809.0,147303783,
