drg,year,school,total,district,no,district_code,yes,school_code
A,2007-08,,30362.0,,13533.0,51470485,166.0,51584585
A,2008-09,,30470.0,,15638.0,51470485,129.0,51584585
A,2009-10,,30244.0,,13115.0,51470485,102.0,51584585
A,2010-11,,30319.0,,11975.0,51040485,123.0,51162985
A,2011-12,,30137.0,,16286.0,51040485,149.0,51162985
A,2012-13,,30020.0,,15784.0,51040485,147.0,51162985
A,2013-14,,29884.0,,11266.0,51040485,134.0,51162985
A,2014-15,,29639.0,,14409.0,53830507,173.0,53961107
A,2015-16,,29202.0,,12132.0,63290584,159.0,63424784
A,2016-17,,28774.0,,12682.0,61680573,167.0,61815673
B,2007-08,,100227.0,,66486.0,143441748,2049.0,143813548
B,2008-09,,99653.0,,61231.0,147511781,2031.0,147909781
B,2009-10,,99188.0,,63759.0,147301781,1943.0,147700681
B,2010-11,,98243.0,,59103.0,147301781,1786.0,147700681
B,2011-12,,96701.0,,64705.0,148971792,1743.0,149388292
B,2012-13,,95237.0,,62685.0,148621792,1730.0,149047292
B,2013-14,,93537.0,,64459.0,149161803,1857.0,149587403
B,2014-15,,91866.0,,64355.0,169012056,2161.0,169487056
B,2015-16,,90509.0,,64671.0,165752002,1979.0,166222402
B,2016-17,,90005.0,,58082.0,169482024,2116.0,169944924
C,2007-08,,39604.0,,20389.0,126501032,136.0,126766732
C,2008-09,,39648.0,,20974.0,128571044,155.0,128846144
C,2009-10,,39536.0,,18577.0,128571044,143.0,128846144
C,2010-11,,39252.0,,17165.0,127651033,169.0,127917133
C,2011-12,,38335.0,,17565.0,127651033,171.0,127917133
C,2012-13,,37514.0,,15795.0,129731045,192.0,130003345
C,2013-14,,36301.0,,15890.0,125491021,190.0,125744421
C,2014-15,,35091.0,,15773.0,132561078,197.0,132800878
C,2015-16,,34237.0,,16857.0,140901147,239.0,141142847
C,2016-17,,33571.0,,14191.0,142101137,231.0,142342137
D,2007-08,,87475.0,,69521.0,149821705,1962.0,150233305
D,2008-09,,86303.0,,64319.0,146351683,1838.0,146765683
D,2009-10,,85146.0,,65521.0,147311694,1819.0,147734694
D,2010-11,,83542.0,,63755.0,149431705,1803.0,149872005
D,2011-12,,81809.0,,64261.0,146871683,1843.0,147303783
D,2012-13,,80472.0,,62038.0,145231672,1906.0,145662772
D,2013-14,,78708.0,,56806.0,147971694,1928.0,148403094
D,2014-15,,77248.0,,65185.0,167881892,2235.0,168326192
D,2015-16,,76368.0,,59793.0,183812024,2308.0,184264124
D,2016-17,,75296.0,,60672.0,193572123,2501.0,194033523
E,2007-08,,26159.0,,17020.0,83280814,74.0,83454814
E,2008-09,,25674.0,,16162.0,84010825,94.0,84190825
E,2009-10,,25091.0,,12953.0,84990836,91.0,85180036
E,2010-11,,24463.0,,11820.0,81940813,78.0,82121513
E,2011-12,,23560.0,,10386.0,80960802,71.0,81132502
E,2012-13,,22821.0,,11277.0,84010825,93.0,84199625
E,2013-14,,22075.0,,12262.0,83280814,103.0,83463614
E,2014-15,,21435.0,,8932.0,87930859,120.0,88105559
E,2015-16,,21051.0,,8809.0,89390861,101.0,89564161
E,2016-17,,20684.0,,9194.0,88320850,122.0,88481450
F,2007-08,,30458.0,,20982.0,66570716,520.0,66756016
F,2008-09,,29970.0,,20203.0,65950716,542.0,66145016
F,2009-10,,29007.0,,16246.0,65950716,478.0,66145016
F,2010-11,,28413.0,,16081.0,65950716,464.0,66145016
F,2011-12,,27521.0,,16139.0,64970694,496.0,65162094
F,2012-13,,26821.0,,16646.0,63730683,480.0,63921583
F,2013-14,,25983.0,,15793.0,64840694,509.0,65038694
F,2014-15,,25454.0,,15917.0,75590815,511.0,75785815
F,2015-16,,25051.0,,18100.0,78450859,526.0,78648859
F,2016-17,,24659.0,,17888.0,77340848,519.0,77527748
G,2007-08,,69564.0,,56889.0,133981628,2054.0,134389928
G,2008-09,,68608.0,,55414.0,130531595,2190.0,130920495
G,2009-10,,68435.0,,58851.0,134581650,2314.0,134990650
G,2010-11,,67460.0,,58048.0,134741617,2419.0,135174917
G,2011-12,,65940.0,,56780.0,134801617,2361.0,135243517
G,2012-13,,64628.0,,55262.0,133101584,2464.0,133530884
G,2013-14,,63667.0,,55820.0,135251606,2526.0,135681806
G,2014-15,,62536.0,,54749.0,164532035,2802.0,165011235
G,2015-16,,61660.0,,53582.0,205482244,2728.0,205985744
G,2016-17,,61512.0,,52515.0,193702233,2886.0,194213233
H,2007-08,,66214.0,,57879.0,103431298,7752.0,103768798
H,2008-09,,65821.0,,57424.0,103451309,7827.0,103797809
H,2009-10,,65948.0,,57660.0,103431298,7833.0,103768798
H,2010-11,,66181.0,,57106.0,99641276,8219.0,99980876
