,district,school,category,type,2010-11,2011-12,2012-13,2013-14,2014-15,school_code,check_sch_col,check_dist_col
0,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Administrators  Coordinators and Department Chairs - School Level,Certified,6.9,7.8,12.0,15.0,1.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
1,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Counselors  Social Workers  and School Psychologists,Certified,2,2.0,1.0,1.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
2,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,General Education - Paraprofessional Instructional Assistants,Non-Certified,0,0.0,0.0,0.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
3,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,General Education - Teachers and Instructors,Certified,50.6,59.2,57.6,69.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
4,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Library/Media - Support Staff,Non-Certified,0,0.0,0.0,0.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
5,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,35,31.0,1025.0,31.0,44.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
6,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,School Nurses,Non-Certified,1.5,1.0,1.0,1.0,1.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
7,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0,0.0,0.0,0.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
8,Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Special Education - Teachers and Instructors,Certified,1.5,2.0,8.0,6.0,0.0,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
9,Amistad Academy District,Amistad Academy,Administrators  Coordinators and Department Chairs - School Level,Certified,7.8,13.1,14.3,16.1,11.6,2795113,Amistad Academy,Amistad Academy District
10,Amistad Academy District,Amistad Academy,Counselors  Social Workers  and School Psychologists,Certified,3,2.5,3.0,4.8,3.8,2795113,Amistad Academy,Amistad Academy District
11,Amistad Academy District,Amistad Academy,General Education - Paraprofessional Instructional Assistants,Non-Certified,1,5.0,7.0,13.0,10.5,2795113,Amistad Academy,Amistad Academy District
12,Amistad Academy District,Amistad Academy,General Education - Teachers and Instructors,Certified,72.1,71.4,71.1,89.3,84.2,2795113,Amistad Academy,Amistad Academy District
13,Amistad Academy District,Amistad Academy,Library/Media - Support Staff,Non-Certified,0,1.0,1.0,1.0,0.5,2795113,Amistad Academy,Amistad Academy District
14,Amistad Academy District,Amistad Academy,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,21,27.0,41.0,26.0,50.8,2795113,Amistad Academy,Amistad Academy District
15,Amistad Academy District,Amistad Academy,School Nurses,Non-Certified,3,2.0,3.0,3.0,4.5,2795113,Amistad Academy,Amistad Academy District
16,Amistad Academy District,Amistad Academy,Special Education - Paraprofessional Instructional Assistants,Non-Certified,4,7.0,0.0,0.0,0.0,2795113,Amistad Academy,Amistad Academy District
17,Amistad Academy District,Amistad Academy,Special Education - Teachers and Instructors,Certified,3,4.0,4.0,11.0,5.8,2795113,Amistad Academy,Amistad Academy District
18,Amistad Academy District,Amistad Academy,Instructional Specialists Who Support Teachers,Certified,3.5,0.3,0.0,0.0,0.0,2795113,Amistad Academy,Amistad Academy District
19,Amistad Academy District,Amistad Academy,Library/Media - Specialists (Certified),Certified,0,0.5,0.5,0.5,0.0,2795113,Amistad Academy,Amistad Academy District
20,Andover School District,Andover Elementary School,Administrators  Coordinators and Department Chairs - School Level,Certified,2,2.0,2.0,2.0,2.0,0010111,Andover Elementary School,Andover School District
21,Andover School District,Andover Elementary School,General Education - Paraprofessional Instructional Assistants,Non-Certified,2.5,0.5,3.5,3.0,2.0,0010111,Andover Elementary School,Andover School District
22,Andover School District,Andover Elementary School,General Education - Teachers and Instructors,Certified,26.3,25.2,24.7,24.7,19.7,0010111,Andover Elementary School,Andover School District
23,Andover School District,Andover Elementary School,Library/Media - Support Staff,Non-Certified,0,0.0,0.0,0.0,0.0,0010111,Andover Elementary School,Andover School District
24,Andover School District,Andover Elementary School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,15.4,15.4,15.4,15.4,15.4,0010111,Andover Elementary School,Andover School District
25,Andover School District,Andover Elementary School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0010111,Andover Elementary School,Andover School District
26,Andover School District,Andover Elementary School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,7,7.5,4.0,4.5,6.0,0010111,Andover Elementary School,Andover School District
27,Andover School District,Andover Elementary School,Special Education - Teachers and Instructors,Certified,3,3.0,3.0,3.0,3.0,0010111,Andover Elementary School,Andover School District
28,Andover School District,Andover Elementary School,Instructional Specialists Who Support Teachers,Certified,1.2,1.4,1.4,1.4,1.4,0010111,Andover Elementary School,Andover School District
29,Andover School District,Andover Elementary School,Library/Media - Specialists (Certified),Certified,1,1.0,1.0,1.0,1.0,0010111,Andover Elementary School,Andover School District
30,Ansonia School District,Ansonia High School,Administrators  Coordinators and Department Chairs - School Level,Certified,3,2.2,2.0,1.0,1.3,0026111,Ansonia High School,Ansonia School District
31,Ansonia School District,Ansonia High School,Counselors  Social Workers  and School Psychologists,Certified,5.6,5.6,5.6,5.0,5.0,0026111,Ansonia High School,Ansonia School District
32,Ansonia School District,Ansonia High School,General Education - Paraprofessional Instructional Assistants,Non-Certified,6,5.0,4.0,4.0,3.0,0026111,Ansonia High School,Ansonia School District
33,Ansonia School District,Ansonia High School,General Education - Teachers and Instructors,Certified,45.3,43.3,43.9,45.3,44.0,0026111,Ansonia High School,Ansonia School District
34,Ansonia School District,Ansonia High School,Library/Media - Support Staff,Non-Certified,1,1.0,1.0,1.0,1.0,0026111,Ansonia High School,Ansonia School District
35,Ansonia School District,Ansonia High School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,23,23.0,22.0,22.0,19.5,0026111,Ansonia High School,Ansonia School District
36,Ansonia School District,Ansonia High School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0026111,Ansonia High School,Ansonia School District
37,Ansonia School District,Ansonia High School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,9,8.5,7.5,7.0,5.0,0026111,Ansonia High School,Ansonia School District
38,Ansonia School District,Ansonia High School,Special Education - Teachers and Instructors,Certified,5,5.4,5.0,5.0,5.0,0026111,Ansonia High School,Ansonia School District
39,Ansonia School District,Ansonia High School,Instructional Specialists Who Support Teachers,Certified,0.1,0.1,3.1,3.1,3.0,0026111,Ansonia High School,Ansonia School District
40,Ansonia School District,Ansonia High School,Library/Media - Specialists (Certified),Certified,1,1.0,1.0,1.0,1.0,0026111,Ansonia High School,Ansonia School District
41,Ansonia School District,Ansonia Middle School,Administrators  Coordinators and Department Chairs - School Level,Certified,1,1.8,2.0,3.0,3.0,0025111,Ansonia Middle School,Ansonia School District
42,Ansonia School District,Ansonia Middle School,Counselors  Social Workers  and School Psychologists,Certified,3,3.0,3.0,3.0,3.0,0025111,Ansonia Middle School,Ansonia School District
43,Ansonia School District,Ansonia Middle School,General Education - Paraprofessional Instructional Assistants,Non-Certified,28,22.5,18.0,22.0,9.0,0025111,Ansonia Middle School,Ansonia School District
44,Ansonia School District,Ansonia Middle School,General Education - Teachers and Instructors,Certified,24.7,24.7,24.7,23.7,25.7,0025111,Ansonia Middle School,Ansonia School District
45,Ansonia School District,Ansonia Middle School,Library/Media - Support Staff,Non-Certified,1,1.0,1.0,1.0,1.0,0025111,Ansonia Middle School,Ansonia School District
46,Ansonia School District,Ansonia Middle School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,12.9,11.5,10.1,10.6,8.6,0025111,Ansonia Middle School,Ansonia School District
47,Ansonia School District,Ansonia Middle School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0025111,Ansonia Middle School,Ansonia School District
48,Ansonia School District,Ansonia Middle School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,4,14.0,11.5,13.5,4.0,0025111,Ansonia Middle School,Ansonia School District
49,Ansonia School District,Ansonia Middle School,Special Education - Teachers and Instructors,Certified,6,5.2,6.0,6.0,6.0,0025111,Ansonia Middle School,Ansonia School District
50,Ansonia School District,Ansonia Middle School,Instructional Specialists Who Support Teachers,Certified,2,2.0,2.0,2.0,1.0,0025111,Ansonia Middle School,Ansonia School District
51,Ansonia School District,Mead School,Administrators  Coordinators and Department Chairs - School Level,Certified,2,2.0,2.0,2.0,2.0,0020311,Mead School,Ansonia School District
52,Ansonia School District,Mead School,Counselors  Social Workers  and School Psychologists,Certified,2.4,2.4,2.5,2.5,2.5,0020311,Mead School,Ansonia School District
53,Ansonia School District,Mead School,General Education - Paraprofessional Instructional Assistants,Non-Certified,5.5,6.5,2.0,4.0,9.5,0020311,Mead School,Ansonia School District
54,Ansonia School District,Mead School,General Education - Teachers and Instructors,Certified,35,33.0,34.0,36.5,37.0,0020311,Mead School,Ansonia School District
55,Ansonia School District,Mead School,Library/Media - Support Staff,Non-Certified,1,1.0,1.0,1.0,0.5,0020311,Mead School,Ansonia School District
56,Ansonia School District,Mead School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,8,8.0,8.3,7.8,8.3,0020311,Mead School,Ansonia School District
57,Ansonia School District,Mead School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0020311,Mead School,Ansonia School District
58,Ansonia School District,Mead School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,11,10.0,14.0,15.5,5.0,0020311,Mead School,Ansonia School District
59,Ansonia School District,Mead School,Special Education - Teachers and Instructors,Certified,5,5.2,5.0,5.0,4.0,0020311,Mead School,Ansonia School District
60,Ansonia School District,Mead School,Instructional Specialists Who Support Teachers,Certified,2.9,2.9,2.6,2.6,0.0,0020311,Mead School,Ansonia School District
61,Ansonia School District,Prendergast School,Administrators  Coordinators and Department Chairs - School Level,Certified,2,2.0,2.0,2.0,2.0,0020811,Prendergast School,Ansonia School District
62,Ansonia School District,Prendergast School,Counselors  Social Workers  and School Psychologists,Certified,2.6,2.6,2.5,2.5,2.5,0020811,Prendergast School,Ansonia School District
63,Ansonia School District,Prendergast School,General Education - Paraprofessional Instructional Assistants,Non-Certified,6,8.0,3.0,6.0,7.0,0020811,Prendergast School,Ansonia School District
64,Ansonia School District,Prendergast School,General Education - Teachers and Instructors,Certified,42,41.0,37.0,39.5,41.5,0020811,Prendergast School,Ansonia School District
65,Ansonia School District,Prendergast School,Library/Media - Support Staff,Non-Certified,1,1.0,1.0,1.0,0.5,0020811,Prendergast School,Ansonia School District
66,Ansonia School District,Prendergast School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,9.5,9.9,10.0,10.2,9.7,0020811,Prendergast School,Ansonia School District
67,Ansonia School District,Prendergast School,School Nurses,Non-Certified,1.5,1.5,1.5,1.5,1.5,0020811,Prendergast School,Ansonia School District
68,Ansonia School District,Prendergast School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,22.5,14.5,20.0,16.0,3.0,0020811,Prendergast School,Ansonia School District
69,Ansonia School District,Prendergast School,Special Education - Teachers and Instructors,Certified,6,6.2,5.0,5.0,6.0,0020811,Prendergast School,Ansonia School District
70,Ansonia School District,Prendergast School,Instructional Specialists Who Support Teachers,Certified,4,3.0,2.4,3.4,1.0,0020811,Prendergast School,Ansonia School District
71,Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Administrators  Coordinators and Department Chairs - School Level,Certified,0,0.0,1.0,1.0,1.0,2449614,Center for Autism Spectrum and Development Disorders,Area Cooperative Educational Services
72,Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Counselors  Social Workers  and School Psychologists,Certified,0,0.0,1.0,1.0,2.0,2449614,Center for Autism Spectrum and Development Disorders,Area Cooperative Educational Services
73,Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Special Education - Teachers and Instructors,Certified,2,3.0,4.0,4.0,3.0,2449614,Center for Autism Spectrum and Development Disorders,Area Cooperative Educational Services
74,Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Instructional Specialists Who Support Teachers,Certified,0,1.0,1.0,0.0,1.0,2449614,Center for Autism Spectrum and Development Disorders,Area Cooperative Educational Services
75,Area Cooperative Educational Services,Mill Road School,Administrators  Coordinators and Department Chairs - School Level,Certified,2,2.0,2.0,2.0,2.0,2449414,Mill Road School,Area Cooperative Educational Services
76,Area Cooperative Educational Services,Mill Road School,Counselors  Social Workers  and School Psychologists,Certified,6,6.0,6.0,5.0,6.0,2449414,Mill Road School,Area Cooperative Educational Services
77,Area Cooperative Educational Services,Mill Road School,General Education - Teachers and Instructors,Certified,7.5,8.0,8.0,7.5,7.8,2449414,Mill Road School,Area Cooperative Educational Services
78,Area Cooperative Educational Services,Mill Road School,Special Education - Teachers and Instructors,Certified,18.5,17.0,18.0,17.5,18.5,2449414,Mill Road School,Area Cooperative Educational Services
79,Area Cooperative Educational Services,Mill Road School,Instructional Specialists Who Support Teachers,Certified,1,1.0,1.0,1.0,1.0,2449414,Mill Road School,Area Cooperative Educational Services
80,Area Cooperative Educational Services,Mill Road School,Library/Media - Specialists (Certified),Certified,1,1.0,1.0,1.0,1.0,2449414,Mill Road School,Area Cooperative Educational Services
81,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Administrators  Coordinators and Department Chairs - School Level,Certified,3,3.0,3.0,2.0,3.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
82,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Counselors  Social Workers  and School Psychologists,Certified,5,5.0,5.0,5.0,5.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
83,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,General Education - Paraprofessional Instructional Assistants,Non-Certified,4,5.0,5.0,5.0,5.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
84,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,General Education - Teachers and Instructors,Certified,54.2,51.1,56.1,53.6,53.6,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
85,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Library/Media - Support Staff,Non-Certified,0,0.0,0.0,0.0,0.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
86,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,6,5.0,5.0,5.0,5.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
87,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,School Nurses,Non-Certified,1.6,1.6,1.6,1.0,2.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
88,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,1.4,1.4,0.7,0.7,2.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
89,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Special Education - Teachers and Instructors,Certified,5.5,5.5,5.5,5.5,6.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
90,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Instructional Specialists Who Support Teachers,Certified,0,0.0,0.0,0.5,0.5,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
91,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Library/Media - Specialists (Certified),Certified,1,1.0,1.0,1.0,1.0,2445114,Thomas Edison Magnet Middle School,Area Cooperative Educational Services
92,Area Cooperative Educational Services,Village School,Administrators  Coordinators and Department Chairs - School Level,Certified,2,2.0,2.0,2.0,2.0,2449514,Village School,Area Cooperative Educational Services
93,Area Cooperative Educational Services,Village School,Counselors  Social Workers  and School Psychologists,Certified,3,3.0,2.0,2.0,2.0,2449514,Village School,Area Cooperative Educational Services
94,Area Cooperative Educational Services,Village School,General Education - Teachers and Instructors,Certified,3,3.0,3.0,3.0,3.0,2449514,Village School,Area Cooperative Educational Services
95,Area Cooperative Educational Services,Village School,Special Education - Teachers and Instructors,Certified,19,19.0,19.0,19.0,19.0,2449514,Village School,Area Cooperative Educational Services
96,Area Cooperative Educational Services,Village School,Instructional Specialists Who Support Teachers,Certified,4,3.0,4.0,5.0,5.6,2449514,Village School,Area Cooperative Educational Services
97,Area Cooperative Educational Services,Whitney High School East,Administrators  Coordinators and Department Chairs - School Level,Certified,1,1.0,1.0,1.0,1.0,2449214,Whitney High School East,Area Cooperative Educational Services
98,Area Cooperative Educational Services,Whitney High School East,Counselors  Social Workers  and School Psychologists,Certified,4,4.0,4.0,4.0,3.0,2449214,Whitney High School East,Area Cooperative Educational Services
99,Area Cooperative Educational Services,Whitney High School East,General Education - Teachers and Instructors,Certified,1.5,0.5,1.5,1.5,1.5,2449214,Whitney High School East,Area Cooperative Educational Services
100,Area Cooperative Educational Services,Whitney High School East,Special Education - Teachers and Instructors,Certified,16,15.0,16.0,15.0,14.0,2449214,Whitney High School East,Area Cooperative Educational Services
101,Area Cooperative Educational Services,Whitney High School East,Instructional Specialists Who Support Teachers,Certified,3.1,3.1,2.2,2.2,2.2,2449214,Whitney High School East,Area Cooperative Educational Services
102,Area Cooperative Educational Services,Whitney High School North,Administrators  Coordinators and Department Chairs - School Level,Certified,1,1.0,1.0,1.0,1.0,2449114,Whitney High School North,Area Cooperative Educational Services
103,Area Cooperative Educational Services,Whitney High School North,Counselors  Social Workers  and School Psychologists,Certified,3,3.0,3.0,3.0,3.0,2449114,Whitney High School North,Area Cooperative Educational Services
104,Area Cooperative Educational Services,Whitney High School North,General Education - Teachers and Instructors,Certified,4,4.0,4.0,4.0,5.0,2449114,Whitney High School North,Area Cooperative Educational Services
105,Area Cooperative Educational Services,Whitney High School North,Special Education - Teachers and Instructors,Certified,10,10.0,10.0,10.0,9.0,2449114,Whitney High School North,Area Cooperative Educational Services
106,Area Cooperative Educational Services,Whitney High School North,Instructional Specialists Who Support Teachers,Certified,0.4,0.4,0.4,0.4,0.4,2449114,Whitney High School North,Area Cooperative Educational Services
107,Area Cooperative Educational Services,Whitney High School West,Administrators  Coordinators and Department Chairs - School Level,Certified,1,1.0,1.0,1.0,1.0,2449314,Whitney High School West,Area Cooperative Educational Services
108,Area Cooperative Educational Services,Whitney High School West,Counselors  Social Workers  and School Psychologists,Certified,1,1.0,1.0,1.0,1.0,2449314,Whitney High School West,Area Cooperative Educational Services
109,Area Cooperative Educational Services,Whitney High School West,General Education - Teachers and Instructors,Certified,1.5,1.5,1.5,1.5,0.5,2449314,Whitney High School West,Area Cooperative Educational Services
110,Area Cooperative Educational Services,Whitney High School West,Special Education - Teachers and Instructors,Certified,7,7.0,6.0,5.0,6.0,2449314,Whitney High School West,Area Cooperative Educational Services
111,Area Cooperative Educational Services,Whitney High School West,Instructional Specialists Who Support Teachers,Certified,0.5,0.5,0.8,0.8,0.8,2449314,Whitney High School West,Area Cooperative Educational Services
112,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Administrators  Coordinators and Department Chairs - School Level,Certified,2,1.0,2.0,2.0,1.0,,,
113,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Counselors  Social Workers  and School Psychologists,Certified,3,3.0,3.0,3.0,4.0,,,
114,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,General Education - Paraprofessional Instructional Assistants,Non-Certified,6.9,6.3,6.0,7.0,5.5,,,
115,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,General Education - Teachers and Instructors,Certified,38.3,38.3,38.0,39.0,38.2,,,
116,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Library/Media - Support Staff,Non-Certified,0,0.0,0.0,0.0,0.0,,,
117,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,7,8.5,7.1,7.8,8.1,,,
118,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,,,
119,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,1.5,1.5,3.5,5.2,6.2,,,
120,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Special Education - Teachers and Instructors,Certified,4,4.0,4.0,4.0,5.0,,,
121,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Instructional Specialists Who Support Teachers,Certified,2.3,2.3,2.6,2.6,2.8,,,
122,Area Cooperative Educational Services,Wintergreen Interdistrict Magnet School,Library/Media - Specialists (Certified),Certified,1,1.0,1.0,1.0,1.0,,,
123,Area Cooperative Educational Services,A.C.E.S. Educational Center for the Arts - Part Time,Administrators  Coordinators and Department Chairs - School Level,Certified,0,0.0,0.0,0.0,1.0,2449900,A.C.E.S. Educational Center for the Arts - Part Time,Area Cooperative Educational Services
124,Area Cooperative Educational Services,A.C.E.S. Educational Center for the Arts - Part Time,Counselors  Social Workers  and School Psychologists,Certified,0,0.0,0.0,0.0,1.0,2449900,A.C.E.S. Educational Center for the Arts - Part Time,Area Cooperative Educational Services
125,Area Cooperative Educational Services,A.C.E.S. Educational Center for the Arts - Part Time,General Education - Teachers and Instructors,Certified,0,0.0,0.0,0.0,3.8,2449900,A.C.E.S. Educational Center for the Arts - Part Time,Area Cooperative Educational Services
126,Ashford School District,Ashford School,Administrators  Coordinators and Department Chairs - School Level,Certified,2.5,2.5,2.5,3.0,1.6,0030111,Ashford School,Ashford School District
127,Ashford School District,Ashford School,Counselors  Social Workers  and School Psychologists,Certified,2,2.0,2.0,2.0,2.0,0030111,Ashford School,Ashford School District
128,Ashford School District,Ashford School,General Education - Paraprofessional Instructional Assistants,Non-Certified,8,6.5,9.0,6.5,7.0,0030111,Ashford School,Ashford School District
129,Ashford School District,Ashford School,General Education - Teachers and Instructors,Certified,39.5,39.5,38.6,38.0,39.0,0030111,Ashford School,Ashford School District
130,Ashford School District,Ashford School,Library/Media - Support Staff,Non-Certified,0.8,0.8,0.5,1.0,1.0,0030111,Ashford School,Ashford School District
131,Ashford School District,Ashford School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,24.3,24.9,21.8,19.0,21.7,0030111,Ashford School,Ashford School District
132,Ashford School District,Ashford School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0030111,Ashford School,Ashford School District
133,Ashford School District,Ashford School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,11,12.5,11.0,11.0,11.5,0030111,Ashford School,Ashford School District
134,Ashford School District,Ashford School,Special Education - Teachers and Instructors,Certified,6,6.0,5.0,4.0,4.0,0030111,Ashford School,Ashford School District
135,Ashford School District,Ashford School,Instructional Specialists Who Support Teachers,Certified,1.1,1.1,1.0,1.0,1.0,0030111,Ashford School,Ashford School District
136,Avon School District,Avon High School,Administrators  Coordinators and Department Chairs - School Level,Certified,3.2,3.4,3.4,3.3,5.0,0046111,Avon High School,Avon School District
137,Avon School District,Avon High School,Counselors  Social Workers  and School Psychologists,Certified,9.2,10.0,10.2,10.4,9.9,0046111,Avon High School,Avon School District
138,Avon School District,Avon High School,General Education - Paraprofessional Instructional Assistants,Non-Certified,5.5,4.9,3.7,4.0,7.0,0046111,Avon High School,Avon School District
139,Avon School District,Avon High School,General Education - Teachers and Instructors,Certified,69.6,69.0,70.5,72.4,72.5,0046111,Avon High School,Avon School District
140,Avon School District,Avon High School,Library/Media - Support Staff,Non-Certified,1.2,1.2,1.0,1.0,1.0,0046111,Avon High School,Avon School District
141,Avon School District,Avon High School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,26.5,30.0,26.4,24.1,26.3,0046111,Avon High School,Avon School District
142,Avon School District,Avon High School,School Nurses,Non-Certified,1,1.2,1.2,2.2,2.2,0046111,Avon High School,Avon School District
143,Avon School District,Avon High School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,11.5,10.5,13.5,13.5,13.0,0046111,Avon High School,Avon School District
144,Avon School District,Avon High School,Special Education - Teachers and Instructors,Certified,8.2,8.4,8.3,8.4,10.0,0046111,Avon High School,Avon School District
145,Avon School District,Avon High School,Instructional Specialists Who Support Teachers,Certified,1.4,1.7,1.9,1.7,1.3,0046111,Avon High School,Avon School District
146,Avon School District,Avon High School,Library/Media - Specialists (Certified),Certified,1,1.1,1.0,1.0,1.0,0046111,Avon High School,Avon School District
147,Avon School District,Avon Middle School,Administrators  Coordinators and Department Chairs - School Level,Certified,2,2.2,2.2,2.2,2.0,0045111,Avon Middle School,Avon School District
148,Avon School District,Avon Middle School,Counselors  Social Workers  and School Psychologists,Certified,3,3.0,3.0,3.5,3.0,0045111,Avon Middle School,Avon School District
149,Avon School District,Avon Middle School,General Education - Paraprofessional Instructional Assistants,Non-Certified,1,2.2,1.1,2.0,2.0,0045111,Avon Middle School,Avon School District
150,Avon School District,Avon Middle School,General Education - Teachers and Instructors,Certified,39.5,40.5,39.9,39.7,38.5,0045111,Avon Middle School,Avon School District
151,Avon School District,Avon Middle School,Library/Media - Support Staff,Non-Certified,0,0.0,0.0,0.0,0.0,0045111,Avon Middle School,Avon School District
152,Avon School District,Avon Middle School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,12,13.1,14.1,11.6,11.5,0045111,Avon Middle School,Avon School District
153,Avon School District,Avon Middle School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0045111,Avon Middle School,Avon School District
154,Avon School District,Avon Middle School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,12,14.0,11.0,10.0,12.0,0045111,Avon Middle School,Avon School District
155,Avon School District,Avon Middle School,Special Education - Teachers and Instructors,Certified,4,6.0,6.0,5.0,4.0,0045111,Avon Middle School,Avon School District
156,Avon School District,Avon Middle School,Instructional Specialists Who Support Teachers,Certified,2,2.3,2.7,2.5,1.2,0045111,Avon Middle School,Avon School District
157,Avon School District,Avon Middle School,Library/Media - Specialists (Certified),Certified,1,1.0,1.0,1.0,1.0,0045111,Avon Middle School,Avon School District
158,Avon School District,Pine Grove School,Administrators  Coordinators and Department Chairs - School Level,Certified,2.2,2.2,2.2,2.3,1.0,0040411,Pine Grove School,Avon School District
159,Avon School District,Pine Grove School,Counselors  Social Workers  and School Psychologists,Certified,1.5,1.5,1.5,1.3,1.0,0040411,Pine Grove School,Avon School District
160,Avon School District,Pine Grove School,General Education - Paraprofessional Instructional Assistants,Non-Certified,2,4.2,2.0,4.3,5.8,0040411,Pine Grove School,Avon School District
161,Avon School District,Pine Grove School,General Education - Teachers and Instructors,Certified,30,30.9,30.5,32.7,35.0,0040411,Pine Grove School,Avon School District
162,Avon School District,Pine Grove School,Library/Media - Support Staff,Non-Certified,0,0.0,0.0,0.0,0.0,0040411,Pine Grove School,Avon School District
163,Avon School District,Pine Grove School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,10.8,11.3,12.3,10.8,8.9,0040411,Pine Grove School,Avon School District
164,Avon School District,Pine Grove School,School Nurses,Non-Certified,1,1.0,1.0,1.0,1.0,0040411,Pine Grove School,Avon School District
165,Avon School District,Pine Grove School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,18.6,20.6,20.6,17.0,13.0,0040411,Pine Grove School,Avon School District
