"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Y",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Y",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","Y",408,405,99.3,405,98,24.2,111,27.4,122,30.1,74,18.3,196,48.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","N",136,136,100.0,136,29,21.3,38,27.9,42,30.9,27,19.9,69,50.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","Y",408,404,99.0,404,121,30.0,136,33.7,98,24.3,49,12.1,147,36.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","N",136,136,100.0,136,48,35.3,49,36.0,19,14.0,20,14.7,39,28.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","Y",23,23,100.0,23,"*","*","*","*",7,30.4,9,39.1,16,69.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","N",144,140,97.2,140,"*","*","*","*",36,25.7,78,55.7,114,81.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","Y",23,23,100.0,23,"*","*",8,34.8,8,34.8,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","N",144,142,98.6,142,"*","*",33,23.2,40,28.2,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","Y",62,59,95.2,59,"*","*",18,30.5,24,40.7,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","N",50,45,90.0,45,"*","*","*","*",17,37.8,17,37.8,34,75.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","Y",62,55,88.7,55,32,58.2,12,21.8,"*","*","*","*",11,20.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","N",50,48,96.0,48,16,33.3,13,27.1,"*","*","*","*",19,39.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","Y",281,274,97.5,274,106,38.7,89,32.5,63,23.0,16,5.8,79,28.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","N",113,112,99.1,112,27,24.1,32,28.6,39,34.8,14,12.5,53,47.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","Y",281,274,97.5,274,152,55.5,89,32.5,25,9.1,8,2.9,33,12.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","N",113,112,99.1,112,46,41.1,40,35.7,16,14.3,10,8.9,26,23.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","Y",241,241,100.0,241,93,38.6,81,33.6,45,18.7,22,9.1,67,27.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","N",119,119,100.0,119,40,33.6,24,20.2,36,30.3,19,16.0,55,46.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","Y",241,241,100.0,241,108,44.8,94,39.0,30,12.4,9,3.7,39,16.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","N",120,120,100.0,120,39,32.5,52,43.3,21,17.5,8,6.7,29,24.2
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
