"District","reportingsdistrictcode","School","School Code","Count","%"
"Bridgeport School District",".","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",117,33.6
"Bridgeport School District",".","Barnum School","=""0150111""",94,14.1
"Bridgeport School District",".","Bassick High School","=""0156111""",386,37.8
"Bridgeport School District",".","Beardsley School","=""0150211""",39,10.7
"Bridgeport School District",".","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",8,2.3
"Bridgeport School District",".","Black Rock School","=""0150311""",7,1.7
"Bridgeport School District",".","Blackham School","=""0154011""",57,5.0
"Bridgeport School District",".","Bridgeport Learning Center","=""0159011""","*","*"
"Bridgeport School District",".","Bridgeport Military Academy","=""0151611""",86,39.8
"Bridgeport School District",".","Bryant School","=""0150411""",34,8.8
"Bridgeport School District",".","Central High School","=""0156211""",487,28.6
"Bridgeport School District",".","Cesar Batalla School","=""0151411""",120,9.7
"Bridgeport School District",".","Classical Studies Academy","=""0152111""",25,6.9
"Bridgeport School District",".","Columbus School","=""0150511""",88,9.7
"Bridgeport School District",".","Cross School","=""0153911""",122,31.4
"Bridgeport School District",".","Curiale School","=""0154211""",118,15.9
"Bridgeport School District",".","Dunbar School","=""0154111""",86,23.3
"Bridgeport School District",".","Edison School","=""0150711""",42,15.2
"Bridgeport School District",".","Geraldine Johnson School","=""0153211""",121,15.2
"Bridgeport School District",".","Hall School","=""0151111""","N/A","N/A"
"Bridgeport School District",".","Hallen School","=""0151211""",28,8.8
"Bridgeport School District",".","Harding High School","=""0156311""",351,30.0
"Bridgeport School District",".","High Horizons Magnet School","=""0154511""",29,7.0
"Bridgeport School District",".","Hooker School","=""0151311""",63,15.9
"Bridgeport School District",".","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",157,44.7
"Bridgeport School District",".","Interdistrict Discovery Magnet School","=""0153711""",8,1.6
"Bridgeport School District",".","Jettie S. Tisdale School","=""0152211""",165,24.0
"Bridgeport School District",".","Luis Munoz Marin School","=""0151011""",145,16.2
"Bridgeport School District",".","Madison School","=""0152011""",34,6.7
"Bridgeport School District",".","Multicultural Magnet School","=""0154611""","*","*"
"Bridgeport School District",".","Park City Magnet School","=""0151711""",31,6.6
"Bridgeport School District",".","Read School","=""0152511""",125,13.9
"Bridgeport School District",".","Roosevelt School","=""0152611""",122,20.3
"Bridgeport School District",".","Skane Center","=""0154411""","N/A","N/A"
"Bridgeport School District",".","Waltersville School","=""0153011""",93,18.3
"Bridgeport School District",".","Winthrop School","=""0153611""",11,1.7
"Bristol School District",".","Alternative Special Education Program (ASEP)","=""0179011""","N/A","N/A"
"Bristol School District",".","Bristol Central High School","=""0176111""",161,13.8
"Bristol School District",".","Bristol Early Childhood Center-BECC","=""0170411""","N/A","N/A"
"Bristol School District",".","Bristol Eastern High School","=""0176211""",132,10.8
"Bristol School District",".","Bristol Preparatory Academy","=""0173311""",8,16.0
"Bristol School District",".","CHMS GOAL","=""0173411""","*","*"
"Bristol School District",".","Chippens Hill Middle School","=""0175111""",115,15.3
"Bristol School District",".","Chippens Hill Middle School Functional Program","=""0171011""","N/A","*"
"Bristol School District",".","Community/Vocational Program","=""0179211""","N/A","*"
"Bristol School District",".","Edgewood School","=""0170311""",22,6.5
