"District","reportingsdistrictcode","School","School Code","Count","%"
"Bristol School District",".","Alternative Special Education Program (ASEP)","=""0179011""","*","*"
"Bristol School District",".","Bristol Central High School","=""0176111""",183,13.7
"Bristol School District",".","Bristol Eastern High School","=""0176211""",146,11.3
"Bristol School District",".","Chippens Hill Middle School","=""0175111""",119,13.0
"Bristol School District",".","Clara T. O'Connell School","=""0170711""",12,3.1
"Bristol School District",".","Clarence A. Bingham School","=""0170111""","*","*"
"Bristol School District",".","Community/Vocational Program","=""0179211""","N/A","*"
"Bristol School District",".","Edgewood School","=""0170311""",17,4.9
"Bristol School District",".","Ellen P. Hubbell School","=""0171411""","*","*"
"Bristol School District",".","Greene-Hills School","=""0170511""",8,2.2
"Bristol School District",".","Ivy Drive School","=""0171911""",6,1.7
"Bristol School District",".","John J. Jennings School","=""0170611""",9,2.6
"Bristol School District",".","Memorial Boulevard Middle School","=""0175311""",57,10.5
"Bristol School District",".","Mountain View School","=""0171711""","*","*"
"Bristol School District",".","Northeast Middle School","=""0175211""",37,6.3
"Bristol School District",".","South Side School","=""0171111""","*","*"
"Bristol School District",".","Stafford School","=""0171211""",8,1.6
"East Haven School District",".","Carbone School/East Haven Academy","=""0441711""","*","*"
"East Haven School District",".","D. C. Moore School","=""0441411""",6,2.7
"East Haven School District",".","Deer Run School","=""0440111""",8,2.3
"East Haven School District",".","Dominick H. Ferrara School","=""0441311""",6,3.0
"East Haven School District",".","East Haven High School","=""0446111""",211,22.2
"East Haven School District",".","Grove J. Tuttle School","=""0441011""",7,3.1
"East Haven School District",".","Hays School","=""0441911""","N/A","N/A"
"East Haven School District",".","Joseph Melillo Middle School","=""0445111""",143,29.6
"East Haven School District",".","Momauguin School","=""0440711""",6,2.9
"East Haven School District",".","Overbrook Elementary School","=""0441811""","N/A","N/A"
"East Haven School District",".","Pathways","=""0449011""","N/A","N/A"
"East Haven School District",".","Robert W. Carbone School","=""0441611""","*","*"
"East Lyme School District",".","Comm Based PreK","=""0458741""","N/A","*"
"East Lyme School District",".","East Lyme High School","=""0456111""",57,4.7
"East Lyme School District",".","East Lyme Middle School","=""0455111""",47,5.5
"East Lyme School District",".","Flanders School","=""0450111""","N/A","N/A"
"East Lyme School District",".","Integrated Preschool","=""0458011""","N/A","N/A"
"East Lyme School District",".","Lillie B. Haynes School","=""0450411""","N/A","N/A"
"East Lyme School District",".","Niantic Center School","=""0450211""","N/A","N/A"
"Hamden School District",".","Alice Peck Learning Center","=""0628011""","N/A","N/A"
"Hamden School District",".","Bear Path School","=""0621211""",22,4.8
"Hamden School District",".","Church Street School","=""0620211""",12,2.8
"Hamden School District",".","Dunbar Hill School","=""0620311""",15,4.6
"Hamden School District",".","Hamden High School","=""0626111""",447,22.5
"Hamden School District",".","Hamden Middle School","=""0625211""",214,23.8
"Hamden School District",".","Helen Street School","=""0620411""",14,4.6
"Hamden School District",".","Ridge Hill School","=""0621111""",20,6.1
"Hamden School District",".","Shepherd Glen School","=""0620111""",18,5.8
"Hamden School District",".","Spring Glen School","=""0621011""",14,3.9
"Hamden School District",".","West Woods School","=""0621411""",7,1.4
"Hampton School District",".","Hampton Elementary School","=""0630111""",6,4.3
"Hartford School District",".","Asian Studies Academy","=""0640711""",50,14.9
"Hartford School District",".","Batchelder School","=""0640411""",55,9.4
"Hartford School District",".","Breakthrough II Elementary School","=""0643511""",6,5.0
