"",,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","School","School Code","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",288,38.2,392,48.1,256,29.9,271,29.4,243,23.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",200,23.7,329,36.6,335,36.2,311,31.9,285,27.9
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",167,23.8,112,17.5,61,10.3,49,8.3,49,8.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",36,7.3,88,18.0,111,21.6,82,15.7,88,18.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""",24,3.9,10,1.6,10,1.7,24,3.9,28,4.5
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N/A","N/A","N/A","N/A","N/A","N/A",8,21.1,13,38.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",12,1.6,11,1.6,8,1.2,12,1.7,19,2.8
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",69,37.9,34,19.1,30,15.8,22,11.1,36,17.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",128,17.8,138,19.2,129,18.2,131,18.5,115,15.8
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",16,13.8,23,19.5,9,7.8,9,7.6,11,9.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",50,48.1,53,50.5,62,56.4,58,50.0,59,51.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",39,6.2,36,5.9,42,6.7,40,6.4,34,5.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""",12,2.5,17,3.9,10,2.3,20,4.9,14,3.5
"Avon School District","=""0040011""","Avon High School","=""0046111""",16,1.4,47,4.4,36,3.4,30,2.9,24,2.3
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",30,5.2,23,3.8,26,4.4,21,3.8,24,4.4
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*","*","*","*","*","*","*","*",6,1.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",14,2.4,"*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*","*","*","*","*","*","*","N/A","N/A"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",101,10.4,73,7.6,58,6.2,37,4.0,40,4.2
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",59,8.1,30,4.2,38,5.5,56,8.0,46,6.8
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","*","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*","*",6,1.1,"*","*","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","N/A","N/A","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",127,13.3,140,14.6,137,14.7,114,12.8,118,13.1
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",67,9.7,70,10.3,59,8.7,89,12.7,52,7.9
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N/A","N/A","N/A","N/A","N/A","N/A",8,2.0,30,7.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",109,17.9,96,17.7,99,17.9,111,21.1,126,23.9
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",38,14.6,34,15.6,47,21.4,24,11.3,17,7.4
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",79,27.3,60,21.9,60,27.5,35,16.4,51,25.0
