"",,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N/A","N/A",35,20.5,59,27.7,45,21.2,45,21.7
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",16,5.0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","N/A","N/A",16,4.8,17,5.2,11,3.1,17,4.9
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N/A","N/A","N/A","*","N/A","*","N/A","N/A","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",29,11.6,21,8.9,8,3.5,6,2.4,16,6.2
"Bloomfield School District","=""0110011""","SAGE","=""3480415""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",7,7.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",6,1.1,8,1.5,7,1.3,11,2.1,14,2.8
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",18,5.3,19,5.3,19,5.7,29,9.1,21,6.9
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","N/A","N/A","N/A","N/A","N/A","N/A",13,14.1,23,12.9
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",6,2.4,6,2.4,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",134,12.7,113,10.7,154,14.6,79,8.6,96,10.6
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N/A","N/A","*","*","N/A","N/A",30,58.8,27,50.0
"Branford School District","=""0140011""","Bridgeport Detention Center","=""3480115""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",66,6.5,43,4.3,42,4.5,51,5.5,59,6.5
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","*","*","N/A","N/A","*","*","*","*","N/A","N/A"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","N/A","N/A","N/A","N/A","N/A","N/A",7,4.7,8,4.3
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",169,31.9,128,18.7,243,29.6,301,31.2,235,23.6
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N/A","N/A","N/A","N/A",41,17.7,117,33.6,119,24.8
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",146,21.6,122,19.0,108,16.4,94,14.1,69,10.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",225,20.8,426,34.9,374,33.1,386,37.8,384,38.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",44,11.2,44,11.2,49,12.7,39,10.7,38,10.1
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","N/A","N/A","N/A","N/A",18,8.3,8,2.3,110,23.2
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","*","*","*","*","*","*",7,1.7,32,6.7
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",126,11.4,82,7.4,85,7.5,57,5.0,96,8.2
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",10,14.7,11,16.2,10,13.7,"*","*",9,12.2
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","N/A","N/A","N/A","N/A","*","*",86,39.8,123,45.9
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",15,3.4,7,1.7,40,9.8,34,8.8,26,6.5
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",836,37.9,637,29.8,622,33.4,487,28.6,436,27.8
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",106,9.0,99,8.3,87,7.3,120,9.7,144,11.7
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",36,11.3,7,2.2,17,4.8,25,6.9,31,8.1
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",66,12.0,200,21.9,159,17.4,88,9.7,74,8.0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",157,36.5,149,34.7,115,29.9,122,31.4,111,27.3
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",125,19.1,144,20.3,103,13.3,118,15.9,118,16.7
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",154,44.0,116,33.4,105,32.3,86,23.3,67,16.1
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",18,7.3,34,13.5,43,16.5,42,15.2,"*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",123,14.7,63,7.6,93,11.6,121,15.2,61,7.6
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",9,2.9,11,3.5,11,3.9,"N/A","N/A","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",19,5.1,31,9.1,24,7.1,28,8.8,19,5.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",513,39.8,569,43.8,405,35.0,351,30.0,336,31.2
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",20,4.6,14,3.3,19,4.5,29,7.0,32,7.7
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",62,14.8,57,14.0,70,16.9,63,15.9,59,17.1
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","N/A","N/A","N/A","N/A",36,16.1,157,44.7,143,29.5
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*","*",14,3.0,13,2.5,8,1.6,7,1.4
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",295,42.3,167,24.9,206,28.9,165,24.0,158,23.8
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",94,20.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",135,14.5,111,12.5,94,10.0,145,16.2,118,13.0
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",40,7.9,11,2.1,20,3.8,34,6.7,35,6.8
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",35,68.6,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",12,2.5,"*","*","*","*","*","*",9,2.0
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",25,53.2,49,71.0,"N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","N/A","N/A","*","*",6,1.2,31,6.6,21,4.3
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","N/A","N/A","N/A","N/A",48,42.9,"N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""",175,19.8,174,20.0,184,21.5,125,13.9,139,15.1
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",157,28.8,139,23.3,139,23.1,122,20.3,151,24.0
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",36,7.1,55,10.5,96,18.5,93,18.3,83,15.9
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",67,9.0,38,5.4,30,4.4,11,1.7,22,3.2
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",144,11.1,159,12.7,175,14.1,161,13.8,119,10.3
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",238,18.5,217,16.8,201,15.4,132,10.8,160,13.2
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N/A","N/A","N/A","N/A","N/A","N/A",8,16.0,10,19.6
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",136,16.5,97,13.0,105,14.5,115,15.3,101,14.3
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",7,"*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",19,5.4,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",20,5.2,16,4.5,16,4.5,22,6.5,20,5.8
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",13,2.3,16,3.6,9,2.1,17,3.9,15,3.2
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","*","*",55,6.2,48,5.3,52,5.7,41,4.5
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",14,3.2,7,1.6,13,3.1,15,3.8,22,5.5
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",17,4.4,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",58,11.2,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",19,5.0,25,5.8,28,6.3,9,2.3,6,1.6
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","N/A","N/A","N/A","N/A","N/A","N/A","*","*",6,"*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",33,5.9,31,6.1,27,5.9,30,7.1,32,7.6
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","*","*",13,2.6,29,5.6,22,4.1,31,6.4
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",8,1.6,16,3.0,14,2.8,14,3.0,17,3.8
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","N/A","N/A",59,6.4,71,7.6,90,9.6,93,9.8
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",55,5.7,37,4.1,42,4.6,42,4.7,46,5.2
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",35,4.0,41,4.8,29,3.3,43,4.8,37,4.3
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*","*","N/A","N/A","*","*","N/A","N/A",15,2.9
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",66,17.1,46,11.6,47,12.4,36,9.7,44,11.7
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",21,9.7,15,6.5,15,6.4,14,6.1,11,4.7
"Canton School District","=""0230011""","Canton Academy","=""0230411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",22,4.2,18,3.6,7,1.4,8,1.7,16,3.4
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",11,2.7,6,1.4,8,1.9,"*","*",8,2.0
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",10,3.9,6,2.2,"*","*",12,4.4,17,6.0
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",6,1.1,"*","*","*","*","*","*","N/A","N/A"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",50,23.3
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",12,3.2,83,17.1,100,18.3,124,19.8,126,18.2
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","N/A","N/A","N/A","N/A","N/A","N/A",75,14.6,141,27.6
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","N/A","N/A","N/A","N/A","N/A","N/A",7,2.0,6,1.5
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","N/A","N/A","*","*","*","*","*","*","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",47,21.1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",21,5.5,96,23.8,96,23.4,77,17.5,49,11.6
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","N/A","N/A",12,6.8,37,11.7,49,15.6,20,6.3
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",23,31.9,22,34.4,31,47.7,40,61.5,"N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*","*","*","*","*",7,"*","N/A","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",23,8.8,38,11.6,35,10.3,"N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",29,4.1,34,4.8,89,12.5,34,4.7,168,23.9
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","*","*","N/A","N/A","*","*","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",39,10.7,94,25.1,113,29.0,88,17.9,134,30.2
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","N/A","N/A","N/A","N/A","*","*",9,2.0,6,1.3
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","N/A","N/A",13,14.0,34,18.2,59,20.1,87,21.9
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",111,16.6,138,21.1,66,10.2,80,12.1,85,13.2
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*","*","*","*","*","*","N/A","N/A","*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*","*","*","*","N/A","N/A","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",90,5.8,85,5.7,86,5.6,96,6.4,93,6.3
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",23,2.9,21,2.8,26,3.5,33,4.3,26,3.6
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*","*","*","*","*","*","*",6,1.3
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",8,30.8
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",6,22.2,8,25.8,"*","*","N/A","N/A","N/A","N/A"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","*","*","*","*","*","*","*","*","N/A","N/A"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*","*","*",8,2.7,"*","*","*","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",25,5.4,7,1.6,11,2.4,10,2.1,11,2.4
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","*","*",9,1.4,7,1.1,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",92,16.4,92,15.9,74,13.3,64,11.7,40,7.5
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",86,8.8,75,8.0,69,7.6,76,8.8,67,8.0
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","N/A","N/A","N/A","N/A","*","*","*","*","N/A","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*","*","*","*","*","N/A","N/A","*","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",13,2.0,9,1.4,8,1.3,8,1.4,12,2.3
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",26,3.7,33,4.7,34,5.0,30,4.8,22,3.6
