"District","reportingsdistrictcode","School","School Code","Count","%"
"Meriden School District",".","Benjamin Franklin School","=""0800111""",22,4.7
"Meriden School District",".","Casimir Pulaski School","=""0801111""",24,4.2
"Meriden School District",".","Francis T. Maloney High School","=""0806111""",298,24.5
"Meriden School District",".","Hanover School","=""0800311""","*","*"
"Meriden School District",".","Israel Putnam School","=""0800411""",42,7.4
"Meriden School District",".","John Barry School","=""0800511""",16,3.2
"Meriden School District",".","Lincoln Middle School","=""0805211""",159,20.9
"Meriden School District",".","Nathan Hale School","=""0800711""",17,2.8
"Meriden School District",".","Orville H. Platt High School","=""0806211""",296,25.2
"Meriden School District",".","Roger Sherman School","=""0800811""",23,4.6
"Meriden School District",".","Thomas Hooker School","=""0801011""",10,2.3
"Meriden School District",".","Washington Middle School","=""0805411""",203,25.0
"Middletown School District",".","Bielefield School","=""0830211""","N/A","N/A"
"Middletown School District",".","Farm Hill School","=""0830511""",18,5.4
"Middletown School District",".","Keigwin Middle School","=""0831511""",62,19.1
"Middletown School District",".","Lawrence School","=""0831311""",8,2.5
"Middletown School District",".","MHS - Alternative Education Program 2","=""0831911""","*","*"
"Middletown School District",".","MacDonough School","=""0830911""",30,12.1
"Middletown School District",".","Middletown High School","=""0836211""",170,13.1
"Middletown School District",".","Moody School","=""0831211""",7,2.4
"Middletown School District",".","Snow School","=""0831111""","*","*"
"Middletown School District",".","Spencer School","=""0830111""",7,2.0
"Middletown School District",".","Transition to Life Center","=""0839111""","N/A","*"
"Middletown School District",".","Wesley School","=""0831411""","*","*"
"Middletown School District",".","Woodrow Wilson Middle School","=""0835411""",101,15.0
"New Haven School District",".","Augusta Lewis Troup School","=""0931511""",32,6.2
"New Haven School District",".","Barnard Environmental Magnet School","=""0930211""",29,5.3
"New Haven School District",".","Beecher School","=""0930311""",48,10.3
"New Haven School District",".","Benjamin Jepson Magnet School","=""0931811""","*","*"
"New Haven School District",".","Betsy Ross Arts Magnet School","=""0935511""","*","*"
"New Haven School District",".","Bishop Woods School","=""0934311""",63,11.4
"New Haven School District",".","Celentano BioTech, Health and Medical Magnet School","=""0934811""",41,8.9
"New Haven School District",".","Christopher Columbus Academy","=""0934111""","N/A","N/A"
"New Haven School District",".","Clemente Leadership Academy","=""0934211""",53,9.9
"New Haven School District",".","Clinton Avenue School","=""0930611""",37,6.3
"New Haven School District",".","Conte/West Hills Magnet School","=""0933111""",31,5.0
"New Haven School District",".","Cooperative High School","=""0936411""",36,5.8
"New Haven School District",".","Davis 21st Century Magnet Elementary School","=""0930911""",15,3.0
"New Haven School District",".","Domus Academy","=""0935611""","*","*"
"New Haven School District",".","Dwight Early Childhood Program","=""0938211""","N/A","N/A"
"New Haven School District",".","Early Learning Center","=""0938111""","N/A","N/A"
"New Haven School District",".","East Rock Community Magnet School","=""0934611""",56,13.1
"New Haven School District",".","Edgewood School","=""0931211""",37,8.3
"New Haven School District",".","Engineering - Science University Magnet School","=""0931711""",33,8.6
"New Haven School District",".","Fair Haven School","=""0931611""",27,3.7
"New Haven School District",".","Headstart","=""0938011""","N/A","N/A"
"New Haven School District",".","Helene Grant HeadStart","=""0938311""","N/A","N/A"
"New Haven School District",".","High School In The Community","=""0936611""",25,11.3
"New Haven School District",".","Hill Central Music Academy","=""0930711""",17,3.7
"New Haven School District",".","Hill Regional Career High School","=""0936311""",73,10.7
"New Haven School District",".","Hyde School of Health, Science and Sports Medicine","=""0936811""",73,39.0
"New Haven School District",".","James Hillhouse High School","=""0936211""",122,11.7
"New Haven School District",".","John C. Daniels","=""0931311""",29,5.8
"New Haven School District",".","John S. Martinez School","=""0930811""","*","*"
"New Haven School District",".","Katherine Brennan/Clarence Rogers School","=""0932111""",16,4.0
"New Haven School District",".","King/Robinson Magnet School","=""0933011""",78,13.8
"New Haven School District",".","Lincoln-Bassett School","=""0932011""",24,5.8
"New Haven School District",".","Mauro-Sheridan Magnet School","=""0931911""",47,8.7
"New Haven School District",".","Metropolitan Business Academy","=""0936011""",29,7.7
"New Haven School District",".","Nathan Hale School","=""0931411""",32,5.7
"New Haven School District",".","New Haven Academy","=""0937011""",25,9.1
"New Haven School District",".","Polly T. McCabe Center","=""0939211""","*","*"
"New Haven School District",".","Quinnipiac Real World Math STEM School","=""0933511""","N/A","N/A"
"New Haven School District",".","Riverside Education Academy","=""0939111""",29,25.4
"New Haven School District",".","Ross/Woodward School","=""0931011""",46,7.7
"New Haven School District",".","Sound School","=""0936711""",16,4.9
"New Haven School District",".","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",18,3.9
"New Haven School District",".","Truman School","=""0932911""",25,4.8
"New Haven School District",".","West Rock Authors Academy","=""0934911""",23,10.7
"New Haven School District",".","Wexler/Grant Community School","=""0933211""",44,10.3
"New Haven School District",".","Wilbur Cross High School","=""0936111""",315,24.7
"New Haven School District",".","Worthington Hooker School","=""0933811""",15,3.5
"Newington School District",".","Anna Reynolds School","=""0940611""","*","*"
"Newington School District",".","Elizabeth Green School","=""0940211""","*","*"
"Newington School District",".","John Paterson School","=""0940811""","*","*"
"Newington School District",".","John Wallace Middle School","=""0945311""",39,5.5
"Newington School District",".","Martin Kellogg Middle School","=""0945111""",48,8.3
"Newington School District",".","Newington High School","=""0946111""",154,10.8
"Newington School District",".","Ruth Chaffee School","=""0940711""","*","*"
"Pomfret School District",".","Pomfret Community School","=""1120111""",8,1.7
"Portland School District",".","Brownstone Intermediate School","=""1130511""",8,3.3
"Portland School District",".","Gildersleeve School","=""1130411""","*","*"
"Portland School District",".","Portland High School","=""1136111""",36,9.7
"Portland School District",".","Portland Middle School","=""1135111""",11,4.8
"Portland School District",".","Valley View School","=""1130211""","N/A","N/A"
"Preston School District",".","Preston Plains School","=""1145111""","*","*"
"Preston School District",".","Preston Veterans' Memorial School","=""1140411""",10,3.6
"Putnam School District",".","Helping Hands","=""1169011""","N/A","*"
"Putnam School District",".","Putnam Elementary School","=""1160311""",17,2.5
"Putnam School District",".","Putnam High School","=""1166111""",54,18.3
"Putnam School District",".","Putnam Middle School","=""1165111""",44,14.7
"Stratford School District",".","Bunnell High School","=""1386211""",131,10.7
"Stratford School District",".","Chapel School","=""1380311""",25,4.5
"Stratford School District",".","David Wooster Middle School","=""1385211""",86,16.1
"Stratford School District",".","Eli Whitney School","=""1381311""",17,3.2
"Stratford School District",".","Franklin School","=""1380411""",18,5.9
"Stratford School District",".","Harry B. Flood Middle School","=""1385311""",46,8.3
"Stratford School District",".","Honeyspot School","=""1381611""",6,2.8
"Stratford School District",".","Lordship School","=""1380811""",16,6.8
"Stratford School District",".","Nichols School","=""1380911""",13,2.9
"Stratford School District",".","Second Hill Lane School","=""1381011""",15,2.1
"Stratford School District",".","Secondary STEPS Program","=""1389111""",13,"*"
"Stratford School District",".","Stratford Academy - Johnson House","=""1381511""",27,5.7
"Stratford School District",".","Stratford High School","=""1386111""",161,14.7
"Stratford School District",".","Strive-Stratford","=""1389011""","N/A","*"
"Stratford School District",".","Wilcoxson School","=""1381411""",20,5.3
"Suffield School District",".","A. Ward Spaulding School","=""1390411""","N/A","N/A"
"Suffield School District",".","McAlister Intermediate School","=""1390311""","*","*"
"Suffield School District",".","Suffield High School","=""1396111""",72,8.4
"Suffield School District",".","Suffield Middle School","=""1395111""",14,2.3
"Thomaston School District",".","Black Rock School","=""1400111""","*","*"
"Thomaston School District",".","Thomaston Center School","=""1400211""",7,2.8
