"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math","*",234,"*",234,"*","*","*","*",81,34.6,105,44.9,186,79.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA",557,552,99.1,551,29,5.3,62,11.3,205,37.2,255,46.3,460,83.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math",557,554,99.5,554,52,9.4,115,20.8,171,30.9,216,39.0,387,69.9
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELA",248,238,96.0,204,64,31.4,66,32.4,49,24.0,25,12.3,74,36.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Math",248,238,96.0,221,67,30.3,71,32.1,52,23.5,31,14.0,83,37.6
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA",701,701,100.0,701,75,10.7,174,24.8,312,44.5,140,20.0,452,64.5
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math",700,699,99.9,699,139,19.9,241,34.5,180,25.8,139,19.9,319,45.6
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA",228,228,100.0,228,28,12.3,44,19.3,83,36.4,73,32.0,156,68.4
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math",228,228,100.0,228,35,15.4,55,24.1,82,36.0,56,24.6,138,60.5
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA",298,298,100.0,296,38,12.8,59,19.9,116,39.2,83,28.0,199,67.2
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math",298,298,100.0,296,44,14.9,95,32.1,107,36.1,50,16.9,157,53.0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA",130,130,100.0,130,22,16.9,27,20.8,46,35.4,35,26.9,81,62.3
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math",130,130,100.0,130,25,19.2,54,41.5,31,23.8,20,15.4,51,39.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA",240,234,97.5,233,29,12.4,46,19.7,73,31.3,85,36.5,158,67.8
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math",240,234,97.5,234,31,13.2,64,27.4,76,32.5,63,26.9,139,59.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA",101,101,100.0,101,13,12.9,28,27.7,32,31.7,28,27.7,60,59.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math",101,101,100.0,101,25,24.8,44,43.6,25,24.8,7,6.9,32,31.7
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELA",246,240,97.6,239,38,15.9,63,26.4,87,36.4,51,21.3,138,57.7
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Math",246,239,97.2,239,92,38.5,61,25.5,62,25.9,24,10.0,86,36.0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA",693,685,98.8,685,64,9.3,149,21.8,286,41.8,186,27.2,472,68.9
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Math",693,687,99.1,687,177,25.8,243,35.4,150,21.8,117,17.0,267,38.9
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","ELA",96,95,99.0,95,8,8.4,16,16.8,26,27.4,45,47.4,71,74.7
