"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","ELA",389,389,100.0,389,76,19.5,116,29.8,152,39.1,45,11.6,197,50.6
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Math",388,387,99.7,387,242,62.5,83,21.4,47,12.1,15,3.9,62,16.0
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","ELA",1137,1107,97.4,1105,435,39.4,358,32.4,268,24.3,44,4.0,312,28.2
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","Math",1136,1115,98.2,1113,689,61.9,295,26.5,102,9.2,27,2.4,129,11.6
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","ELA",150,150,100.0,150,32,21.3,37,24.7,55,36.7,26,17.3,81,54.0
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Math",150,150,100.0,150,44,29.3,48,32.0,41,27.3,17,11.3,58,38.7
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","ELA",116,114,98.3,114,42,36.8,35,30.7,23,20.2,14,12.3,37,32.5
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Math",116,115,99.1,115,43,37.4,36,31.3,28,24.3,8,7.0,36,31.3
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","ELA",141,140,99.3,140,46,32.9,36,25.7,38,27.1,20,14.3,58,41.4
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Math",141,141,100.0,141,46,32.6,55,39.0,28,19.9,12,8.5,40,28.4
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","ELA",277,273,98.6,273,128,46.9,80,29.3,51,18.7,14,5.1,65,23.8
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Math",272,270,99.3,270,147,54.4,93,34.4,"*","*","*","*",30,11.1
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","ELA",136,135,99.3,135,79,58.5,33,24.4,"*","*","*","*",23,17.0
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Math",134,134,100.0,134,78,58.2,41,30.6,"*","*","*","*",15,11.2
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","ELA",33,16,48.5,16,"*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Math",33,18,54.5,18,"*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","ELA",141,141,100.0,141,36,25.5,55,39.0,42,29.8,8,5.7,50,35.5
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Math",140,140,100.0,140,85,60.7,40,28.6,"*","*","*","*",15,10.7
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","ELA",100,83,83.0,80,76,95.0,"*","*","*","*",0,0.0,"*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Math",101,84,83.2,82,78,95.1,"*","*","*","*",0,0.0,"*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","ELA",259,258,99.6,258,41,15.9,50,19.4,113,43.8,54,20.9,167,64.7
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Math",259,258,99.6,258,59,22.9,102,39.5,61,23.6,36,14.0,97,37.6
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","ELA",185,183,98.9,183,55,30.1,42,23.0,54,29.5,32,17.5,86,47.0
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Math",185,184,99.5,184,42,22.8,68,37.0,60,32.6,14,7.6,74,40.2
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","ELA",210,204,97.1,202,31,15.3,68,33.7,74,36.6,29,14.4,103,51.0
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Math",210,203,96.7,203,131,64.5,39,19.2,"*","*","*","*",33,16.3
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","ELA",184,183,99.5,183,44,24.0,46,25.1,62,33.9,31,16.9,93,50.8
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Math",184,184,100.0,184,78,42.4,63,34.2,37,20.1,6,3.3,43,23.4
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","ELA",579,567,97.9,567,205,36.2,185,32.6,148,26.1,29,5.1,177,31.2
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Math",579,568,98.1,567,308,54.3,182,32.1,64,11.3,13,2.3,77,13.6
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","ELA",150,147,98.0,147,49,33.3,40,27.2,32,21.8,26,17.7,58,39.5
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Math",150,150,100.0,150,66,44.0,47,31.3,28,18.7,9,6.0,37,24.7
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","ELA",244,234,95.9,234,14,6.0,17,7.3,74,31.6,129,55.1,203,86.8
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Math",244,233,95.5,233,42,18.0,53,22.7,62,26.6,76,32.6,138,59.2
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","ELA",849,833,98.1,833,86,10.3,152,18.2,365,43.8,230,27.6,595,71.4
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Math",849,832,98.0,832,138,16.6,223,26.8,228,27.4,243,29.2,471,56.6
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","ELA",161,160,99.4,160,9,5.6,17,10.6,46,28.8,88,55.0,134,83.8
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Math",161,159,98.8,159,11,6.9,36,22.6,64,40.3,48,30.2,112,70.4
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","ELA",129,129,100.0,129,13,10.1,12,9.3,30,23.3,74,57.4,104,80.6
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Math",129,129,100.0,129,12,9.3,27,20.9,47,36.4,43,33.3,90,69.8
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","ELA",79,79,100.0,79,"*","*","*","*",19,24.1,51,64.6,70,88.6
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Math",79,79,100.0,79,"*","*","*","*",26,32.9,37,46.8,63,79.7
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","ELA",159,157,98.7,157,40,25.5,41,26.1,41,26.1,35,22.3,76,48.4
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Math",159,158,99.4,158,37,23.4,46,29.1,43,27.2,32,20.3,75,47.5
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","ELA",68,67,98.5,67,12,17.9,21,31.3,28,41.8,6,9.0,34,50.7
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Math",68,67,98.5,67,25,37.3,22,32.8,"*","*","*","*",20,29.9
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","ELA",306,306,100.0,304,63,20.7,89,29.3,111,36.5,41,13.5,152,50.0
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Math",306,306,100.0,304,122,40.1,115,37.8,45,14.8,22,7.2,67,22.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","ELA",34,24,70.6,24,"*","*","*","*",11,45.8,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Math",34,24,70.6,24,16,66.7,"*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","ELA",55,51,92.7,48,45,93.8,"*","*","*","*",0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Math",55,48,87.3,46,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","ELA",27,23,85.2,23,"*","*",8,34.8,"*","*",0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Math",27,23,85.2,23,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","ELA",84,84,100.0,84,6,7.1,13,15.5,35,41.7,30,35.7,65,77.4
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Math",84,84,100.0,84,12,14.3,25,29.8,26,31.0,21,25.0,47,56.0
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","ELA",319,"*","*","*","*","*",67,21.5,144,46.3,"*","*","*","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Math",319,"*","*","*",33,10.6,"*","*","*","*",101,32.5,"*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","ELA","*",314,"*",314,23,7.3,"*","*","*","*",155,49.4,"*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Math","*",315,"*",315,"*","*",93,29.5,102,32.4,"*","*","*","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","ELA",13,8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Math",13,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","ELA",139,139,100.0,139,"*","*",23,16.5,39,28.1,72,51.8,111,79.9
"Ellington School District","=""0480011""","Center School","=""0480111""","Math",139,139,100.0,139,8,5.8,30,21.6,58,41.7,43,30.9,101,72.7
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","ELA",87,85,97.7,85,9,10.6,20,23.5,16,18.8,40,47.1,56,65.9
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Math",87,86,98.9,86,8,9.3,22,25.6,26,30.2,30,34.9,56,65.1
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","ELA",179,165,92.2,149,74,49.7,27,18.1,22,14.8,26,17.4,48,32.2
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Math",179,168,93.9,149,59,39.6,28,18.8,34,22.8,28,18.8,62,41.6
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","ELA",430,427,99.3,427,18,4.2,67,15.7,202,47.3,140,32.8,342,80.1
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Math",430,427,99.3,426,67,15.7,114,26.8,125,29.3,120,28.2,245,57.5
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","ELA",430,425,98.8,424,20,4.7,68,16.0,179,42.2,157,37.0,336,79.2
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Math",429,424,98.8,424,59,13.9,137,32.3,130,30.7,98,23.1,228,53.8
"Ellington School District","=""0480011""","Windermere School","=""0480611""","ELA",189,189,100.0,189,20,10.6,24,12.7,51,27.0,94,49.7,145,76.7
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Math",189,189,100.0,189,21,11.1,38,20.1,71,37.6,59,31.2,130,68.8
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","ELA",356,356,100.0,356,66,18.5,93,26.1,135,37.9,62,17.4,197,55.3
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Math",356,356,100.0,356,86,24.2,120,33.7,99,27.8,51,14.3,150,42.1
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","ELA",326,326,100.0,326,75,23.0,85,26.1,103,31.6,63,19.3,166,50.9
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Math",326,326,100.0,326,71,21.8,135,41.4,95,29.1,25,7.7,120,36.8
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","ELA",384,381,99.2,381,72,18.9,97,25.5,135,35.4,77,20.2,212,55.6
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Math",383,382,99.7,381,66,17.3,138,36.2,129,33.9,48,12.6,177,46.5
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","ELA",161,158,98.1,157,9,5.7,41,26.1,72,45.9,35,22.3,107,68.2
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Math",161,157,97.5,157,54,34.4,49,31.2,41,26.1,13,8.3,54,34.4
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","ELA",232,223,96.1,223,11,4.9,29,13.0,100,44.8,83,37.2,183,82.1
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Math",232,223,96.1,223,59,26.5,83,37.2,45,20.2,36,16.1,81,36.3
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","ELA",1086,1069,98.4,1067,200,18.7,344,32.2,420,39.4,103,9.7,523,49.0
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Math",1083,1059,97.8,1055,368,34.9,397,37.6,209,19.8,81,7.7,290,27.5
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","ELA",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Math",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","ELA",384,381,99.2,381,63,16.5,113,29.7,130,34.1,75,19.7,205,53.8
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Math",387,384,99.2,384,79,20.6,143,37.2,119,31.0,43,11.2,162,42.2
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","ELA",267,260,97.4,259,21,8.1,26,10.0,92,35.5,120,46.3,212,81.9
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Math",267,260,97.4,260,36,13.8,82,31.5,73,28.1,69,26.5,142,54.6
"Explorations District","=""2720013""","Explorations","=""2726113""","ELA",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Math",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","ELA",199,198,99.5,197,10,5.1,24,12.2,52,26.4,111,56.3,163,82.7
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Math",199,197,99.0,197,11,5.6,43,21.8,67,34.0,76,38.6,143,72.6
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","ELA",147,144,98.0,144,6,4.2,21,14.6,44,30.6,73,50.7,117,81.3
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Math",147,144,98.0,144,9,6.3,31,21.5,62,43.1,42,29.2,104,72.2
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","ELA",370,356,96.2,356,8,2.2,39,11.0,136,38.2,173,48.6,309,86.8
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Math",370,344,93.0,344,43,12.5,79,23.0,114,33.1,108,31.4,222,64.5
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","ELA",383,349,91.1,348,52,14.9,60,17.2,152,43.7,84,24.1,236,67.8
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Math",383,302,78.9,301,107,35.5,90,29.9,73,24.3,31,10.3,104,34.6
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","ELA",912,884,96.9,884,53,6.0,164,18.6,414,46.8,253,28.6,667,75.5
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Math",911,879,96.5,879,123,14.0,236,26.8,247,28.1,273,31.1,520,59.2
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","ELA",205,205,100.0,205,34,16.6,35,17.1,60,29.3,76,37.1,136,66.3
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Math",205,204,99.5,204,30,14.7,51,25.0,73,35.8,50,24.5,123,60.3
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","ELA",182,182,100.0,182,19,10.4,38,20.9,55,30.2,70,38.5,125,68.7
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Math",182,182,100.0,182,21,11.5,56,30.8,56,30.8,49,26.9,105,57.7
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","ELA",231,230,99.6,229,44,19.2,64,27.9,64,27.9,57,24.9,121,52.8
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Math",231,230,99.6,230,58,25.2,79,34.3,67,29.1,26,11.3,93,40.4
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","ELA",227,227,100.0,227,23,10.1,49,21.6,76,33.5,79,34.8,155,68.3
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Math",227,227,100.0,227,23,10.1,53,23.3,94,41.4,57,25.1,151,66.5
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","ELA",236,230,97.5,230,30,13.0,33,14.3,75,32.6,92,40.0,167,72.6
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Math",236,230,97.5,230,20,8.7,76,33.0,86,37.4,48,20.9,134,58.3
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","ELA",268,266,99.3,266,22,8.3,41,15.4,85,32.0,118,44.4,203,76.3
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Math",268,266,99.3,266,20,7.5,62,23.3,109,41.0,75,28.2,184,69.2
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","ELA",207,206,99.5,206,17,8.3,25,12.1,53,25.7,111,53.9,164,79.6
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Math",207,206,99.5,206,14,6.8,54,26.2,85,41.3,53,25.7,138,67.0
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","ELA",805,800,99.4,800,35,4.4,111,13.9,413,51.6,241,30.1,654,81.8
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Math",805,799,99.3,799,76,9.5,193,24.2,258,32.3,272,34.0,530,66.3
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","ELA",237,236,99.6,236,9,3.8,29,12.3,64,27.1,134,56.8,198,83.9
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Math",237,236,99.6,236,11,4.7,51,21.6,90,38.1,84,35.6,174,73.7
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","ELA",242,241,99.6,241,28,11.6,43,17.8,85,35.3,85,35.3,170,70.5
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Math",242,241,99.6,241,26,10.8,69,28.6,88,36.5,58,24.1,146,60.6
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","ELA",715,705,98.6,704,74,10.5,154,21.9,283,40.2,193,27.4,476,67.6
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Math",714,703,98.5,702,142,20.2,201,28.6,197,28.1,162,23.1,359,51.1
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","ELA",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Math",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","ELA",196,190,96.9,190,8,4.2,17,8.9,42,22.1,123,64.7,165,86.8
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Math",197,196,99.5,196,7,3.6,20,10.2,77,39.3,92,46.9,169,86.2
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","ELA",321,290,90.3,288,28,9.7,52,18.1,97,33.7,111,38.5,208,72.2
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Math",321,266,82.9,263,63,24.0,67,25.5,78,29.7,55,20.9,133,50.6
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","ELA",562,557,99.1,557,34,6.1,77,13.8,263,47.2,183,32.9,446,80.1
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Math",562,558,99.3,557,77,13.8,93,16.7,125,22.4,262,47.0,387,69.5
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","ELA",143,143,100.0,143,24,16.8,21,14.7,30,21.0,68,47.6,98,68.5
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Math",145,145,100.0,145,16,11.0,32,22.1,49,33.8,48,33.1,97,66.9
"Farmington School District","=""0520011""","Union School","=""0520111""","ELA",130,130,100.0,130,11,8.5,26,20.0,30,23.1,63,48.5,93,71.5
"Farmington School District","=""0520011""","Union School","=""0520111""","Math",130,130,100.0,130,11,8.5,28,21.5,54,41.5,37,28.5,91,70.0
"Farmington School District","=""0520011""","West District School","=""0520311""","ELA",142,141,99.3,141,13,9.2,15,10.6,30,21.3,83,58.9,113,80.1
"Farmington School District","=""0520011""","West District School","=""0520311""","Math",142,141,99.3,141,16,11.3,26,18.4,45,31.9,54,38.3,99,70.2
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","ELA",668,662,99.1,662,44,6.6,90,13.6,273,41.2,255,38.5,528,79.8
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Math",668,663,99.3,663,81,12.2,219,33.0,162,24.4,201,30.3,363,54.8
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","ELA",111,109,98.2,109,16,14.7,19,17.4,45,41.3,29,26.6,74,67.9
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Math",111,108,97.3,108,26,24.1,34,31.5,32,29.6,16,14.8,48,44.4
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","ELA",259,259,100.0,259,22,8.5,42,16.2,68,26.3,127,49.0,195,75.3
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Math",259,259,100.0,259,26,10.0,46,17.8,87,33.6,100,38.6,187,72.2
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","ELA",137,137,100.0,137,"*","*","*","*",45,32.8,77,56.2,122,89.1
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Math",137,137,100.0,137,7,5.1,21,15.3,49,35.8,60,43.8,109,79.6
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","ELA",514,511,99.4,511,21,4.1,77,15.1,199,38.9,214,41.9,413,80.8
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Math",514,511,99.4,511,59,11.5,134,26.2,150,29.4,168,32.9,318,62.2
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","ELA",531,511,96.2,511,27,5.3,74,14.5,208,40.7,202,39.5,410,80.2
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Math",531,511,96.2,511,93,18.2,113,22.1,131,25.6,174,34.1,305,59.7
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","ELA",230,230,100.0,230,7,3.0,24,10.4,68,29.6,131,57.0,199,86.5
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Math",230,230,100.0,230,7,3.0,28,12.2,75,32.6,120,52.2,195,84.8
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","ELA",216,216,100.0,216,13,6.0,27,12.5,61,28.2,115,53.2,176,81.5
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Math",216,216,100.0,216,15,6.9,53,24.5,67,31.0,81,37.5,148,68.5
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","ELA",12,11,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Math",12,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","ELA",213,213,100.0,213,24,11.3,46,21.6,62,29.1,81,38.0,143,67.1
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Math",212,212,100.0,212,35,16.5,54,25.5,66,31.1,57,26.9,123,58.0
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","ELA",284,281,98.9,280,23,8.2,37,13.2,76,27.1,144,51.4,220,78.6
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Math",286,280,97.9,280,15,5.4,54,19.3,72,25.7,139,49.6,211,75.4
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","ELA",1038,1035,99.7,1035,79,7.6,192,18.6,465,44.9,299,28.9,764,73.8
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Math",1039,1036,99.7,1036,122,11.8,229,22.1,312,30.1,373,36.0,685,66.1
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","ELA",190,141,74.2,141,12,8.5,21,14.9,63,44.7,45,31.9,108,76.6
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Math",190,135,71.1,135,22,16.3,33,24.4,56,41.5,24,17.8,80,59.3
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","ELA",328,310,94.5,309,20,6.5,59,19.1,144,46.6,86,27.8,230,74.4
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Math",328,311,94.8,311,44,14.1,80,25.7,94,30.2,93,29.9,187,60.1
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","ELA",284,283,99.6,283,8,2.8,42,14.8,101,35.7,132,46.6,233,82.3
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Math",284,283,99.6,283,17,6.0,68,24.0,94,33.2,104,36.7,198,70.0
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","ELA",277,274,98.9,274,34,12.4,53,19.3,120,43.8,67,24.5,187,68.2
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Math",277,274,98.9,274,35,12.8,92,33.6,98,35.8,49,17.9,147,53.6
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","ELA",116,114,98.3,114,70,61.4,31,27.2,13,11.4,0,0.0,13,11.4
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Math",116,114,98.3,114,77,67.5,"*","*","*","*",0,0.0,"*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","ELA","*","*","*","*",13,59.1,"*","*",0,0.0,"*","*","*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Math","*","*","*","*","*","*","*","*",0,0.0,0,0.0,0,0.0
