district,school,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Connecticut Technical High School System,Windham Technical High School,97.1,98.5,98.4,97.1,98.5,9002416,Windham Technical High School,Connecticut Technical High School System
Coventry School District,Coventry High School,86.8,90.4,97.7,*,92.6,0326111,Coventry High School,Coventry School District
Cromwell School District,Cromwell High School,94.5,93.6,93.1,*,94.3,0336111,Cromwell High School,Cromwell School District
Danbury School District,Alternative Center For Excellence,,*,,,31.7,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Danbury High School,80.3,*,82.4,79.5,80.3,0346111,Danbury High School,Danbury School District
Darien School District,Darien High School,97.1,97.8,98.2,97.3,*,0356111,Darien High School,Darien School District
Derby School District,Derby High School,77.5,68.6,81.4,83.2,81.3,0376111,Derby High School,Derby School District
East Granby School District,East Granby High School,*,*,93.8,100.0,100.0,0406111,East Granby High School,East Granby School District
East Haddam School District,Nathan Hale-Ray High School,93.9,*,96.0,93.5,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Hampton School District,East Hampton High School,95.6,96.9,97.5,96.7,95.9,0426111,East Hampton High School,East Hampton School District
East Hartford School District,Connecticut IB Academy,92.1,94.9,97.8,100.0,97.8,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,East Hartford High School,87.1,85.7,86.4,94.6,94.0,0436211,East Hartford High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,,51.3,41.0,,56.8,0436411,Stevens Alternate High School,East Hartford School District
East Haven School District,East Haven High School,75.1,75.5,82.8,78.5,75.5,0446111,East Haven High School,East Haven School District
East Lyme School District,East Lyme High School,95.6,94.8,97.3,97.7,98.0,0456111,East Lyme High School,East Lyme School District
East Windsor School District,East Windsor High School,88.4,83.2,89.7,88.5,88.3,0476111,East Windsor High School,East Windsor School District
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),88.9,92.3,91.2,96.4,86.1,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,69.8,69.8,56.3,61.4,78.4,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Ellington School District,Ellington High School,91.0,91.9,95.9,97.6,96.8,0486111,Ellington High School,Ellington School District
Elm City College Preparatory School District,Elm City College Preparatory School,*,*,62.5,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Enfield School District,Enfield High School,88.0,82.0,82.6,86.3,85.6,0496111,Enfield High School,Enfield School District
Enfield School District,Enrico Fermi High School,87.8,93.0,90.1,88.5,,0496211,Enrico Fermi High School,Enfield School District
Explorations District,Explorations,57.1,65.6,66.7,*,74.1,2726113,Explorations,Explorations District
Fairfield School District,Fairfield Ludlowe High School,96.3,95.3,94.3,96.9,98.1,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,92.6,91.4,94.4,97.7,97.1,0516211,Fairfield Warde High School,Fairfield School District
Farmington School District,Farmington High School,96.0,96.9,96.4,98.4,96.6,0526111,Farmington High School,Farmington School District
Glastonbury School District,Glastonbury High School,96.3,97.3,98.8,98.8,99.4,0546111,Glastonbury High School,Glastonbury School District
Granby School District,Granby Memorial High School,98.4,98.4,97.0,97.6,98.9,0566111,Granby Memorial High School,Granby School District
Greenwich School District,Greenwich High School,92.5,95.0,97.0,97.3,97.2,0576111,Greenwich High School,Greenwich School District
Griswold School District,Griswold High School,87.4,88.0,85.0,90.9,91.5,0586211,Griswold High School,Griswold School District
Groton School District,Robert E. Fitch High School,83.2,83.4,85.4,89.0,89.4,0596111,Robert E. Fitch High School,Groton School District
Guilford School District,Guilford High School,98.2,93.9,93.3,96.7,96.3,0606111,Guilford High School,Guilford School District
Hamden School District,Hamden High School,85.8,87.1,91.9,91.5,92.7,0626111,Hamden High School,Hamden School District
Hartford School District,Bulkeley High School Upper School,63.3,71.6,73.3,72.4,71.4,,,
Hartford School District,Capital Community College Magnet Academy,,,,*,96.3,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Preparatory Magnet School,97.0,100.0,96.3,95.1,85.7,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Classical Magnet School,98.8,94.4,95.2,90.5,96.2,0646411,Classical Magnet School,Hartford School District
Hartford School District,Culinary Arts Academy,65.2,56.2,59.8,69.2,52.5,,,
Hartford School District,Global Communications Academy,,,,,92.9,0643611,Global Communications Academy,Hartford School District
Hartford School District,Great Path Academy High School at MCC,,94.1,92.3,,,,,
Hartford School District,Great Path Academy at MCC,,,,90.3,92.1,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,HPHS Academy of Engineering and Green Technology,60.8,63.4,61.6,71.2,54.9,,,
Hartford School District,HPHS Academy of Nursing and Health Science,68.0,68.3,66.4,73.0,64.3,,,
Hartford School District,HPHS Law and Government Academy,47.4,71.7,71.9,64.2,65.5,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,,,,96.1,91.5,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,High School Inc.,,70.8,63.2,75.0,,,,
Hartford School District,"High School, Inc.",,,,,77.4,0647611,"High School, Inc.",Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,,66.7,75.3,71.7,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,,,,,93.9,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,OPPortunity High School,47.8,58.4,33.3,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,93.0,92.9,90.3,89.7,96.6,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,90.6,93.2,91.3,91.8,97.8,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,University High School of Science and Engineering,,,,96.8,93.7,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High of Science and Engineering,89.5,96.8,92.5,,,,,
Jumoke Academy District,Jumoke Academy,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
Killingly School District,Killingly High School,78.2,76.6,83.8,83.2,84.9,0696111,Killingly High School,Killingly School District
Learn,Connecticut River Academy,,89.7,92.8,92.9,90.8,2456014,Connecticut River Academy,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,,*,91.7,86.7,98.6,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Three Rivers Middle College Magnet School,,*,90.6,92.9,94.4,2456214,Three Rivers Middle College Magnet School,Learn
Lebanon School District,Lyman Memorial High School,89.8,93.2,94.2,96.7,*,0716211,Lyman Memorial High School,Lebanon School District
Ledyard School District,Ledyard High School,92.3,92.4,94.5,95.2,93.7,0726111,Ledyard High School,Ledyard School District
Lisbon School District,Community Connection - The Big Picture High School,*,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Litchfield School District,Litchfield High School,98.0,*,95.5,100.0,*,0746111,Litchfield High School,Litchfield School District
Madison School District,Daniel Hand High School,98.2,*,97.5,99.0,98.0,0766111,Daniel Hand High School,Madison School District
Manchester School District,Manchester High School,76.9,78.7,87.2,86.4,90.4,0776111,Manchester High School,Manchester School District
Meriden School District,Francis T. Maloney High School,70.3,73.9,73.5,75.5,74.7,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Orville H. Platt High School,69.6,69.3,80.5,76.7,72.9,0806211,Orville H. Platt High School,Meriden School District
Middletown School District,Middletown High School,78.7,83.4,89.5,95.2,93.4,0836211,Middletown High School,Middletown School District
Milford School District,Jonathan Law High School,81.2,80.5,89.3,91.1,96.3,0846211,Jonathan Law High School,Milford School District
Milford School District,Joseph A. Foran High School,91.1,90.5,96.3,96.5,99.1,0846311,Joseph A. Foran High School,Milford School District
Monroe School District,Masuk High School,*,97.7,98.0,100.0,99.3,0856111,Masuk High School,Monroe School District
Montville School District,Montville High School,89.0,88.1,89.1,95.9,94.6,0866111,Montville High School,Montville School District
Naugatuck School District,Naugatuck High School,84.7,78.4,81.9,85.6,85.2,0886111,Naugatuck High School,Naugatuck School District
New Britain School District,New Britain High School,63.3,63.7,65.5,70.0,75.5,0896111,New Britain High School,New Britain School District
New Canaan School District,New Canaan High School,97.9,97.6,*,*,*,0906111,New Canaan High School,New Canaan School District
New Fairfield School District,New Fairfield High School,97.8,96.1,98.3,*,*,0916111,New Fairfield High School,New Fairfield School District
New Haven School District,Cooperative High School,90.4,89.6,93.9,94.5,95.0,0936411,Cooperative High School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,,,,94.8,92.7,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,High School In The Community,53.9,56.9,47.5,45.8,50.0,0936611,High School In The Community,New Haven School District
New Haven School District,Hill Regional Career High School,88.5,92.2,87.9,91.0,86.4,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,"Hyde School of Health, Science and Sports Medicine",79.2,77.8,89.2,90.0,95.1,,,
New Haven School District,James Hillhouse High School,54.9,57.7,69.4,70.6,80.4,0936211,James Hillhouse High School,New Haven School District
New Haven School District,Metropolitan Business Academy,81.8,81.1,90.2,85.9,91.9,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,New Haven Academy,68.2,66.7,84.6,73.8,72.7,0937011,New Haven Academy,New Haven School District
New Haven School District,Sound School,92.9,92.5,92.9,88.9,97.3,0936711,Sound School,New Haven School District
New Haven School District,Wilbur Cross High School,69.0,64.3,65.1,66.2,77.0,0936111,Wilbur Cross High School,New Haven School District
New London School District,New London High School,64.9,64.8,72.6,76.7,*,0956111,New London High School,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New Milford School District,New Milford High School,92.1,89.2,91.0,93.0,93.4,0966111,New Milford High School,New Milford School District
Newington School District,Newington High School,90.3,90.6,93.1,92.7,92.8,0946111,Newington High School,Newington School District
Newtown School District,Newtown High School,95.1,94.4,96.9,96.6,96.2,0976111,Newtown High School,Newtown School District
North Branford School District,North Branford High School,94.3,95.9,92.5,95.0,92.3,0996111,North Branford High School,North Branford School District
North Haven School District,North Haven High School,95.4,88.3,91.6,94.7,95.0,1016111,North Haven High School,North Haven School District
North Stonington School District,Wheeler High School,87.0,*,*,92.2,85.7,1026111,Wheeler High School,North Stonington School District
Norwalk School District,Brien McMahon High School,88.8,88.8,*,95.0,96.2,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Norwalk High School,84.8,89.4,91.7,91.0,90.3,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,31.3,15.8,*,40.5,58.3,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwich Free Academy District,Norwich Free Academy,86.0,85.5,87.7,88.5,85.2,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich School District,Thames River Academy,17.1,,,,,1046111,Thames River Academy,Norwich School District
Old Saybrook School District,Old Saybrook Senior High School,95.8,94.9,94.0,*,93.1,1066111,Old Saybrook Senior High School,Old Saybrook School District
Oxford School District,Oxford High School,91.8,*,97.1,*,94.3,1086011,Oxford High School,Oxford School District
Path Academy District,Path Academy,,,,,*,2930113,Path Academy,Path Academy District
Plainfield School District,Plainfield High School,87.3,84.7,84.8,81.9,83.4,1096111,Plainfield High School,Plainfield School District
Plainville School District,Plainville High School,93.7,90.1,91.2,89.8,93.4,1106111,Plainville High School,Plainville School District
Plymouth School District,Terryville High School,84.2,87.8,92.1,89.7,88.6,1116111,Terryville High School,Plymouth School District
Portland School District,Portland High School,91.3,87.0,92.9,91.2,*,1136111,Portland High School,Portland School District
Putnam School District,Putnam High School,88.3,80.4,86.2,*,97.0,1166111,Putnam High School,Putnam School District
Regional School District 01,Housatonic Valley Regional High School,95.6,90.7,89.2,94.2,96.0,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 04,Valley Regional High School,91.9,95.7,97.8,*,98.7,2046112,Valley Regional High School,Regional School District 04
Regional School District 05,Amity Regional High School,96.8,96.4,97.3,97.1,95.9,2056112,Amity Regional High School,Regional School District 05
Regional School District 06,Wamogo Regional High School,*,*,93.5,96.5,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 07,Northwestern Regional High School,*,97.1,*,*,98.8,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 08,RHAM High School,91.2,*,94.1,92.9,93.7,2086112,RHAM High School,Regional School District 08
Regional School District 08,Region Alternative High School,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 09,Joel Barlow High School,*,95.7,96.8,98.0,97.6,2096112,Joel Barlow High School,Regional School District 09
Regional School District 10,Lewis S. Mills High School,96.5,92.4,94.8,*,95.4,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 11,Parish Hill High School,95.1,*,92.3,100.0,83.9,2116112,Parish Hill High School,Regional School District 11
Regional School District 12,Shepaug Valley High School,84.9,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley School,,,*,97.1,100.0,2120312,Shepaug Valley School,Regional School District 12
Regional School District 13,Coginchaug Regional High School,*,*,96.2,100.0,96.4,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 14,Nonnewaug High School,97.9,93.9,97.6,*,97.8,2146112,Nonnewaug High School,Regional School District 14
Regional School District 15,Pomperaug Regional High School,93.6,94.9,96.9,95.5,97.1,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 16,Woodland Regional High School,92.3,90.2,94.9,96.3,97.8,2166012,Woodland Regional High School,Regional School District 16
Regional School District 17,Haddam-Killingworth High School,93.7,96.9,*,97.0,95.2,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 18,Lyme-Old Lyme High School,*,95.6,97.2,95.5,96.1,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 19,E. O. Smith High School,87.5,87.6,95.4,95.9,95.3,2196112,E. O. Smith High School,Regional School District 19
Ridgefield School District,Ridgefield High School,98.4,97.3,97.8,98.1,97.9,1186111,Ridgefield High School,Ridgefield School District
Rocky Hill School District,Rocky Hill High School,92.3,89.8,92.3,95.1,97.1,1196111,Rocky Hill High School,Rocky Hill School District
Seymour School District,Seymour High School,89.3,87.0,88.2,91.0,95.2,1246111,Seymour High School,Seymour School District
Shelton School District,Shelton High School,92.0,91.0,92.1,96.1,94.3,1266111,Shelton High School,Shelton School District
Simsbury School District,Simsbury High School,97.0,98.0,96.9,97.6,98.3,1286111,Simsbury High School,Simsbury School District
Somers School District,Somers High School,97.1,96.6,*,95.3,94.2,1296111,Somers High School,Somers School District
South Windsor School District,South Windsor High School,95.2,95.5,97.0,95.6,95.0,1326211,South Windsor High School,South Windsor School District
Southington School District,Southington High School,92.5,91.2,94.3,95.9,97.8,1316211,Southington High School,Southington School District
Stafford School District,Stafford High School,87.9,87.4,95.0,94.4,92.7,1346111,Stafford High School,Stafford School District
Stamford Academy District,Stamford Academy,44.4,27.0,24.6,33.3,28.3,2826013,Stamford Academy,Stamford Academy District
Stamford School District,Stamford High School,84.2,89.0,91.1,88.7,90.0,1356111,Stamford High School,Stamford School District
Stamford School District,The Academy of Information Technology,98.2,99.4,98.8,98.8,98.2,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,Westhill High School,83.0,85.9,88.2,88.3,88.9,1356311,Westhill High School,Stamford School District
Stonington School District,Stonington High School,94.4,95.9,94.8,92.3,93.7,1376111,Stonington High School,Stonington School District
Stratford School District,Bunnell High School,87.3,94.1,97.9,96.0,96.1,1386211,Bunnell High School,Stratford School District
Stratford School District,Stratford High School,90.3,90.9,93.0,92.4,92.1,1386111,Stratford High School,Stratford School District
Suffield School District,Suffield High School,92.1,93.6,95.3,96.2,94.3,1396111,Suffield High School,Suffield School District
The Bridge Academy District,The Bridge Academy,76.2,88.6,88.2,87.5,79.4,2696113,The Bridge Academy,The Bridge Academy District
The Gilbert School District,The Gilbert School,91.2,82.1,91.6,90.0,84.2,9026122,The Gilbert School,The Gilbert School District
Thomaston School District,Thomaston High School,93.3,93.6,*,*,100.0,1406211,Thomaston High School,Thomaston School District
Thompson School District,Tourtellotte Memorial High School,85.9,90.6,91.7,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Tolland School District,Tolland High School,97.4,94.2,92.0,97.5,98.0,1426111,Tolland High School,Tolland School District
Torrington School District,Torrington High School,79.9,86.6,87.5,87.6,83.6,1436111,Torrington High School,Torrington School District
Trumbull School District,Trumbull High School,98.1,98.4,97.3,98.7,99.0,1446111,Trumbull High School,Trumbull School District
Vernon School District,Rockville High School,82.5,83.0,83.6,87.1,80.4,1466111,Rockville High School,Vernon School District
Wallingford School District,Lyman Hall High School,93.6,91.6,90.9,93.7,94.8,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,94.6,93.6,96.0,95.3,93.6,1486211,Mark T. Sheehan High School,Wallingford School District
Waterbury School District,Crosby High School,60.2,65.2,72.0,69.7,74.1,1516211,Crosby High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,64.9,69.4,67.7,70.6,75.2,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),95.3,86.8,96.7,93.3,93.9,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Wilby High School,63.1,72.2,65.8,71.1,78.1,1516311,Wilby High School,Waterbury School District
Waterford School District,Waterford High School,92.1,93.3,94.9,94.8,95.6,1526111,Waterford High School,Waterford School District
Watertown School District,Watertown High School,91.7,87.1,91.7,90.5,96.9,1536111,Watertown High School,Watertown School District
West Hartford School District,Conard High School,92.9,94.8,96.2,95.0,95.5,1556111,Conard High School,West Hartford School District
West Hartford School District,Hall High School,95.2,95.1,97.6,97.2,99.4,1556211,Hall High School,West Hartford School District
West Hartford School District,REACH,,,,*,,1557311,REACH,West Hartford School District
West Haven School District,West Haven High School,73.6,70.8,76.3,79.2,82.5,1566111,West Haven High School,West Haven School District
Westbrook School District,Westbrook High School,91.5,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Weston School District,Weston High School,100.0,*,98.9,96.4,*,1576111,Weston High School,Weston School District
Westport School District,Staples High School,98.4,*,98.7,99.3,*,1586111,Staples High School,Westport School District
Wethersfield School District,Wethersfield High School,91.3,91.7,92.5,91.8,95.7,1596111,Wethersfield High School,Wethersfield School District
Wilton School District,Wilton High School,98.7,97.8,*,98.4,98.2,1616111,Wilton High School,Wilton School District
Windham School District,Windham High School,73.0,76.2,74.0,81.1,87.2,1636111,Windham High School,Windham School District
Windsor Locks School District,Windsor Locks High School,92.4,93.4,97.7,94.8,94.1,1656111,Windsor Locks High School,Windsor Locks School District
Windsor School District,Windsor High School,85.6,81.9,90.8,92.5,92.9,1646111,Windsor High School,Windsor School District
Wolcott School District,Wolcott High School,93.6,94.1,95.9,97.7,93.6,1666111,Wolcott High School,Wolcott School District
Woodstock Academy District,Woodstock Academy,95.4,96.4,96.7,98.6,98.4,9036122,Woodstock Academy,Woodstock Academy District
