district,school,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,,,,,*,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
Amistad Academy District,Amistad Academy,71.4,69.6,82.6,82.8,90.0,2795113,Amistad Academy,Amistad Academy District
Ansonia School District,Ansonia High School,76.5,76.1,80.0,88.9,88.8,0026111,Ansonia High School,Ansonia School District
Avon School District,Avon High School,96.5,96.6,*,96.3,97.5,0046111,Avon High School,Avon School District
Berlin School District,Berlin High School,95.4,96.2,95.3,94.3,95.2,0076111,Berlin High School,Berlin School District
Bethel School District,Bethel High School,94.9,93.1,92.6,95.8,96.0,0096111,Bethel High School,Bethel School District
Bloomfield School District,Bloomfield High School,83.3,91.2,90.2,87.1,93.3,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,,*,*,100.0,100.0,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,,*,*,*,*,0116411,Learning Academy at Bloomfield,Bloomfield School District
Bloomfield School District,The Big Picture High School,*,,,,,0116211,The Big Picture High School,Bloomfield School District
Bolton School District,Bolton High School,90.4,*,95.0,*,94.0,0126111,Bolton High School,Bolton School District
Branford School District,Branford High School,95.2,92.9,92.8,91.9,95.0,0146111,Branford High School,Branford School District
Bridgeport Achievement First District,Achievement First Bridgeport Academy,,,,93.5,80.0,2850113,Achievement First Bridgeport Academy,Bridgeport Achievement First District
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",,,,,81.4,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,Bassick High School,47.7,59.2,62.2,59.6,60.8,0156111,Bassick High School,Bridgeport School District
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",,,,,92.9,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,Central High School,78.4,77.6,80.6,76.8,76.0,0156211,Central High School,Bridgeport School District
Bridgeport School District,Harding High School,66.1,60.9,69.8,54.1,56.9,0156311,Harding High School,Bridgeport School District
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,,,,,95.1,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Bridgeport School District
Bristol School District,Bristol Central High School,86.1,81.6,83.0,81.8,83.7,0176111,Bristol Central High School,Bristol School District
Bristol School District,Bristol Eastern High School,86.2,81.5,84.3,86.7,90.5,0176211,Bristol Eastern High School,Bristol School District
Brookfield School District,Brookfield High School,97.2,96.3,97.4,96.5,97.2,0186111,Brookfield High School,Brookfield School District
Canton School District,Canton High School,97.5,95.1,94.8,96.9,96.1,0236111,Canton High School,Canton School District
Capital Preparatory Harbor School Inc. District,Capital Preparatory Harbor School Inc.,,,,,*,2970113,Capital Preparatory Harbor School Inc.,Capital Preparatory Harbor School Inc. District
Capitol Region Education Council,Academy of Aerospace and Engineering,,86.8,84.8,82.0,90.6,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,,,,97.5,88.4,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,81.0,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,87.9,82.8,84.2,91.0,91.2,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,,,93.5,,,,,
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,93.4,94.5,95.8,96.3,98.9,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,,,84.4,88.9,81.4,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,,,,,98.7,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Cheshire School District,Cheshire High School,98.5,97.5,98.4,*,97.3,0256111,Cheshire High School,Cheshire School District
Clinton School District,The Morgan School,92.6,89.5,94.5,90.6,88.5,0276111,The Morgan School,Clinton School District
Colchester School District,Bacon Academy,94.7,94.0,95.6,95.4,95.7,0286111,Bacon Academy,Colchester School District
Common Ground High School District,Common Ground High School,90.3,89.5,*,100.0,91.2,2686113,Common Ground High School,Common Ground High School District
Connecticut Technical High School System,A. I. Prince Technical High School,92.9,88.4,95.6,97.4,97.8,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,94.7,96.4,91.9,95.9,97.4,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,93.0,95.5,95.1,97.0,98.6,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,92.0,83.3,91.9,90.1,91.1,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,94.2,98.0,94.5,95.3,96.3,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,97.0,96.6,96.1,100.0,97.2,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,97.1,99.4,96.6,99.4,98.4,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,96.2,100.0,96.4,96.5,95.2,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,96.9,96.6,95.8,99.3,96.6,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,97.2,97.0,99.4,95.5,95.4,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,96.7,98.7,97.4,98.8,96.8,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,97.5,98.8,96.6,98.1,98.6,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,97.2,99.0,98.1,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,96.2,94.3,94.3,98.0,94.3,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,98.3,97.9,98.4,97.7,98.9,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
