district,district_code,school,school_code,female,male,total,year,group
Danbury School District,0340011,King Street Primary School,0341311,202,207,409,2015,gender
Danbury School District,0340011,Mill Ridge Primary School,0340511,177,173,350,2015,gender
Danbury School District,0340011,Morris Street School,0340611,184,173,357,2015,gender
Danbury School District,0340011,Park Avenue School,0340811,276,319,595,2015,gender
Danbury School District,0340011,Pembroke School,0341511,164,204,368,2015,gender
Danbury School District,0340011,Rogers Park Middle School,0345211,476,462,938,2015,gender
Danbury School District,0340011,Shelter Rock School,0341211,249,271,520,2015,gender
Danbury School District,0340011,South Street School,0341011,194,184,378,2015,gender
Danbury School District,0340011,Stadley Rough School,0341611,233,263,496,2015,gender
Danbury School District,0340011,Western CT Academy of International Studies Elementary Magnet School,0341911,222,168,390,2015,gender
Danbury School District,0340011,Westside Middle School Academy,0340311,236,260,496,2015,gender
Darien School District,0350011,Darien High School,0356111,656,700,1356,2015,gender
Darien School District,0350011,Hindley Elementary School,0350211,246,255,501,2015,gender
Darien School District,0350011,Holmes Elementary School,0350711,242,220,462,2015,gender
Darien School District,0350011,Middlesex Middle School,0355111,546,621,1167,2015,gender
Darien School District,0350011,Ox Ridge Elementary School,0351311,210,248,458,2015,gender
Darien School District,0350011,Royle Elementary School,0350511,205,228,433,2015,gender
Darien School District,0350011,Tokeneke Elementary School,0350611,254,225,479,2015,gender
Deep River School District,0360011,Deep River Elementary School,0360111,144,160,304,2015,gender
Department of Mental Health and Addiction Services,3370015,Connecticut Valley Hospital,3370215,*,*,*,2015,gender
Derby School District,0370011,Bradley School,0370611,173,174,347,2015,gender
Derby School District,0370011,Derby Alternative Education Center,0370511,0,*,*,2015,gender
Derby School District,0370011,Derby High School,0376111,147,197,344,2015,gender
Derby School District,0370011,Derby Middle School,0375011,158,174,332,2015,gender
Derby School District,0370011,Irving School,0370411,160,168,328,2015,gender
Derby School District,0370011,Little Raiders University,0370111,13,20,33,2015,gender
East Granby School District,0400011,Allgrove School,0400111,104,102,206,2015,gender
East Granby School District,0400011,East Granby High School,0406111,128,136,264,2015,gender
East Granby School District,0400011,East Granby Middle School,0405111,101,95,196,2015,gender
East Granby School District,0400011,R. Dudley Seymour School,0400211,96,106,202,2015,gender
East Haddam School District,0410011,East Haddam Elementary School,0410111,152,157,309,2015,gender
East Haddam School District,0410011,Nathan Hale-Ray High School,0416111,173,148,321,2015,gender
East Haddam School District,0410011,Nathan Hale-Ray Middle School,0415111,200,231,431,2015,gender
East Hampton School District,0420011,Center School,0420311,144,153,297,2015,gender
East Hampton School District,0420011,East Hampton High School,0426111,270,245,515,2015,gender
East Hampton School District,0420011,East Hampton Middle School,0425111,201,232,433,2015,gender
East Hampton School District,0420011,Memorial School,0420111,321,316,637,2015,gender
East Hampton School District,0420011,The Learning Center at East Hampton,0429011,*,*,6,2015,gender
East Hartford School District,0430011,Anna E. Norris School,0430911,147,165,312,2015,gender
East Hartford School District,0430011,Connecticut IB Academy,0436311,123,69,192,2015,gender
East Hartford School District,0430011,Dr. Franklin H. Mayberry School,0430611,181,175,356,2015,gender
East Hartford School District,0430011,Dr. John A. Langford School,0432211,142,180,322,2015,gender
East Hartford School District,0430011,Dr. Thomas S. O'Connell School,0431011,257,252,509,2015,gender
East Hartford School District,0430011,East Hartford High School,0436211,801,848,1649,2015,gender
East Hartford School District,0430011,East Hartford Middle School,0435111,519,555,1074,2015,gender
East Hartford School District,0430011,Governor William Pitkin School,0432011,173,171,344,2015,gender
East Hartford School District,0430011,Hockanum School,0430511,166,170,336,2015,gender
East Hartford School District,0430011,Joseph O. Goodwin School,0430411,137,161,298,2015,gender
East Hartford School District,0430011,Robert J. O'Brien School,0431811,230,245,475,2015,gender
East Hartford School District,0430011,Silver Lane School,0431211,137,137,274,2015,gender
East Hartford School District,0430011,Stevens Alternate High school,0436411,41,69,110,2015,gender
East Hartford School District,0430011,Sunset Ridge School Elementary Academy for Arts and World Languages,0432411,103,101,204,2015,gender
East Hartford School District,0430011,Willowbrook Early Childhood,0438011,105,124,229,2015,gender
East Hartford School District,0430011,Woodland School,0439011,29,153,182,2015,gender
East Haven School District,0440011,Carbone School/East Haven Academy,0441711,129,135,264,2015,gender
East Haven School District,0440011,D. C. Moore School,0441411,99,108,207,2015,gender
East Haven School District,0440011,Deer Run School,0440111,158,150,308,2015,gender
East Haven School District,0440011,Dominick H. Ferrara School,0441311,102,87,189,2015,gender
East Haven School District,0440011,East Haven High School,0446111,428,461,889,2015,gender
East Haven School District,0440011,Grove J. Tuttle School,0441011,97,75,172,2015,gender
East Haven School District,0440011,Joseph Melillo Middle School,0445111,277,312,589,2015,gender
East Haven School District,0440011,Momauguin School,0440711,92,94,186,2015,gender
East Haven School District,0440011,Overbrook Elementary School,0441811,68,98,166,2015,gender
East Lyme School District,0450011,Coastal Connections,0450611,7,12,19,2015,gender
East Lyme School District,0450011,East Lyme High School,0456111,529,516,1045,2015,gender
East Lyme School District,0450011,East Lyme Middle School,0455111,409,439,848,2015,gender
East Lyme School District,0450011,Flanders School,0450111,161,182,343,2015,gender
East Lyme School District,0450011,Integrated Preschool,0458011,31,27,58,2015,gender
East Lyme School District,0450011,Lillie B. Haynes School,0450411,137,153,290,2015,gender
East Lyme School District,0450011,Medically Fragile Program (WAVES),0450711,*,*,*,2015,gender
East Lyme School District,0450011,Niantic Center School,0450211,80,88,168,2015,gender
East Lyme School District,0450011,Post High School Transition Program,0450511,*,*,16,2015,gender
East Windsor School District,0470011,Broad Brook Elementary School,0470111,180,201,381,2015,gender
East Windsor School District,0470011,East Windsor High School,0476111,154,170,324,2015,gender
East Windsor School District,0470011,East Windsor Middle School,0475411,182,206,388,2015,gender
East Windsor School District,0470011,East Windsor Transition Program,0470411,*,0,*,2015,gender
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,ACT Magnet School (Arts at the Capitol Theater) - Full Time,2536014,100,29,129,2015,gender
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Arts at the Capitol Theater Magnet School (ACT),2536014,100,29,129,2015,gender
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,EASTCONN Special Education,2539014,25,92,117,2015,gender
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Quinebaug Middle College,2536114,106,73,179,2015,gender
Eastford School District,0390011,Eastford Elementary School,0390111,64,70,134,2015,gender
Easton School District,0460011,Helen Keller Middle School,0465111,138,171,309,2015,gender
Easton School District,0460011,Samuel Staples Elementary School,0460111,301,311,612,2015,gender
Education Connection,2420014,Education Connection Headstart,2428014,122,91,213,2015,gender
Education Connection,2420014,Education Connection Special Education,2429014,6,8,14,2015,gender
Ellington School District,0480011,Center School,0480111,178,183,361,2015,gender
Ellington School District,0480011,Crystal Lake School,0480211,87,114,201,2015,gender
Ellington School District,0480011,Ellington High School,0486111,397,374,771,2015,gender
Ellington School District,0480011,Ellington Middle School,0485111,191,229,420,2015,gender
Ellington School District,0480011,Windermere Intermediate School,0480711,227,219,446,2015,gender
Ellington School District,0480011,Windermere School,0480611,220,210,430,2015,gender
Ellington School District,0480011,Windermere School Program for Alternative Learning K-4,0480311,0,*,*,2015,gender
Elm City College Preparatory School District,2890013,Elm City College Preparatory School,2890113,384,319,703,2015,gender
Elm City Montessori School District,2910013,Elm City Montessori School,2910113,55,58,113,2015,gender
Enfield School District,0490011,Edgar H. Parkman - Autism Spectrum Disorder (ASD),0490511,*,*,*,2015,gender
Enfield School District,0490011,Edgar H. Parkman School,0491311,158,165,323,2015,gender
Enfield School District,0490011,Eli Whitney - Intermediate Adaptive Learning (IAL),0491411,*,0,*,2015,gender
Enfield School District,0490011,Eli Whitney School,0491611,213,198,411,2015,gender
Enfield School District,0490011,Enfield High School,0496111,359,356,715,2015,gender
Enfield School District,0490011,Enfield Street - Autism Spectrum Disorder (ASD),0490311,*,*,8,2015,gender
Enfield School District,0490011,Enfield Street School,0490211,136,140,276,2015,gender
Enfield School District,0490011,Enfield Transitional Learning Academy,0499011,*,*,6,2015,gender
Enfield School District,0490011,Enrico Fermi High School,0496211,417,444,861,2015,gender
Enfield School District,0490011,Hazardville Memorial School,0490411,155,189,344,2015,gender
Enfield School District,0490011,Head Start Program,0498011,48,56,104,2015,gender
Enfield School District,0490011,Henry Barnard - Educational Counseling Program (ECP),0490611,0,*,*,2015,gender
Enfield School District,0490011,Henry Barnard School,0491811,163,201,364,2015,gender
Enfield School District,0490011,John F. Kennedy Middle School,0495211,534,531,1065,2015,gender
