district,school,language,total_enrollment,els,school_code,check_sch_col,check_dist_col
Ansonia School District,Ansonia Middle School,Albanian,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Arabic,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Bengali,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Creole-Haitian,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Pilipino (Filipino),<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Turkish,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Ukrainian,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Urdu,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Vietnamese,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Cantonese,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Mandarin,<=5,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia High School,Spanish,32,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Portuguese,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Lao,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Polish,7,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Albanian,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Arabic,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Bengali,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,French,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Lithuanian,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Russian,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Serbo-Croatian,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Tamil,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Turkish,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Ukrainian,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Urdu,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Vietnamese,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Mandarin,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Visayan,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Persian,<=5,<=5,0026111,Ansonia High School,Ansonia School District
Ashford School District,Ashford School,Spanish,7,<=5,0030111,Ashford School,Ashford School District
Ashford School District,Ashford School,Portuguese,<=5,<=5,0030111,Ashford School,Ashford School District
Ashford School District,Ashford School,Polish,<=5,<=5,0030111,Ashford School,Ashford School District
Ashford School District,Ashford School,Arabic,<=5,<=5,0030111,Ashford School,Ashford School District
Ashford School District,Ashford School,Gujarati,<=5,<=5,0030111,Ashford School,Ashford School District
Ashford School District,Ashford School,Russian,<=5,<=5,0030111,Ashford School,Ashford School District
Avon School District,Avon Public Schools Pre-K,Spanish,<=5,<=5,0040111,Avon Public Schools Pre-K,Avon School District
Avon School District,Avon Public Schools Pre-K,Gaelic-Scottish,<=5,<=5,0040111,Avon Public Schools Pre-K,Avon School District
Avon School District,Avon Public Schools Pre-K,Telugu,<=5,<=5,0040111,Avon Public Schools Pre-K,Avon School District
Avon School District,Roaring Brook School,Spanish,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Portuguese,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Polish,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Arabic,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,German,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Gujarati,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Hindi,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Kannada,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Korean,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Malayalam,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Russian,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Tamil,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Telugu,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Cantonese,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Roaring Brook School,Mandarin,<=5,<=5,0040311,Roaring Brook School,Avon School District
Avon School District,Pine Grove School,Spanish,9,8,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Portuguese,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Polish,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Albanian,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Arabic,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Bengali,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,French,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,German,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Gujarati,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Hindi,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Japanese,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Kannada,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Korean,9,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Marathi,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Russian,6,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Tamil,11,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Telugu,8,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Turkish,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Twi/Fante,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Cantonese,<=5,<=5,0040411,Pine Grove School,Avon School District
Avon School District,Pine Grove School,Mandarin,12,8,0040411,Pine Grove School,Avon School District
Avon School District,Thompson Brook School,Spanish,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Portuguese,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Italian,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Albanian,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Assyrian,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,German,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Gujarati,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Hindi,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Japanese,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Kannada,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Korean,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Malayalam,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Russian,6,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Slovak,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Tamil,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Telugu,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Turkish,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Ukrainian,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Urdu,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Mandarin,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Thompson Brook School,Persian,<=5,<=5,0040511,Thompson Brook School,Avon School District
Avon School District,Avon Middle School,Spanish,6,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Portuguese,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Polish,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Arabic,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Danish,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,German,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Gujarati,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Hindi,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Japanese,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Korean,7,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Marathi,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Rumanian,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Russian,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Tamil,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Telugu,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Ukrainian,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Urdu,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Vietnamese,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Taiwanese,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Cantonese,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Mandarin,6,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon Middle School,Tulu,<=5,<=5,0045111,Avon Middle School,Avon School District
Avon School District,Avon High School,Spanish,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Portuguese,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Polish,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Arabic,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Bengali,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Danish,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,French,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,German,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Hindi,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Japanese,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Korean,7,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Marathi,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Rumanian,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Russian,6,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Tamil,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Telugu,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Cantonese,<=5,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Mandarin,7,<=5,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Persian,<=5,<=5,0046111,Avon High School,Avon School District
Barkhamsted School District,Barkhamsted Elementary School,Greek,<=5,<=5,0050111,Barkhamsted Elementary School,Barkhamsted School District
Barkhamsted School District,Barkhamsted Elementary School,Thai,<=5,<=5,0050111,Barkhamsted Elementary School,Barkhamsted School District
Berlin School District,Richard D. Hubbard School,Spanish,6,<=5,0070111,Richard D. Hubbard School,Berlin School District
Berlin School District,Richard D. Hubbard School,Italian,<=5,<=5,0070111,Richard D. Hubbard School,Berlin School District
Berlin School District,Richard D. Hubbard School,Polish,16,<=5,0070111,Richard D. Hubbard School,Berlin School District
Berlin School District,Richard D. Hubbard School,Arabic,<=5,<=5,0070111,Richard D. Hubbard School,Berlin School District
Berlin School District,Richard D. Hubbard School,Gujarati,<=5,<=5,0070111,Richard D. Hubbard School,Berlin School District
Berlin School District,Richard D. Hubbard School,Serbo-Croatian,<=5,<=5,0070111,Richard D. Hubbard School,Berlin School District
Berlin School District,Richard D. Hubbard School,Vietnamese,<=5,<=5,0070111,Richard D. Hubbard School,Berlin School District
Berlin School District,Emma Hart Willard School,Spanish,8,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Lao,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Italian,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Polish,28,10,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Albanian,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Arabic,6,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Gujarati,6,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Hungarian,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Marathi,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Turkish,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Urdu,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Vietnamese,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Emma Hart Willard School,Mandarin,<=5,<=5,0070411,Emma Hart Willard School,Berlin School District
Berlin School District,Mary E. Griswold School,Spanish,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Portuguese,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Polish,16,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Arabic,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Armenian,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Hungarian,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Russian,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Serbo-Croatian,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Ukrainian,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Urdu,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Yoruba,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Mary E. Griswold School,Mandarin,<=5,<=5,0070511,Mary E. Griswold School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Spanish,7,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Portuguese,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Italian,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Polish,20,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Albanian,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Arabic,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Armenian,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,French,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Gujarati,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Russian,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Serbo-Croatian,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Thai,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Urdu,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Vietnamese,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Mandarin,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Catherine M. McGee Middle School,Tagalog,<=5,<=5,0075111,Catherine M. McGee Middle School,Berlin School District
Berlin School District,Berlin High School,Spanish,12,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Portuguese,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Italian,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Polish,28,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Greek,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Assyrian,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,German,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Gujarati,15,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Serbo-Croatian,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Turkish,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Ukrainian,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Urdu,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Vietnamese,<=5,<=5,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Mandarin,<=5,<=5,0076111,Berlin High School,Berlin School District
Bethany School District,Bethany Community School,Polish,<=5,<=5,0080111,Bethany Community School,Bethany School District
Bethany School District,Bethany Community School,Albanian,<=5,<=5,0080111,Bethany Community School,Bethany School District
Bethany School District,Bethany Community School,Japanese,<=5,<=5,0080111,Bethany Community School,Bethany School District
Bethany School District,Bethany Community School,Korean,<=5,<=5,0080111,Bethany Community School,Bethany School District
Bethany School District,Bethany Community School,Pilipino (Filipino),<=5,<=5,0080111,Bethany Community School,Bethany School District
Bethany School District,Bethany Community School,Ukrainian,<=5,<=5,0080111,Bethany Community School,Bethany School District
Bethel School District,Frank A. Berry School,Spanish,21,15,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,Portuguese,8,<=5,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,Arabic,<=5,<=5,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,Punjabi,<=5,<=5,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,Russian,<=5,<=5,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,Tamil,<=5,<=5,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,Vietnamese,<=5,<=5,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Frank A. Berry School,Mandarin,<=5,<=5,0090111,Frank A. Berry School,Bethel School District
Bethel School District,Anna H. Rockwell School,Spanish,19,11,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,Portuguese,14,12,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,Khmer(Cambodian),<=5,<=5,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,Albanian,<=5,<=5,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,Arabic,<=5,<=5,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,Bengali,<=5,<=5,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,Gujarati,<=5,<=5,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,Hindi,<=5,<=5,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Anna H. Rockwell School,Vietnamese,<=5,<=5,0090411,Anna H. Rockwell School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Spanish,20,8,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Portuguese,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Arabic,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Bengali,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Gujarati,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Punjabi,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Russian,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Urdu,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Vietnamese,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Ralph M. T. Johnson School,Mandarin,<=5,<=5,0090511,Ralph M. T. Johnson School,Bethel School District
Bethel School District,Bethel Middle School,Spanish,24,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Portuguese,13,6,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Lao,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Polish,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Albanian,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Bengali,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Japanese,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Punjabi,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Russian,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Urdu,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Vietnamese,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Cantonese,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel Middle School,Mandarin,<=5,<=5,0095111,Bethel Middle School,Bethel School District
Bethel School District,Bethel High School,Spanish,36,9,0096111,Bethel High School,Bethel School District
Bethel School District,Bethel High School,Portuguese,19,6,0096111,Bethel High School,Bethel School District
Bethel School District,Bethel High School,Lao,<=5,<=5,0096111,Bethel High School,Bethel School District
