district,school,language,total_enrollment,els,school_code,check_sch_col,check_dist_col
Andover School District,Andover Elementary School,Spanish,<=5,<=5,0010111,Andover Elementary School,Andover School District
Andover School District,Andover Elementary School,Italian,<=5,<=5,0010111,Andover Elementary School,Andover School District
Andover School District,Andover Elementary School,Polish,7,<=5,0010111,Andover Elementary School,Andover School District
Andover School District,Andover Elementary School,Ukrainian,<=5,<=5,0010111,Andover Elementary School,Andover School District
Andover School District,Andover Elementary School,Bangla,<=5,<=5,0010111,Andover Elementary School,Andover School District
Ansonia School District,PACE (Positive and Create Education),Spanish,<=5,<=5,,,
Ansonia School District,Mead School,Spanish,31,16,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Polish,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Albanian,8,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Arabic,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Serbo-Croatian,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Pilipino (Filipino),<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Tamil,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Turkish,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Ukrainian,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Vietnamese,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Cantonese,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Mead School,Mandarin,<=5,<=5,0020311,Mead School,Ansonia School District
Ansonia School District,Prendergast School,Spanish,51,17,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Lao,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Hmong,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Polish,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Albanian,7,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Arabic,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Farsi,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Gujarati,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Creole-Haitian,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Russian,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Turkish,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Ukrainian,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Urdu,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Vietnamese,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Prendergast School,Mandarin,<=5,<=5,0020811,Prendergast School,Ansonia School District
Ansonia School District,Ansonia Middle School,Spanish,24,<=5,0025111,Ansonia Middle School,Ansonia School District
Ansonia School District,Ansonia Middle School,Polish,7,<=5,0025111,Ansonia Middle School,Ansonia School District
