school_code,district_code,district,school,pre_kindergarten,kindergarten,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,total,year
0126111,0120011,Bolton School District,Bolton High School,0,0,0,0,0,0,0,0,0,0,81,68,62,64,275,2007-08
0130111,0130011,Bozrah School District,Fields Memorial School,8,28,25,25,26,21,30,37,30,34,0,0,0,0,264,2007-08
0148011,0140011,Branford School District,Indian Neck School,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2007-08
0141611,0140011,Branford School District,John B. Sliney School,0,67,63,69,88,58,0,0,0,0,0,0,0,0,345,2007-08
0141511,0140011,Branford School District,Mary R. Tisko School,0,64,87,94,84,101,0,0,0,0,0,0,0,0,430,2007-08
0141411,0140011,Branford School District,Mary T. Murphy School,0,84,81,72,75,104,0,0,0,0,0,0,0,0,416,2007-08
0145111,0140011,Branford School District,Francis Walsh Intermediate School,0,0,0,0,0,0,251,292,274,265,0,0,0,0,1082,2007-08
0146111,0140011,Branford School District,Branford High School,0,0,0,0,0,0,0,0,0,0,278,315,274,279,1146,2007-08
0150111,0150011,Bridgeport School District,Barnum School,18,39,35,39,43,40,29,36,0,0,0,0,0,0,279,2007-08
0150211,0150011,Bridgeport School District,Beardsley School,50,92,84,76,86,87,54,78,0,0,0,0,0,0,607,2007-08
0154011,0150011,Bridgeport School District,Blackham School,35,87,89,86,81,88,96,178,200,237,0,0,0,0,1177,2007-08
0150411,0150011,Bridgeport School District,Bryant School,34,91,53,65,50,60,60,0,0,0,0,0,0,0,413,2007-08
0151411,0150011,Bridgeport School District,Cesar Batalla School,38,120,132,129,121,147,99,144,165,67,0,0,0,0,1162,2007-08
0150511,0150011,Bridgeport School District,Columbus School,34,96,105,109,99,88,123,109,0,0,0,0,0,0,763,2007-08
0150711,0150011,Bridgeport School District,Edison School,33,47,69,56,54,54,43,52,0,0,0,0,0,0,408,2007-08
0150911,0150011,Bridgeport School District,Garfield School,27,54,50,37,29,26,28,27,0,0,0,0,0,0,278,2007-08
0151211,0150011,Bridgeport School District,Hallen School,16,44,38,51,40,52,39,42,0,0,0,0,0,0,322,2007-08
0152211,0150011,Bridgeport School District,Jettie S. Tisdale School,18,45,42,48,38,57,35,46,0,0,0,0,0,0,329,2007-08
0151911,0150011,Bridgeport School District,Longfellow School,15,63,58,52,48,35,37,32,59,76,0,0,0,0,475,2007-08
0151011,0150011,Bridgeport School District,Luis Munoz Marin School,35,43,58,61,55,71,69,40,194,220,0,0,0,0,846,2007-08
0154311,0150011,Bridgeport School District,Maplewood Annex,18,51,33,25,15,45,0,0,0,0,0,0,0,0,187,2007-08
0151711,0150011,Bridgeport School District,Park City Magnet School,40,50,61,51,51,50,50,50,50,48,0,0,0,0,501,2007-08
0152611,0150011,Bridgeport School District,Roosevelt School,18,82,86,65,50,52,49,88,126,111,0,0,0,0,727,2007-08
0154411,0150011,Bridgeport School District,Skane Center,167,52,0,0,0,0,0,0,0,0,0,0,0,0,219,2007-08
0153011,0150011,Bridgeport School District,Waltersville School,37,64,66,52,70,58,51,58,0,0,0,0,0,0,456,2007-08
0150311,0150011,Bridgeport School District,Black Rock School,0,49,39,49,30,32,42,31,0,0,0,0,0,0,272,2007-08
0159011,0150011,Bridgeport School District,Bridgeport Learning Center,0,*,*,*,*,8,*,0,*,*,8,0,*,7,54,2007-08
0152111,0150011,Bridgeport School District,Classical Studies Academy,0,50,48,60,53,57,56,51,0,0,0,0,0,0,375,2007-08
0153911,0150011,Bridgeport School District,Cross School,0,53,39,35,35,26,31,31,83,73,0,0,0,0,406,2007-08
0154211,0150011,Bridgeport School District,Curiale School,0,50,45,62,51,45,61,51,84,143,0,0,0,0,592,2007-08
0154111,0150011,Bridgeport School District,Dunbar School,0,22,26,30,26,30,16,26,85,102,0,0,0,0,363,2007-08
0153211,0150011,Bridgeport School District,Geraldine Johnson School,0,57,58,45,36,0,0,0,0,0,0,0,0,0,196,2007-08
0151111,0150011,Bridgeport School District,Hall School,0,68,54,44,41,59,38,40,0,0,0,0,0,0,344,2007-08
0154511,0150011,Bridgeport School District,High Horizons Magnet School,0,50,47,51,49,50,49,49,49,50,0,0,0,0,444,2007-08
0151311,0150011,Bridgeport School District,Hooker School,0,41,50,42,44,47,56,53,62,55,0,0,0,0,450,2007-08
0152011,0150011,Bridgeport School District,Madison School,0,77,88,113,101,91,92,0,0,0,0,0,0,0,562,2007-08
0154611,0150011,Bridgeport School District,Multicultural Magnet School,0,52,50,50,49,53,52,55,56,58,0,0,0,0,475,2007-08
0152511,0150011,Bridgeport School District,Read School,0,89,93,87,85,78,89,104,132,147,0,0,0,0,904,2007-08
0153611,0150011,Bridgeport School District,Winthrop School,0,64,69,65,65,82,82,89,107,135,0,0,0,0,758,2007-08
0159511,0150011,Bridgeport School District,Make The Grade,0,0,0,0,0,0,0,*,*,27,*,0,0,0,37,2007-08
0159211,0150011,Bridgeport School District,Park City Academy,0,0,0,0,0,0,0,0,*,*,*,11,*,*,30,2007-08
0159111,0150011,Bridgeport School District,The University School,0,0,0,0,0,0,0,0,0,*,8,23,12,*,46,2007-08
0156111,0150011,Bridgeport School District,Bassick High School,0,0,0,0,0,0,0,0,0,0,504,338,271,172,1285,2007-08
0156211,0150011,Bridgeport School District,Central High School,0,0,0,0,0,0,0,0,0,0,716,625,493,505,2339,2007-08
0156311,0150011,Bridgeport School District,Harding High School,0,0,0,0,0,0,0,0,0,0,440,527,431,324,1722,2007-08
0159411,0150011,Bridgeport School District,New Start Program,0,0,0,0,0,0,0,0,0,0,*,7,*,0,14,2007-08
0170711,0170011,Bristol School District,Clara T. O'Connell School,30,38,72,47,52,57,59,0,0,0,0,0,0,0,355,2007-08
0171411,0170011,Bristol School District,Ellen P. Hubbell School,76,57,73,74,74,65,71,0,0,0,0,0,0,0,490,2007-08
0170511,0170011,Bristol School District,Greene-Hills School,30,45,62,63,65,67,64,0,0,0,0,0,0,0,396,2007-08
0171711,0170011,Bristol School District,Mountain View School,55,37,46,64,53,58,56,0,0,0,0,0,0,0,369,2007-08
0171111,0170011,Bristol School District,South Side School,30,103,102,73,80,98,94,0,0,0,0,0,0,0,580,2007-08
0171211,0170011,Bristol School District,Stafford School,76,55,67,73,75,83,68,0,0,0,0,0,0,0,497,2007-08
0170111,0170011,Bristol School District,Clarence A. Bingham School,0,29,50,33,54,42,45,0,0,0,0,0,0,0,253,2007-08
0170311,0170011,Bristol School District,Edgewood School,0,50,69,59,65,55,58,0,0,0,0,0,0,0,356,2007-08
0171911,0170011,Bristol School District,Ivy Drive School,0,55,58,68,76,78,67,0,0,0,0,0,0,0,402,2007-08
0170611,0170011,Bristol School District,John J. Jennings School,0,50,63,51,56,77,77,0,0,0,0,0,0,0,374,2007-08
0179011,0170011,Bristol School District,Alternative Special Education Program (ASEP),0,0,0,0,0,*,*,6,*,*,*,*,*,0,23,2007-08
0175111,0170011,Bristol School District,Chippens Hill Middle School,0,0,0,0,0,0,0,329,272,328,0,0,0,0,929,2007-08
0175311,0170011,Bristol School District,Memorial Boulevard Middle School,0,0,0,0,0,0,0,189,171,182,0,0,0,0,542,2007-08
0175211,0170011,Bristol School District,Northeast Middle School,0,0,0,0,0,0,0,201,194,163,0,0,0,0,558,2007-08
0176111,0170011,Bristol School District,Bristol Central High School,0,0,0,0,0,0,0,0,0,0,413,323,369,360,1465,2007-08
0176211,0170011,Bristol School District,Bristol Eastern High School,0,0,0,0,0,0,0,0,0,0,422,308,314,289,1333,2007-08
0180311,0180011,Brookfield School District,Center Elementary School,40,130,204,0,0,0,0,0,0,0,0,0,0,0,374,2007-08
0180411,0180011,Brookfield School District,Huckleberry Hill Elementary School,0,0,0,179,229,196,0,0,0,0,0,0,0,0,604,2007-08
0185311,0180011,Brookfield School District,Whisconier Middle School,0,0,0,0,0,0,210,239,244,258,0,0,0,0,951,2007-08
0186111,0180011,Brookfield School District,Brookfield High School,0,0,0,0,0,0,0,0,0,0,260,272,247,241,1020,2007-08
0190111,0190011,Brooklyn School District,Brooklyn Elementary School,98,95,106,89,100,92,0,0,0,0,0,0,0,0,580,2007-08
0195111,0190011,Brooklyn School District,Brooklyn Middle School,0,0,0,0,0,*,*,97,113,102,0,0,0,0,406,2007-08
0220211,0220011,Canterbury School District,Canterbury Elementary School,19,78,59,51,56,53,0,0,0,0,0,0,0,0,316,2007-08
0225111,0220011,Canterbury School District,Dr. Helen Baldwin Middle School,0,0,0,0,0,0,71,61,70,60,0,0,0,0,262,2007-08
0230211,0230011,Canton School District,Cherry Brook Primary School,30,126,122,125,135,0,0,0,0,0,0,0,0,0,538,2007-08
0230311,0230011,Canton School District,Canton Intermediate School,0,0,0,0,0,121,136,148,0,0,0,0,0,0,405,2007-08
0235111,0230011,Canton School District,Canton Middle School,0,0,0,0,0,0,0,0,130,140,0,0,0,0,270,2007-08
0236111,0230011,Canton School District,Canton High School,0,0,0,0,0,0,0,0,0,0,127,138,129,120,514,2007-08
2419014,2410014,Capitol Region Education Council,John J. Allison Polaris Center,27,12,14,12,11,14,16,14,30,44,52,47,41,55,389,2007-08
2413114,2410014,Capitol Region Education Council,Montessori Magnet School,79,52,38,44,36,35,36,9,0,0,0,0,0,0,329,2007-08
2410214,2410014,Capitol Region Education Council,University of Hartford Magnet School,53,58,64,65,62,60,44,0,0,0,0,0,0,0,406,2007-08
2410114,2410014,Capitol Region Education Council,Glastonbury/East Hartford Magnet School,0,40,42,43,45,44,43,0,0,0,0,0,0,0,257,2007-08
2416114,2410014,Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,0,0,0,0,0,0,0,111,108,106,105,94,75,77,676,2007-08
2415014,2410014,Capitol Region Education Council,Two Rivers Magnet Middle School,0,0,0,0,0,0,0,198,202,182,0,0,0,0,582,2007-08
2416414,2410014,Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,2007-08
2416314,2410014,Capitol Region Education Council,Great Path Academy at MCC,0,0,0,0,0,0,0,0,0,0,0,26,50,35,111,2007-08
0240211,0240011,Chaplin School District,Chaplin Elementary School,30,23,19,22,29,18,34,35,0,0,0,0,0,0,210,2007-08
0250211,0250011,Cheshire School District,Darcey School,97,296,0,0,0,0,0,0,0,0,0,0,0,0,393,2007-08
0250411,0250011,Cheshire School District,Highland School,0,0,136,148,149,151,165,159,0,0,0,0,0,0,908,2007-08
0250111,0250011,Cheshire School District,Chapman School,0,0,50,39,58,70,58,57,0,0,0,0,0,0,332,2007-08
0250611,0250011,Cheshire School District,Doolittle School,0,0,80,77,79,92,104,105,0,0,0,0,0,0,537,2007-08
0250511,0250011,Cheshire School District,Norton School,0,0,86,78,85,77,73,94,0,0,0,0,0,0,493,2007-08
0255111,0250011,Cheshire School District,Dodd Middle School,0,0,0,0,0,0,0,0,396,428,0,0,0,0,824,2007-08
0256111,0250011,Cheshire School District,Cheshire High School,0,0,0,0,0,0,0,0,0,0,377,418,393,424,1612,2007-08
0259011,0250011,Cheshire School District,Humiston School,0,0,0,0,0,0,0,0,0,0,*,*,12,6,23,2007-08
0270311,0270011,Clinton School District,Lewin G. Joel Jr. School,44,171,150,154,148,0,0,0,0,0,0,0,0,0,667,2007-08
0270111,0270011,Clinton School District,Abraham Pierson School,0,0,0,0,0,163,175,0,0,0,0,0,0,0,338,2007-08
0275111,0270011,Clinton School District,Jared Eliot School,0,0,0,0,0,0,0,160,159,143,0,0,0,0,462,2007-08
0276111,0270011,Clinton School District,The Morgan School,0,0,0,0,0,0,0,0,0,0,147,157,169,165,638,2007-08
0280411,0280011,Colchester School District,Colchester Elementary School,77,225,230,242,0,0,0,0,0,0,0,0,0,0,774,2007-08
0280211,0280011,Colchester School District,Jack Jackter Intermediate School,0,0,0,0,215,239,227,0,0,0,0,0,0,0,681,2007-08
0285111,0280011,Colchester School District,William J. Johnston Middle School,0,0,0,0,0,0,*,*,272,264,0,0,0,0,801,2007-08
0286111,0280011,Colchester School District,Bacon Academy,0,0,0,0,0,0,0,0,0,0,240,247,241,254,982,2007-08
0300111,0300011,Columbia School District,Horace W. Porter School,18,55,64,63,67,59,55,68,69,68,0,0,0,0,586,2007-08
2430114,2430014,Cooperative Educational Services,Six-Six Magnet School,80,53,52,39,38,38,39,32,31,33,0,0,0,0,435,2007-08
2439014,2430014,Cooperative Educational Services,C. E. S. Special Education,0,*,*,11,9,22,27,18,19,24,22,17,21,37,240,2007-08
0328011,0320011,Coventry School District,Coventry Early Intervention Services,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2007-08
0320211,0320011,Coventry School District,Coventry Grammar School,0,151,125,149,0,0,0,0,0,0,0,0,0,0,425,2007-08
0320411,0320011,Coventry School District,George Hersey Robertson School,0,0,0,0,156,155,163,0,0,0,0,0,0,0,474,2007-08
0325111,0320011,Coventry School District,Capt. Nathan Hale School,0,0,0,0,0,0,0,172,184,183,0,0,0,0,539,2007-08
0326111,0320011,Coventry School District,Coventry High School,0,0,0,0,0,0,0,0,0,0,176,119,121,143,559,2007-08
0330211,0330011,Cromwell School District,Edna C. Stevens School,28,137,160,160,0,0,0,0,0,0,0,0,0,0,485,2007-08
0330311,0330011,Cromwell School District,Woodside Intermediate School,0,0,0,0,159,162,151,0,0,0,0,0,0,0,472,2007-08
0335111,0330011,Cromwell School District,Cromwell Middle School,0,0,0,0,0,0,0,149,171,153,0,0,0,0,473,2007-08
0336111,0330011,Cromwell School District,Cromwell High School,0,0,0,0,0,0,0,0,0,0,169,140,125,125,559,2007-08
0341411,0340011,Danbury School District,Ellsworth Avenue School,*,58,66,57,52,*,53,0,0,0,0,0,0,0,333,2007-08
0341111,0340011,Danbury School District,Great Plain School,*,60,54,60,51,*,51,0,0,0,0,0,0,0,315,2007-08
0340211,0340011,Danbury School District,Hayestown Avenue School,64,75,54,63,52,47,45,0,0,0,0,0,0,0,400,2007-08
0341711,0340011,Danbury School District,King Street Intermediate School,*,0,0,0,119,*,102,0,0,0,0,0,0,0,317,2007-08
0341311,0340011,Danbury School District,King Street Primary School,*,98,103,*,0,0,0,0,0,0,0,0,0,0,294,2007-08
0341811,0340011,Danbury School District,Mill Ridge Educational Center,79,0,0,0,96,91,81,0,0,0,0,0,0,0,347,2007-08
0340511,0340011,Danbury School District,Mill Ridge Primary School,*,116,*,91,0,0,0,0,0,0,0,0,0,0,298,2007-08
0340611,0340011,Danbury School District,Morris Street School,40,57,58,44,49,52,43,0,0,0,0,0,0,0,343,2007-08
0341511,0340011,Danbury School District,Pembroke School,*,53,63,*,61,52,55,0,0,0,0,0,0,0,336,2007-08
0341611,0340011,Danbury School District,Stadley Rough School,*,*,81,71,71,81,78,0,0,0,0,0,0,0,455,2007-08
0340811,0340011,Danbury School District,Park Avenue School,0,76,68,64,67,55,46,0,0,0,0,0,0,0,376,2007-08
0341211,0340011,Danbury School District,Shelter Rock School,0,61,51,61,55,47,63,0,0,0,0,0,0,0,338,2007-08
0341011,0340011,Danbury School District,South Street School,0,57,52,54,38,46,59,0,0,0,0,0,0,0,306,2007-08
0341911,0340011,Danbury School District,Western CT Academy of International Studies Elementary Magnet School,0,44,64,62,52,50,45,0,0,0,0,0,0,0,317,2007-08
0345111,0340011,Danbury School District,Broadview Middle School,0,0,0,0,0,0,0,394,361,389,0,0,0,0,1144,2007-08
0345211,0340011,Danbury School District,Rogers Park Middle School,0,0,0,0,0,0,0,324,340,367,0,0,0,0,1031,2007-08
0346211,0340011,Danbury School District,Alternative Center For Excellence,0,0,0,0,0,0,0,0,0,0,22,30,29,16,97,2007-08
0346111,0340011,Danbury School District,Danbury High School,0,0,0,0,0,0,0,0,0,0,815,692,670,658,2835,2007-08
0350211,0350011,Darien School District,Hindley Elementary School,53,77,82,86,70,80,71,0,0,0,0,0,0,0,519,2007-08
0350711,0350011,Darien School District,Holmes Elementary School,0,89,85,84,72,85,69,0,0,0,0,0,0,0,484,2007-08
0351311,0350011,Darien School District,Ox Ridge Elementary School,0,86,72,89,82,88,95,0,0,0,0,0,0,0,512,2007-08
0350511,0350011,Darien School District,Royle Elementary School,0,90,66,77,75,65,78,0,0,0,0,0,0,0,451,2007-08
0350611,0350011,Darien School District,Tokeneke Elementary School,0,52,68,60,73,76,61,0,0,0,0,0,0,0,390,2007-08
0355111,0350011,Darien School District,Middlesex Middle School,0,0,0,0,0,0,*,389,*,371,0,0,0,0,1117,2007-08
0356111,0350011,Darien School District,Darien High School,0,0,0,0,0,0,0,0,0,0,330,295,305,250,1180,2007-08
0360111,0360011,Deep River School District,Deep River Elementary School,38,45,58,60,44,52,53,39,0,0,0,0,0,0,389,2007-08
0370611,0370011,Derby School District,Bradley School,*,*,51,67,45,45,52,58,0,0,0,0,0,0,364,2007-08
0370411,0370011,Derby School District,Irving School,15,50,70,66,53,43,65,55,0,0,0,0,0,0,417,2007-08
0376111,0370011,Derby School District,Derby High School,0,0,0,0,0,0,0,0,107,131,112,108,107,104,669,2007-08
0400111,0400011,East Granby School District,Allgrove School,12,58,90,70,64,0,0,0,0,0,0,0,0,0,294,2007-08
0400211,0400011,East Granby School District,R. Dudley Seymour School,0,0,0,0,0,79,62,0,0,0,0,0,0,0,141,2007-08
0405111,0400011,East Granby School District,East Granby Middle School,0,0,0,0,0,0,0,75,79,64,0,0,0,0,218,2007-08
0406111,0400011,East Granby School District,East Granby High School,0,0,0,0,0,0,0,0,0,0,82,50,59,67,258,2007-08
0410111,0410011,East Haddam School District,East Haddam Elementary School,18,111,90,111,104,102,0,0,0,0,0,0,0,0,536,2007-08
0415111,0410011,East Haddam School District,Nathan Hale-Ray Middle School,0,0,0,0,0,0,126,115,116,120,0,0,0,0,477,2007-08
0416111,0410011,East Haddam School District,Nathan Hale-Ray High School,0,0,0,0,0,0,0,0,0,0,96,119,113,78,406,2007-08
0420111,0420011,East Hampton School District,Memorial School,35,156,152,125,165,0,0,0,0,0,0,0,0,0,633,2007-08
0420311,0420011,East Hampton School District,Center School,0,0,0,0,0,183,166,0,0,0,0,0,0,0,349,2007-08
0425111,0420011,East Hampton School District,East Hampton Middle School,0,0,0,0,0,0,0,151,155,202,0,0,0,0,508,2007-08
0426111,0420011,East Hampton School District,East Hampton High School,0,0,0,0,0,0,0,0,0,0,136,146,155,143,580,2007-08
0430511,0430011,East Hartford School District,Hockanum School,17,69,68,39,66,49,46,0,0,0,0,0,0,0,354,2007-08
0438011,0430011,East Hartford School District,Willowbrook Early Childhood,288,0,0,0,0,0,0,0,0,0,0,0,0,0,288,2007-08
0430911,0430011,East Hartford School District,Anna E. Norris School,0,48,43,41,53,56,57,0,0,0,0,0,0,0,298,2007-08
0430611,0430011,East Hartford School District,Dr. Franklin H. Mayberry School,0,53,71,70,68,71,75,0,0,0,0,0,0,0,408,2007-08
0432211,0430011,East Hartford School District,Dr. John A. Langford School,0,53,70,51,58,52,63,0,0,0,0,0,0,0,347,2007-08
0431011,0430011,East Hartford School District,Dr. Thomas S. O'Connell School,0,41,51,61,52,51,58,0,0,0,0,0,0,0,314,2007-08
0432011,0430011,East Hartford School District,Governor William Pitkin School,0,59,67,63,47,60,56,0,0,0,0,0,0,0,352,2007-08
0430411,0430011,East Hartford School District,Joseph O. Goodwin School,0,44,45,48,60,62,61,0,0,0,0,0,0,0,320,2007-08
0431811,0430011,East Hartford School District,Robert J. O'Brien School,0,79,83,73,79,65,85,0,0,0,0,0,0,0,464,2007-08
0431211,0430011,East Hartford School District,Silver Lane School,0,50,62,52,59,58,42,0,0,0,0,0,0,0,323,2007-08
0439011,0430011,East Hartford School District,Woodland School,0,*,*,9,6,11,13,17,13,28,19,22,24,12,180,2007-08
0432411,0430011,East Hartford School District,Sunset Ridge Middle School,0,0,0,0,0,0,0,452,0,0,0,0,0,0,452,2007-08
0435111,0430011,East Hartford School District,East Hartford Middle School,0,0,0,0,0,0,0,0,531,468,*,*,0,0,1002,2007-08
0436211,0430011,East Hartford School District,East Hartford High School,0,0,0,0,0,0,0,0,0,*,573,536,*,458,2022,2007-08
0436311,0430011,East Hartford School District,Connecticut IB Academy,0,0,0,0,0,0,0,0,0,0,49,40,37,40,166,2007-08
0436411,0430011,East Hartford School District,Stevens Alternate High School,0,0,0,0,0,0,0,0,0,0,23,41,63,24,151,2007-08
0441411,0440011,East Haven School District,D. C. Moore School,14,0,37,37,46,37,28,40,0,0,0,0,0,0,239,2007-08
0441911,0440011,East Haven School District,Hays School,40,138,0,0,0,0,0,0,0,0,0,0,0,0,178,2007-08
0441811,0440011,East Haven School District,Overbrook Elementary School,44,121,0,0,0,0,0,0,0,0,0,0,0,0,165,2007-08
0440111,0440011,East Haven School District,Deer Run School,0,0,50,66,59,56,49,55,0,0,0,0,0,0,335,2007-08
0441311,0440011,East Haven School District,Dominick H. Ferrara School,0,0,34,38,27,35,32,20,0,0,0,0,0,0,186,2007-08
0441011,0440011,East Haven School District,Grove J. Tuttle School,0,0,33,38,35,40,32,34,0,0,0,0,0,0,212,2007-08
0440711,0440011,East Haven School District,Momauguin School,0,0,35,38,40,32,24,40,0,0,0,0,0,0,209,2007-08
0441611,0440011,East Haven School District,Robert W. Carbone School,0,0,51,48,52,53,59,56,0,0,0,0,0,0,319,2007-08
0441711,0440011,East Haven School District,Carbone School/East Haven Academy,0,0,0,0,24,40,43,43,38,33,0,0,0,0,221,2007-08
0445111,0440011,East Haven School District,Joseph Melillo Middle School,0,0,0,0,0,0,0,0,250,232,0,0,0,0,482,2007-08
0449011,0440011,East Haven School District,Pathways,0,0,0,0,0,0,0,0,0,*,7,*,13,10,35,2007-08
0446111,0440011,East Haven School District,East Haven High School,0,0,0,0,0,0,0,0,0,0,289,272,259,277,1097,2007-08
0458011,0450011,East Lyme School District,Integrated Preschool,53,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2007-08
0450111,0450011,East Lyme School District,Flanders School,0,68,77,84,81,89,0,0,0,0,0,0,0,0,399,2007-08
0450411,0450011,East Lyme School District,Lillie B. Haynes School,0,79,73,67,74,45,0,*,0,*,0,0,0,0,340,2007-08
0450211,0450011,East Lyme School District,Niantic Center School,0,47,48,49,46,51,0,0,0,0,0,0,0,0,241,2007-08
0455111,0450011,East Lyme School District,East Lyme Middle School,0,0,0,0,0,0,201,233,238,241,0,0,0,0,913,2007-08
0456111,0450011,East Lyme School District,East Lyme High School,0,0,0,0,0,0,0,0,0,0,330,315,338,321,1304,2007-08
0470111,0470011,East Windsor School District,Broad Brook Elementary School,59,109,105,131,99,117,0,0,0,0,0,0,0,0,620,2007-08
