school_code,district_code,district,school,pre_kindergarten,kindergarten,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,total,year
0010111,0010011,Andover School District,Andover Elementary School,32,43,42,39,42,51,46,52,0,0,0,0,0,0,347,2007-08
0020811,0020011,Ansonia School District,Prendergast School,80,228,235,233,0,0,0,0,0,0,0,0,0,0,776,2007-08
0020311,0020011,Ansonia School District,Mead School,0,0,0,0,224,189,186,0,0,0,0,0,0,0,599,2007-08
0025111,0020011,Ansonia School District,Ansonia Middle School,0,0,0,0,0,0,0,182,203,211,0,0,0,0,596,2007-08
0026111,0020011,Ansonia School District,Ansonia High School,0,0,0,0,0,0,0,0,0,0,237,186,174,163,760,2007-08
2449014,2440014,Area Cooperative Educational Services,A. C. E. S. Special Education Town Campus Learning Center,*,0,0,0,0,0,0,0,0,*,0,0,0,0,19,2007-08
2449514,2440014,Area Cooperative Educational Services,Village School,11,14,9,19,19,15,12,18,20,21,7,*,*,*,174,2007-08
2449414,2440014,Area Cooperative Educational Services,Mill Road School,0,*,*,9,30,22,30,29,21,28,0,0,0,0,176,2007-08
2440314,2440014,Area Cooperative Educational Services,Wintergreen Interdistrict  Magnet School,0,57,68,69,70,70,67,65,70,69,0,0,0,0,605,2007-08
2445114,2440014,Area Cooperative Educational Services,Thomas Edison Magnet Middle School,0,0,0,0,0,0,0,259,251,242,0,0,0,0,752,2007-08
2446114,2440014,Area Cooperative Educational Services,Collaborative Alternative Magnet School,0,0,0,0,0,0,0,0,19,21,18,17,13,11,99,2007-08
2449214,2440014,Area Cooperative Educational Services,Whitney High School East,0,0,0,0,0,0,0,0,0,*,*,18,15,76,125,2007-08
2449314,2440014,Area Cooperative Educational Services,Whitney High School West,0,0,0,0,0,0,0,0,0,*,*,7,18,24,56,2007-08
2449114,2440014,Area Cooperative Educational Services,Whitney High School North,0,0,0,0,0,0,0,0,0,0,31,22,19,20,92,2007-08
0030111,0030011,Ashford School District,Ashford School,41,35,39,55,47,48,51,56,60,68,0,0,0,0,500,2007-08
0040411,0040011,Avon School District,Pine Grove School,20,107,114,127,129,121,0,0,0,0,0,0,0,0,618,2007-08
0040311,0040011,Avon School District,Roaring Brook School,28,115,153,166,160,154,0,0,0,0,0,0,0,0,776,2007-08
0040511,0040011,Avon School District,Thompson Brook School,0,0,0,0,0,0,277,313,0,0,0,0,0,0,590,2007-08
0045111,0040011,Avon School District,Avon Middle School,0,0,0,0,0,0,0,0,279,303,0,0,0,0,582,2007-08
0046111,0040011,Avon School District,Avon High School,0,0,0,0,0,0,0,0,0,0,250,284,242,260,1036,2007-08
0058011,0050011,Barkhamsted School District,Shared Services Integrated Preschool,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2007-08
0050111,0050011,Barkhamsted School District,Barkhamsted Elementary School,0,34,57,54,57,46,33,47,0,0,0,0,0,0,328,2007-08
0070411,0070011,Berlin School District,Emma Hart Willard School,44,83,83,90,106,93,78,0,0,0,0,0,0,0,577,2007-08
0070511,0070011,Berlin School District,Mary E. Griswold School,*,*,100,94,89,117,110,0,0,0,0,0,0,0,589,2007-08
0070111,0070011,Berlin School District,Richard D. Hubbard School,0,33,42,56,37,49,46,0,0,0,0,0,0,0,263,2007-08
0075111,0070011,Berlin School District,Catherine M. McGee Middle School,0,0,0,0,0,0,*,*,256,276,0,0,0,0,778,2007-08
0076111,0070011,Berlin School District,Berlin High School,0,0,0,0,0,0,0,0,0,0,253,236,258,316,1063,2007-08
0080111,0080011,Bethany School District,Bethany Community School,16,79,71,68,84,76,85,90,0,0,0,0,0,0,569,2007-08
0090111,0090011,Bethel School District,Frank A. Berry School,63,95,114,104,112,0,0,0,0,0,0,0,0,0,488,2007-08
0090411,0090011,Bethel School District,Anna H. Rockwell School,0,96,113,106,110,0,0,0,0,0,0,0,0,0,425,2007-08
0090511,0090011,Bethel School District,Ralph M. T. Johnson School,0,0,0,0,0,238,216,0,0,0,0,0,0,0,454,2007-08
0095111,0090011,Bethel School District,Bethel Middle School,0,0,0,0,0,0,0,252,239,252,0,0,0,0,743,2007-08
0096111,0090011,Bethel School District,Bethel High School,0,0,0,0,0,0,0,0,0,0,261,272,262,239,1034,2007-08
0110311,0110011,Bloomfield School District,J. P. Vincent School,25,41,69,58,63,59,0,0,0,0,0,0,0,0,315,2007-08
0110611,0110011,Bloomfield School District,Laurel School,0,35,56,69,56,52,0,0,0,0,0,0,0,0,268,2007-08
0110511,0110011,Bloomfield School District,Metacomet School,0,47,44,45,53,49,0,0,0,0,0,0,0,0,238,2007-08
0110711,0110011,Bloomfield School District,Carmen Arace Intermediate School,0,0,*,0,*,0,176,170,0,0,0,0,0,0,348,2007-08
0115211,0110011,Bloomfield School District,Carmen Arace Middle School,0,0,0,0,0,0,0,0,147,195,0,0,0,0,342,2007-08
0116111,0110011,Bloomfield School District,Bloomfield High School,0,0,0,0,0,0,0,0,0,0,181,180,138,126,625,2007-08
0116211,0110011,Bloomfield School District,The Big Picture High School,0,0,0,0,0,0,0,0,0,0,35,25,19,0,79,2007-08
0120111,0120011,Bolton School District,Bolton Center School,*,*,55,58,58,74,67,97,83,63,0,0,0,0,597,2007-08
