"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELL","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Non-ELL","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","ELL","","","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Non-ELL","","","*","*","*"
"0150411","0150011","Bridgeport School District","Bryant School","ELL","6.5","13.3","7.9","11.3","0.0"
"0150411","0150011","Bridgeport School District","Bryant School","Non-ELL","19.9","24.1","19.6","14.8","16.8"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Non-ELL","","","","","84.4"
"0156211","0150011","Bridgeport School District","Central High School","ELL","27.1","59.8","32.5","13.9","22.5"
"0156211","0150011","Bridgeport School District","Central High School","Non-ELL","21.9","54.8","32.4","19.7","15.7"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","ELL","13.5","13.7","15.0","12.1","10.8"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Non-ELL","16.9","20.2","17.8","15.4","13.2"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","ELL","*","*","*","*","*"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Non-ELL","*","*","*","*","*"
"0150511","0150011","Bridgeport School District","Columbus School","ELL","15.3","27.2","22.2","15.2","15.3"
"0150511","0150011","Bridgeport School District","Columbus School","Non-ELL","23.8","35.2","30.2","27.1","26.9"
"0153911","0150011","Bridgeport School District","Cross School","ELL","*","*","*","*","*"
"0153911","0150011","Bridgeport School District","Cross School","Non-ELL","*","*","*","*","*"
"0154211","0150011","Bridgeport School District","Curiale School","ELL","24.5","20.0","25.8","24.8","16.2"
"0154211","0150011","Bridgeport School District","Curiale School","Non-ELL","22.5","29.8","29.7","27.5","20.3"
"0154111","0150011","Bridgeport School District","Dunbar School","ELL","*","*","*","*","*"
"0154111","0150011","Bridgeport School District","Dunbar School","Non-ELL","*","*","*","*","*"
"0150711","0150011","Bridgeport School District","Edison School","ELL","*","*","*","*","*"
"0150711","0150011","Bridgeport School District","Edison School","Non-ELL","*","*","*","*","*"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","ELL","*","*","*","*","*"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Non-ELL","*","*","*","*","*"
"0151111","0150011","Bridgeport School District","Hall School","ELL","*","*","*","*","*"
"0151111","0150011","Bridgeport School District","Hall School","Non-ELL","*","*","*","*","*"
"0151211","0150011","Bridgeport School District","Hallen School","ELL","*","*","*","*","*"
"0151211","0150011","Bridgeport School District","Hallen School","Non-ELL","*","*","*","*","*"
"0156311","0150011","Bridgeport School District","Harding High School","ELL","48.2","49.4","44.9","44.8","35.3"
"0156311","0150011","Bridgeport School District","Harding High School","Non-ELL","44.2","49.3","43.5","52.7","48.3"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","ELL","*","*","*","","*"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Non-ELL","*","*","*","3.9","*"
"0151311","0150011","Bridgeport School District","Hooker School","ELL","*","*","*","*","*"
"0151311","0150011","Bridgeport School District","Hooker School","Non-ELL","*","*","*","*","*"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","ELL","","","*","*","*"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Non-ELL","","","*","*","*"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","ELL","*","*","*","*","*"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","Non-ELL","*","*","*","*","*"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","ELL","*","45.5","*","30.0","*"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Non-ELL","*","27.1","*","30.1","*"
"0151911","0150011","Bridgeport School District","Longfellow School","ELL","23.5","","","",""
"0151911","0150011","Bridgeport School District","Longfellow School","Non-ELL","27.8","","","",""
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","ELL","23.2","27.5","24.3","24.0","23.4"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Non-ELL","27.1","30.0","28.5","26.7","25.1"
"0152011","0150011","Bridgeport School District","Madison School","ELL","*","*","*","*","*"
"0152011","0150011","Bridgeport School District","Madison School","Non-ELL","*","*","*","*","*"
"0159511","0150011","Bridgeport School District","Make The Grade","ELL","*","","","",""
"0159511","0150011","Bridgeport School District","Make The Grade","Non-ELL","*","","","",""
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","ELL","*","*","0.0","*","*"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Non-ELL","*","*","2.0","*","*"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","Non-ELL","","","","","*"
"0159211","0150011","Bridgeport School District","Park City Academy","ELL","*","*","","",""
"0159211","0150011","Bridgeport School District","Park City Academy","Non-ELL","*","*","","",""
"0151711","0150011","Bridgeport School District","Park City Magnet School","ELL","*","*","*","*","*"
"0151711","0150011","Bridgeport School District","Park City Magnet School","Non-ELL","*","*","*","*","*"
"0151811","0150011","Bridgeport School District","Pride Academy","ELL","","","*","",""
"0151811","0150011","Bridgeport School District","Pride Academy","Non-ELL","","","*","",""
"0152511","0150011","Bridgeport School District","Read School","ELL","*","10.6","*","6.2","12.9"
"0152511","0150011","Bridgeport School District","Read School","Non-ELL","*","13.3","*","15.8","15.3"
"0152611","0150011","Bridgeport School District","Roosevelt School","ELL","37.3","32.6","27.7","22.0","17.8"
"0152611","0150011","Bridgeport School District","Roosevelt School","Non-ELL","27.8","25.5","28.7","25.7","17.4"
"0154411","0150011","Bridgeport School District","Skane Center","Non-ELL","*","","","",""
"0153011","0150011","Bridgeport School District","Waltersville School","ELL","16.9","27.3","19.6","21.4","23.8"
"0153011","0150011","Bridgeport School District","Waltersville School","Non-ELL","18.3","25.0","27.1","19.5","22.0"
"0153611","0150011","Bridgeport School District","Winthrop School","ELL","*","*","*","*","*"
"0153611","0150011","Bridgeport School District","Winthrop School","Non-ELL","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","ELL","*","*","*","",""
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Non-ELL","*","*","*","60.0","*"
"0176111","0170011","Bristol School District","Bristol Central High School","ELL","32.3","36.8","43.6","35.7","20.6"
"0176111","0170011","Bristol School District","Bristol Central High School","Non-ELL","16.0","13.3","15.1","15.0","11.7"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELL","48.5","44.4","41.4","33.3","16.2"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Non-ELL","16.3","14.5","14.2","12.2","11.5"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Non-ELL","","","","44.7","49.0"
"0173411","0170011","Bristol School District","CHMS GOAL","Non-ELL","","","","*",""
"0175111","0170011","Bristol School District","Chippens Hill Middle School","ELL","40.0","22.2","*","*","*"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","Non-ELL","9.9","6.5","*","*","*"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","ELL","","","","","*"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","Non-ELL","","","","*","*"
"0173411","0170011","Bristol School District","Chms Goal","Non-ELL","","","","","*"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","ELL","*","","","",""
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Non-ELL","*","","","",""
"0179211","0170011","Bristol School District","Community/Vocational Program","Non-ELL","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","ELL","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","Non-ELL","9.4","7.4","6.3","7.6","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","ELL","*","*","*","*","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Non-ELL","*","*","*","*","*"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","Non-ELL","","","","","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","Non-ELL","","","","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","ELL","*","*","*","*","13.0"
"0170511","0170011","Bristol School District","Greene-Hills School","Non-ELL","*","*","*","*","7.6"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","ELL","","","","","*"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Non-ELL","","","","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","Non-ELL","","","","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","Non-ELL","","","","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","ELL","*","*","*","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Non-ELL","*","*","*","*","*"
"0170611","0170011","Bristol School District","John J. Jennings School","ELL","*","","","",""
"0170611","0170011","Bristol School District","John J. Jennings School","Non-ELL","*","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","ELL","*","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","Non-ELL","*","","","",""
"0171711","0170011","Bristol School District","Mountain View School","ELL","*","*","*","*","*"
"0171711","0170011","Bristol School District","Mountain View School","Non-ELL","*","*","*","*","*"
"0172511","0170011","Bristol School District","Mt. View GOAL","Non-ELL","","","","*","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","Non-ELL","","","","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Non-ELL","","","","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","ELL","*","*","*","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Non-ELL","*","*","*","*","*"
"0173011","0170011","Bristol School District","South Side Extended Resource","Non-ELL","","","","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","Non-ELL","","","","*","*"
"0171111","0170011","Bristol School District","South Side School","ELL","*","*","27.3","*","*"
"0171111","0170011","Bristol School District","South Side School","Non-ELL","*","*","7.9","*","*"
"0173211","0170011","Bristol School District","Stafford Autism","Non-ELL","","","","*","*"
"0171211","0170011","Bristol School District","Stafford School","ELL","*","*","*","*","*"
"0171211","0170011","Bristol School District","Stafford School","Non-ELL","*","*","*","*","*"
"0172011","0170011","Bristol School District","West Bristol School","ELL","","*","30.2","12.8","11.5"
"0172011","0170011","Bristol School District","West Bristol School","Non-ELL","","*","11.4","10.3","7.8"
"0186111","0180011","Brookfield School District","Brookfield High School","ELL","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","Non-ELL","*","*","*","*","*"
"0180311","0180011","Brookfield School District","Center Elementary School","ELL","*","*","*","*","*"
"0180311","0180011","Brookfield School District","Center Elementary School","Non-ELL","*","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","ELL","*","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Non-ELL","*","*","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","ELL","*","*","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Non-ELL","*","*","*","*","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","ELL","*","*","*","*","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Non-ELL","*","*","*","*","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","ELL","*","*","*","*",""
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Non-ELL","*","*","*","*","2.9"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","ELL","","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Non-ELL","10.7","*","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Non-ELL","3.4","6.1","3.6","3.3","3.0"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Non-ELL","4.2","7.0","5.1","3.5","4.3"
"0230411","0230011","Canton School District","Canton Academy","Non-ELL","","","","*","*"
"0236111","0230011","Canton School District","Canton High School","ELL","*","*","*","*","*"
"0236111","0230011","Canton School District","Canton High School","Non-ELL","*","*","*","*","*"
"0230311","0230011","Canton School District","Canton Intermediate School","ELL","*","*","","*","*"
"0230311","0230011","Canton School District","Canton Intermediate School","Non-ELL","*","*","12.4","*","*"
"0235111","0230011","Canton School District","Canton Middle School","ELL","*","","*","",""
"0235111","0230011","Canton School District","Canton Middle School","Non-ELL","*","5.9","*","5.1","3.9"
"0230211","0230011","Canton School District","Cherry Brook Primary School","ELL","*","*","*","*","*"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Non-ELL","*","*","*","*","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Non-ELL","","","","","13.7"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","ELL","*","*","*","*","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Non-ELL","*","*","*","*","*"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","ELL","","","*","48.4","24.4"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","Non-ELL","","","*","19.3","13.0"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","ELL","","","","*","*"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Non-ELL","","","","*","*"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","ELL","","*","*","*","0.0"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","Non-ELL","","*","*","*","7.7"
"2418114","2410014","Capitol Region Education Council","CREC Discovery Academy","ELL","","*","","",""
"2418114","2410014","Capitol Region Education Council","CREC Discovery Academy","Non-ELL","*","*","","",""
"2418114","2410014","Capitol Region Education Council","Discovery Academy","ELL","","","*","*","*"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Non-ELL","","","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Non-ELL","60.6","55.3","*","*","40.0"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","ELL","*","*","*","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Non-ELL","*","*","*","*","*"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","ELL","*","","","",""
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","Non-ELL","*","","","",""
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELL","*","*","*","*","*"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-ELL","*","*","*","*","*"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","ELL","","*","*","*","*"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","Non-ELL","","*","*","*","*"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Non-ELL","*","*","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","ELL","*","*","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Non-ELL","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","ELL","","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Non-ELL","56.7","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","ELL","","*","","",""
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Non-ELL","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELL","*","*","*","",""
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-ELL","*","*","*","",""
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","ELL","*","*","*","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL","*","*","*","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","ELL","*","*","*","22.2","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Non-ELL","*","*","*","9.3","*"
"2410514","2410014","Capitol Region Education Council","Museum Academy","ELL","*","*","*","24.0","21.4"
