"school_code","district_code","district","school","gender","2011_12","2012_13","2013_14","2014_15","2015_16"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Female","3.3","2.2","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Male","2.9","2.4","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Female","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Male","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Female","3.9","5.1","4.7","4.4","4.9"
"0080111","0080011","Bethany School District","Bethany Community School","Male","2.5","6.0","5.1","5.6","5.4"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Female","7.7","6.7","3.8","3.8","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Male","4.8","3.9","3.8","7.2","*"
"0096111","0090011","Bethel School District","Bethel High School","Female","9.3","10.4","11.0","4.2","10.2"
"0096111","0090011","Bethel School District","Bethel High School","Male","6.2","7.0","8.8","3.7","9.3"
"0095111","0090011","Bethel School District","Bethel Middle School","Female","6.8","8.2","3.5","5.8","3.2"
"0095111","0090011","Bethel School District","Bethel Middle School","Male","7.9","8.6","5.3","6.7","4.4"
"0090111","0090011","Bethel School District","Frank A. Berry School","Female","*","*","*","*","0.0"
"0090111","0090011","Bethel School District","Frank A. Berry School","Male","*","*","*","*","4.1"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Female","3.3","5.1","18.8","*","13.7"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Male","4.2","5.8","10.9","*","14.2"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Female","11.1","8.7","7.8","8.6","7.0"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Male","9.2","8.0","8.2","11.5","10.6"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Female","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Male","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Female","8.8","5.3","6.5","8.8","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Male","9.3","7.1","8.1","5.7","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Female","","12.2","11.8","10.1","14.3"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Male","","16.4","8.9","11.4","14.6"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Female","9.0","","","",""
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Male","6.4","","","",""
"0110611","0110011","Bloomfield School District","Laurel School","Female","","8.0","3.7","4.3","5.9"
"0110611","0110011","Bloomfield School District","Laurel School","Male","","6.6","4.8","9.9","13.8"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Female","","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Male","","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Female","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Male","*","*","*","*","*"
"3480415","0110011","Bloomfield School District","SAGE","Male","","","","","*"
"0116211","0110011","Bloomfield School District","The Big Picture High School","Female","*","","","",""
"0116211","0110011","Bloomfield School District","The Big Picture High School","Male","*","","","",""
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Female","*","*","*","*","*"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Male","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Female","*","4.3","5.9","5.9","*"
"0120111","0120011","Bolton School District","Bolton Center School","Male","*","3.5","5.7","5.9","*"
"0126111","0120011","Bolton School District","Bolton High School","Female","*","*","5.3","6.4","*"
"0126111","0120011","Bolton School District","Bolton High School","Male","*","*","3.7","4.3","*"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Female","","","","38.9","23.1"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Male","","","","25.0","18.0"
"0130111","0130011","Bozrah School District","Fields Memorial School","Female","*","5.9","7.7","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Male","*","11.2","7.0","*","*"
"0146111","0140011","Branford School District","Branford High School","Female","11.2","11.2","16.2","13.4","13.1"
"0146111","0140011","Branford School District","Branford High School","Male","8.8","10.6","12.7","14.0","8.4"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Female","","","","*","80.0"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Male","","","","*","70.0"
"3480115","0140011","Branford School District","Bridgeport Detention Center","Female","","","","","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Female","6.5","5.5","5.9","8.4","5.7"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Male","8.8","8.3","7.6","8.1","8.7"
"0141611","0140011","Branford School District","John B. Sliney School","Female","*","4.6","3.6","*","4.9"
"0141611","0140011","Branford School District","John B. Sliney School","Male","*","6.1","4.7","*","3.4"
"0141511","0140011","Branford School District","Mary R. Tisko School","Female","4.0","4.3","4.6","*","5.1"
"0141511","0140011","Branford School District","Mary R. Tisko School","Male","4.4","5.3","4.8","*","6.0"
"0141411","0140011","Branford School District","Mary T. Murphy School","Female","4.9","4.9","5.8","5.1","10.9"
"0141411","0140011","Branford School District","Mary T. Murphy School","Male","5.5","6.6","8.0","6.4","8.5"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Female","","","*","8.8","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Male","","","*","13.0","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Female","*","3.0","2.7","4.0","4.9"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Male","*","2.1","3.0","2.3","4.4"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Female","","","14.0","19.7","22.1"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Male","","","11.0","13.3","14.6"
"0150111","0150011","Bridgeport School District","Barnum School","Female","20.8","21.9","24.5","19.9","24.9"
"0150111","0150011","Bridgeport School District","Barnum School","Male","24.1","25.9","27.4","23.1","24.4"
"0156111","0150011","Bridgeport School District","Bassick High School","Female","41.8","43.9","45.5","46.3","45.9"
"0156111","0150011","Bridgeport School District","Bassick High School","Male","36.3","35.7","38.0","40.0","39.0"
"0150211","0150011","Bridgeport School District","Beardsley School","Female","16.8","16.4","20.3","21.2","14.6"
"0150211","0150011","Bridgeport School District","Beardsley School","Male","20.4","15.9","15.3","14.5","13.8"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Female","","","9.4","3.0","10.6"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Male","","","19.0","6.6","12.9"
"0150311","0150011","Bridgeport School District","Black Rock School","Female","15.4","18.4","11.7","7.9","6.7"
"0150311","0150011","Bridgeport School District","Black Rock School","Male","11.0","19.1","14.6","13.6","6.1"
"0154011","0150011","Bridgeport School District","Blackham School","Female","12.3","14.7","16.3","9.8","11.4"
"0154011","0150011","Bridgeport School District","Blackham School","Male","14.9","16.6","18.0","17.4","13.1"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Female","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Male","*","*","*","*","*"
