district,district_code,2011_12_count,2011_12_rate,2012_13_count,2012_13_rate,2013_14_count,2011_14_rate,2014_15_count,2012_15_rate,2015_16_count,2012_16_rate,group,school_code
Andover School District,0010011,20,6.9,22,7.6,19,6.8,15,5.9,16,6.7,all,0010011
Ansonia School District,0020011,298,11.1,312,12.1,338,13.7,415,16.4,450,18.0,all,0020011
Ashford School District,0030011,47,10.8,50,12.5,47,12.1,47,12.5,44,12.1,all,0030011
Avon School District,0040011,370,10.5,356,10.3,348,10.2,313,9.4,290,8.8,all,0040011
Barkhamsted School District,0050011,29,8.6,37,11.2,36,12.2,37,12.3,35,13.4,all,0050011
Berlin School District,0070011,294,9.6,299,9.8,305,10.0,316,10.6,335,11.4,all,0070011
Bethany School District,0080011,63,13.0,54,11.7,52,12.3,55,14.1,48,12.9,all,0080011
Bethel School District,0090011,314,10.8,319,10.9,316,10.9,322,11.3,317,11.0,all,0090011
Bloomfield School District,0110011,241,10.6,224,10.2,236,11.1,278,12.8,315,14.6,all,0110011
Bolton School District,0120011,87,10.4,86,10.5,85,10.5,92,11.6,87,11.2,all,0120011
Bozrah School District,0130011,41,12.1,40,12.0,37,11.0,33,10.9,33,11.3,all,0130011
Branford School District,0140011,452,13.5,448,13.6,419,13.0,412,13.3,418,13.8,all,0140011
Bridgeport School District,0150011,2735,12.7,2784,12.9,2815,12.8,3176,14.1,3373,14.8,all,0150011
Bristol School District,0170011,1211,14.4,1233,14.9,1292,15.6,1360,16.5,1382,16.9,all,0170011
Brookfield School District,0180011,248,8.7,292,10.4,316,11.4,323,11.8,335,12.4,all,0180011
Brooklyn School District,0190011,135,11.3,142,11.9,141,12.0,127,11.2,128,11.2,all,0190011
Canaan School District,0210011,14,15.7,13,16.9,11,14.3,9,11.7,8,10.8,all,0210011
Canterbury School District,0220011,70,9.9,67,9.6,67,10.3,71,11.0,69,10.8,all,0220011
Canton School District,0230011,163,9.3,154,8.7,165,9.6,174,10.5,181,11.0,all,0230011
Chaplin School District,0240011,15,9.8,16,10.1,21,13.4,23,14.7,27,15.8,all,0240011
Cheshire School District,0250011,468,9.8,463,10.0,467,10.2,473,10.5,484,11.0,all,0250011
Chester School District,0260011,33,12.6,43,17.0,35,15.3,35,15.9,34,16.0,all,0260011
Clinton School District,0270011,213,10.7,196,10.0,203,10.4,202,10.6,204,11.2,all,0270011
Colchester School District,0280011,346,11.6,345,11.9,361,13.0,361,13.4,367,14.1,all,0280011
Colebrook School District,0290011,14,13.9,15,14.2,15,14.9,19,19.8,19,21.1,all,0290011
Columbia School District,0300011,57,7.8,69,9.7,69,9.9,75,10.8,91,13.2,all,0300011
Connecticut Technical High School System,9000016,760,7.1,797,7.5,879,8.2,965,8.9,1017,9.5,all,9000016
Cornwall School District,0310011,18,17.0,16,15.5,19,18.4,16,17.6,13,14.3,all,0310011
Coventry School District,0320011,204,11.0,211,11.6,213,12.0,205,11.9,208,12.3,all,0320011
Cromwell School District,0330011,203,10.1,199,9.8,205,10.2,214,10.5,222,10.8,all,0330011
Danbury School District,0340011,1086,10.6,1122,10.9,1195,11.4,1239,11.7,1304,12.1,all,0340011
Darien School District,0350011,583,12.1,583,12.0,522,10.7,553,11.3,587,12.2,all,0350011
Deep River School District,0360011,39,10.8,41,11.8,43,12.9,48,15.2,43,14.1,all,0360011
Department of Mental Health and Addiction Services,3370015,6,*,*,*,*,*,7,*,*,*,all,3370015
Derby School District,0370011,162,10.6,188,12.0,205,12.9,213,13.8,207,13.9,all,0370011
East Granby School District,0400011,85,9.7,91,10.1,84,9.3,93,10.2,100,11.2,all,0400011
East Haddam School District,0410011,162,12.7,160,12.7,174,14.4,170,14.7,162,14.8,all,0410011
East Hampton School District,0420011,143,7.3,152,7.8,154,7.9,156,8.2,159,8.2,all,0420011
East Hartford School District,0430011,1092,13.9,1089,14.0,1118,14.2,1107,14.1,1150,14.8,all,0430011
East Haven School District,0440011,433,12.2,442,12.6,435,12.9,427,13.0,439,13.3,all,0440011
East Lyme School District,0450011,334,12.2,326,12.1,335,12.7,343,13.2,327,12.8,all,0450011
East Windsor School District,0470011,166,12.4,203,15.3,198,15.2,218,17.5,191,16.0,all,0470011
Eastford School District,0390011,29,12.6,28,13.0,22,11.0,22,11.8,25,14.2,all,0390011
Easton School District,0460011,75,7.2,75,7.5,85,9.0,89,9.7,85,9.5,all,0460011
Ellington School District,0480011,273,9.9,287,10.4,296,10.9,289,10.6,296,11.0,all,0480011
Enfield School District,0490011,751,13.0,746,13.3,750,13.8,762,14.1,779,14.5,all,0490011
Essex School District,0500011,42,8.0,44,9.1,45,9.9,59,14.4,54,14.7,all,0500011
Fairfield School District,0510011,1058,10.3,1103,10.8,1083,10.6,1096,10.8,1066,10.6,all,0510011
Farmington School District,0520011,403,9.9,438,10.7,436,10.8,465,11.6,478,11.8,all,0520011
Franklin School District,0530011,31,11.2,33,12.0,34,13.2,32,12.9,31,12.8,all,0530011
