district,school,special_education_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Capital Preparatory Harbor School Inc. District,Capital Preparatory Harbor School Inc.,Non-Special Education,,,,,*,2970113,Capital Preparatory Harbor School Inc.,Capital Preparatory Harbor School Inc. District
Capital Preparatory Harbor School Inc. District,Capital Preparatory Harbor School Inc.,Special Education,,,,,*,2970113,Capital Preparatory Harbor School Inc.,Capital Preparatory Harbor School Inc. District
Capitol Region Education Council,Academy of Aerospace and Engineering,Non-Special Education,,85.7,83.9,81.8,88.9,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Aerospace and Engineering,Special Education,,*,*,*,*,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Non-Special Education,,,,97.4,87.2,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Special Education,,,,*,*,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Non-Special Education,81.2,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Special Education,*,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Non-Special Education,87.1,83.3,85.1,93.1,92.0,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Special Education,*,*,*,*,*,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Non-Special Education,,,95.3,,,,,
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Special Education,,,*,,,,,
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Non-Special Education,94.4,94.2,95.7,96.0,98.8,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Special Education,*,*,*,*,*,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Non-Special Education,,,86.8,90.6,87.0,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Special Education,,,*,*,*,2415214,Public Safety Academy,Capitol Region Education Council
