district,school,special_education_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Killingly School District,Killingly High School,Non-Special Education,81.6,79.4,84.6,85.8,89.3,0696111,Killingly High School,Killingly School District
Killingly School District,Killingly High School,Special Education,60.0,56.0,77.3,63.6,52.2,0696111,Killingly High School,Killingly School District
Learn,Connecticut River Academy,Non-Special Education,,87.0,94.2,92.1,90.9,2456014,Connecticut River Academy,Learn
Learn,Connecticut River Academy,Special Education,,*,*,*,*,2456014,Connecticut River Academy,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Non-Special Education,,*,95.7,88.0,100.0,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Special Education,,,*,*,*,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Three Rivers Middle College Magnet School,Non-Special Education,,*,90.0,91.7,97.0,2456214,Three Rivers Middle College Magnet School,Learn
Learn,Three Rivers Middle College Magnet School,Special Education,,*,*,*,*,2456214,Three Rivers Middle College Magnet School,Learn
Lebanon School District,Lyman Memorial High School,Non-Special Education,*,92.7,95.8,*,*,0716211,Lyman Memorial High School,Lebanon School District
Lebanon School District,Lyman Memorial High School,Special Education,*,*,*,*,*,0716211,Lyman Memorial High School,Lebanon School District
Ledyard School District,Ledyard High School,Non-Special Education,93.5,*,96.1,98.0,*,0726111,Ledyard High School,Ledyard School District
Ledyard School District,Ledyard High School,Special Education,83.3,*,84.4,75.0,*,0726111,Ledyard High School,Ledyard School District
Lisbon School District,Community Connection - The Big Picture High School,Non-Special Education,*,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Lisbon School District,Community Connection - The Big Picture High School,Special Education,,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Litchfield School District,Litchfield High School,Non-Special Education,*,*,*,100.0,*,0746111,Litchfield High School,Litchfield School District
Litchfield School District,Litchfield High School,Special Education,*,*,*,*,*,0746111,Litchfield High School,Litchfield School District
Madison School District,Daniel Hand High School,Non-Special Education,99.0,*,98.2,*,99.3,0766111,Daniel Hand High School,Madison School District
Madison School District,Daniel Hand High School,Special Education,92.7,*,91.4,*,86.7,0766111,Daniel Hand High School,Madison School District
Manchester School District,Manchester High School,Non-Special Education,79.0,81.0,89.1,88.7,92.4,0776111,Manchester High School,Manchester School District
Manchester School District,Manchester High School,Special Education,63.6,60.8,72.9,70.6,74.4,0776111,Manchester High School,Manchester School District
Meriden School District,Francis T. Maloney High School,Non-Special Education,75.4,78.5,78.6,80.4,83.3,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Francis T. Maloney High School,Special Education,43.1,44.4,44.7,48.9,31.1,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Orville H. Platt High School,Non-Special Education,73.5,73.3,88.1,79.2,80.1,0806211,Orville H. Platt High School,Meriden School District
Meriden School District,Orville H. Platt High School,Special Education,50.0,47.8,42.9,63.3,37.5,0806211,Orville H. Platt High School,Meriden School District
Middletown School District,Middletown High School,Non-Special Education,80.9,84.5,91.2,95.6,95.3,0836211,Middletown High School,Middletown School District
Middletown School District,Middletown High School,Special Education,63.4,76.1,74.2,90.0,79.4,0836211,Middletown High School,Middletown School District
Milford School District,Jonathan Law High School,Non-Special Education,84.8,85.3,92.1,94.7,97.5,0846211,Jonathan Law High School,Milford School District
Milford School District,Jonathan Law High School,Special Education,65.3,57.8,71.4,71.0,*,0846211,Jonathan Law High School,Milford School District
Milford School District,Joseph A. Foran High School,Non-Special Education,95.3,94.9,96.6,99.0,100.0,0846311,Joseph A. Foran High School,Milford School District
Milford School District,Joseph A. Foran High School,Special Education,63.6,70.8,94.1,82.4,94.4,0846311,Joseph A. Foran High School,Milford School District
Monroe School District,Masuk High School,Non-Special Education,*,98.9,*,100.0,99.2,0856111,Masuk High School,Monroe School District
Monroe School District,Masuk High School,Special Education,*,87.5,*,*,100.0,0856111,Masuk High School,Monroe School District
Montville School District,Montville High School,Non-Special Education,92.9,89.9,89.5,97.5,*,0866111,Montville High School,Montville School District
Montville School District,Montville High School,Special Education,61.5,*,*,*,*,0866111,Montville High School,Montville School District
Naugatuck School District,Naugatuck High School,Non-Special Education,87.0,82.6,83.5,88.7,85.5,0886111,Naugatuck High School,Naugatuck School District
Naugatuck School District,Naugatuck High School,Special Education,70.0,55.8,72.3,68.0,83.6,0886111,Naugatuck High School,Naugatuck School District
New Britain School District,New Britain High School,Non-Special Education,65.9,65.8,66.8,73.8,78.1,0896111,New Britain High School,New Britain School District
New Britain School District,New Britain High School,Special Education,47.1,50.0,53.3,52.6,59.5,0896111,New Britain High School,New Britain School District
New Canaan School District,New Canaan High School,Non-Special Education,*,98.6,*,*,*,0906111,New Canaan High School,New Canaan School District
New Canaan School District,New Canaan High School,Special Education,*,90.7,*,*,*,0906111,New Canaan High School,New Canaan School District
New Fairfield School District,New Fairfield High School,Non-Special Education,*,*,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Fairfield School District,New Fairfield High School,Special Education,*,*,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Haven School District,Cooperative High School,Non-Special Education,89.8,90.2,95.4,95.4,95.2,0936411,Cooperative High School,New Haven School District
New Haven School District,Cooperative High School,Special Education,*,*,*,*,*,0936411,Cooperative High School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Non-Special Education,,,,98.1,94.2,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Special Education,,,,*,*,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,High School In The Community,Non-Special Education,56.5,61.1,46.8,51.1,56.3,0936611,High School In The Community,New Haven School District
New Haven School District,High School In The Community,Special Education,*,*,*,*,*,0936611,High School In The Community,New Haven School District
New Haven School District,Hill Regional Career High School,Non-Special Education,90.6,92.5,88.4,91.5,87.4,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,Hill Regional Career High School,Special Education,*,*,*,*,*,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Non-Special Education,82.1,75.0,89.7,92.3,97.1,,,
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Special Education,*,*,*,*,*,,,
New Haven School District,James Hillhouse High School,Non-Special Education,56.2,60.1,72.1,73.9,79.2,0936211,James Hillhouse High School,New Haven School District
New Haven School District,James Hillhouse High School,Special Education,44.8,40.6,53.8,52.4,87.2,0936211,James Hillhouse High School,New Haven School District
New Haven School District,Metropolitan Business Academy,Non-Special Education,80.0,80.0,91.9,87.4,92.4,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,Metropolitan Business Academy,Special Education,*,*,*,*,*,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,New Haven Academy,Non-Special Education,66.7,65.3,84.5,77.4,72.5,0937011,New Haven Academy,New Haven School District
New Haven School District,New Haven Academy,Special Education,*,*,*,*,*,0937011,New Haven Academy,New Haven School District
New Haven School District,Sound School,Non-Special Education,91.8,92.6,93.3,87.5,96.6,0936711,Sound School,New Haven School District
New Haven School District,Sound School,Special Education,*,*,*,*,*,0936711,Sound School,New Haven School District
New Haven School District,Wilbur Cross High School,Non-Special Education,71.9,67.7,68.6,67.6,78.4,0936111,Wilbur Cross High School,New Haven School District
New Haven School District,Wilbur Cross High School,Special Education,48.0,41.0,35.5,55.8,62.5,0936111,Wilbur Cross High School,New Haven School District
New London School District,New London High School,Non-Special Education,68.1,*,76.2,79.9,*,0956111,New London High School,New London School District
New London School District,New London High School,Special Education,51.2,*,52.9,64.1,*,0956111,New London High School,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,Non-Special Education,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,Special Education,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New Milford School District,New Milford High School,Non-Special Education,94.0,91.7,93.6,96.4,95.0,0966111,New Milford High School,New Milford School District
New Milford School District,New Milford High School,Special Education,79.6,70.5,62.5,74.1,78.1,0966111,New Milford High School,New Milford School District
Newington School District,Newington High School,Non-Special Education,93.5,93.8,96.4,94.2,96.1,0946111,Newington High School,Newington School District
Newington School District,Newington High School,Special Education,65.8,61.1,60.6,83.0,75.0,0946111,Newington High School,Newington School District
Newtown School District,Newtown High School,Non-Special Education,96.5,97.0,*,98.8,98.2,0976111,Newtown High School,Newtown School District
Newtown School District,Newtown High School,Special Education,81.1,67.5,*,68.8,72.7,0976111,Newtown High School,Newtown School District
North Branford School District,North Branford High School,Non-Special Education,*,96.6,*,*,96.5,0996111,North Branford High School,North Branford School District
North Branford School District,North Branford High School,Special Education,*,90.5,*,*,75.0,0996111,North Branford High School,North Branford School District
North Haven School District,North Haven High School,Non-Special Education,96.6,92.0,93.3,96.1,96.2,1016111,North Haven High School,North Haven School District
North Haven School District,North Haven High School,Special Education,80.0,60.0,70.8,82.1,82.6,1016111,North Haven High School,North Haven School District
North Stonington School District,Wheeler High School,Non-Special Education,*,*,*,*,*,1026111,Wheeler High School,North Stonington School District
North Stonington School District,Wheeler High School,Special Education,*,*,*,*,*,1026111,Wheeler High School,North Stonington School District
Norwalk School District,Brien McMahon High School,Non-Special Education,89.8,88.8,87.8,95.4,96.7,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Brien McMahon High School,Special Education,80.0,88.9,79.1,91.5,90.3,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Norwalk High School,Non-Special Education,85.6,*,*,93.3,92.6,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk High School,Special Education,79.6,*,86.0,69.4,73.9,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Non-Special Education,40.0,*,*,47.2,53.8,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Special Education,*,*,*,*,*,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwich Free Academy District,Norwich Free Academy,Non-Special Education,87.4,88.1,90.7,91.0,90.0,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich Free Academy District,Norwich Free Academy,Special Education,78.4,65.7,64.3,70.4,56.4,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich School District,Thames River Academy,Non-Special Education,*,,,,,1046111,Thames River Academy,Norwich School District
Norwich School District,Thames River Academy,Special Education,*,,,,,1046111,Thames River Academy,Norwich School District
Old Saybrook School District,Old Saybrook Senior High School,Non-Special Education,97.6,*,95.1,*,96.6,1066111,Old Saybrook Senior High School,Old Saybrook School District
Old Saybrook School District,Old Saybrook Senior High School,Special Education,*,*,*,*,*,1066111,Old Saybrook Senior High School,Old Saybrook School District
Oxford School District,Oxford High School,Non-Special Education,*,*,*,*,95.2,1086011,Oxford High School,Oxford School District
Oxford School District,Oxford High School,Special Education,*,*,*,*,*,1086011,Oxford High School,Oxford School District
Path Academy District,Path Academy,Non-Special Education,,,,,*,2930113,Path Academy,Path Academy District
Path Academy District,Path Academy,Special Education,,,,,*,2930113,Path Academy,Path Academy District
Plainfield School District,Plainfield High School,Non-Special Education,91.8,89.3,90.6,87.1,89.3,1096111,Plainfield High School,Plainfield School District
Plainfield School District,Plainfield High School,Special Education,69.2,60.6,45.5,53.8,55.9,1096111,Plainfield High School,Plainfield School District
Plainville School District,Plainville High School,Non-Special Education,*,92.0,93.4,92.9,96.0,1106111,Plainville High School,Plainville School District
Plainville School District,Plainville High School,Special Education,*,76.9,75.0,66.7,73.9,1106111,Plainville High School,Plainville School District
Plymouth School District,Terryville High School,Non-Special Education,*,89.4,95.6,93.9,94.1,1116111,Terryville High School,Plymouth School District
Plymouth School District,Terryville High School,Special Education,*,*,*,*,65.0,1116111,Terryville High School,Plymouth School District
Portland School District,Portland High School,Non-Special Education,*,*,95.0,*,*,1136111,Portland High School,Portland School District
Portland School District,Portland High School,Special Education,*,*,*,*,*,1136111,Portland High School,Portland School District
Putnam School District,Putnam High School,Non-Special Education,*,*,*,*,*,1166111,Putnam High School,Putnam School District
Putnam School District,Putnam High School,Special Education,*,*,*,*,*,1166111,Putnam High School,Putnam School District
Regional School District 01,Housatonic Valley Regional High School,Non-Special Education,*,*,90.3,*,95.5,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 01,Housatonic Valley Regional High School,Special Education,*,*,*,*,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 04,Valley Regional High School,Non-Special Education,92.6,*,*,*,*,2046112,Valley Regional High School,Regional School District 04
Regional School District 04,Valley Regional High School,Special Education,87.5,*,*,*,*,2046112,Valley Regional High School,Regional School District 04
Regional School District 05,Amity Regional High School,Non-Special Education,97.4,97.2,98.6,97.9,*,2056112,Amity Regional High School,Regional School District 05
Regional School District 05,Amity Regional High School,Special Education,90.7,90.0,88.5,89.2,*,2056112,Amity Regional High School,Regional School District 05
Regional School District 06,Wamogo Regional High School,Non-Special Education,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 06,Wamogo Regional High School,Special Education,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 07,Northwestern Regional High School,Non-Special Education,*,96.9,*,*,98.7,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 07,Northwestern Regional High School,Special Education,*,*,*,*,*,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 08,RHAM High School,Non-Special Education,93.8,*,96.4,96.6,95.0,2086112,RHAM High School,Regional School District 08
Regional School District 08,RHAM High School,Special Education,72.2,*,81.0,67.6,85.3,2086112,RHAM High School,Regional School District 08
Regional School District 08,Region Alternative High School,Non-Special Education,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 08,Region Alternative High School,Special Education,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 09,Joel Barlow High School,Non-Special Education,*,97.6,*,*,*,2096112,Joel Barlow High School,Regional School District 09
Regional School District 09,Joel Barlow High School,Special Education,*,80.0,*,*,*,2096112,Joel Barlow High School,Regional School District 09
Regional School District 10,Lewis S. Mills High School,Non-Special Education,97.6,96.6,97.3,*,*,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 10,Lewis S. Mills High School,Special Education,87.5,62.5,77.8,*,*,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 11,Parish Hill High School,Non-Special Education,93.5,*,*,100.0,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 11,Parish Hill High School,Special Education,*,*,*,*,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 12,Shepaug Valley High School,Non-Special Education,86.2,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley High School,Special Education,*,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley School,Non-Special Education,,,*,96.4,100.0,2120312,Shepaug Valley School,Regional School District 12
Regional School District 12,Shepaug Valley School,Special Education,,,*,*,*,2120312,Shepaug Valley School,Regional School District 12
Regional School District 13,Coginchaug Regional High School,Non-Special Education,*,*,*,100.0,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 13,Coginchaug Regional High School,Special Education,*,*,*,*,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 14,Nonnewaug High School,Non-Special Education,97.7,*,*,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 14,Nonnewaug High School,Special Education,*,*,*,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 15,Pomperaug Regional High School,Non-Special Education,96.1,96.3,98.6,96.9,99.1,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 15,Pomperaug Regional High School,Special Education,77.8,87.0,86.0,83.3,85.4,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 16,Woodland Regional High School,Non-Special Education,93.2,*,98.7,*,*,2166012,Woodland Regional High School,Regional School District 16
Regional School District 16,Woodland Regional High School,Special Education,*,*,65.0,*,*,2166012,Woodland Regional High School,Regional School District 16
Regional School District 17,Haddam-Killingworth High School,Non-Special Education,*,*,*,100.0,*,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 17,Haddam-Killingworth High School,Special Education,*,*,*,*,*,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 18,Lyme-Old Lyme High School,Non-Special Education,*,98.0,*,*,*,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 18,Lyme-Old Lyme High School,Special Education,*,*,*,*,*,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 19,E. O. Smith High School,Non-Special Education,90.8,94.4,97.2,*,96.8,2196112,E. O. Smith High School,Regional School District 19
Regional School District 19,E. O. Smith High School,Special Education,72.7,50.0,84.6,*,85.3,2196112,E. O. Smith High School,Regional School District 19
Ridgefield School District,Ridgefield High School,Non-Special Education,*,98.4,98.6,*,98.7,1186111,Ridgefield High School,Ridgefield School District
Ridgefield School District,Ridgefield High School,Special Education,*,86.5,89.7,*,91.1,1186111,Ridgefield High School,Ridgefield School District
Rocky Hill School District,Rocky Hill High School,Non-Special Education,94.1,91.5,*,96.4,*,1196111,Rocky Hill High School,Rocky Hill School District
Rocky Hill School District,Rocky Hill High School,Special Education,75.0,79.2,*,*,*,1196111,Rocky Hill High School,Rocky Hill School District
Seymour School District,Seymour High School,Non-Special Education,92.8,88.3,91.1,93.1,*,1246111,Seymour High School,Seymour School District
Seymour School District,Seymour High School,Special Education,*,*,*,*,*,1246111,Seymour High School,Seymour School District
Shelton School District,Shelton High School,Non-Special Education,93.7,93.5,95.5,97.9,97.5,1266111,Shelton High School,Shelton School District
Shelton School District,Shelton High School,Special Education,67.9,50.0,53.3,79.4,64.1,1266111,Shelton High School,Shelton School District
Simsbury School District,Simsbury High School,Non-Special Education,97.2,98.6,98.3,98.2,*,1286111,Simsbury High School,Simsbury School District
Simsbury School District,Simsbury High School,Special Education,95.0,93.3,85.4,92.9,*,1286111,Simsbury High School,Simsbury School District
Somers School District,Somers High School,Non-Special Education,*,*,*,97.4,100.0,1296111,Somers High School,Somers School District
Somers School District,Somers High School,Special Education,*,*,*,*,*,1296111,Somers High School,Somers School District
South Windsor School District,South Windsor High School,Non-Special Education,96.4,96.2,97.9,97.0,97.5,1326211,South Windsor High School,South Windsor School District
South Windsor School District,South Windsor High School,Special Education,87.2,89.2,90.0,82.9,73.5,1326211,South Windsor High School,South Windsor School District
Southington School District,Southington High School,Non-Special Education,95.1,93.4,97.5,97.9,98.3,1316211,Southington High School,Southington School District
Southington School District,Southington High School,Special Education,74.2,76.2,72.7,83.3,93.5,1316211,Southington High School,Southington School District
Stafford School District,Stafford High School,Non-Special Education,88.2,*,*,*,*,1346111,Stafford High School,Stafford School District
Stafford School District,Stafford High School,Special Education,*,*,*,*,*,1346111,Stafford High School,Stafford School District
Stamford Academy District,Stamford Academy,Non-Special Education,*,*,*,*,*,2826013,Stamford Academy,Stamford Academy District
Stamford Academy District,Stamford Academy,Special Education,*,*,*,*,*,2826013,Stamford Academy,Stamford Academy District
Stamford School District,Stamford High School,Non-Special Education,86.1,88.6,91.9,90.1,90.2,1356111,Stamford High School,Stamford School District
Stamford School District,Stamford High School,Special Education,72.7,92.7,84.3,79.3,88.0,1356111,Stamford High School,Stamford School District
Stamford School District,The Academy of Information Technology,Non-Special Education,98.0,99.4,98.6,100.0,99.3,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,The Academy of Information Technology,Special Education,*,*,*,*,*,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,Westhill High School,Non-Special Education,84.0,87.6,90.5,88.7,89.5,1356311,Westhill High School,Stamford School District
Stamford School District,Westhill High School,Special Education,74.6,67.4,70.5,84.3,82.6,1356311,Westhill High School,Stamford School District
Stonington School District,Stonington High School,Non-Special Education,95.6,*,*,*,*,1376111,Stonington High School,Stonington School District
Stonington School District,Stonington High School,Special Education,*,*,*,*,*,1376111,Stonington High School,Stonington School District
Stratford School District,Bunnell High School,Non-Special Education,89.8,95.4,98.4,96.6,96.8,1386211,Bunnell High School,Stratford School District
Stratford School District,Bunnell High School,Special Education,61.5,80.8,91.3,*,87.0,1386211,Bunnell High School,Stratford School District
Stratford School District,Stratford High School,Non-Special Education,90.2,93.1,93.5,92.3,93.6,1386111,Stratford High School,Stratford School District
Stratford School District,Stratford High School,Special Education,*,69.6,88.0,*,77.3,1386111,Stratford High School,Stratford School District
Suffield School District,Suffield High School,Non-Special Education,*,94.9,97.3,*,96.8,1396111,Suffield High School,Suffield School District
Suffield School District,Suffield High School,Special Education,*,81.0,80.0,*,75.0,1396111,Suffield High School,Suffield School District
The Bridge Academy District,The Bridge Academy,Non-Special Education,*,*,*,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Bridge Academy District,The Bridge Academy,Special Education,*,*,*,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Gilbert School District,The Gilbert School,Non-Special Education,*,*,*,93.2,89.3,9026122,The Gilbert School,The Gilbert School District
The Gilbert School District,The Gilbert School,Special Education,*,*,*,*,*,9026122,The Gilbert School,The Gilbert School District
Thomaston School District,Thomaston High School,Non-Special Education,*,*,*,*,100.0,1406211,Thomaston High School,Thomaston School District
Thomaston School District,Thomaston High School,Special Education,*,*,*,*,*,1406211,Thomaston High School,Thomaston School District
Thompson School District,Tourtellotte Memorial High School,Non-Special Education,*,*,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Thompson School District,Tourtellotte Memorial High School,Special Education,*,*,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Tolland School District,Tolland High School,Non-Special Education,98.1,*,94.6,*,*,1426111,Tolland High School,Tolland School District
Tolland School District,Tolland High School,Special Education,90.5,*,68.2,*,*,1426111,Tolland High School,Tolland School District
Torrington School District,Torrington High School,Non-Special Education,81.6,87.0,88.7,90.5,88.3,1436111,Torrington High School,Torrington School District
Torrington School District,Torrington High School,Special Education,68.4,84.2,77.8,74.5,59.1,1436111,Torrington High School,Torrington School District
Trumbull School District,Trumbull High School,Non-Special Education,*,98.3,98.6,*,99.6,1446111,Trumbull High School,Trumbull School District
Trumbull School District,Trumbull High School,Special Education,*,100.0,84.0,*,92.5,1446111,Trumbull High School,Trumbull School District
Vernon School District,Rockville High School,Non-Special Education,84.9,85.9,87.2,89.9,86.7,1466111,Rockville High School,Vernon School District
Vernon School District,Rockville High School,Special Education,58.3,62.1,58.3,70.6,42.9,1466111,Rockville High School,Vernon School District
Wallingford School District,Lyman Hall High School,Non-Special Education,96.4,92.8,93.2,95.2,96.3,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Lyman Hall High School,Special Education,71.9,83.8,76.5,85.7,86.4,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Non-Special Education,95.9,94.9,96.4,96.4,95.3,1486211,Mark T. Sheehan High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Special Education,84.0,80.0,92.9,*,77.3,1486211,Mark T. Sheehan High School,Wallingford School District
Waterbury School District,Crosby High School,Non-Special Education,62.6,68.4,74.7,74.0,78.4,1516211,Crosby High School,Waterbury School District
Waterbury School District,Crosby High School,Special Education,*,46.2,53.8,47.5,48.2,1516211,Crosby High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Non-Special Education,67.7,70.7,73.1,75.1,80.1,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Special Education,*,62.1,36.4,*,42.6,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Non-Special Education,96.1,90.2,97.2,93.9,94.4,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Special Education,*,*,*,*,*,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Wilby High School,Non-Special Education,68.5,78.3,70.0,74.4,81.4,1516311,Wilby High School,Waterbury School District
Waterbury School District,Wilby High School,Special Education,33.9,41.7,49.3,58.3,65.2,1516311,Wilby High School,Waterbury School District
Waterford School District,Waterford High School,Non-Special Education,95.2,97.1,*,*,97.3,1526111,Waterford High School,Waterford School District
Waterford School District,Waterford High School,Special Education,70.0,66.7,*,*,87.1,1526111,Waterford High School,Waterford School District
Watertown School District,Watertown High School,Non-Special Education,93.6,92.0,95.6,94.2,*,1536111,Watertown High School,Watertown School District
Watertown School District,Watertown High School,Special Education,76.9,52.9,61.5,65.4,*,1536111,Watertown High School,Watertown School District
West Hartford School District,Conard High School,Non-Special Education,93.2,94.7,96.8,96.6,96.1,1556111,Conard High School,West Hartford School District
West Hartford School District,Conard High School,Special Education,90.6,96.0,90.6,84.1,89.2,1556111,Conard High School,West Hartford School District
West Hartford School District,Hall High School,Non-Special Education,96.3,95.2,98.8,98.8,99.7,1556211,Hall High School,West Hartford School District
West Hartford School District,Hall High School,Special Education,85.7,94.9,85.7,82.4,97.6,1556211,Hall High School,West Hartford School District
West Hartford School District,REACH,Non-Special Education,,,,*,,1557311,REACH,West Hartford School District
West Hartford School District,REACH,Special Education,,,,,,1557311,REACH,West Hartford School District
West Haven School District,West Haven High School,Non-Special Education,75.9,71.9,77.8,81.3,83.5,1566111,West Haven High School,West Haven School District
West Haven School District,West Haven High School,Special Education,54.8,58.3,60.0,60.0,75.9,1566111,West Haven High School,West Haven School District
Westbrook School District,Westbrook High School,Non-Special Education,*,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Westbrook School District,Westbrook High School,Special Education,*,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Weston School District,Weston High School,Non-Special Education,100.0,*,*,*,*,1576111,Weston High School,Weston School District
Weston School District,Weston High School,Special Education,*,*,*,*,*,1576111,Weston High School,Weston School District
Westport School District,Staples High School,Non-Special Education,98.9,*,*,*,*,1586111,Staples High School,Westport School District
Westport School District,Staples High School,Special Education,94.9,*,*,*,*,1586111,Staples High School,Westport School District
Wethersfield School District,Wethersfield High School,Non-Special Education,93.2,95.9,95.3,95.6,97.5,1596111,Wethersfield High School,Wethersfield School District
Wethersfield School District,Wethersfield High School,Special Education,70.8,47.8,63.0,58.6,79.3,1596111,Wethersfield High School,Wethersfield School District
Wilton School District,Wilton High School,Non-Special Education,*,*,*,*,*,1616111,Wilton High School,Wilton School District
Wilton School District,Wilton High School,Special Education,*,*,*,*,*,1616111,Wilton High School,Wilton School District
Windham School District,Windham High School,Non-Special Education,77.7,79.4,78.6,87.0,91.0,1636111,Windham High School,Windham School District
Windham School District,Windham High School,Special Education,59.1,60.6,48.1,59.3,68.2,1636111,Windham High School,Windham School District
Windsor Locks School District,Windsor Locks High School,Non-Special Education,*,*,97.5,*,*,1656111,Windsor Locks High School,Windsor Locks School District
Windsor Locks School District,Windsor Locks High School,Special Education,*,*,*,*,*,1656111,Windsor Locks High School,Windsor Locks School District
Windsor School District,Windsor High School,Non-Special Education,87.6,84.4,93.3,93.6,94.6,1646111,Windsor High School,Windsor School District
Windsor School District,Windsor High School,Special Education,70.3,64.4,75.0,85.7,80.0,1646111,Windsor High School,Windsor School District
Wolcott School District,Wolcott High School,Non-Special Education,94.8,95.4,97.3,*,95.9,1666111,Wolcott High School,Wolcott School District
Wolcott School District,Wolcott High School,Special Education,84.6,82.6,*,*,72.7,1666111,Wolcott High School,Wolcott School District
Woodstock Academy District,Woodstock Academy,Non-Special Education,95.9,*,*,*,*,9036122,Woodstock Academy,Woodstock Academy District
Woodstock Academy District,Woodstock Academy,Special Education,*,*,*,*,*,9036122,Woodstock Academy,Woodstock Academy District
