district,type,2010_11,2011_12,2012_13,2013_14,2014_15,district_code,check_dist_col,school_code
Danbury School District,Transportation,6828648.0,7203895.0,11114200.0,9132280.0,8184167.0,0340011,Danbury School District,0340011
Danbury School District,Students Tuitioned Out,2899823.0,2854456.0,2621474.0,2635389.0,3211984.0,0340011,Danbury School District,0340011
Danbury School District,Other,855264.0,712655.0,900920.0,973908.0,930842.0,0340011,Danbury School District,0340011
Danbury School District,Total Expenditures,128960465.0,129401734.0,132623740.0,138892726.0,141102974.0,0340011,Danbury School District,0340011
Darien School District,Instructional Staff and Services,50062528.0,51611885.0,53710588.0,54074579.0,57451592.0,0350011,Darien School District,0350011
Darien School District,Instructional Supplies and Equipment,1198704.0,1257913.0,1284438.0,1633149.0,1978876.0,0350011,Darien School District,0350011
Darien School District,Instruction and Educational Media Services,3198399.0,3358585.0,3929425.0,4436186.0,4394289.0,0350011,Darien School District,0350011
Darien School District,Student Support Services,2782132.0,2889520.0,2590292.0,2768100.0,2703413.0,0350011,Darien School District,0350011
Darien School District,Administration and Support Services,6443188.0,6513834.0,6546613.0,7908795.0,7753042.0,0350011,Darien School District,0350011
Darien School District,Plant Operation and Maintenance,7095229.0,7050391.0,7671099.0,8499653.0,8641749.0,0350011,Darien School District,0350011
Darien School District,Transportation,2915273.0,3235029.0,3227693.0,3422126.0,3611913.0,0350011,Darien School District,0350011
Darien School District,Students Tuitioned Out,2523206.0,3191330.0,3308444.0,4422887.0,5345658.0,0350011,Darien School District,0350011
Darien School District,Other,1435776.0,1246643.0,1246503.0,1332952.0,1347101.0,0350011,Darien School District,0350011
Darien School District,Total Expenditures,77654435.0,80355130.0,83515095.0,88498427.0,93227633.0,0350011,Darien School District,0350011
Deep River School District,Instructional Staff and Services,2820864.0,2855394.0,3068925.0,3080383.0,2958721.0,0360011,Deep River School District,0360011
Deep River School District,Instructional Supplies and Equipment,56903.0,69659.0,87969.0,119988.0,66302.0,0360011,Deep River School District,0360011
Deep River School District,Instruction and Educational Media Services,54950.0,55632.0,61890.0,75345.0,82283.0,0360011,Deep River School District,0360011
Deep River School District,Student Support Services,665620.0,779878.0,789400.0,816381.0,792802.0,0360011,Deep River School District,0360011
Deep River School District,Administration and Support Services,666894.0,700497.0,694169.0,708894.0,678091.0,0360011,Deep River School District,0360011
Deep River School District,Plant Operation and Maintenance,514360.0,481879.0,492118.0,510778.0,546632.0,0360011,Deep River School District,0360011
Deep River School District,Transportation,287188.0,334681.0,278094.0,277323.0,248049.0,0360011,Deep River School District,0360011
Deep River School District,Students Tuitioned Out,401321.0,343236.0,191944.0,301163.0,330718.0,0360011,Deep River School District,0360011
Deep River School District,Other,0.0,0.0,19913.0,21960.0,84663.0,0360011,Deep River School District,0360011
Deep River School District,Total Expenditures,5468100.0,5620856.0,5684422.0,5912215.0,5788261.0,0360011,Deep River School District,0360011
Derby School District,Instructional Staff and Services,10833399.0,10858642.0,11070216.0,11805695.0,12325703.0,0370011,Derby School District,0370011
Derby School District,Instructional Supplies and Equipment,238189.0,283731.0,331533.0,529869.0,996048.0,0370011,Derby School District,0370011
Derby School District,Instruction and Educational Media Services,179831.0,118206.0,180490.0,88946.0,13015.0,0370011,Derby School District,0370011
Derby School District,Student Support Services,1312695.0,1490858.0,1491478.0,1883730.0,1898971.0,0370011,Derby School District,0370011
Derby School District,Administration and Support Services,2531250.0,2275453.0,2527277.0,2481459.0,2618673.0,0370011,Derby School District,0370011
Derby School District,Plant Operation and Maintenance,2086224.0,2308741.0,2054654.0,2133786.0,6163751.0,0370011,Derby School District,0370011
Derby School District,Transportation,894591.0,942242.0,918841.0,957798.0,937630.0,0370011,Derby School District,0370011
Derby School District,Students Tuitioned Out,1716554.0,1832549.0,1644929.0,1601203.0,1731040.0,0370011,Derby School District,0370011
Derby School District,Other,233526.0,236821.0,185470.0,245571.0,214156.0,0370011,Derby School District,0370011
Derby School District,Total Expenditures,20026259.0,20347243.0,20404888.0,21728057.0,26898987.0,0370011,Derby School District,0370011
East Granby School District,Instructional Staff and Services,7987281.0,8246030.0,8441059.0,8196034.0,8583773.0,0400011,East Granby School District,0400011
East Granby School District,Instructional Supplies and Equipment,452397.0,595544.0,514514.0,568585.0,586829.0,0400011,East Granby School District,0400011
East Granby School District,Instruction and Educational Media Services,751447.0,686763.0,640427.0,910033.0,903314.0,0400011,East Granby School District,0400011
East Granby School District,Student Support Services,771282.0,726784.0,838200.0,842316.0,851489.0,0400011,East Granby School District,0400011
East Granby School District,Administration and Support Services,1694171.0,1698588.0,1872780.0,1878144.0,1870662.0,0400011,East Granby School District,0400011
East Granby School District,Plant Operation and Maintenance,1401397.0,1354166.0,1452538.0,1579102.0,1670948.0,0400011,East Granby School District,0400011
East Granby School District,Transportation,534982.0,541323.0,564281.0,637775.0,801507.0,0400011,East Granby School District,0400011
East Granby School District,Students Tuitioned Out,374334.0,429888.0,487678.0,665852.0,1147267.0,0400011,East Granby School District,0400011
East Granby School District,Other,199380.0,195081.0,252915.0,261769.0,200248.0,0400011,East Granby School District,0400011
East Granby School District,Total Expenditures,14166671.0,14474167.0,15064392.0,15539610.0,16616037.0,0400011,East Granby School District,0400011
East Haddam School District,Instructional Staff and Services,10767957.0,10768175.0,10761376.0,11028326.0,11106304.0,0410011,East Haddam School District,0410011
East Haddam School District,Instructional Supplies and Equipment,587396.0,348592.0,458858.0,297486.0,597609.0,0410011,East Haddam School District,0410011
East Haddam School District,Instruction and Educational Media Services,395995.0,392655.0,330772.0,398205.0,418489.0,0410011,East Haddam School District,0410011
East Haddam School District,Student Support Services,1001281.0,1043597.0,1073712.0,1142671.0,1132936.0,0410011,East Haddam School District,0410011
East Haddam School District,Administration and Support Services,1982770.0,2062011.0,2010643.0,2255550.0,2222262.0,0410011,East Haddam School District,0410011
East Haddam School District,Plant Operation and Maintenance,2325156.0,2448061.0,2323045.0,2483880.0,2687139.0,0410011,East Haddam School District,0410011
East Haddam School District,Transportation,1258419.0,1223486.0,1220637.0,1314415.0,1317535.0,0410011,East Haddam School District,0410011
East Haddam School District,Students Tuitioned Out,1187466.0,1337209.0,1325395.0,1239255.0,1433103.0,0410011,East Haddam School District,0410011
East Haddam School District,Other,25000.0,50000.0,1310.0,8863.0,5634.0,0410011,East Haddam School District,0410011
East Haddam School District,Total Expenditures,19531440.0,19673786.0,19505748.0,20168651.0,20921011.0,0410011,East Haddam School District,0410011
East Hampton School District,Instructional Staff and Services,16523615.0,16598407.0,16711393.0,16898928.0,17699379.0,0420011,East Hampton School District,0420011
East Hampton School District,Instructional Supplies and Equipment,535669.0,411358.0,380581.0,424568.0,376705.0,0420011,East Hampton School District,0420011
East Hampton School District,Instruction and Educational Media Services,808697.0,798910.0,749617.0,892504.0,883460.0,0420011,East Hampton School District,0420011
East Hampton School District,Student Support Services,1828244.0,1772268.0,1740044.0,1846030.0,1797623.0,0420011,East Hampton School District,0420011
East Hampton School District,Administration and Support Services,2922423.0,3194702.0,3471407.0,3397490.0,3562201.0,0420011,East Hampton School District,0420011
East Hampton School District,Plant Operation and Maintenance,2915320.0,2649191.0,2808713.0,2678600.0,2474290.0,0420011,East Hampton School District,0420011
East Hampton School District,Transportation,1544315.0,1450399.0,1426314.0,1561493.0,1370868.0,0420011,East Hampton School District,0420011
East Hampton School District,Students Tuitioned Out,917445.0,847056.0,820385.0,1212881.0,1028873.0,0420011,East Hampton School District,0420011
East Hampton School District,Other,17888.0,609199.0,1787564.0,19300.0,13877.0,0420011,East Hampton School District,0420011
East Hampton School District,Total Expenditures,28013616.0,28331490.0,29896018.0,28931794.0,29207276.0,0420011,East Hampton School District,0420011
East Hartford School District,Instructional Staff and Services,64195671.0,64762941.0,65578001.0,66724188.0,63674064.0,0430011,East Hartford School District,0430011
East Hartford School District,Instructional Supplies and Equipment,1959812.0,1836576.0,1397266.0,2757991.0,1820920.0,0430011,East Hartford School District,0430011
East Hartford School District,Instruction and Educational Media Services,1558222.0,1304608.0,2117661.0,1030725.0,2596984.0,0430011,East Hartford School District,0430011
East Hartford School District,Student Support Services,3104429.0,3781878.0,3927500.0,6764058.0,9459086.0,0430011,East Hartford School District,0430011
East Hartford School District,Administration and Support Services,10909250.0,11835419.0,11970208.0,11850547.0,13751718.0,0430011,East Hartford School District,0430011
East Hartford School District,Plant Operation and Maintenance,9680051.0,8747126.0,9604323.0,11962005.0,12356008.0,0430011,East Hartford School District,0430011
East Hartford School District,Transportation,5476743.0,5302467.0,5659957.0,5649050.0,5380501.0,0430011,East Hartford School District,0430011
East Hartford School District,Students Tuitioned Out,4981257.0,5093241.0,5783436.0,6295689.0,7083838.0,0430011,East Hartford School District,0430011
East Hartford School District,Other,682810.0,697752.0,709521.0,99606.0,80975.0,0430011,East Hartford School District,0430011
East Hartford School District,Total Expenditures,102548245.0,103362008.0,106747873.0,113133859.0,116204094.0,0430011,East Hartford School District,0430011
East Haven School District,Instructional Staff and Services,25482918.0,25818619.0,25518579.0,25804592.0,27927427.0,0440011,East Haven School District,0440011
East Haven School District,Instructional Supplies and Equipment,397526.0,337983.0,391301.0,1146370.0,1060741.0,0440011,East Haven School District,0440011
East Haven School District,Instruction and Educational Media Services,269557.0,309796.0,132282.0,259256.0,741007.0,0440011,East Haven School District,0440011
East Haven School District,Student Support Services,4185115.0,4099789.0,4193142.0,4604718.0,4283497.0,0440011,East Haven School District,0440011
East Haven School District,Administration and Support Services,6958484.0,7257058.0,6394633.0,6156429.0,6143785.0,0440011,East Haven School District,0440011
East Haven School District,Plant Operation and Maintenance,4850887.0,3834814.0,3656148.0,3830487.0,3938789.0,0440011,East Haven School District,0440011
East Haven School District,Transportation,2698037.0,3201216.0,2844805.0,2775217.0,2921473.0,0440011,East Haven School District,0440011
East Haven School District,Students Tuitioned Out,4886565.0,5730085.0,5980509.0,6530767.0,4646307.0,0440011,East Haven School District,0440011
East Haven School District,Other,1014163.0,827133.0,893843.0,968588.0,1019165.0,0440011,East Haven School District,0440011
East Haven School District,Total Expenditures,50743252.0,51416493.0,50005242.0,52076424.0,52682191.0,0440011,East Haven School District,0440011
East Lyme School District,Instructional Staff and Services,24823894.0,24878082.0,24902776.0,25703720.0,26315189.0,0450011,East Lyme School District,0450011
East Lyme School District,Instructional Supplies and Equipment,389036.0,478525.0,480898.0,502764.0,269419.0,0450011,East Lyme School District,0450011
East Lyme School District,Instruction and Educational Media Services,1682434.0,1719138.0,1835762.0,1895312.0,1749190.0,0450011,East Lyme School District,0450011
East Lyme School District,Student Support Services,1767693.0,2401504.0,2430727.0,2452273.0,2517067.0,0450011,East Lyme School District,0450011
East Lyme School District,Administration and Support Services,3501491.0,3777663.0,4047976.0,3967785.0,4152577.0,0450011,East Lyme School District,0450011
East Lyme School District,Plant Operation and Maintenance,4922608.0,5219003.0,5143782.0,5964305.0,5612363.0,0450011,East Lyme School District,0450011
East Lyme School District,Transportation,1866570.0,1628736.0,2002472.0,1747124.0,1778900.0,0450011,East Lyme School District,0450011
East Lyme School District,Students Tuitioned Out,1815991.0,1208092.0,1327753.0,1121078.0,915388.0,0450011,East Lyme School District,0450011
East Lyme School District,Other,735380.0,782559.0,815536.0,875344.0,1140401.0,0450011,East Lyme School District,0450011
East Lyme School District,Total Expenditures,41505097.0,42093302.0,42987682.0,44229705.0,44450494.0,0450011,East Lyme School District,0450011
East Windsor School District,Instructional Staff and Services,12022003.0,11986203.0,11654152.0,12183394.0,11824109.0,0470011,East Windsor School District,0470011
East Windsor School District,Instructional Supplies and Equipment,500467.0,533725.0,310760.0,176000.0,281555.0,0470011,East Windsor School District,0470011
East Windsor School District,Instruction and Educational Media Services,342533.0,357025.0,430851.0,411687.0,568563.0,0470011,East Windsor School District,0470011
East Windsor School District,Student Support Services,716472.0,716263.0,1309929.0,1673705.0,1740791.0,0470011,East Windsor School District,0470011
East Windsor School District,Administration and Support Services,3158560.0,3166092.0,3457231.0,3141031.0,3515430.0,0470011,East Windsor School District,0470011
East Windsor School District,Plant Operation and Maintenance,1946563.0,1719153.0,1300268.0,1540291.0,1316519.0,0470011,East Windsor School District,0470011
East Windsor School District,Transportation,1278470.0,1360532.0,1553002.0,1586095.0,1481513.0,0470011,East Windsor School District,0470011
East Windsor School District,Students Tuitioned Out,1366536.0,1487216.0,1271199.0,1034394.0,2024569.0,0470011,East Windsor School District,0470011
East Windsor School District,Other,87600.0,87600.0,92856.0,76608.0,168120.0,0470011,East Windsor School District,0470011
East Windsor School District,Total Expenditures,21419204.0,21413809.0,21380248.0,21823205.0,22921169.0,0470011,East Windsor School District,0470011
Eastford School District,Instructional Staff and Services,1752949.0,1639157.0,1647278.0,1663594.0,1689673.0,0390011,Eastford School District,0390011
Eastford School District,Instructional Supplies and Equipment,66844.0,64305.0,82275.0,67692.0,33545.0,0390011,Eastford School District,0390011
Eastford School District,Instruction and Educational Media Services,56821.0,58001.0,75479.0,138030.0,97407.0,0390011,Eastford School District,0390011
Eastford School District,Student Support Services,271514.0,283275.0,268769.0,286889.0,276063.0,0390011,Eastford School District,0390011
Eastford School District,Administration and Support Services,284129.0,367955.0,346172.0,371202.0,403327.0,0390011,Eastford School District,0390011
Eastford School District,Plant Operation and Maintenance,282675.0,261677.0,292687.0,271519.0,290504.0,0390011,Eastford School District,0390011
Eastford School District,Transportation,213740.0,217542.0,240414.0,247541.0,240434.0,0390011,Eastford School District,0390011
Eastford School District,Students Tuitioned Out,66779.0,62146.0,96240.0,54694.0,80638.0,0390011,Eastford School District,0390011
Eastford School District,Other,0.0,0.0,0.0,0.0,0.0,0390011,Eastford School District,0390011
Eastford School District,Total Expenditures,2995451.0,2954058.0,3049314.0,3101161.0,3111591.0,0390011,Eastford School District,0390011
Easton School District,Instructional Staff and Services,10166330.0,10514505.0,10589402.0,10669578.0,10964816.0,0460011,Easton School District,0460011
Easton School District,Instructional Supplies and Equipment,183586.0,190904.0,209217.0,296105.0,196570.0,0460011,Easton School District,0460011
Easton School District,Instruction and Educational Media Services,356370.0,434395.0,443838.0,425228.0,377679.0,0460011,Easton School District,0460011
Easton School District,Student Support Services,190357.0,191157.0,191806.0,201349.0,190862.0,0460011,Easton School District,0460011
Easton School District,Administration and Support Services,1778355.0,1837848.0,1925782.0,2111928.0,2052088.0,0460011,Easton School District,0460011
Easton School District,Plant Operation and Maintenance,1639069.0,1449101.0,1582598.0,1565616.0,1464775.0,0460011,Easton School District,0460011
Easton School District,Transportation,1096123.0,1049567.0,1081921.0,1119097.0,1057692.0,0460011,Easton School District,0460011
Easton School District,Students Tuitioned Out,148650.0,353146.0,251891.0,275077.0,278720.0,0460011,Easton School District,0460011
Easton School District,Other,6148.0,354.0,598.0,30.0,3741.0,0460011,Easton School District,0460011
Easton School District,Total Expenditures,15564988.0,16020977.0,16277053.0,16664008.0,16586943.0,0460011,Easton School District,0460011
Ellington School District,Instructional Staff and Services,18459903.0,19089964.0,19087434.0,20595568.0,20267777.0,0480011,Ellington School District,0480011
Ellington School District,Instructional Supplies and Equipment,411695.0,548377.0,579043.0,857475.0,710186.0,0480011,Ellington School District,0480011
Ellington School District,Instruction and Educational Media Services,833532.0,899595.0,907449.0,1609598.0,1574661.0,0480011,Ellington School District,0480011
Ellington School District,Student Support Services,2374134.0,2423800.0,2680526.0,2611165.0,3743886.0,0480011,Ellington School District,0480011
Ellington School District,Administration and Support Services,2300665.0,2508906.0,2566018.0,2688934.0,2872119.0,0480011,Ellington School District,0480011
Ellington School District,Plant Operation and Maintenance,3099295.0,2978634.0,3477856.0,3322270.0,3439316.0,0480011,Ellington School District,0480011
Ellington School District,Transportation,1776761.0,1779425.0,1890077.0,1941802.0,1892298.0,0480011,Ellington School District,0480011
Ellington School District,Students Tuitioned Out,1154854.0,1294091.0,1341184.0,1345591.0,1277747.0,0480011,Ellington School District,0480011
Ellington School District,Other,380215.0,451042.0,449317.0,443393.0,486510.0,0480011,Ellington School District,0480011
Ellington School District,Total Expenditures,30791054.0,31973834.0,32978904.0,35415796.0,36264500.0,0480011,Ellington School District,0480011
Elm City College Preparatory School District,Instructional Staff and Services,3136025.0,4572425.0,3806463.0,4100035.0,3838899.0,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Instructional Supplies and Equipment,568436.0,198653.0,229268.0,305199.0,1002399.0,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Instruction and Educational Media Services,1222505.0,323427.0,442915.0,257841.0,316975.0,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Student Support Services,724115.0,494771.0,807229.0,946719.0,870766.0,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Administration and Support Services,1607151.0,2273656.0,2406845.0,2247901.0,2967283.0,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Plant Operation and Maintenance,176150.0,248654.0,356684.0,362384.0,496358.0,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Transportation,21624.0,68836.0,52798.0,73809.0,127041.0,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Students Tuitioned Out,,,,,,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Other,382100.0,391842.0,371155.0,413494.0,409223.0,2890013,Elm City College Preparatory School District,2890013
Elm City College Preparatory School District,Total Expenditures,7838106.0,8572264.0,8473357.0,8707382.0,10028944.0,2890013,Elm City College Preparatory School District,2890013
Elm City Montessori School District,Instructional Staff and Services,,,,,597554.0,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Instructional Supplies and Equipment,,,,,375533.0,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Instruction and Educational Media Services,,,,,149475.0,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Student Support Services,,,,,236285.0,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Administration and Support Services,,,,,223724.0,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Plant Operation and Maintenance,,,,,135376.0,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Transportation,,,,,0.0,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Students Tuitioned Out,,,,,,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Other,,,,,41082.0,2910013,Elm City Montessori School District,2910013
Elm City Montessori School District,Total Expenditures,,,,,1759029.0,2910013,Elm City Montessori School District,2910013
Enfield School District,Instructional Staff and Services,46355322.0,45114872.0,49363612.0,48535866.0,47687462.0,0490011,Enfield School District,0490011
Enfield School District,Instructional Supplies and Equipment,1125894.0,1101873.0,636865.0,954661.0,953255.0,0490011,Enfield School District,0490011
Enfield School District,Instruction and Educational Media Services,693708.0,767894.0,826405.0,1134708.0,1368309.0,0490011,Enfield School District,0490011
Enfield School District,Student Support Services,5307812.0,5094808.0,1007982.0,1111376.0,1066039.0,0490011,Enfield School District,0490011
Enfield School District,Administration and Support Services,8471632.0,8562645.0,8993734.0,10089270.0,10525057.0,0490011,Enfield School District,0490011
Enfield School District,Plant Operation and Maintenance,5936314.0,6826929.0,7052631.0,7427724.0,7309869.0,0490011,Enfield School District,0490011
Enfield School District,Transportation,3408832.0,3910093.0,4183146.0,4310074.0,4526038.0,0490011,Enfield School District,0490011
Enfield School District,Students Tuitioned Out,2952723.0,2956354.0,3962132.0,4157838.0,4417519.0,0490011,Enfield School District,0490011
Enfield School District,Other,986747.0,1130658.0,934016.0,1032693.0,1180994.0,0490011,Enfield School District,0490011
Enfield School District,Total Expenditures,75238984.0,75466126.0,76960523.0,78754210.0,79034542.0,0490011,Enfield School District,0490011
Essex School District,Instructional Staff and Services,4381720.0,4409416.0,4443475.0,4436382.0,4348646.0,0500011,Essex School District,0500011
Essex School District,Instructional Supplies and Equipment,160648.0,130086.0,141810.0,152833.0,143168.0,0500011,Essex School District,0500011
Essex School District,Instruction and Educational Media Services,113579.0,112302.0,73263.0,85991.0,73507.0,0500011,Essex School District,0500011
Essex School District,Student Support Services,825813.0,968109.0,992933.0,1009505.0,1050648.0,0500011,Essex School District,0500011
Essex School District,Administration and Support Services,954823.0,971311.0,943573.0,949940.0,948451.0,0500011,Essex School District,0500011
Essex School District,Plant Operation and Maintenance,618731.0,685290.0,672420.0,683001.0,705971.0,0500011,Essex School District,0500011
Essex School District,Transportation,304563.0,313315.0,342848.0,300915.0,310563.0,0500011,Essex School District,0500011
Essex School District,Students Tuitioned Out,47108.0,48926.0,206752.0,247350.0,276089.0,0500011,Essex School District,0500011
Essex School District,Other,1027.0,15436.0,34250.0,28757.0,92089.0,0500011,Essex School District,0500011
Essex School District,Total Expenditures,7408012.0,7654191.0,7851324.0,7894674.0,7949132.0,0500011,Essex School District,0500011
Explorations District,Instructional Staff and Services,598458.0,603634.0,628716.0,716408.0,810969.0,2720013,Explorations District,2720013
Explorations District,Instructional Supplies and Equipment,12783.0,9938.0,5558.0,9549.0,10604.0,2720013,Explorations District,2720013
Explorations District,Instruction and Educational Media Services,18802.0,14250.0,31794.0,24223.0,32132.0,2720013,Explorations District,2720013
Explorations District,Student Support Services,51217.0,55411.0,88504.0,65984.0,68569.0,2720013,Explorations District,2720013
Explorations District,Administration and Support Services,229807.0,243231.0,245358.0,204759.0,203042.0,2720013,Explorations District,2720013
Explorations District,Plant Operation and Maintenance,189062.0,182302.0,167960.0,207894.0,231105.0,2720013,Explorations District,2720013
Explorations District,Transportation,14112.0,19375.0,57830.0,63595.0,53568.0,2720013,Explorations District,2720013
Explorations District,Students Tuitioned Out,,,,,,2720013,Explorations District,2720013
Explorations District,Other,10200.0,10107.0,6575.0,6250.0,5743.0,2720013,Explorations District,2720013
Explorations District,Total Expenditures,1124441.0,1138248.0,1232295.0,1298662.0,1415732.0,2720013,Explorations District,2720013
Fairfield School District,Instructional Staff and Services,81670230.0,84683263.0,86239551.0,88489633.0,93155073.0,0510011,Fairfield School District,0510011
Fairfield School District,Instructional Supplies and Equipment,2128695.0,1896735.0,1743386.0,1342890.0,1344439.0,0510011,Fairfield School District,0510011
Fairfield School District,Instruction and Educational Media Services,10440867.0,9533876.0,10156753.0,9894093.0,10502002.0,0510011,Fairfield School District,0510011
Fairfield School District,Student Support Services,10931039.0,11431087.0,11655239.0,11968582.0,12446649.0,0510011,Fairfield School District,0510011
Fairfield School District,Administration and Support Services,16860867.0,17291596.0,17710440.0,17556461.0,18267033.0,0510011,Fairfield School District,0510011
Fairfield School District,Plant Operation and Maintenance,15296907.0,16077512.0,16347448.0,16049264.0,15874357.0,0510011,Fairfield School District,0510011
Fairfield School District,Transportation,7973517.0,8035610.0,8323529.0,8368377.0,8750829.0,0510011,Fairfield School District,0510011
Fairfield School District,Students Tuitioned Out,4876690.0,4482018.0,5369531.0,6440182.0,6822720.0,0510011,Fairfield School District,0510011
Fairfield School District,Other,2115102.0,1951798.0,2030366.0,2051300.0,2008728.0,0510011,Fairfield School District,0510011
Fairfield School District,Total Expenditures,152293914.0,155383495.0,159576243.0,162160782.0,169171830.0,0510011,Fairfield School District,0510011
Farmington School District,Instructional Staff and Services,34947604.0,35971374.0,39240150.0,38791387.0,39531073.0,0520011,Farmington School District,0520011
Farmington School District,Instructional Supplies and Equipment,759668.0,1127528.0,1045435.0,1756146.0,1583372.0,0520011,Farmington School District,0520011
Farmington School District,Instruction and Educational Media Services,1632200.0,1794008.0,1977439.0,3897251.0,2504917.0,0520011,Farmington School District,0520011
Farmington School District,Student Support Services,3727233.0,3894138.0,3860385.0,4083724.0,4509279.0,0520011,Farmington School District,0520011
Farmington School District,Administration and Support Services,4346561.0,4643976.0,4130760.0,4263235.0,4471952.0,0520011,Farmington School District,0520011
Farmington School District,Plant Operation and Maintenance,5536937.0,6160792.0,4885621.0,5146136.0,8005389.0,0520011,Farmington School District,0520011
Farmington School District,Transportation,2730514.0,2959099.0,3113816.0,3052298.0,3206646.0,0520011,Farmington School District,0520011
Farmington School District,Students Tuitioned Out,2400628.0,2338248.0,2660477.0,2270156.0,2242055.0,0520011,Farmington School District,0520011
Farmington School District,Other,246795.0,246186.0,205094.0,207460.0,151450.0,0520011,Farmington School District,0520011
Farmington School District,Total Expenditures,56328140.0,59135349.0,61119177.0,63467793.0,66206133.0,0520011,Farmington School District,0520011
Franklin School District,Instructional Staff and Services,1724489.0,1715226.0,1605307.0,1611243.0,1633990.0,0530011,Franklin School District,0530011
Franklin School District,Instructional Supplies and Equipment,4604.0,48764.0,24052.0,1746.0,23178.0,0530011,Franklin School District,0530011
Franklin School District,Instruction and Educational Media Services,4292.0,14122.0,26384.0,21308.0,134231.0,0530011,Franklin School District,0530011
Franklin School District,Student Support Services,157682.0,156563.0,150231.0,147890.0,170999.0,0530011,Franklin School District,0530011
Franklin School District,Administration and Support Services,334211.0,357875.0,355113.0,374995.0,379453.0,0530011,Franklin School District,0530011
Franklin School District,Plant Operation and Maintenance,324306.0,370395.0,372067.0,401090.0,337586.0,0530011,Franklin School District,0530011
Franklin School District,Transportation,212024.0,260269.0,260631.0,321364.0,230435.0,0530011,Franklin School District,0530011
Franklin School District,Students Tuitioned Out,252635.0,184342.0,228642.0,280490.0,152663.0,0530011,Franklin School District,0530011
Franklin School District,Other,30131.0,16681.0,0.0,7516.0,0.0,0530011,Franklin School District,0530011
Franklin School District,Total Expenditures,3044374.0,3124237.0,3022427.0,3167642.0,3062535.0,0530011,Franklin School District,0530011
Glastonbury School District,Instructional Staff and Services,50267465.0,50792885.0,52056757.0,53450185.0,54028403.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Instructional Supplies and Equipment,1828645.0,2710583.0,1576797.0,2591245.0,3227715.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Instruction and Educational Media Services,4664781.0,5016491.0,4928649.0,5167883.0,5249586.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Student Support Services,4989799.0,5156934.0,5428585.0,5635837.0,5809798.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Administration and Support Services,9898202.0,9735726.0,9965197.0,11288970.0,10336850.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Plant Operation and Maintenance,9434847.0,9661582.0,10158677.0,10291617.0,10880864.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Transportation,4981096.0,5230976.0,5290662.0,5351795.0,5763671.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Students Tuitioned Out,4986437.0,4305457.0,4337203.0,3890179.0,4418181.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Other,1095580.0,1192999.0,1374944.0,1300308.0,1343737.0,0540011,Glastonbury School District,0540011
Glastonbury School District,Total Expenditures,92146852.0,93803633.0,95117471.0,98968019.0,101058805.0,0540011,Glastonbury School District,0540011
Granby School District,Instructional Staff and Services,15819338.0,15910544.0,15769566.0,15776568.0,15852576.0,0560011,Granby School District,0560011
Granby School District,Instructional Supplies and Equipment,1077659.0,967293.0,838474.0,835105.0,987884.0,0560011,Granby School District,0560011
Granby School District,Instruction and Educational Media Services,856597.0,973201.0,970106.0,951397.0,1063566.0,0560011,Granby School District,0560011
Granby School District,Student Support Services,1676266.0,1817112.0,1971261.0,2021106.0,2201090.0,0560011,Granby School District,0560011
Granby School District,Administration and Support Services,3042913.0,2865233.0,3001208.0,2952726.0,3100786.0,0560011,Granby School District,0560011
Granby School District,Plant Operation and Maintenance,3247581.0,3081319.0,3354401.0,3368594.0,3266047.0,0560011,Granby School District,0560011
Granby School District,Transportation,1301341.0,1428164.0,1230087.0,1173925.0,1234580.0,0560011,Granby School District,0560011
Granby School District,Students Tuitioned Out,821732.0,1000083.0,1032305.0,1219975.0,1414461.0,0560011,Granby School District,0560011
Granby School District,Other,557467.0,553714.0,578892.0,627892.0,645610.0,0560011,Granby School District,0560011
Granby School District,Total Expenditures,28400894.0,28596663.0,28746300.0,28927288.0,29766600.0,0560011,Granby School District,0560011
Great Oaks Charter School District,Instructional Staff and Services,,,,,633266.0,2940013,Great Oaks Charter School District,2940013
