district,district_code,school,school_code,count,year,group
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,1063,2015,all
Amistad Academy District,2790013,Amistad Academy,2795113,1036,2015,all
Andover School District,0010011,Andover Elementary School,0010111,250,2015,all
Ansonia School District,0020011,Ansonia High School,0026111,597,2015,all
Ansonia School District,0020011,Ansonia Middle School,0025111,446,2015,all
Ansonia School District,0020011,Mead School,0020311,595,2015,all
Ansonia School District,0020011,P.A.C.E. (Positive And Creative Education),0020111,35,2015,all
Ansonia School District,0020011,Prendergast School,0020811,688,2015,all
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,38,2015,all
Area Cooperative Educational Services,2440014,Mill Road School,2449414,167,2015,all
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,726,2015,all
Area Cooperative Educational Services,2440014,Village School,2449514,135,2015,all
Area Cooperative Educational Services,2440014,Whitney High School East,2449214,113,2015,all
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,95,2015,all
Area Cooperative Educational Services,2440014,Whitney High School West,2449314,42,2015,all
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,632,2015,all
Ashford School District,0030011,Ashford School,0030111,397,2015,all
Avon School District,0040011,Avon High School,0046111,1038,2015,all
Avon School District,0040011,Avon Middle School,0045111,545,2015,all
Avon School District,0040011,Avon Public Schools Pre-K,0040111,45,2015,all
Avon School District,0040011,Pine Grove School,0040411,599,2015,all
Avon School District,0040011,Roaring Brook School,0040311,497,2015,all
Avon School District,0040011,Thompson Brook School,0040511,550,2015,all
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,255,2015,all
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,*,2015,all
Barkhamsted School District,0050011,Shared Services Integrated Preschool,0058011,28,2015,all
Berlin School District,0070011,Berlin High School,0076111,953,2015,all
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,672,2015,all
