district,district_code,school,school_code,no,yes,total,year,group
Branford School District,0140011,John B. Sliney School,0141611,327,22,349,2015,special-ed
Branford School District,0140011,Mary R. Tisko School,0141511,329,37,366,2015,special-ed
Branford School District,0140011,Mary T. Murphy School,0141411,387,37,424,2015,special-ed
Brass City Charter School District,2900013,Brass City Charter School,2900113,174,12,186,2015,special-ed
Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,922,94,1016,2015,special-ed
Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",0150811,452,42,494,2015,special-ed
Bridgeport School District,0150011,Barnum School,0150111,455,163,618,2015,special-ed
Bridgeport School District,0150011,Bassick High School,0156111,732,219,951,2015,special-ed
Bridgeport School District,0150011,Beardsley School,0150211,315,39,354,2015,special-ed
Bridgeport School District,0150011,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",0150611,456,33,489,2015,special-ed
Bridgeport School District,0150011,Black Rock School,0150311,398,71,469,2015,special-ed
Bridgeport School District,0150011,Blackham School,0154011,992,139,1131,2015,special-ed
Bridgeport School District,0150011,Bridgeport Learning Center,0159011,*,*,61,2015,special-ed
Bridgeport School District,0150011,Bridgeport Military Academy,0151611,219,51,270,2015,special-ed
Bridgeport School District,0150011,Bryant School,0150411,341,44,385,2015,special-ed
Bridgeport School District,0150011,Career and Craftsmanship,0152711,*,*,27,2015,special-ed
Bridgeport School District,0150011,Central High School,0156211,1289,228,1517,2015,special-ed
Bridgeport School District,0150011,Cesar Batalla School,0151411,1033,163,1196,2015,special-ed
Bridgeport School District,0150011,Classical Studies Academy,0152111,360,33,393,2015,special-ed
Bridgeport School District,0150011,Columbus School,0150511,780,72,852,2015,special-ed
Bridgeport School District,0150011,Cross School,0153911,327,70,397,2015,special-ed
Bridgeport School District,0150011,Curiale School,0154211,611,87,698,2015,special-ed
Bridgeport School District,0150011,Discovery Interdistrict Magnet School,0153711,469,37,506,2015,special-ed
Bridgeport School District,0150011,Dunbar School,0154111,371,45,416,2015,special-ed
Bridgeport School District,0150011,Edison School,0150711,222,48,270,2015,special-ed
Bridgeport School District,0150011,Geraldine Johnson School,0153211,669,125,794,2015,special-ed
Bridgeport School District,0150011,Hall School,0151111,209,31,240,2015,special-ed
Bridgeport School District,0150011,Hallen School,0151211,258,57,315,2015,special-ed
Bridgeport School District,0150011,Harding High School,0156311,857,203,1060,2015,special-ed
Bridgeport School District,0150011,High Horizons Magnet School,0154511,377,31,408,2015,special-ed
Bridgeport School District,0150011,Hooker School,0151311,301,50,351,2015,special-ed
Bridgeport School District,0150011,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,0151511,461,31,492,2015,special-ed
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,469,37,506,2015,special-ed
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,506,143,649,2015,special-ed
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,725,111,836,2015,special-ed
Bridgeport School District,0150011,Madison School,0152011,442,70,512,2015,special-ed
Bridgeport School District,0150011,Multicultural Magnet School,0154611,428,32,460,2015,special-ed
Bridgeport School District,0150011,Opportunities for Self-Discovery Community Partnership,0152811,0,7,7,2015,special-ed
Bridgeport School District,0150011,Park City Magnet School,0151711,420,63,483,2015,special-ed
Bridgeport School District,0150011,Read School,0152511,788,103,891,2015,special-ed
Bridgeport School District,0150011,Roosevelt School,0152611,546,77,623,2015,special-ed
Bridgeport School District,0150011,Skane Center,0154411,124,100,224,2015,special-ed
Bridgeport School District,0150011,Waltersville School,0153011,427,76,503,2015,special-ed
Bridgeport School District,0150011,Winthrop School,0153611,598,75,673,2015,special-ed
Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,0,20,20,2015,special-ed
Bristol School District,0170011,Bristol Central High School,0176111,946,221,1167,2015,special-ed
Bristol School District,0170011,Bristol Early Childhood Center-BECC,0170411,40,23,63,2015,special-ed
Bristol School District,0170011,Bristol Eastern High School,0176211,1005,216,1221,2015,special-ed
Bristol School District,0170011,Bristol Preparatory Academy,0173311,48,0,48,2015,special-ed
Bristol School District,0170011,CHMS GOAL,0173411,0,7,7,2015,special-ed
Bristol School District,0170011,Chippens Hill Middle School,0175111,581,123,704,2015,special-ed
Bristol School District,0170011,Chippens Hill Middle School Functional Program,0171011,0,12,12,2015,special-ed
Bristol School District,0170011,Community/Vocational Program,0179211,0,12,12,2015,special-ed
Bristol School District,0170011,Edgewood School,0170311,304,36,340,2015,special-ed
Bristol School District,0170011,Ellen P. Hubbell School,0171411,393,58,451,2015,special-ed
Bristol School District,0170011,Greene-Hills GOAL,0170911,0,*,*,2015,special-ed
Bristol School District,0170011,Greene-Hills School,0170511,810,117,927,2015,special-ed
Bristol School District,0170011,Hubbell/Extended Resource,0172111,0,6,6,2015,special-ed
Bristol School District,0170011,Ivy Drive GOAL,0172611,0,*,*,2015,special-ed
Bristol School District,0170011,Ivy Drive Medically Fragile,0172311,0,*,*,2015,special-ed
Bristol School District,0170011,Ivy Drive School,0171911,340,55,395,2015,special-ed
Bristol School District,0170011,Mountain View School,0171711,326,46,372,2015,special-ed
Bristol School District,0170011,Mt. View GOAL,0172511,0,8,8,2015,special-ed
Bristol School District,0170011,Northeast MS/Extended Resource,0172711,0,*,*,2015,special-ed
Bristol School District,0170011,Northeast MS/GOAL,0172811,0,*,*,2015,special-ed
Bristol School District,0170011,Northeast Middle School,0175211,358,64,422,2015,special-ed
Bristol School District,0170011,PreK Autism,0172911,0,10,10,2015,special-ed
Bristol School District,0170011,South Side Extended Resource,0173011,0,*,*,2015,special-ed
Bristol School District,0170011,South Side GOAL,0173111,0,*,*,2015,special-ed
Bristol School District,0170011,South Side School,0171111,432,59,491,2015,special-ed
Bristol School District,0170011,Stafford Autism,0173211,0,24,24,2015,special-ed
Bristol School District,0170011,Stafford School,0171211,376,60,436,2015,special-ed
Bristol School District,0170011,West Bristol School,0172011,795,127,922,2015,special-ed
Brookfield School District,0180011,Brookfield High School,0186111,790,90,880,2015,special-ed
Brookfield School District,0180011,Center Elementary School,0180311,319,49,368,2015,special-ed
Brookfield School District,0180011,Huckleberry Hill Elementary School,0180411,504,73,577,2015,special-ed
Brookfield School District,0180011,Whisconier Middle School,0185311,738,117,855,2015,special-ed
Brooklyn School District,0190011,Brooklyn Elementary School,0190111,455,66,521,2015,special-ed
Brooklyn School District,0190011,Brooklyn Middle School,0195111,348,29,377,2015,special-ed
Canaan School District,0210011,Lee H. Kellogg School,0210111,68,8,76,2015,special-ed
Canterbury School District,0220011,Canterbury Elementary School,0220211,241,20,261,2015,special-ed
Canterbury School District,0220011,Dr. Helen Baldwin Middle School,0225111,203,27,230,2015,special-ed
Canton School District,0230011,Canton Academy,0230411,0,*,*,2015,special-ed
Canton School District,0230011,Canton High School,0236111,422,66,488,2015,special-ed
Canton School District,0230011,Canton Intermediate School,0230311,363,37,400,2015,special-ed
Canton School District,0230011,Canton Middle School,0235111,247,37,284,2015,special-ed
Canton School District,0230011,Cherry Brook Primary School,0230211,413,38,451,2015,special-ed
Capital Preparatory Harbor School Inc. District,2970013,Capital Preparatory Harbor School Inc.,2970113,228,21,249,2015,special-ed
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,613,89,702,2015,special-ed
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering Elementary,2410714,307,36,343,2015,special-ed
Capitol Region Education Council,2410014,Academy of Science and Innovation,2416514,480,37,517,2015,special-ed
Capitol Region Education Council,2410014,Ana Grace Academy of the Arts Elementary School,2410614,319,35,354,2015,special-ed
Capitol Region Education Council,2410014,CREC Discovery Academy,2418114,366,39,405,2015,special-ed
Capitol Region Education Council,2410014,CREC Medical Professions and Teacher Preparation Academy,2416514,480,37,517,2015,special-ed
Capitol Region Education Council,2410014,Discovery Academy,2418114,366,39,405,2015,special-ed
Capitol Region Education Council,2410014,Farmington Valley Regional Diagnostic Center,2419214,*,*,16,2015,special-ed
Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,409,42,451,2015,special-ed
Capitol Region Education Council,2410014,Greater Hartford Academy of  the Arts High School - Full Time,2416414,387,53,440,2015,special-ed
Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts Magnet Middle,2415314,277,60,337,2015,special-ed
Capitol Region Education Council,2410014,Integrated Program Models,2419414,0,*,*,2015,special-ed
Capitol Region Education Council,2410014,International Magnet School for Global Citizenship,2410414,434,33,467,2015,special-ed
Capitol Region Education Council,2410014,John J. Allison Polaris Center,2419014,*,*,57,2015,special-ed
Capitol Region Education Council,2410014,Lincoln Academy Regional Interdistrict Collaborative,2419614,0,12,12,2015,special-ed
Capitol Region Education Council,2410014,Medical Professions and Teacher Preparation Academy,2416514,480,37,517,2015,special-ed
Capitol Region Education Council,2410014,Metropolitan Learning Center for Global and International Studies,2416114,637,89,726,2015,special-ed
Capitol Region Education Council,2410014,Montessori Magnet School,2413114,291,63,354,2015,special-ed
Capitol Region Education Council,2410014,Museum Academy,2410514,424,44,468,2015,special-ed
Capitol Region Education Council,2410014,Public Safety Academy,2415214,358,97,455,2015,special-ed
Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,389,66,455,2015,special-ed
Capitol Region Education Council,2410014,River Street Early Learning Center (Site 2),2419514,8,58,66,2015,special-ed
Capitol Region Education Council,2410014,River Street School,2419314,0,140,140,2015,special-ed
Capitol Region Education Council,2410014,STRIVE (Southern Transition Real-World and Independent Vocational Education Program,2419714,0,8,8,2015,special-ed
Capitol Region Education Council,2410014,Soundbridge,2419114,30,12,42,2015,special-ed
Capitol Region Education Council,2410014,Soundbridge @ Academy of Aerospace & Engineering Elementary,2411114,0,7,7,2015,special-ed
Capitol Region Education Council,2410014,Soundbridge @ Museum Academy,2411214,0,8,8,2015,special-ed
Capitol Region Education Council,2410014,Soundbridge @ Wethersfield High School,2411014,0,9,9,2015,special-ed
Capitol Region Education Council,2410014,Strive (Southern Transition Real-World and Independent Vocational Education Program,2419714,0,8,8,2015,special-ed
Capitol Region Education Council,2410014,Two Rivers Magnet High School,2416714,337,62,399,2015,special-ed
Capitol Region Education Council,2410014,Two Rivers Magnet Middle School,2415014,581,73,654,2015,special-ed
Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,378,79,457,2015,special-ed
Chaplin School District,0240011,Chaplin Elementary School,0240211,148,28,176,2015,special-ed
Cheshire School District,0250011,Chapman School,0250111,312,32,344,2015,special-ed
Cheshire School District,0250011,Cheshire High School,0256111,1316,165,1481,2015,special-ed
Cheshire School District,0250011,Cheshire Quinnipiac University Transition Collaborative,0250311,0,10,10,2015,special-ed
Cheshire School District,0250011,Darcey School,0250211,102,45,147,2015,special-ed
Cheshire School District,0250011,Dodd Middle School,0255111,655,64,719,2015,special-ed
Cheshire School District,0250011,Doolittle School,0250611,439,41,480,2015,special-ed
Cheshire School District,0250011,Highland School,0250411,683,68,751,2015,special-ed
Cheshire School District,0250011,Humiston Alternative School,0250911,7,11,18,2015,special-ed
Cheshire School District,0250011,Norton School,0250511,401,44,445,2015,special-ed
Chester School District,0260011,Chester Elementary School,0260111,177,34,211,2015,special-ed
Clinton School District,0270011,Abraham Pierson School,0270111,265,47,312,2015,special-ed
Clinton School District,0270011,Jared Eliot School,0275111,395,57,452,2015,special-ed
Clinton School District,0270011,Lewin G. Joel Jr. School,0270311,470,52,522,2015,special-ed
Clinton School District,0270011,The Morgan School,0276111,486,47,533,2015,special-ed
Colchester School District,0280011,Bacon Academy,0286111,726,109,835,2015,special-ed
Colchester School District,0280011,Bacon Academy Alternative Education,0280511,8,7,15,2015,special-ed
Colchester School District,0280011,Colchester Elementary School,0280411,478,92,570,2015,special-ed
Colchester School District,0280011,Jack Jackter Intermediate School,0280211,458,73,531,2015,special-ed
Colchester School District,0280011,William J. Johnston Middle School,0285111,515,85,600,2015,special-ed
Colebrook School District,0290011,Colebrook Consolidated School,0290111,67,17,84,2015,special-ed
Columbia School District,0300011,Horace W. Porter School,0300111,392,53,445,2015,special-ed
Common Ground High School District,2680013,Common Ground High School,2686113,150,36,186,2015,special-ed
Connecticut Technical High School System,9000016,A. I. Prince Technical High School,9001516,707,61,768,2015,special-ed
Connecticut Technical High School System,9000016,Bullard-Havens Technical High School,9001116,748,36,784,2015,special-ed
Connecticut Technical High School System,9000016,E. C. Goodwin Technical High School,9001916,589,47,636,2015,special-ed
Connecticut Technical High School System,9000016,Eli Whitney Technical High School,9001416,487,64,551,2015,special-ed
Connecticut Technical High School System,9000016,Ella T. Grasso Southeastern Technical High School,9002716,430,75,505,2015,special-ed
Connecticut Technical High School System,9000016,Emmett O'Brien Technical High School,9002516,499,74,573,2015,special-ed
Connecticut Technical High School System,9000016,H. C. Wilcox Technical High School,9001716,711,49,760,2015,special-ed
Connecticut Technical High School System,9000016,H. H. Ellis Technical High School,9001316,580,43,623,2015,special-ed
Connecticut Technical High School System,9000016,Henry Abbott Technical High School,9001216,565,75,640,2015,special-ed
Connecticut Technical High School System,9000016,Howell Cheney Technical High School,9001616,575,78,653,2015,special-ed
Connecticut Technical High School System,9000016,J. M. Wright Technical High School,9002116,221,29,250,2015,special-ed
Connecticut Technical High School System,9000016,Norwich Technical High School,9002016,602,55,657,2015,special-ed
Connecticut Technical High School System,9000016,Oliver Wolcott Technical High School,9002216,594,63,657,2015,special-ed
Connecticut Technical High School System,9000016,Platt Technical High School,9002616,741,70,811,2015,special-ed
Connecticut Technical High School System,9000016,Vinal Technical High School,9001816,483,105,588,2015,special-ed
Connecticut Technical High School System,9000016,W. F. Kaynor Technical High School,9002316,723,35,758,2015,special-ed
Connecticut Technical High School System,9000016,Windham Technical High School,9002416,438,58,496,2015,special-ed
Cooperative Educational Services,2430014,Developmental Learning Center (DLC),2439214,0,87,87,2015,special-ed
Cooperative Educational Services,2430014,Preschool-Primary Learning Center (PLC),2439114,0,57,57,2015,special-ed
Cooperative Educational Services,2430014,RISE Transitional Program,2439314,0,17,17,2015,special-ed
Cooperative Educational Services,2430014,School Readiness,2438014,*,*,90,2015,special-ed
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,422,46,468,2015,special-ed
Cooperative Educational Services,2430014,Therapeutic Day Program,2439414,0,150,150,2015,special-ed
Cornwall School District,0310011,Cornwall Consolidated School,0310111,78,14,92,2015,special-ed
Coventry School District,0320011,Capt. Nathan Hale School,0325111,349,48,397,2015,special-ed
Coventry School District,0320011,Coventry Academy,0320111,*,*,12,2015,special-ed
Coventry School District,0320011,Coventry Grammar School,0320211,312,36,348,2015,special-ed
Coventry School District,0320011,Coventry High School,0326111,402,63,465,2015,special-ed
Coventry School District,0320011,Coventry Smart Start Program,0320311,16,22,38,2015,special-ed
Coventry School District,0320011,George Hersey Robertson School,0320411,327,38,365,2015,special-ed
Cromwell School District,0330011,Cromwell High School,0336111,507,71,578,2015,special-ed
Cromwell School District,0330011,Cromwell Middle School,0335111,401,46,447,2015,special-ed
Cromwell School District,0330011,Edna C. Stevens School,0330211,427,50,477,2015,special-ed
Cromwell School District,0330011,Woodside Intermediate School,0330311,432,48,480,2015,special-ed
Danbury School District,0340011,Alternative Center For Excellence,0346211,73,21,94,2015,special-ed
Danbury School District,0340011,Broadview Middle School,0345111,879,160,1039,2015,special-ed
Danbury School District,0340011,DPS Early Childhood Center,0340111,85,56,141,2015,special-ed
Danbury School District,0340011,Danbury High School,0346111,2562,379,2941,2015,special-ed
Danbury School District,0340011,Ellsworth Avenue School,0341411,403,29,432,2015,special-ed
Danbury School District,0340011,Great Plain School,0341111,305,49,354,2015,special-ed
Danbury School District,0340011,Hayestown Avenue School,0340211,384,86,470,2015,special-ed
Danbury School District,0340011,King Street Intermediate School,0341711,331,38,369,2015,special-ed
Danbury School District,0340011,King Street Primary School,0341311,359,50,409,2015,special-ed
Danbury School District,0340011,Mill Ridge Primary School,0340511,322,28,350,2015,special-ed
Danbury School District,0340011,Morris Street School,0340611,319,38,357,2015,special-ed
Danbury School District,0340011,Park Avenue School,0340811,549,46,595,2015,special-ed
Danbury School District,0340011,Pembroke School,0341511,288,80,368,2015,special-ed
Danbury School District,0340011,Rogers Park Middle School,0345211,805,133,938,2015,special-ed
Danbury School District,0340011,Shelter Rock School,0341211,478,42,520,2015,special-ed
Danbury School District,0340011,South Street School,0341011,348,30,378,2015,special-ed
Danbury School District,0340011,Stadley Rough School,0341611,451,45,496,2015,special-ed
Danbury School District,0340011,Western CT Academy of International Studies Elementary Magnet School,0341911,362,28,390,2015,special-ed
Danbury School District,0340011,Westside Middle School Academy,0340311,457,39,496,2015,special-ed
Darien School District,0350011,Darien High School,0356111,1189,167,1356,2015,special-ed
Darien School District,0350011,Hindley Elementary School,0350211,456,45,501,2015,special-ed
Darien School District,0350011,Holmes Elementary School,0350711,423,39,462,2015,special-ed
Darien School District,0350011,Middlesex Middle School,0355111,997,170,1167,2015,special-ed
Darien School District,0350011,Ox Ridge Elementary School,0351311,396,62,458,2015,special-ed
Darien School District,0350011,Royle Elementary School,0350511,381,52,433,2015,special-ed
Darien School District,0350011,Tokeneke Elementary School,0350611,419,60,479,2015,special-ed
Deep River School District,0360011,Deep River Elementary School,0360111,263,41,304,2015,special-ed
Department of Mental Health and Addiction Services,3370015,Connecticut Valley Hospital,3370215,0,*,*,2015,special-ed
Derby School District,0370011,Bradley School,0370611,304,43,347,2015,special-ed
Derby School District,0370011,Derby Alternative Education Center,0370511,0,*,*,2015,special-ed
Derby School District,0370011,Derby High School,0376111,303,41,344,2015,special-ed
Derby School District,0370011,Derby Middle School,0375011,289,43,332,2015,special-ed
Derby School District,0370011,Irving School,0370411,276,52,328,2015,special-ed
Derby School District,0370011,Little Raiders University,0370111,22,11,33,2015,special-ed
East Granby School District,0400011,Allgrove School,0400111,184,22,206,2015,special-ed
East Granby School District,0400011,East Granby High School,0406111,234,30,264,2015,special-ed
East Granby School District,0400011,East Granby Middle School,0405111,171,25,196,2015,special-ed
East Granby School District,0400011,R. Dudley Seymour School,0400211,178,24,202,2015,special-ed
East Haddam School District,0410011,East Haddam Elementary School,0410111,263,46,309,2015,special-ed
East Haddam School District,0410011,Nathan Hale-Ray High School,0416111,279,42,321,2015,special-ed
East Haddam School District,0410011,Nathan Hale-Ray Middle School,0415111,363,68,431,2015,special-ed
East Hampton School District,0420011,Center School,0420311,274,23,297,2015,special-ed
East Hampton School District,0420011,East Hampton High School,0426111,482,33,515,2015,special-ed
East Hampton School District,0420011,East Hampton Middle School,0425111,393,40,433,2015,special-ed
East Hampton School District,0420011,Memorial School,0420111,571,66,637,2015,special-ed
East Hampton School District,0420011,The Learning Center at East Hampton,0429011,*,*,6,2015,special-ed
East Hartford School District,0430011,Anna E. Norris School,0430911,270,42,312,2015,special-ed
East Hartford School District,0430011,Connecticut IB Academy,0436311,192,0,192,2015,special-ed
East Hartford School District,0430011,Dr. Franklin H. Mayberry School,0430611,311,45,356,2015,special-ed
East Hartford School District,0430011,Dr. John A. Langford School,0432211,281,41,322,2015,special-ed
East Hartford School District,0430011,Dr. Thomas S. O'Connell School,0431011,455,54,509,2015,special-ed
East Hartford School District,0430011,East Hartford High School,0436211,1425,224,1649,2015,special-ed
East Hartford School District,0430011,East Hartford Middle School,0435111,887,187,1074,2015,special-ed
East Hartford School District,0430011,Governor William Pitkin School,0432011,311,33,344,2015,special-ed
East Hartford School District,0430011,Hockanum School,0430511,309,27,336,2015,special-ed
East Hartford School District,0430011,Joseph O. Goodwin School,0430411,234,64,298,2015,special-ed
East Hartford School District,0430011,Robert J. O'Brien School,0431811,416,59,475,2015,special-ed
East Hartford School District,0430011,Silver Lane School,0431211,230,44,274,2015,special-ed
East Hartford School District,0430011,Stevens Alternate High school,0436411,88,22,110,2015,special-ed
East Hartford School District,0430011,Sunset Ridge School Elementary Academy for Arts and World Languages,0432411,171,33,204,2015,special-ed
East Hartford School District,0430011,Willowbrook Early Childhood,0438011,158,71,229,2015,special-ed
East Hartford School District,0430011,Woodland School,0439011,*,*,182,2015,special-ed
East Haven School District,0440011,Carbone School/East Haven Academy,0441711,231,33,264,2015,special-ed
East Haven School District,0440011,D. C. Moore School,0441411,184,23,207,2015,special-ed
East Haven School District,0440011,Deer Run School,0440111,268,40,308,2015,special-ed
East Haven School District,0440011,Dominick H. Ferrara School,0441311,166,23,189,2015,special-ed
East Haven School District,0440011,East Haven High School,0446111,776,113,889,2015,special-ed
East Haven School District,0440011,Grove J. Tuttle School,0441011,155,17,172,2015,special-ed
East Haven School District,0440011,Joseph Melillo Middle School,0445111,509,80,589,2015,special-ed
East Haven School District,0440011,Momauguin School,0440711,155,31,186,2015,special-ed
East Haven School District,0440011,Overbrook Elementary School,0441811,152,14,166,2015,special-ed
East Lyme School District,0450011,Coastal Connections,0450611,10,9,19,2015,special-ed
East Lyme School District,0450011,East Lyme High School,0456111,936,109,1045,2015,special-ed
East Lyme School District,0450011,East Lyme Middle School,0455111,740,108,848,2015,special-ed
East Lyme School District,0450011,Flanders School,0450111,301,42,343,2015,special-ed
East Lyme School District,0450011,Integrated Preschool,0458011,24,34,58,2015,special-ed
East Lyme School District,0450011,Lillie B. Haynes School,0450411,248,42,290,2015,special-ed
East Lyme School District,0450011,Medically Fragile Program (WAVES),0450711,0,*,*,2015,special-ed
East Lyme School District,0450011,Niantic Center School,0450211,154,14,168,2015,special-ed
East Lyme School District,0450011,Post High School Transition Program,0450511,0,16,16,2015,special-ed
East Windsor School District,0470011,Broad Brook Elementary School,0470111,317,64,381,2015,special-ed
East Windsor School District,0470011,East Windsor High School,0476111,264,60,324,2015,special-ed
East Windsor School District,0470011,East Windsor Middle School,0475411,323,65,388,2015,special-ed
East Windsor School District,0470011,East Windsor Transition Program,0470411,0,*,*,2015,special-ed
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,ACT Magnet School (Arts at the Capitol Theater) - Full Time,2536014,108,21,129,2015,special-ed
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Arts at the Capitol Theater Magnet School (ACT),2536014,108,21,129,2015,special-ed
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,EASTCONN Special Education,2539014,0,117,117,2015,special-ed
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Quinebaug Middle College,2536114,162,17,179,2015,special-ed
Eastford School District,0390011,Eastford Elementary School,0390111,111,23,134,2015,special-ed
Easton School District,0460011,Helen Keller Middle School,0465111,277,32,309,2015,special-ed
Easton School District,0460011,Samuel Staples Elementary School,0460111,554,58,612,2015,special-ed
Education Connection,2420014,Education Connection Headstart,2428014,197,16,213,2015,special-ed
Education Connection,2420014,Education Connection Special Education,2429014,0,14,14,2015,special-ed
Ellington School District,0480011,Center School,0480111,311,50,361,2015,special-ed
Ellington School District,0480011,Crystal Lake School,0480211,184,17,201,2015,special-ed
Ellington School District,0480011,Ellington High School,0486111,685,86,771,2015,special-ed
Ellington School District,0480011,Ellington Middle School,0485111,371,49,420,2015,special-ed
Ellington School District,0480011,Windermere Intermediate School,0480711,397,49,446,2015,special-ed
Ellington School District,0480011,Windermere School,0480611,379,51,430,2015,special-ed
Ellington School District,0480011,Windermere School Program for Alternative Learning K-4,0480311,0,*,*,2015,special-ed
Elm City College Preparatory School District,2890013,Elm City College Preparatory School,2890113,655,48,703,2015,special-ed
Elm City Montessori School District,2910013,Elm City Montessori School,2910113,*,*,113,2015,special-ed
