district,district_code,school,school_code,no,yes,total,year,group
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,948,115,1063,2015,special-ed
Amistad Academy District,2790013,Amistad Academy,2795113,979,57,1036,2015,special-ed
Andover School District,0010011,Andover Elementary School,0010111,233,17,250,2015,special-ed
Ansonia School District,0020011,Ansonia High School,0026111,505,92,597,2015,special-ed
Ansonia School District,0020011,Ansonia Middle School,0025111,341,105,446,2015,special-ed
Ansonia School District,0020011,Mead School,0020311,499,96,595,2015,special-ed
Ansonia School District,0020011,P.A.C.E. (Positive And Creative Education),0020111,25,10,35,2015,special-ed
Ansonia School District,0020011,Prendergast School,0020811,583,105,688,2015,special-ed
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,0,38,38,2015,special-ed
Area Cooperative Educational Services,2440014,Mill Road School,2449414,7,160,167,2015,special-ed
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,636,90,726,2015,special-ed
Area Cooperative Educational Services,2440014,Village School,2449514,0,135,135,2015,special-ed
Area Cooperative Educational Services,2440014,Whitney High School East,2449214,0,113,113,2015,special-ed
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,*,*,95,2015,special-ed
Area Cooperative Educational Services,2440014,Whitney High School West,2449314,0,42,42,2015,special-ed
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,562,70,632,2015,special-ed
Ashford School District,0030011,Ashford School,0030111,355,42,397,2015,special-ed
Avon School District,0040011,Avon High School,0046111,937,101,1038,2015,special-ed
Avon School District,0040011,Avon Middle School,0045111,481,64,545,2015,special-ed
Avon School District,0040011,Avon Public Schools Pre-K,0040111,30,15,45,2015,special-ed
Avon School District,0040011,Pine Grove School,0040411,564,35,599,2015,special-ed
Avon School District,0040011,Roaring Brook School,0040311,468,29,497,2015,special-ed
Avon School District,0040011,Thompson Brook School,0040511,510,40,550,2015,special-ed
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,223,32,255,2015,special-ed
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,0,*,*,2015,special-ed
Barkhamsted School District,0050011,Shared Services Integrated Preschool,0058011,12,16,28,2015,special-ed
Berlin School District,0070011,Berlin High School,0076111,848,105,953,2015,special-ed
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,603,69,672,2015,special-ed
Berlin School District,0070011,Emma Hart Willard School,0070411,417,86,503,2015,special-ed
Berlin School District,0070011,Mary E. Griswold School,0070511,456,41,497,2015,special-ed
Berlin School District,0070011,Richard D. Hubbard School,0070111,212,26,238,2015,special-ed
Bethany School District,0080011,Bethany Community School,0080111,332,51,383,2015,special-ed
Bethel School District,0090011,Anna H. Rockwell School,0090411,390,30,420,2015,special-ed
Bethel School District,0090011,Bethel High School,0096111,786,111,897,2015,special-ed
Bethel School District,0090011,Bethel Middle School,0095111,581,77,658,2015,special-ed
Bethel School District,0090011,Frank A. Berry School,0090111,508,53,561,2015,special-ed
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,382,44,426,2015,special-ed
Bloomfield School District,0110011,Bloomfield High School,0116111,440,76,516,2015,special-ed
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,179,41,220,2015,special-ed
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,162,31,193,2015,special-ed
Bloomfield School District,0110011,Global Experience Magnet School,0116311,195,23,218,2015,special-ed
Bloomfield School District,0110011,Laurel School,0110611,296,39,335,2015,special-ed
Bloomfield School District,0110011,Learning Academy at Bloomfield,0116411,*,*,10,2015,special-ed
Bloomfield School District,0110011,Metacomet School,0110511,219,35,254,2015,special-ed
Bloomfield School District,0110011,Wintonbury Early Childhood Magnet School,0110811,281,41,322,2015,special-ed
Bolton School District,0120011,Bolton Center School,0120111,446,61,507,2015,special-ed
Bolton School District,0120011,Bolton High School,0126111,278,29,307,2015,special-ed
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,169,11,180,2015,special-ed
Bozrah School District,0130011,Fields Memorial School,0130111,177,24,201,2015,special-ed
Branford School District,0140011,Branford High School,0146111,773,141,914,2015,special-ed
Branford School District,0140011,Branford High School Horizons Program,0140211,25,15,40,2015,special-ed
Branford School District,0140011,Francis Walsh Intermediate School,0145111,786,126,912,2015,special-ed
Branford School District,0140011,Indian Neck School,0148011,17,23,40,2015,special-ed
