district,district_code,11th_count,11_pct,12th_count,12th_pct,school_code
Plymouth School District,1110011,94,87.0,100,85.5,1110011
Pomfret School District,1120011,,,*,*,1120011
Portland School District,1130011,67,74.4,83,90.2,1130011
Preston School District,1140011,,,*,*,1140011
Putnam School District,1160011,41,58.6,42,60.0,1160011
Ridgefield School District,1180011,268,62.2,370,82.6,1180011
Rocky Hill School District,1190011,61,34.7,133,73.9,1190011
Salem School District,1210011,,,*,*,1210011
Seymour School District,1240011,87,51.2,110,75.9,1240011
Shelton School District,1260011,303,74.6,370,96.4,1260011
Simsbury School District,1280011,269,74.3,326,84.9,1280011
Somers School District,1290011,41,33.9,122,96.8,1290011
Southington School District,1310011,461,93.7,491,95.0,1310011
South Windsor School District,1320011,185,57.8,269,74.9,1320011
Stafford School District,1340011,14,13.0,46,48.4,1340011
Stamford School District,1350011,913,82.5,966,82.5,1350011
Sterling School District,1360011,,,*,*,1360011
Stonington School District,1370011,80,41.7,131,66.5,1370011
Stratford School District,1380011,199,36.6,312,58.4,1380011
Suffield School District,1390011,64,31.8,123,59.4,1390011
Thomaston School District,1400011,14,25.9,26,39.4,1400011
Thompson School District,1410011,12,15.4,41,66.1,1410011
Tolland School District,1420011,133,61.0,164,78.5,1420011
Torrington School District,1430011,226,89.0,227,85.3,1430011
Trumbull School District,1440011,484,90.1,485,89.3,1440011
Vernon School District,1460011,163,91.6,208,88.5,1460011
Voluntown School District,1470011,*,*,,,1470011
Wallingford School District,1480011,238,44.2,333,66.2,1480011
Waterbury School District,1510011,506,44.7,653,57.6,1510011
Waterford School District,1520011,134,68.7,172,77.8,1520011
Watertown School District,1530011,63,29.2,141,66.5,1530011
Westbrook School District,1540011,57,91.9,70,89.7,1540011
West Hartford School District,1550011,487,62.8,602,82.2,1550011
West Haven School District,1560011,115,31.0,229,61.9,1560011
Weston School District,1570011,196,95.1,164,95.3,1570011
Westport School District,1580011,248,51.7,334,70.9,1580011
Wethersfield School District,1590011,168,54.7,221,79.8,1590011
Wilton School District,1610011,94,27.5,196,57.3,1610011
Winchester School District,1620011,,,*,*,1620011
Windham School District,1630011,81,68.6,108,89.3,1630011
Windsor School District,1640011,113,41.4,169,56.0,1640011
Windsor Locks School District,1650011,25,17.7,54,41.5,1650011
Wolcott School District,1660011,61,27.6,129,70.5,1660011
Regional School District 01,2010012,39,36.1,62,69.7,2010012
Regional School District 04,2040012,104,70.3,167,89.8,2040012
Regional School District 05,2050012,144,36.5,322,76.1,2050012
Regional School District 06,2060012,56,54.4,57,65.5,2060012
Regional School District 07,2070012,170,93.4,136,93.8,2070012
Regional School District 08,2080012,192,71.6,242,89.0,2080012
Regional School District 09,2090012,85,32.9,184,70.0,2090012
Regional School District 10,2100012,97,50.3,132,67.7,2100012
Regional School District 11,2110012,18,58.1,34,58.6,2110012
Regional School District 12,2120012,6,7.5,40,52.6,2120012
Regional School District 13,2130012,134,93.7,138,84.7,2130012
Regional School District 14,2140012,150,76.9,167,85.2,2140012
Regional School District 15,2150012,73,25.8,179,60.5,2150012
Regional School District 16,2160012,116,62.7,146,82.0,2160012
Regional School District 17,2170012,102,70.3,150,87.7,2170012
Regional School District 18,2180012,99,93.4,70,77.8,2180012
Regional School District 19,2190012,93,32.9,204,65.6,2190012
Capitol Region Education Council,2410014,352,77.7,260,68.2,2410014
Education Connection,2420014,,,,,2420014
Cooperative Educational Services,2430014,,,,,2430014
Area Cooperative Educational Services,2440014,17,37.8,30,24.8,2440014
Learn,2450014,96,49.5,48,28.7,2450014
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,27,41.5,41,56.9,2530014
Jumoke Academy District,2610013,,,,,2610013
Common Ground High School District,2680013,7,25.9,8,21.1,2680013
The Bridge Academy District,2690013,,,,,2690013
Explorations District,2720013,*,*,*,*,2720013
Amistad Academy District,2790013,20,60.6,26,100.0,2790013
Stamford Academy District,2820013,,,,,2820013
Bridgeport Achievement First District,2850013,9,31.0,29,96.7,2850013
Achievement First Hartford Academy Inc. District,2880013,24,77.4,,,2880013
Elm City College Preparatory School District,2890013,10,*,17,*,2890013
Path Academy District,2930013,,,,,2930013
Unified School District #1,3360015,,,,,3360015
Department of Mental Health and Addiction Services,3370015,,,,,3370015
Unified School District #2,3470015,8,21.6,*,*,3470015
Connecticut Technical High School System,9000016,2520,100.0,2425,100.0,9000016
Norwich Free Academy District,9010022,246,44.7,336,62.2,9010022
The Gilbert School District,9020022,21,22.1,39,45.3,9020022
Woodstock Academy District,9030022,79,32.4,169,59.1,9030022
