2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,district,district_code,school,school_code,total,year
547,,,,,,,,,,Amistad Academy District,2790013,Amistad Academy,2795113,547,2007-08
347,,,,,,,,,,Andover School District,0010011,Andover Elementary School,0010111,347,2007-08
760,,,,,,,,,,Ansonia School District,0020011,Ansonia High School,0026111,760,2007-08
596,,,,,,,,,,Ansonia School District,0020011,Ansonia Middle School,0025111,596,2007-08
599,,,,,,,,,,Ansonia School District,0020011,Mead School,0020311,599,2007-08
776,,,,,,,,,,Ansonia School District,0020011,Prendergast School,0020811,776,2007-08
19,,,,,,,,,,Area Cooperative Educational Services,2440014,A. C. E. S. Special Education Town Campus Learning Center,2449014,19,2007-08
99,,,,,,,,,,Area Cooperative Educational Services,2440014,Collaborative Alternative Magnet School,2446114,99,2007-08
176,,,,,,,,,,Area Cooperative Educational Services,2440014,Mill Road School,2449414,176,2007-08
752,,,,,,,,,,Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,752,2007-08
174,,,,,,,,,,Area Cooperative Educational Services,2440014,Village School,2449514,174,2007-08
125,,,,,,,,,,Area Cooperative Educational Services,2440014,Whitney High School East,2449214,125,2007-08
92,,,,,,,,,,Area Cooperative Educational Services,2440014,Whitney High School North,2449114,92,2007-08
56,,,,,,,,,,Area Cooperative Educational Services,2440014,Whitney High School West,2449314,56,2007-08
605,,,,,,,,,,Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,605,2007-08
500,,,,,,,,,,Ashford School District,0030011,Ashford School,0030111,500,2007-08
1036,,,,,,,,,,Avon School District,0040011,Avon High School,0046111,1036,2007-08
582,,,,,,,,,,Avon School District,0040011,Avon Middle School,0045111,582,2007-08
618,,,,,,,,,,Avon School District,0040011,Pine Grove School,0040411,618,2007-08
776,,,,,,,,,,Avon School District,0040011,Roaring Brook School,0040311,776,2007-08
590,,,,,,,,,,Avon School District,0040011,Thompson Brook School,0040511,590,2007-08
328,,,,,,,,,,Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,328,2007-08
30,,,,,,,,,,Barkhamsted School District,0050011,Shared Services Integrated Preschool,0058011,30,2007-08
1063,,,,,,,,,,Berlin School District,0070011,Berlin High School,0076111,1063,2007-08
778,,,,,,,,,,Berlin School District,0070011,Catherine M. McGee Middle School,0075111,778,2007-08
577,,,,,,,,,,Berlin School District,0070011,Emma Hart Willard School,0070411,577,2007-08
589,,,,,,,,,,Berlin School District,0070011,Mary E. Griswold School,0070511,589,2007-08
263,,,,,,,,,,Berlin School District,0070011,Richard D. Hubbard School,0070111,263,2007-08
569,,,,,,,,,,Bethany School District,0080011,Bethany Community School,0080111,569,2007-08
425,,,,,,,,,,Bethel School District,0090011,Anna H. Rockwell School,0090411,425,2007-08
1034,,,,,,,,,,Bethel School District,0090011,Bethel High School,0096111,1034,2007-08
743,,,,,,,,,,Bethel School District,0090011,Bethel Middle School,0095111,743,2007-08
488,,,,,,,,,,Bethel School District,0090011,Frank A. Berry School,0090111,488,2007-08
454,,,,,,,,,,Bethel School District,0090011,Ralph M. T. Johnson School,0090511,454,2007-08
625,,,,,,,,,,Bloomfield School District,0110011,Bloomfield High School,0116111,625,2007-08
348,,,,,,,,,,Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,348,2007-08
342,,,,,,,,,,Bloomfield School District,0110011,Carmen Arace Middle School,0115211,342,2007-08
315,,,,,,,,,,Bloomfield School District,0110011,J. P. Vincent School,0110311,315,2007-08
268,,,,,,,,,,Bloomfield School District,0110011,Laurel School,0110611,268,2007-08
238,,,,,,,,,,Bloomfield School District,0110011,Metacomet School,0110511,238,2007-08
79,,,,,,,,,,Bloomfield School District,0110011,The Big Picture High School,0116211,79,2007-08
597,,,,,,,,,,Bolton School District,0120011,Bolton Center School,0120111,597,2007-08
275,,,,,,,,,,Bolton School District,0120011,Bolton High School,0126111,275,2007-08
264,,,,,,,,,,Bozrah School District,0130011,Fields Memorial School,0130111,264,2007-08
1146,,,,,,,,,,Branford School District,0140011,Branford High School,0146111,1146,2007-08
1082,,,,,,,,,,Branford School District,0140011,Francis Walsh Intermediate School,0145111,1082,2007-08
58,,,,,,,,,,Branford School District,0140011,Indian Neck School,0148011,58,2007-08
345,,,,,,,,,,Branford School District,0140011,John B. Sliney School,0141611,345,2007-08
430,,,,,,,,,,Branford School District,0140011,Mary R. Tisko School,0141511,430,2007-08
416,,,,,,,,,,Branford School District,0140011,Mary T. Murphy School,0141411,416,2007-08
85,,,,,,,,,,Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,85,2007-08
279,,,,,,,,,,Bridgeport School District,0150011,Barnum School,0150111,279,2007-08
1285,,,,,,,,,,Bridgeport School District,0150011,Bassick High School,0156111,1285,2007-08
607,,,,,,,,,,Bridgeport School District,0150011,Beardsley School,0150211,607,2007-08
272,,,,,,,,,,Bridgeport School District,0150011,Black Rock School,0150311,272,2007-08
1177,,,,,,,,,,Bridgeport School District,0150011,Blackham School,0154011,1177,2007-08
54,,,,,,,,,,Bridgeport School District,0150011,Bridgeport Learning Center,0159011,54,2007-08
413,,,,,,,,,,Bridgeport School District,0150011,Bryant School,0150411,413,2007-08
2339,,,,,,,,,,Bridgeport School District,0150011,Central High School,0156211,2339,2007-08
1162,,,,,,,,,,Bridgeport School District,0150011,Cesar Batalla School,0151411,1162,2007-08
375,,,,,,,,,,Bridgeport School District,0150011,Classical Studies Academy,0152111,375,2007-08
763,,,,,,,,,,Bridgeport School District,0150011,Columbus School,0150511,763,2007-08
406,,,,,,,,,,Bridgeport School District,0150011,Cross School,0153911,406,2007-08
592,,,,,,,,,,Bridgeport School District,0150011,Curiale School,0154211,592,2007-08
363,,,,,,,,,,Bridgeport School District,0150011,Dunbar School,0154111,363,2007-08
408,,,,,,,,,,Bridgeport School District,0150011,Edison School,0150711,408,2007-08
278,,,,,,,,,,Bridgeport School District,0150011,Garfield School,0150911,278,2007-08
196,,,,,,,,,,Bridgeport School District,0150011,Geraldine Johnson School,0153211,196,2007-08
344,,,,,,,,,,Bridgeport School District,0150011,Hall School,0151111,344,2007-08
322,,,,,,,,,,Bridgeport School District,0150011,Hallen School,0151211,322,2007-08
1722,,,,,,,,,,Bridgeport School District,0150011,Harding High School,0156311,1722,2007-08
444,,,,,,,,,,Bridgeport School District,0150011,High Horizons Magnet School,0154511,444,2007-08
450,,,,,,,,,,Bridgeport School District,0150011,Hooker School,0151311,450,2007-08
329,,,,,,,,,,Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,329,2007-08
475,,,,,,,,,,Bridgeport School District,0150011,Longfellow School,0151911,475,2007-08
846,,,,,,,,,,Bridgeport School District,0150011,Luis Munoz Marin School,0151011,846,2007-08
562,,,,,,,,,,Bridgeport School District,0150011,Madison School,0152011,562,2007-08
37,,,,,,,,,,Bridgeport School District,0150011,Make The Grade,0159511,37,2007-08
187,,,,,,,,,,Bridgeport School District,0150011,Maplewood Annex,0154311,187,2007-08
475,,,,,,,,,,Bridgeport School District,0150011,Multicultural Magnet School,0154611,475,2007-08
14,,,,,,,,,,Bridgeport School District,0150011,New Start Program,0159411,14,2007-08
30,,,,,,,,,,Bridgeport School District,0150011,Park City Academy,0159211,30,2007-08
501,,,,,,,,,,Bridgeport School District,0150011,Park City Magnet School,0151711,501,2007-08
904,,,,,,,,,,Bridgeport School District,0150011,Read School,0152511,904,2007-08
727,,,,,,,,,,Bridgeport School District,0150011,Roosevelt School,0152611,727,2007-08
219,,,,,,,,,,Bridgeport School District,0150011,Skane Center,0154411,219,2007-08
46,,,,,,,,,,Bridgeport School District,0150011,The University School,0159111,46,2007-08
456,,,,,,,,,,Bridgeport School District,0150011,Waltersville School,0153011,456,2007-08
758,,,,,,,,,,Bridgeport School District,0150011,Winthrop School,0153611,758,2007-08
23,,,,,,,,,,Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,23,2007-08
1465,,,,,,,,,,Bristol School District,0170011,Bristol Central High School,0176111,1465,2007-08
1333,,,,,,,,,,Bristol School District,0170011,Bristol Eastern High School,0176211,1333,2007-08
929,,,,,,,,,,Bristol School District,0170011,Chippens Hill Middle School,0175111,929,2007-08
355,,,,,,,,,,Bristol School District,0170011,Clara T. O'Connell School,0170711,355,2007-08
253,,,,,,,,,,Bristol School District,0170011,Clarence A. Bingham School,0170111,253,2007-08
356,,,,,,,,,,Bristol School District,0170011,Edgewood School,0170311,356,2007-08
490,,,,,,,,,,Bristol School District,0170011,Ellen P. Hubbell School,0171411,490,2007-08
396,,,,,,,,,,Bristol School District,0170011,Greene-Hills School,0170511,396,2007-08
402,,,,,,,,,,Bristol School District,0170011,Ivy Drive School,0171911,402,2007-08
374,,,,,,,,,,Bristol School District,0170011,John J. Jennings School,0170611,374,2007-08
542,,,,,,,,,,Bristol School District,0170011,Memorial Boulevard Middle School,0175311,542,2007-08
369,,,,,,,,,,Bristol School District,0170011,Mountain View School,0171711,369,2007-08
558,,,,,,,,,,Bristol School District,0170011,Northeast Middle School,0175211,558,2007-08
580,,,,,,,,,,Bristol School District,0170011,South Side School,0171111,580,2007-08
497,,,,,,,,,,Bristol School District,0170011,Stafford School,0171211,497,2007-08
1020,,,,,,,,,,Brookfield School District,0180011,Brookfield High School,0186111,1020,2007-08
374,,,,,,,,,,Brookfield School District,0180011,Center Elementary School,0180311,374,2007-08
604,,,,,,,,,,Brookfield School District,0180011,Huckleberry Hill Elementary School,0180411,604,2007-08
951,,,,,,,,,,Brookfield School District,0180011,Whisconier Middle School,0185311,951,2007-08
580,,,,,,,,,,Brooklyn School District,0190011,Brooklyn Elementary School,0190111,580,2007-08
406,,,,,,,,,,Brooklyn School District,0190011,Brooklyn Middle School,0195111,406,2007-08
101,,,,,,,,,,Canaan School District,0210011,Lee H. Kellogg School,0210111,101,2007-08
316,,,,,,,,,,Canterbury School District,0220011,Canterbury Elementary School,0220211,316,2007-08
262,,,,,,,,,,Canterbury School District,0220011,Dr. Helen Baldwin Middle School,0225111,262,2007-08
514,,,,,,,,,,Canton School District,0230011,Canton High School,0236111,514,2007-08
405,,,,,,,,,,Canton School District,0230011,Canton Intermediate School,0230311,405,2007-08
270,,,,,,,,,,Canton School District,0230011,Canton Middle School,0235111,270,2007-08
538,,,,,,,,,,Canton School District,0230011,Cherry Brook Primary School,0230211,538,2007-08
257,,,,,,,,,,Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,257,2007-08
111,,,,,,,,,,Capitol Region Education Council,2410014,Great Path Academy at MCC,2416314,111,2007-08
43,,,,,,,,,,Capitol Region Education Council,2410014,Greater Hartford Academy of  the Arts High School - Full Time,2416414,43,2007-08
389,,,,,,,,,,Capitol Region Education Council,2410014,John J. Allison Polaris Center,2419014,389,2007-08
676,,,,,,,,,,Capitol Region Education Council,2410014,Metropolitan Learning Center for Global and International Studies,2416114,676,2007-08
329,,,,,,,,,,Capitol Region Education Council,2410014,Montessori Magnet School,2413114,329,2007-08
582,,,,,,,,,,Capitol Region Education Council,2410014,Two Rivers Magnet Middle School,2415014,582,2007-08
406,,,,,,,,,,Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,406,2007-08
210,,,,,,,,,,Chaplin School District,0240011,Chaplin Elementary School,0240211,210,2007-08
332,,,,,,,,,,Cheshire School District,0250011,Chapman School,0250111,332,2007-08
1612,,,,,,,,,,Cheshire School District,0250011,Cheshire High School,0256111,1612,2007-08
393,,,,,,,,,,Cheshire School District,0250011,Darcey School,0250211,393,2007-08
824,,,,,,,,,,Cheshire School District,0250011,Dodd Middle School,0255111,824,2007-08
537,,,,,,,,,,Cheshire School District,0250011,Doolittle School,0250611,537,2007-08
908,,,,,,,,,,Cheshire School District,0250011,Highland School,0250411,908,2007-08
23,,,,,,,,,,Cheshire School District,0250011,Humiston School,0259011,23,2007-08
493,,,,,,,,,,Cheshire School District,0250011,Norton School,0250511,493,2007-08
341,,,,,,,,,,Chester School District,0260011,Chester Elementary School,0260111,341,2007-08
338,,,,,,,,,,Clinton School District,0270011,Abraham Pierson School,0270111,338,2007-08
462,,,,,,,,,,Clinton School District,0270011,Jared Eliot School,0275111,462,2007-08
667,,,,,,,,,,Clinton School District,0270011,Lewin G. Joel Jr. School,0270311,667,2007-08
638,,,,,,,,,,Clinton School District,0270011,The Morgan School,0276111,638,2007-08
982,,,,,,,,,,Colchester School District,0280011,Bacon Academy,0286111,982,2007-08
774,,,,,,,,,,Colchester School District,0280011,Colchester Elementary School,0280411,774,2007-08
681,,,,,,,,,,Colchester School District,0280011,Jack Jackter Intermediate School,0280211,681,2007-08
801,,,,,,,,,,Colchester School District,0280011,William J. Johnston Middle School,0285111,801,2007-08
122,,,,,,,,,,Colebrook School District,0290011,Colebrook Consolidated School,0290111,122,2007-08
