2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,district,district_code,school,school_code,total,year
586,,,,,,,,,,Columbia School District,0300011,Horace W. Porter School,0300111,586,2007-08
152,,,,,,,,,,Common Ground High School District,2680013,Common Ground High School,2686113,152,2007-08
581,,,,,,,,,,Connecticut Technical High School System,9000016,A. I. Prince Technical High School,9001516,581,2007-08
878,,,,,,,,,,Connecticut Technical High School System,9000016,Bullard-Havens Technical High School,9001116,878,2007-08
461,,,,,,,,,,Connecticut Technical High School System,9000016,E. C. Goodwin Technical High School,9001916,461,2007-08
529,,,,,,,,,,Connecticut Technical High School System,9000016,Eli Whitney Technical High School,9001416,529,2007-08
589,,,,,,,,,,Connecticut Technical High School System,9000016,Ella T. Grasso Southeastern Technical High School,9002716,589,2007-08
530,,,,,,,,,,Connecticut Technical High School System,9000016,Emmett O'Brien Technical High School,9002516,530,2007-08
696,,,,,,,,,,Connecticut Technical High School System,9000016,H. C. Wilcox Technical High School,9001716,696,2007-08
563,,,,,,,,,,Connecticut Technical High School System,9000016,H. H. Ellis Technical High School,9001316,563,2007-08
570,,,,,,,,,,Connecticut Technical High School System,9000016,Henry Abbott Technical High School,9001216,570,2007-08
564,,,,,,,,,,Connecticut Technical High School System,9000016,Howell Cheney Technical High School,9001616,564,2007-08
255,,,,,,,,,,Connecticut Technical High School System,9000016,J. M. Wright Technical High School,9002116,255,2007-08
410,,,,,,,,,,Connecticut Technical High School System,9000016,Norwich Technical High School,9002016,410,2007-08
720,,,,,,,,,,Connecticut Technical High School System,9000016,Oliver Wolcott Technical High School,9002216,720,2007-08
853,,,,,,,,,,Connecticut Technical High School System,9000016,Platt Technical High School,9002616,853,2007-08
587,,,,,,,,,,Connecticut Technical High School System,9000016,Vinal Technical High School,9001816,587,2007-08
704,,,,,,,,,,Connecticut Technical High School System,9000016,W. F. Kaynor Technical High School,9002316,704,2007-08
483,,,,,,,,,,Connecticut Technical High School System,9000016,Windham Technical High School,9002416,483,2007-08
240,,,,,,,,,,Cooperative Educational Services,2430014,C. E. S. Special Education,2439014,240,2007-08
435,,,,,,,,,,Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,435,2007-08
129,,,,,,,,,,Cornwall School District,0310011,Cornwall Consolidated School,0310111,129,2007-08
539,,,,,,,,,,Coventry School District,0320011,Capt. Nathan Hale School,0325111,539,2007-08
11,,,,,,,,,,Coventry School District,0320011,Coventry Early Intervention Services,0328011,11,2007-08
425,,,,,,,,,,Coventry School District,0320011,Coventry Grammar School,0320211,425,2007-08
559,,,,,,,,,,Coventry School District,0320011,Coventry High School,0326111,559,2007-08
474,,,,,,,,,,Coventry School District,0320011,George Hersey Robertson School,0320411,474,2007-08
559,,,,,,,,,,Cromwell School District,0330011,Cromwell High School,0336111,559,2007-08
473,,,,,,,,,,Cromwell School District,0330011,Cromwell Middle School,0335111,473,2007-08
485,,,,,,,,,,Cromwell School District,0330011,Edna C. Stevens School,0330211,485,2007-08
472,,,,,,,,,,Cromwell School District,0330011,Woodside Intermediate School,0330311,472,2007-08
97,,,,,,,,,,Danbury School District,0340011,Alternative Center For Excellence,0346211,97,2007-08
1144,,,,,,,,,,Danbury School District,0340011,Broadview Middle School,0345111,1144,2007-08
2835,,,,,,,,,,Danbury School District,0340011,Danbury High School,0346111,2835,2007-08
333,,,,,,,,,,Danbury School District,0340011,Ellsworth Avenue School,0341411,333,2007-08
315,,,,,,,,,,Danbury School District,0340011,Great Plain School,0341111,315,2007-08
400,,,,,,,,,,Danbury School District,0340011,Hayestown Avenue School,0340211,400,2007-08
317,,,,,,,,,,Danbury School District,0340011,King Street Intermediate School,0341711,317,2007-08
294,,,,,,,,,,Danbury School District,0340011,King Street Primary School,0341311,294,2007-08
347,,,,,,,,,,Danbury School District,0340011,Mill Ridge Educational Center,0341811,347,2007-08
298,,,,,,,,,,Danbury School District,0340011,Mill Ridge Primary School,0340511,298,2007-08
343,,,,,,,,,,Danbury School District,0340011,Morris Street School,0340611,343,2007-08
376,,,,,,,,,,Danbury School District,0340011,Park Avenue School,0340811,376,2007-08
336,,,,,,,,,,Danbury School District,0340011,Pembroke School,0341511,336,2007-08
1031,,,,,,,,,,Danbury School District,0340011,Rogers Park Middle School,0345211,1031,2007-08
338,,,,,,,,,,Danbury School District,0340011,Shelter Rock School,0341211,338,2007-08
306,,,,,,,,,,Danbury School District,0340011,South Street School,0341011,306,2007-08
455,,,,,,,,,,Danbury School District,0340011,Stadley Rough School,0341611,455,2007-08
317,,,,,,,,,,Danbury School District,0340011,Western CT Academy of International Studies Elementary Magnet School,0341911,317,2007-08
1180,,,,,,,,,,Darien School District,0350011,Darien High School,0356111,1180,2007-08
519,,,,,,,,,,Darien School District,0350011,Hindley Elementary School,0350211,519,2007-08
484,,,,,,,,,,Darien School District,0350011,Holmes Elementary School,0350711,484,2007-08
1117,,,,,,,,,,Darien School District,0350011,Middlesex Middle School,0355111,1117,2007-08
512,,,,,,,,,,Darien School District,0350011,Ox Ridge Elementary School,0351311,512,2007-08
451,,,,,,,,,,Darien School District,0350011,Royle Elementary School,0350511,451,2007-08
390,,,,,,,,,,Darien School District,0350011,Tokeneke Elementary School,0350611,390,2007-08
389,,,,,,,,,,Deep River School District,0360011,Deep River Elementary School,0360111,389,2007-08
7,,,,,,,,,,Department of Mental Health and Addiction Services,3370015,Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab,3370315,7,2007-08
*,,,,,,,,,,Department of Mental Health and Addiction Services,3370015,Connecticut Mental Health Center,3370415,*,2007-08
*,,,,,,,,,,Department of Mental Health and Addiction Services,3370015,Connecticut Valley Hospital,3370215,*,2007-08
*,,,,,,,,,,Department of Mental Health and Addiction Services,3370015,Greater Bridgeport Community Mental Health Center,3370515,*,2007-08
364,,,,,,,,,,Derby School District,0370011,Bradley School,0370611,364,2007-08
669,,,,,,,,,,Derby School District,0370011,Derby High School,0376111,669,2007-08
417,,,,,,,,,,Derby School District,0370011,Irving School,0370411,417,2007-08
294,,,,,,,,,,East Granby School District,0400011,Allgrove School,0400111,294,2007-08
258,,,,,,,,,,East Granby School District,0400011,East Granby High School,0406111,258,2007-08
218,,,,,,,,,,East Granby School District,0400011,East Granby Middle School,0405111,218,2007-08
141,,,,,,,,,,East Granby School District,0400011,R. Dudley Seymour School,0400211,141,2007-08
536,,,,,,,,,,East Haddam School District,0410011,East Haddam Elementary School,0410111,536,2007-08
406,,,,,,,,,,East Haddam School District,0410011,Nathan Hale-Ray High School,0416111,406,2007-08
477,,,,,,,,,,East Haddam School District,0410011,Nathan Hale-Ray Middle School,0415111,477,2007-08
349,,,,,,,,,,East Hampton School District,0420011,Center School,0420311,349,2007-08
580,,,,,,,,,,East Hampton School District,0420011,East Hampton High School,0426111,580,2007-08
508,,,,,,,,,,East Hampton School District,0420011,East Hampton Middle School,0425111,508,2007-08
633,,,,,,,,,,East Hampton School District,0420011,Memorial School,0420111,633,2007-08
298,,,,,,,,,,East Hartford School District,0430011,Anna E. Norris School,0430911,298,2007-08
166,,,,,,,,,,East Hartford School District,0430011,Connecticut IB Academy,0436311,166,2007-08
408,,,,,,,,,,East Hartford School District,0430011,Dr. Franklin H. Mayberry School,0430611,408,2007-08
347,,,,,,,,,,East Hartford School District,0430011,Dr. John A. Langford School,0432211,347,2007-08
314,,,,,,,,,,East Hartford School District,0430011,Dr. Thomas S. O'Connell School,0431011,314,2007-08
2022,,,,,,,,,,East Hartford School District,0430011,East Hartford High School,0436211,2022,2007-08
1002,,,,,,,,,,East Hartford School District,0430011,East Hartford Middle School,0435111,1002,2007-08
352,,,,,,,,,,East Hartford School District,0430011,Governor William Pitkin School,0432011,352,2007-08
354,,,,,,,,,,East Hartford School District,0430011,Hockanum School,0430511,354,2007-08
320,,,,,,,,,,East Hartford School District,0430011,Joseph O. Goodwin School,0430411,320,2007-08
464,,,,,,,,,,East Hartford School District,0430011,Robert J. O'Brien School,0431811,464,2007-08
323,,,,,,,,,,East Hartford School District,0430011,Silver Lane School,0431211,323,2007-08
151,,,,,,,,,,East Hartford School District,0430011,Stevens Alternate High School,0436411,151,2007-08
452,,,,,,,,,,East Hartford School District,0430011,Sunset Ridge Middle School,0432411,452,2007-08
288,,,,,,,,,,East Hartford School District,0430011,Willowbrook Early Childhood,0438011,288,2007-08
180,,,,,,,,,,East Hartford School District,0430011,Woodland School,0439011,180,2007-08
221,,,,,,,,,,East Haven School District,0440011,Carbone School/East Haven Academy,0441711,221,2007-08
239,,,,,,,,,,East Haven School District,0440011,D. C. Moore School,0441411,239,2007-08
335,,,,,,,,,,East Haven School District,0440011,Deer Run School,0440111,335,2007-08
186,,,,,,,,,,East Haven School District,0440011,Dominick H. Ferrara School,0441311,186,2007-08
1097,,,,,,,,,,East Haven School District,0440011,East Haven High School,0446111,1097,2007-08
212,,,,,,,,,,East Haven School District,0440011,Grove J. Tuttle School,0441011,212,2007-08
178,,,,,,,,,,East Haven School District,0440011,Hays School,0441911,178,2007-08
482,,,,,,,,,,East Haven School District,0440011,Joseph Melillo Middle School,0445111,482,2007-08
209,,,,,,,,,,East Haven School District,0440011,Momauguin School,0440711,209,2007-08
165,,,,,,,,,,East Haven School District,0440011,Overbrook Elementary School,0441811,165,2007-08
35,,,,,,,,,,East Haven School District,0440011,Pathways,0449011,35,2007-08
319,,,,,,,,,,East Haven School District,0440011,Robert W. Carbone School,0441611,319,2007-08
1304,,,,,,,,,,East Lyme School District,0450011,East Lyme High School,0456111,1304,2007-08
913,,,,,,,,,,East Lyme School District,0450011,East Lyme Middle School,0455111,913,2007-08
399,,,,,,,,,,East Lyme School District,0450011,Flanders School,0450111,399,2007-08
53,,,,,,,,,,East Lyme School District,0450011,Integrated Preschool,0458011,53,2007-08
340,,,,,,,,,,East Lyme School District,0450011,Lillie B. Haynes School,0450411,340,2007-08
241,,,,,,,,,,East Lyme School District,0450011,Niantic Center School,0450211,241,2007-08
620,,,,,,,,,,East Windsor School District,0470011,Broad Brook Elementary School,0470111,620,2007-08
456,,,,,,,,,,East Windsor School District,0470011,East Windsor High School,0476111,456,2007-08
400,,,,,,,,,,East Windsor School District,0470011,East Windsor Middle School,0475411,400,2007-08
20,,,,,,,,,,Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Arts at the Capitol Theater Magnet School (ACT),2536014,20,2007-08
44,,,,,,,,,,Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,EastConn Special Education,2539014,44,2007-08
187,,,,,,,,,,Eastford School District,0390011,Eastford Elementary School,0390111,187,2007-08
377,,,,,,,,,,Easton School District,0460011,Helen Keller Middle School,0465111,377,2007-08
801,,,,,,,,,,Easton School District,0460011,Samuel Staples Elementary School,0460111,801,2007-08
156,,,,,,,,,,EdAdvance,2420014,EdAdvance Headstart,2428014,156,2007-08
23,,,,,,,,,,EdAdvance,2420014,The ACCESS School at The Danuta M. Thibodeau Education Center,2429014,23,2007-08
408,,,,,,,,,,Ellington School District,0480011,Center School,0480111,408,2007-08
207,,,,,,,,,,Ellington School District,0480011,Crystal Lake School,0480211,207,2007-08
770,,,,,,,,,,Ellington School District,0480011,Ellington High School,0486111,770,2007-08
408,,,,,,,,,,Ellington School District,0480011,Ellington Middle School,0485111,408,2007-08
401,,,,,,,,,,Ellington School District,0480011,Windermere Intermediate School,0480711,401,2007-08
404,,,,,,,,,,Ellington School District,0480011,Windermere School,0480611,404,2007-08
476,,,,,,,,,,Elm City College Preparatory School,2810013,Elm City College Preparatory School,2810113,476,2007-08
363,,,,,,,,,,Enfield School District,0490011,Edgar H. Parkman School,0491311,363,2007-08
387,,,,,,,,,,Enfield School District,0490011,Eli Whitney School,0491611,387,2007-08
926,,,,,,,,,,Enfield School District,0490011,Enfield High School,0496111,926,2007-08
333,,,,,,,,,,Enfield School District,0490011,Enfield Street School,0490211,333,2007-08
1156,,,,,,,,,,Enfield School District,0490011,Enrico Fermi High School,0496211,1156,2007-08
282,,,,,,,,,,Enfield School District,0490011,Harriet Beecher Stowe School,0491211,282,2007-08
413,,,,,,,,,,Enfield School District,0490011,Hazardville Memorial School,0490411,413,2007-08
104,,,,,,,,,,Enfield School District,0490011,Head Start Program,0498011,104,2007-08
429,,,,,,,,,,Enfield School District,0490011,Henry Barnard School,0491811,429,2007-08
992,,,,,,,,,,Enfield School District,0490011,John F. Kennedy Middle School,0495211,992,2007-08
272,,,,,,,,,,Enfield School District,0490011,Nathan Hale School,0491111,272,2007-08
416,,,,,,,,,,Enfield School District,0490011,Prudence Crandall School,0491511,416,2007-08
283,,,,,,,,,,Enfield School District,0490011,Thomas G. Alcorn School,0491711,283,2007-08
551,,,,,,,,,,Essex School District,0500011,Essex Elementary School,0500111,551,2007-08
86,,,,,,,,,,Explorations District,2720013,Explorations,2726113,86,2007-08
445,,,,,,,,,,Fairfield School District,0510011,Burr Elementary School,0510211,445,2007-08
340,,,,,,,,,,Fairfield School District,0510011,Dwight Elementary School,0510111,340,2007-08
121,,,,,,,,,,Fairfield School District,0510011,Early Childhood Center,0518011,121,2007-08
1380,,,,,,,,,,Fairfield School District,0510011,Fairfield Ludlowe High School,0516011,1380,2007-08
1231,,,,,,,,,,Fairfield School District,0510011,Fairfield Warde High School,0516211,1231,2007-08
597,,,,,,,,,,Fairfield School District,0510011,Fairfield Woods Middle School,0515211,597,2007-08
358,,,,,,,,,,Fairfield School District,0510011,Holland Hill School,0510411,358,2007-08
353,,,,,,,,,,Fairfield School District,0510011,Jennings School,0511711,353,2007-08
462,,,,,,,,,,Fairfield School District,0510011,McKinley School,0510611,462,2007-08
465,,,,,,,,,,Fairfield School District,0510011,Mill Hill School,0510711,465,2007-08
495,,,,,,,,,,Fairfield School District,0510011,North Stratfield School,0511611,495,2007-08
519,,,,,,,,,,Fairfield School District,0510011,Osborn Hill School,0511811,519,2007-08
473,,,,,,,,,,Fairfield School District,0510011,Riverfield School,0511211,473,2007-08
887,,,,,,,,,,Fairfield School District,0510011,Roger Ludlowe Middle School,0515311,887,2007-08
453,,,,,,,,,,Fairfield School District,0510011,Sherman School,0511311,453,2007-08
460,,,,,,,,,,Fairfield School District,0510011,Stratfield School,0511411,460,2007-08
737,,,,,,,,,,Fairfield School District,0510011,Tomlinson Middle School,0515111,737,2007-08
430,,,,,,,,,,Farmington School District,0520011,East Farms School,0520411,430,2007-08
57,,,,,,,,,,Farmington School District,0520011,Farmington Collaborative PK,0528011,57,2007-08
1389,,,,,,,,,,Farmington School District,0520011,Farmington High School,0526111,1389,2007-08
652,,,,,,,,,,Farmington School District,0520011,Irving A. Robbins Middle School,0525111,652,2007-08
330,,,,,,,,,,Farmington School District,0520011,Noah Wallace School,0520211,330,2007-08
298,,,,,,,,,,Farmington School District,0520011,Union School,0520111,298,2007-08
350,,,,,,,,,,Farmington School District,0520011,West District School,0520311,350,2007-08
687,,,,,,,,,,Farmington School District,0520011,West Woods Upper Elementary School,0520511,687,2007-08
