district,school,gender,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Capitol Region Education Council,Academy of Aerospace and Engineering,Female,,95.0,*,*,*,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Aerospace and Engineering,Male,,*,*,84.2,90.0,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Female,,,,96.4,91.2,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Male,,,,*,*,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Female,89.8,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Male,66.7,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Female,91.2,80.7,81.6,93.5,92.5,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Male,83.3,86.7,*,85.3,86.4,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Female,,,95.1,,,,,
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Male,,,*,,,,,
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Female,97.0,93.5,96.0,96.2,100.0,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Male,90.7,95.6,95.7,96.6,97.6,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Female,,,*,95.0,85.0,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Male,,,80.6,*,79.5,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,Female,,,,,100.0,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,Male,,,,,97.1,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Cheshire School District,Cheshire High School,Female,*,97.8,98.9,*,*,0256111,Cheshire High School,Cheshire School District
Cheshire School District,Cheshire High School,Male,*,97.2,97.8,*,*,0256111,Cheshire High School,Cheshire School District
Clinton School District,The Morgan School,Female,*,92.8,94.8,*,88.4,0276111,The Morgan School,Clinton School District
Clinton School District,The Morgan School,Male,*,86.5,94.3,*,88.6,0276111,The Morgan School,Clinton School District
Colchester School District,Bacon Academy,Female,95.7,96.1,*,96.6,96.5,0286111,Bacon Academy,Colchester School District
Colchester School District,Bacon Academy,Male,93.3,91.9,*,94.0,94.8,0286111,Bacon Academy,Colchester School District
Common Ground High School District,Common Ground High School,Female,*,*,*,*,*,2686113,Common Ground High School,Common Ground High School District
Common Ground High School District,Common Ground High School,Male,*,*,*,100.0,*,2686113,Common Ground High School,Common Ground High School District
Connecticut Technical High School System,A. I. Prince Technical High School,Female,89.7,91.6,94.8,97.2,96.6,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,A. I. Prince Technical High School,Male,97.2,84.4,96.6,97.6,98.9,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Female,93.9,95.3,94.5,95.9,97.0,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Male,95.7,97.8,89.4,95.8,97.8,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Female,95.6,95.6,96.8,96.2,100.0,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Male,91.7,95.4,93.8,97.6,97.5,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Female,92.1,79.0,87.2,87.5,91.7,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Male,91.9,87.9,95.3,92.3,90.6,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Female,95.0,100.0,94.0,90.7,91.1,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Male,93.7,96.5,94.8,98.4,100.0,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Female,100.0,100.0,97.4,100.0,98.4,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Male,95.8,95.3,95.5,100.0,96.3,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Female,97.3,98.5,95.2,98.8,97.6,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Male,97.0,100.0,97.4,100.0,99.0,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Female,97.1,100.0,*,87.1,88.2,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Male,95.9,100.0,96.7,99.1,97.8,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Female,98.2,94.4,94.3,98.3,97.9,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Male,96.2,97.3,96.7,100.0,96.0,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,Female,97.4,90.9,97.9,100.0,88.5,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
