district,school,high_needs_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,High Needs,,,,,*,2880113,Achievement First Hartford Academy Inc.,Achievement First Hartford Academy Inc. District
Amistad Academy District,Amistad Academy,High Needs,*,*,*,*,*,2795113,Amistad Academy,Amistad Academy District
Amistad Academy District,Amistad Academy,Non-High Needs,*,*,*,*,*,2795113,Amistad Academy,Amistad Academy District
Ansonia School District,Ansonia High School,High Needs,70.2,70.3,*,85.7,*,0026111,Ansonia High School,Ansonia School District
Ansonia School District,Ansonia High School,Non-High Needs,90.5,92.6,*,100.0,*,0026111,Ansonia High School,Ansonia School District
Avon School District,Avon High School,High Needs,86.7,*,*,*,90.2,0046111,Avon High School,Avon School District
Avon School District,Avon High School,Non-High Needs,98.3,*,*,*,99.0,0046111,Avon High School,Avon School District
Berlin School District,Berlin High School,High Needs,88.9,*,*,83.6,*,0076111,Berlin High School,Berlin School District
Berlin School District,Berlin High School,Non-High Needs,97.5,*,*,98.1,*,0076111,Berlin High School,Berlin School District
Bethel School District,Bethel High School,High Needs,86.0,*,84.0,*,92.3,0096111,Bethel High School,Bethel School District
Bethel School District,Bethel High School,Non-High Needs,97.8,*,96.9,*,97.6,0096111,Bethel High School,Bethel School District
Bloomfield School District,Bloomfield High School,High Needs,76.0,86.5,90.5,80.2,90.4,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Bloomfield High School,Non-High Needs,*,98.0,89.5,100.0,97.8,0116111,Bloomfield High School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,High Needs,,*,*,*,*,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Global Experience Magnet School,Non-High Needs,,*,*,*,*,0116311,Global Experience Magnet School,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,High Needs,,*,*,*,*,0116411,Learning Academy at Bloomfield,Bloomfield School District
Bloomfield School District,Learning Academy at Bloomfield,Non-High Needs,,*,*,*,*,0116411,Learning Academy at Bloomfield,Bloomfield School District
Bloomfield School District,The Big Picture High School,High Needs,*,,,,,0116211,The Big Picture High School,Bloomfield School District
Bloomfield School District,The Big Picture High School,Non-High Needs,*,,,,,0116211,The Big Picture High School,Bloomfield School District
Bolton School District,Bolton High School,High Needs,*,*,*,*,*,0126111,Bolton High School,Bolton School District
Bolton School District,Bolton High School,Non-High Needs,100.0,*,100.0,*,95.7,0126111,Bolton High School,Bolton School District
Branford School District,Branford High School,High Needs,93.8,87.7,85.7,81.7,*,0146111,Branford High School,Branford School District
Branford School District,Branford High School,Non-High Needs,95.9,95.2,96.8,96.4,*,0146111,Branford High School,Branford School District
Bridgeport Achievement First District,Achievement First Bridgeport Academy,High Needs,,,,*,*,2850113,Achievement First Bridgeport Academy,Bridgeport Achievement First District
Bridgeport Achievement First District,Achievement First Bridgeport Academy,Non-High Needs,,,,*,*,2850113,Achievement First Bridgeport Academy,Bridgeport Achievement First District
